Date,Value
2016-01-01,1.345
2016-01-04,1.262
2016-01-05,1.245
2016-01-06,1.177
2016-01-07,1.172
2016-01-08,1.137
2016-01-11,1.141
2016-01-12,1.104
2016-01-13,1.091
2016-01-14,1.077
2016-01-15,1.002
2016-01-18,1.029
2016-01-19,1.043
2016-01-20,0.992
2016-01-21,1.031
2016-01-22,1.063
2016-01-25,1.041
2016-01-26,1.042
2016-01-27,1.05
2016-01-28,1.011
2016-01-29,0.894
2016-02-01,0.959
2016-02-02,0.892
2016-02-03,0.871
2016-02-04,0.875
2016-02-05,0.872
2016-02-08,0.754
2016-02-09,0.758
2016-02-10,0.773
2016-02-11,0.675
2016-02-12,0.781
2016-02-15,0.793
2016-02-16,0.788
2016-02-17,0.803
2016-02-18,0.781
2016-02-19,0.76
2016-02-22,0.741
2016-02-23,0.756
2016-02-24,0.698
2016-02-25,0.691
2016-02-26,0.696
2016-02-29,0.741
2016-03-01,0.792
2016-03-02,0.847
2016-03-03,0.838
2016-03-04,0.881
2016-03-07,0.879
2016-03-08,0.819
2016-03-09,0.887
2016-03-10,0.96
2016-03-11,1.004
2016-03-14,0.986
2016-03-15,0.953
2016-03-16,0.937
2016-03-17,0.876
2016-03-18,0.864
2016-03-21,0.885
2016-03-22,0.866
2016-03-23,0.865
2016-03-24,0.88
2016-03-25,0.88
2016-03-28,0.88
2016-03-29,0.851
2016-03-30,0.863
2016-03-31,0.838
2016-04-01,0.823
2016-04-04,0.842
2016-04-05,0.797
2016-04-06,0.789
2016-04-07,0.738
2016-04-08,0.756
2016-04-11,0.78
2016-04-12,0.826
2016-04-13,0.814
2016-04-14,0.838
2016-04-15,0.818
2016-04-18,0.868
2016-04-19,0.888
2016-04-20,0.872
2016-04-21,0.954
2016-04-22,0.956
2016-04-25,0.974
2016-04-26,1.025
2016-04-27,1.004
2016-04-28,0.987
2016-04-29,0.976
2016-05-02,0.976
2016-05-03,0.922
2016-05-04,0.913
2016-05-05,0.868
2016-05-06,0.833
2016-05-09,0.818
2016-05-10,0.808
2016-05-11,0.806
2016-05-12,0.82
2016-05-13,0.797
2016-05-16,0.812
2016-05-17,0.797
2016-05-18,0.863
2016-05-19,0.873
2016-05-20,0.891
2016-05-23,0.896
2016-05-24,0.937
2016-05-25,0.929
2016-05-26,0.895
2016-05-27,0.916
2016-05-30,0.916
2016-05-31,0.899
2016-06-01,0.843
2016-06-02,0.816
2016-06-03,0.755
