Date,Value
2016-01-04,1.62
2016-01-05,1.62
2016-01-06,1.617
2016-01-07,1.617
2016-01-08,1.632
2016-01-11,1.612
2016-01-12,1.614
2016-01-13,1.61
2016-01-14,1.627
2016-01-15,1.627
2016-01-18,1.627
2016-01-19,1.625
2016-01-20,1.607
2016-01-21,1.6
2016-01-22,1.605
2016-01-25,1.605
2016-01-26,1.585
2016-01-27,1.59
2016-01-28,1.605
2016-01-29,1.56
2016-02-01,1.517
2016-02-02,1.507
2016-02-03,1.49
2016-02-04,1.487
2016-02-05,1.492
2016-02-11,1.454
2016-02-12,1.472
2016-02-15,1.475
2016-02-16,1.424
2016-02-17,1.428
2016-02-18,1.442
2016-02-19,1.461
2016-02-22,1.475
2016-02-23,1.476
2016-02-24,1.47
2016-02-25,1.465
2016-02-26,1.465
2016-02-29,1.456
2016-03-02,1.46
2016-03-03,1.497
2016-03-04,1.51
2016-03-07,1.495
2016-03-08,1.477
2016-03-09,1.457
2016-03-10,1.49
2016-03-11,1.543
2016-03-14,1.532
2016-03-15,1.537
2016-03-16,1.549
2016-03-17,1.527
2016-03-18,1.511
2016-03-21,1.51
2016-03-22,1.525
2016-03-23,1.524
2016-03-24,1.515
2016-03-25,1.51
2016-03-28,1.5
2016-03-29,1.47
2016-03-30,1.472
2016-03-31,1.472
2016-04-01,1.467
2016-04-04,1.456
2016-04-05,1.462
2016-04-06,1.47
2016-04-07,1.48
2016-04-08,1.475
2016-04-11,1.48
2016-04-12,1.48
2016-04-14,1.512
2016-04-15,1.51
2016-04-18,1.522
2016-04-19,1.512
2016-04-20,1.493
2016-04-21,1.504
2016-04-22,1.496
2016-04-25,1.475
2016-04-26,1.465
2016-04-27,1.467
2016-04-28,1.462
2016-04-29,1.465
2016-05-02,1.467
2016-05-03,1.452
2016-05-04,1.44
2016-05-09,1.42
2016-05-10,1.412
2016-05-11,1.42
2016-05-12,1.427
2016-05-13,1.45
2016-05-16,1.455
2016-05-17,1.467
2016-05-18,1.482
2016-05-19,1.5
2016-05-20,1.482
2016-05-23,1.482
2016-05-24,1.47
2016-05-25,1.482
2016-05-26,1.487
2016-05-27,1.487
2016-05-30,1.512
2016-05-31,1.51
2016-06-01,1.452
2016-06-02,1.452
2016-06-03,1.432
2016-06-07,1.413
2016-06-08,1.388
2016-06-09,1.35
2016-06-10,1.342
2016-06-13,1.328
2016-06-14,1.352
2016-06-15,1.352
2016-06-16,1.337
2016-06-17,1.35
2016-06-20,1.377
2016-06-21,1.362
2016-06-22,1.375
2016-06-23,1.36
2016-06-24,1.277
2016-06-27,1.267
2016-06-28,1.277
2016-06-29,1.265
2016-06-30,1.275
2016-07-01,1.229
2016-07-04,1.24
2016-07-05,1.232
2016-07-06,1.218
2016-07-07,1.23
2016-07-08,1.235
2016-07-11,1.235
2016-07-12,1.24
2016-07-13,1.232
2016-07-14,1.227
2016-07-15,1.236
2016-07-18,1.246
2016-07-19,1.24
2016-07-20,1.24
2016-07-21,1.252
2016-07-22,1.246
2016-07-25,1.246
2016-07-26,1.242
2016-07-27,1.25
2016-07-28,1.235
2016-07-29,1.242
2016-08-01,1.233
2016-08-02,1.24
2016-08-03,1.257
2016-08-04,1.25
2016-08-05,1.24
2016-08-08,1.257
2016-08-09,1.245
2016-08-10,1.23
2016-08-11,1.242
2016-08-12,1.24
2016-08-16,1.237
2016-08-17,1.25
2016-08-18,1.245
2016-08-19,1.247
2016-08-22,1.25
2016-08-23,1.247
2016-08-24,1.255
2016-08-25,1.26
2016-08-26,1.265
2016-08-29,1.292
2016-08-30,1.302
2016-08-31,1.325
2016-09-01,1.34
2016-09-02,1.328
2016-09-05,1.315
2016-09-06,1.317
2016-09-07,1.295
2016-09-08,1.305
2016-09-09,1.345
2016-09-12,1.365
2016-09-13,1.365
2016-09-19,1.37
2016-09-20,1.355
2016-09-21,1.352
2016-09-22,1.325
2016-09-23,1.333
2016-09-26,1.342
2016-09-27,1.349
2016-09-28,1.344
2016-09-29,1.33
2016-09-30,1.298
2016-10-04,1.325
2016-10-05,1.357
2016-10-06,1.362
2016-10-07,1.364
2016-10-10,1.38
2016-10-11,1.391
2016-10-12,1.371
2016-10-13,1.355
2016-10-14,1.357
2016-10-17,1.386
2016-10-18,1.378
2016-10-19,1.385
2016-10-20,1.39
2016-10-21,1.423
2016-10-24,1.42
2016-10-25,1.445
2016-10-26,1.465
2016-10-27,1.456
2016-10-28,1.481
2016-10-31,1.465
2016-11-01,1.477
2016-11-02,1.46
2016-11-03,1.465
2016-11-04,1.468
2016-11-07,1.455
2016-11-08,1.45
2016-11-09,1.414
2016-11-10,1.473
2016-11-11,1.51
2016-11-14,1.632
2016-11-15,1.614
2016-11-16,1.695
2016-11-17,1.641
2016-11-18,1.688
2016-11-21,1.691
2016-11-22,1.72
2016-11-23,1.731
2016-11-24,1.804
2016-11-25,1.796
2016-11-28,1.746
2016-11-29,1.712
2016-11-30,1.71
2016-12-01,1.69
2016-12-02,1.705
2016-12-05,1.678
2016-12-06,1.695
2016-12-07,1.688
2016-12-08,1.651
2016-12-09,1.666
2016-12-12,1.692
2016-12-13,1.64
2016-12-14,1.615
