Date,Value
2016-01-04,1.499
2016-01-05,1.5
2016-01-06,1.511
2016-01-07,1.503
2016-01-08,1.495
2016-01-11,1.502
2016-01-12,1.493
2016-01-13,1.492
2016-01-14,1.479
2016-01-15,1.461
2016-01-18,1.434
2016-01-19,1.442
2016-01-20,1.43
2016-01-21,1.422
2016-01-22,1.422
2016-01-25,1.432
2016-01-26,1.44
2016-01-27,1.452
2016-01-28,1.355
2016-01-29,1.351
2016-02-01,1.442
2016-02-02,1.429
2016-02-03,1.44
2016-02-04,1.407
2016-02-05,1.428
2016-02-08,1.432
2016-02-09,1.429
2016-02-10,1.43
2016-02-11,1.355
2016-02-12,1.364
2016-02-15,1.38
2016-02-16,1.364
2016-02-17,1.36
2016-02-18,1.363
2016-02-19,1.361
2016-02-23,1.366
2016-02-24,1.37
2016-02-25,1.371
2016-02-26,1.372
2016-02-29,1.373
2016-03-01,1.374
2016-03-02,1.366
2016-03-03,1.364
2016-03-04,1.358
2016-03-07,1.359
2016-03-08,1.345
2016-03-09,1.343
2016-03-10,1.344
2016-03-11,1.346
2016-03-14,1.348
2016-03-15,1.359
2016-03-16,1.332
2016-03-17,1.28
2016-03-18,1.258
2016-03-21,1.253
2016-03-22,1.255
2016-03-23,1.273
2016-03-24,1.258
2016-03-25,1.258
2016-03-28,1.253
2016-03-29,1.26
2016-03-30,1.245
2016-03-31,1.248
2016-04-01,1.231
2016-04-04,1.214
2016-04-05,1.202
2016-04-07,1.199
2016-04-08,1.203
2016-04-11,1.206
2016-04-12,1.185
2016-04-18,1.171
2016-04-19,1.212
2016-04-20,1.237
2016-04-21,1.303
2016-04-22,1.319
2016-04-25,1.301
2016-04-26,1.296
2016-04-27,1.318
2016-04-28,1.31
2016-04-29,1.322
2016-05-03,1.316
2016-05-04,1.306
2016-05-09,1.305
2016-05-10,1.321
2016-05-11,1.34
2016-05-12,1.344
2016-05-13,1.348
2016-05-16,1.36
2016-05-17,1.401
2016-05-18,1.439
2016-05-19,1.481
2016-05-23,1.46
2016-05-24,1.467
2016-05-25,1.47
2016-05-26,1.477
2016-05-27,1.473
2016-05-30,1.491
2016-05-31,1.52
2016-06-01,1.511
2016-06-02,1.498
2016-06-03,1.488
2016-06-06,1.467
2016-06-07,1.448
2016-06-08,1.436
2016-06-09,1.387
2016-06-10,1.341
2016-06-13,1.331
2016-06-14,1.343
2016-06-15,1.35
2016-06-16,1.339
2016-06-17,1.336
2016-06-20,1.342
2016-06-21,1.345
2016-06-22,1.364
2016-06-23,1.376
2016-06-24,1.358
2016-06-27,1.341
2016-06-28,1.364
2016-06-29,1.385
2016-06-30,1.415
2016-07-04,1.394
2016-07-05,1.393
2016-07-06,1.393
2016-07-07,1.382
2016-07-08,1.384
2016-07-11,1.501
2016-07-12,1.524
2016-07-13,1.516
2016-07-14,1.495
2016-07-15,1.5
2016-07-20,1.496
2016-07-21,1.512
2016-07-22,1.517
2016-07-25,1.525
2016-07-26,1.534
2016-07-27,1.529
2016-07-28,1.525
2016-07-29,1.533
2016-08-01,1.521
2016-08-02,1.518
2016-08-03,1.51
2016-08-04,1.507
2016-08-05,1.508
2016-08-08,1.518
2016-08-09,1.52
2016-08-10,1.521
2016-08-11,1.521
2016-08-15,1.529
2016-08-16,1.53
2016-08-17,1.543
2016-08-18,1.529
2016-08-19,1.534
2016-08-22,1.543
2016-08-23,1.533
2016-08-24,1.538
2016-08-25,1.528
2016-08-26,1.529
2016-08-29,1.546
2016-08-30,1.546
2016-08-31,1.56
2016-09-01,1.556
2016-09-02,1.558
2016-09-05,1.554
2016-09-06,1.556
2016-09-07,1.544
2016-09-08,1.538
2016-09-09,1.541
2016-09-12,1.546
2016-09-13,1.542
2016-09-14,1.539
2016-09-15,1.539
2016-09-16,1.538
2016-09-19,1.546
2016-09-20,1.529
2016-09-21,1.53
2016-09-22,1.52
2016-09-23,1.518
2016-09-26,1.521
2016-09-27,1.522
2016-09-28,1.517
2016-09-29,1.523
2016-09-30,1.518
2016-10-03,1.52
2016-10-04,1.521
2016-10-05,1.518
2016-10-06,1.52
2016-10-07,1.52
2016-10-10,1.524
2016-10-11,1.528
2016-10-12,1.521
2016-10-13,1.512
2016-10-14,1.512
2016-10-17,1.508
2016-10-18,1.511
2016-10-19,1.507
2016-10-20,1.502
2016-10-21,1.511
2016-10-25,1.523
2016-10-26,1.524
2016-10-27,1.521
2016-10-28,1.54
2016-10-31,1.542
2016-11-01,1.53
2016-11-02,1.529
2016-11-03,1.526
2016-11-04,1.528
2016-11-07,1.534
2016-11-08,1.533
2016-11-09,1.535
2016-11-10,1.529
2016-11-11,1.534
2016-11-14,1.547
2016-11-15,1.546
2016-11-16,1.544
2016-11-17,1.542
2016-11-18,1.543
2016-11-21,1.548
2016-11-22,1.542
2016-11-23,1.539
2016-11-24,1.543
2016-11-25,1.548
2016-11-28,1.549
2016-11-29,1.542
2016-11-30,1.555
2016-12-01,1.558
2016-12-02,1.566
2016-12-06,1.569
2016-12-07,1.564
2016-12-08,1.565
2016-12-09,1.562
2016-12-13,1.569
2016-12-14,1.576
2016-12-15,1.603
2016-12-16,1.609
2016-12-19,1.606
2016-12-20,1.613
2016-12-21,1.604
2016-12-22,1.62
2016-12-23,1.615
2016-12-27,1.598
2016-12-28,1.624
2016-12-29,1.589
2016-12-30,1.599
2017-01-04,1.581
2017-01-05,1.559
2017-01-06,1.561
2017-01-09,1.569
2017-01-10,1.556
2017-01-11,1.546
2017-01-12,1.537
2017-01-13,1.542
2017-01-16,1.533
2017-01-17,1.536
2017-01-18,1.537
2017-01-19,1.527
2017-01-20,1.542
2017-01-23,1.553
2017-01-24,1.539
2017-01-25,1.533
2017-01-26,1.529
2017-01-27,1.538
2017-01-30,1.54
2017-01-31,1.537
2017-02-01,1.536
2017-02-02,1.515
2017-02-03,1.527
2017-02-06,1.517
2017-02-07,1.518
2017-02-08,1.514
2017-02-09,1.504
2017-02-10,1.521
2017-02-14,1.521
2017-02-15,1.516
2017-02-16,1.518
2017-02-17,1.514
2017-02-20,1.511
2017-02-21,1.513
2017-02-22,1.51
2017-02-23,1.516
2017-02-24,1.515
2017-02-27,1.505
2017-02-28,1.508
2017-03-01,1.52
2017-03-02,1.525
2017-03-03,1.532
2017-03-06,1.527
2017-03-07,1.533
2017-03-08,1.546
2017-03-09,1.547
2017-03-10,1.544
2017-03-13,1.542
2017-03-14,1.542
2017-03-15,1.544
2017-03-16,1.544
2017-03-17,1.538
2017-03-20,1.542
2017-03-21,1.539
2017-03-22,1.537
2017-03-23,1.525
2017-03-24,1.537
2017-03-27,1.536
2017-03-28,1.537
2017-03-29,1.542
2017-03-30,1.549
2017-03-31,1.537
2017-04-03,1.527
2017-04-04,1.524
2017-04-05,1.517
2017-04-07,1.514
2017-04-10,1.508
2017-04-11,1.493
2017-04-12,1.491
2017-04-17,1.491
2017-04-18,1.493
2017-04-19,1.495
2017-04-20,1.503
2017-04-21,1.501
2017-04-24,1.498
2017-04-25,1.505
2017-04-26,1.499
2017-04-27,1.494
2017-04-28,1.489
2017-05-02,1.499
2017-05-03,1.493
2017-05-04,1.482
2017-05-05,1.499
2017-05-08,1.491
2017-05-09,1.492
2017-05-11,1.49
2017-05-12,1.489
2017-05-15,1.49
2017-05-16,1.492
2017-05-17,1.495
2017-05-18,1.491
2017-05-19,1.491
2017-05-22,1.49
2017-05-23,1.472
2017-05-24,1.482
2017-05-25,1.505
2017-05-26,1.501
2017-05-29,1.503
2017-05-30,1.514
2017-05-31,1.486
2017-06-01,1.507
2017-06-02,1.515
2017-06-05,1.511
2017-06-06,1.497
2017-06-07,1.493
2017-06-08,1.489
2017-06-09,1.497
2017-06-12,1.476
2017-06-13,1.473
2017-06-14,1.474
2017-06-15,1.456
2017-06-16,1.468
2017-06-19,1.46
2017-06-20,1.461
2017-06-21,1.448
2017-06-22,1.443
2017-06-23,1.464
2017-06-26,1.46
2017-06-27,1.425
2017-06-28,1.446
2017-06-29,1.457
2017-06-30,1.47
2017-07-03,1.477
2017-07-04,1.476
2017-07-05,1.471
2017-07-06,1.447
2017-07-07,1.449
2017-07-11,1.449
2017-07-12,1.458
2017-07-13,1.449
2017-07-14,1.453
2017-07-17,1.453
2017-07-18,1.455
2017-07-19,1.446
2017-07-20,1.421
2017-07-21,1.425
2017-07-24,1.428
2017-07-25,1.439
2017-07-26,1.429
2017-07-27,1.429
2017-07-31,1.416
2017-08-01,1.41
2017-08-02,1.41
2017-08-03,1.389
