Date,Value
2016-01-04,1.855
2016-01-05,1.87
2016-01-06,1.875
2016-01-07,1.83
2016-01-08,1.885
2016-01-11,1.86
2016-01-12,1.88
2016-01-13,1.84
2016-01-14,1.8
2016-01-15,1.85
2016-01-18,1.86978
2016-01-19,1.97
2016-01-20,2.25
2016-01-21,2.08
2016-01-22,1.98
2016-01-25,1.93
2016-01-26,1.94
2016-01-27,1.94
2016-01-28,2.04
2016-01-29,1.97
2016-02-01,1.93
2016-02-02,1.96936
2016-02-03,2.145
2016-02-04,2.04937
2016-02-05,1.98
2016-02-08,1.99
2016-02-09,1.99
2016-02-11,1.80953
2016-02-12,1.81
2016-02-15,1.8
2016-02-16,1.79913
2016-02-17,1.79955
2016-02-18,1.82
2016-02-19,1.77834
2016-02-22,1.8
2016-02-23,1.78
2016-02-24,1.73945
2016-02-25,1.69946
2016-02-26,1.675
2016-02-29,1.7
2016-03-01,1.6596
2016-03-02,1.695
2016-03-03,1.77
2016-03-04,1.74795
2016-03-07,1.785
2016-03-08,1.695
2016-03-09,1.68
2016-03-10,1.68
2016-03-11,1.71814
2016-03-14,1.755
2016-03-15,1.735
2016-03-16,1.72
2016-03-17,1.625
2016-03-18,1.58
2016-03-21,1.57964
2016-03-22,1.6
2016-03-23,1.73
2016-03-24,1.7072
2016-03-25,1.71
2016-03-29,1.73955
2016-03-30,1.665
2016-03-31,1.57931
2016-04-01,1.59746
2016-04-05,1.565
2016-04-06,1.6
2016-04-07,1.61
2016-04-08,1.62
2016-04-11,1.60964
2016-04-12,1.64963
2016-04-13,1.68
2016-04-14,1.68
2016-04-15,1.7
2016-04-18,1.65961
2016-04-19,1.72961
2016-04-20,1.73
2016-04-21,1.875
2016-04-22,1.82
2016-04-25,1.83956
2016-04-26,1.9
2016-04-27,1.84934
2016-04-28,1.78
2016-04-29,1.77
2016-05-03,1.78
2016-05-04,1.79
2016-05-05,1.82
2016-05-06,1.79
2016-05-09,1.745
2016-05-10,1.74
2016-05-11,1.71
2016-05-12,1.695
2016-05-13,1.715
2016-05-16,1.705
2016-05-17,1.725
2016-05-18,1.73
2016-05-19,1.79
2016-05-20,1.76
2016-05-23,1.73
2016-05-24,1.725
2016-05-25,1.76
2016-05-26,1.75
2016-05-27,1.725
2016-05-30,1.76
2016-05-31,1.77
2016-06-01,1.76
2016-06-02,1.74
2016-06-03,1.72
