Date,Value
2016-01-04,0.395
2016-01-05,0.395
2016-01-06,0.39429
2016-01-07,0.395
2016-01-08,0.39556
2016-01-11,0.39929
2016-01-12,0.40643
2016-01-13,0.40571
2016-01-14,0.405
2016-01-15,0.415
2016-01-18,0.44871
2016-01-19,0.47029
2016-01-20,0.55047
2016-01-21,0.62679
2016-01-22,0.69293
2016-01-25,0.69686
2016-01-26,0.69257
2016-01-27,0.69143
2016-01-28,0.68757
2016-01-29,0.68543
2016-02-01,0.68543
2016-02-02,0.67507
2016-02-03,0.67464
2016-02-04,0.6715
2016-02-05,0.66936
2016-02-11,0.66973
2016-02-12,0.66864
2016-02-15,0.66864
2016-02-16,0.66864
2016-02-17,0.66793
2016-02-18,0.64864
2016-02-19,0.63579
2016-02-22,0.63436
2016-02-23,0.62157
2016-02-24,0.60543
2016-02-25,0.5995
2016-02-26,0.59119
2016-02-29,0.59079
2016-03-01,0.58103
2016-03-02,0.57886
2016-03-03,0.57765
2016-03-04,0.57554
2016-03-07,0.57571
2016-03-08,0.57156
2016-03-09,0.56857
2016-03-10,0.56857
2016-03-11,0.56786
2016-03-14,0.56568
2016-03-15,0.56516
2016-03-16,0.56514
2016-03-17,0.5576
2016-03-18,0.55732
2016-03-21,0.56
2016-03-22,0.56248
2016-03-23,0.55974
2016-03-24,0.56214
2016-03-29,0.55929
2016-03-30,0.56125
2016-03-31,0.55911
2016-04-01,0.55624
2016-04-05,0.55643
2016-04-06,0.55554
2016-04-07,0.55643
2016-04-08,0.55787
2016-04-11,0.55696
2016-04-12,0.55696
2016-04-13,0.55603
2016-04-14,0.54857
2016-04-15,0.5475
2016-04-18,0.54777
2016-04-19,0.54321
2016-04-20,0.5425
2016-04-21,0.54607
2016-04-22,0.54536
2016-04-25,0.5475
2016-04-26,0.54794
2016-04-27,0.54679
2016-04-28,0.54607
2016-04-29,0.54536
2016-05-03,0.54679
2016-05-04,0.54821
2016-05-05,0.54464
2016-05-06,0.54464
2016-05-09,0.54321
2016-05-10,0.54464
2016-05-11,0.5321
2016-05-12,0.52929
2016-05-13,0.52268
2016-05-16,0.51679
2016-05-17,0.51438
2016-05-18,0.51107
2016-05-19,0.51321
2016-05-20,0.51491
2016-05-23,0.51268
2016-05-24,0.51482
2016-05-25,0.51554
2016-05-26,0.51482
2016-05-27,0.51768
2016-05-30,0.53446
2016-05-31,0.53786
2016-06-01,0.53839
2016-06-02,0.53625
2016-06-03,0.53393
2016-06-06,0.5325
2016-06-07,0.53464
2016-06-08,0.53393
2016-06-10,0.53786
2016-06-13,0.53971
2016-06-14,0.53389
2016-06-15,0.53027
2016-06-16,0.53071
2016-06-17,0.52714
2016-06-20,0.53
2016-06-21,0.52893
2016-06-22,0.53
2016-06-23,0.53036
2016-06-24,0.53143
2016-06-27,0.55982
2016-06-28,0.56161
2016-06-29,0.56518
2016-06-30,0.56875
2016-07-04,0.56661
2016-07-05,0.55857
2016-07-06,0.55429
2016-07-07,0.55357
2016-07-08,0.5525
2016-07-11,0.54679
2016-07-12,0.55357
2016-07-13,0.555
2016-07-14,0.55286
2016-07-15,0.55714
2016-07-18,0.555
2016-07-19,0.55607
2016-07-20,0.55251
2016-07-21,0.55214
2016-07-22,0.55214
2016-07-25,0.54814
2016-07-26,0.55929
2016-07-27,0.56107
2016-07-28,0.55893
2016-07-29,0.5575
2016-08-01,0.55821
2016-08-03,0.56439
2016-08-04,0.56107
2016-08-05,0.55964
2016-08-08,0.56179
2016-08-09,0.56321
2016-08-10,0.56375
2016-08-11,0.56232
2016-08-12,0.56375
2016-08-15,0.56375
2016-08-16,0.56607
2016-08-17,0.56696
2016-08-18,0.56661
2016-08-19,0.56589
2016-08-22,0.57018
2016-08-23,0.56754
2016-08-24,0.56399
2016-08-25,0.56321
2016-08-26,0.56536
2016-08-29,0.57006
2016-08-30,0.56839
2016-08-31,0.57054
2016-09-01,0.56786
2016-09-02,0.57143
2016-09-05,0.57143
2016-09-06,0.57071
2016-09-07,0.565
2016-09-08,0.57143
2016-09-09,0.58036
2016-09-12,0.58072
2016-09-13,0.58526
2016-09-14,0.58999
2016-09-15,0.59219
2016-09-19,0.59482
2016-09-20,0.59411
2016-09-21,0.59125
2016-09-22,0.58714
2016-09-23,0.58786
2016-09-26,0.59071
2016-09-27,0.59286
2016-09-28,0.59071
2016-09-29,0.59
2016-09-30,0.59214
2016-10-03,0.59321
2016-10-04,0.59357
2016-10-05,0.59286
2016-10-06,0.59214
2016-10-07,0.59732
2016-10-11,0.60107
2016-10-12,0.59746
2016-10-13,0.59357
2016-10-14,0.59429
2016-10-17,0.59286
2016-10-18,0.59679
2016-10-19,0.59464
2016-10-20,0.60107
2016-10-24,0.60857
2016-10-25,0.60857
2016-10-26,0.61554
2016-10-27,0.62214
2016-10-28,0.62863
2016-10-31,0.62275
2016-11-01,0.63357
2016-11-02,0.6325
2016-11-03,0.63107
2016-11-04,0.63464
2016-11-07,0.64025
2016-11-08,0.64786
2016-11-09,0.64221
2016-11-10,0.65
2016-11-11,0.65071
2016-11-14,0.65429
2016-11-15,0.65071
2016-11-16,0.65571
2016-11-17,0.65269
2016-11-18,0.65595
2016-11-21,0.65536
2016-11-22,0.65679
2016-11-23,0.65643
2016-11-24,0.66143
2016-11-25,0.65857
2016-11-28,0.65643
2016-11-29,0.67429
2016-11-30,0.68779
2016-12-01,0.69407
2016-12-02,0.70893
2016-12-05,0.71661
2016-12-06,0.71893
2016-12-07,0.72036
2016-12-08,0.72321
2016-12-09,0.72393
2016-12-12,0.82107
2016-12-13,0.86571
2016-12-14,0.91921
2016-12-15,0.93426
2016-12-16,0.95286
2016-12-19,0.96324
2016-12-20,0.99321
2016-12-21,1.00964
2016-12-22,1.0125
2016-12-23,1.01786
2016-12-28,1.01893
2016-12-29,1.02107
2016-12-30,1.02393
2017-01-03,1.0275
2017-01-04,1.03
2017-01-05,1.02429
2017-01-06,1.02357
2017-01-09,1.02578
2017-01-10,1.02286
2017-01-11,1.01447
2017-01-12,1.01464
2017-01-13,1.01107
2017-01-16,1.00821
2017-01-17,1.00429
2017-01-18,0.9917
2017-01-19,0.97857
2017-01-20,0.98571
2017-01-23,0.99393
2017-01-24,0.99607
2017-01-25,0.99393
2017-01-26,0.99464
2017-01-27,0.99357
2017-02-01,0.99214
2017-02-02,0.99536
2017-02-03,0.99571
2017-02-06,0.99251
2017-02-07,0.99214
2017-02-08,0.98357
2017-02-09,0.97036
2017-02-10,0.95893
2017-02-13,0.95357
2017-02-14,0.95536
2017-02-15,0.94607
2017-02-16,0.95214
2017-02-17,0.94464
2017-02-20,0.95179
2017-02-21,0.94929
2017-02-22,0.9475
2017-02-23,0.94179
2017-02-24,0.94536
2017-02-27,0.94321
2017-02-28,0.94357
2017-03-01,0.94143
2017-03-02,0.945
2017-03-03,0.94107
2017-03-06,0.943
2017-03-07,0.94029
2017-03-08,0.94079
2017-03-09,0.94321
2017-03-10,0.94421
2017-03-13,0.94179
2017-03-14,0.94307
2017-03-15,0.93807
2017-03-16,0.93843
2017-03-17,0.94279
2017-03-20,0.93879
2017-03-21,0.94064
2017-03-22,0.93857
2017-03-23,0.937
2017-03-24,0.9405
2017-03-27,0.94079
2017-03-28,0.93964
2017-03-29,0.93929
2017-03-30,0.93786
2017-03-31,0.94143
2017-04-03,0.94657
2017-04-05,0.92543
2017-04-06,0.92143
2017-04-07,0.92171
2017-04-10,0.91914
2017-04-11,0.90857
2017-04-12,0.90457
2017-04-13,0.90943
2017-04-18,0.90814
2017-04-19,0.90521
2017-04-20,0.90429
2017-04-21,0.89064
2017-04-24,0.88107
2017-04-25,0.87893
2017-04-26,0.87664
2017-04-27,0.87364
2017-04-28,0.8785
2017-05-02,0.87807
2017-05-04,0.87486
2017-05-05,0.87321
2017-05-08,0.87411
2017-05-09,0.87014
2017-05-10,0.87068
2017-05-11,0.84179
2017-05-12,0.82071
2017-05-15,0.81536
2017-05-16,0.80786
2017-05-17,0.80179
2017-05-18,0.80179
2017-05-19,0.79071
2017-05-22,0.79032
2017-05-23,0.78054
2017-05-24,0.78089
2017-05-25,0.77107
2017-05-26,0.77071
2017-05-29,0.77071
2017-05-31,0.77375
2017-06-01,0.76839
2017-06-02,0.76179
2017-06-05,0.75536
2017-06-06,0.75339
2017-06-07,0.74718
2017-06-08,0.74571
2017-06-09,0.74929
2017-06-12,0.7625
2017-06-13,0.76427
2017-06-14,0.7635
2017-06-15,0.76357
2017-06-16,0.76536
2017-06-19,0.76765
2017-06-20,0.76679
2017-06-21,0.76712
2017-06-22,0.77
2017-06-23,0.77072
2017-06-26,0.76983
2017-06-27,0.77107
2017-06-28,0.77429
2017-06-29,0.7775
2017-06-30,0.77961
2017-07-03,0.77757
2017-07-04,0.77929
2017-07-05,0.77571
2017-07-06,0.77375
2017-07-07,0.77749
2017-07-10,0.77643
2017-07-11,0.77625
2017-07-12,0.77195
2017-07-13,0.76714
2017-07-14,0.77286
2017-07-17,0.77357
2017-07-18,0.77236
2017-07-19,0.77221
2017-07-20,0.77293
2017-07-21,0.77179
2017-07-24,0.77232
2017-07-25,0.76652
2017-07-26,0.76643
2017-07-27,0.75997
2017-07-28,0.75808
2017-07-31,0.76568
2017-08-01,0.76321
2017-08-02,0.76292
2017-08-03,0.758
2017-08-04,0.75739
2017-08-07,0.75536
2017-08-08,0.7575
2017-08-09,0.75893
2017-08-10,0.76336
2017-08-11,0.76086
2017-08-14,0.76
2017-08-15,0.75929
2017-08-16,0.7635
2017-08-17,0.76112
2017-08-18,0.76079
2017-08-21,0.76143
2017-08-22,0.76143
2017-08-24,0.76214
2017-08-25,0.76293
2017-08-28,0.76007
2017-08-29,0.75914
2017-08-30,0.76317
2017-08-31,0.76271
2017-09-01,0.76
2017-09-04,0.76002
2017-09-05,0.75853
2017-09-06,0.75768
2017-09-07,0.75536
2017-09-08,0.75701
2017-09-11,0.75571
2017-09-12,0.75661
2017-09-13,0.75494
2017-09-14,0.75464
2017-09-15,0.75464
2017-09-18,0.75571
2017-09-19,0.76107
2017-09-20,0.75982
2017-09-21,0.75982
2017-09-22,0.75696
2017-09-25,0.75393
2017-09-26,0.75607
2017-09-27,0.78
2017-09-28,0.77893
2017-09-29,0.7825
2017-10-03,0.78
2017-10-04,0.79249
2017-10-06,0.78567
2017-10-09,0.78607
2017-10-10,0.78357
2017-10-11,0.78071
2017-10-12,0.76893
