Date,Open,High,Low,Close
2016-01-01,7.7507,7.7509,7.7499,7.7503
2016-01-04,7.75,7.7542,7.7488,7.7515
2016-01-05,7.7515,7.7519,7.7507,7.7516
2016-01-06,7.7516,7.753,7.7506,7.7526
2016-01-07,7.7526,7.7598,7.7516,7.7583
2016-01-08,7.7583,7.7657,7.7536,7.7633
2016-01-11,7.7639,7.7657,7.7563,7.7639
2016-01-12,7.7637,7.7647,7.7575,7.7629
2016-01-13,7.7629,7.763,7.758,7.7618
2016-01-14,7.7618,7.7895,7.76,7.7825
2016-01-15,7.7825,7.7991,7.7746,7.795
2016-01-18,7.7937,7.8004,7.7909,7.7986
2016-01-19,7.7986,7.82,7.7983,7.8191
2016-01-20,7.8191,7.8295,7.8144,7.8177
2016-01-21,7.8177,7.8243,7.8075,7.8182
2016-01-22,7.8181,7.8193,7.7858,7.7967
2016-01-25,7.7962,7.8001,7.7869,7.7947
2016-01-26,7.7947,7.8013,7.7915,7.795
2016-01-27,7.795,7.7979,7.7831,7.7958
2016-01-28,7.7958,7.7965,7.7874,7.7926
2016-01-29,7.7926,7.7955,7.7797,7.7863
2016-02-01,7.7819,7.7858,7.774,7.7782
2016-02-02,7.7782,7.801,7.7767,7.7986
2016-02-03,7.7986,7.8008,7.7885,7.7961
2016-02-04,7.7961,7.7971,7.7816,7.7894
2016-02-05,7.7894,7.7963,7.7801,7.7921
2016-02-08,7.7896,7.795,7.7845,7.7921
2016-02-09,7.792,7.7997,7.7886,7.7979
2016-02-10,7.7979,7.7986,7.7889,7.7934
2016-02-11,7.7934,7.7964,7.7854,7.7906
2016-02-12,7.7907,7.7919,7.7861,7.7891
2016-02-15,7.7891,7.7897,7.7832,7.7849
2016-02-16,7.7848,7.7921,7.7836,7.7913
2016-02-17,7.7913,7.7937,7.7844,7.786
2016-02-18,7.786,7.787,7.7731,7.7816
2016-02-19,7.7816,7.782,7.7715,7.7756
2016-02-22,7.7743,7.7752,7.7658,7.7712
2016-02-23,7.7712,7.7721,7.7659,7.7678
2016-02-24,7.7678,7.7719,7.7669,7.7691
2016-02-25,7.7691,7.7736,7.7671,7.7726
2016-02-26,7.7726,7.7771,7.767,7.777
2016-02-29,7.775,7.7807,7.7722,7.7762
2016-03-01,7.7762,7.778,7.7697,7.7717
2016-03-02,7.7715,7.7764,7.7712,7.7739
2016-03-03,7.7739,7.7772,7.7679,7.7682
2016-03-04,7.7682,7.7713,7.7616,7.7624
2016-03-07,7.7643,7.7709,7.7594,7.7639
2016-03-08,7.7639,7.7684,7.7636,7.7667
2016-03-09,7.7667,7.7675,7.7639,7.7664
2016-03-10,7.7664,7.7669,7.7622,7.7623
2016-03-11,7.7623,7.765,7.7579,7.7593
2016-03-14,7.76,7.7614,7.757,7.7589
2016-03-15,7.759,7.7624,7.7582,7.7612
2016-03-16,7.7612,7.765,7.758,7.7584
2016-03-17,7.7584,7.7601,7.7545,7.7551
2016-03-18,7.7551,7.759,7.7532,7.755
2016-03-21,7.7558,7.7563,7.7525,7.7528
2016-03-22,7.7528,7.7546,7.7526,7.7533
2016-03-23,7.7533,7.7579,7.7529,7.7545
2016-03-24,7.7545,7.7648,7.7544,7.7586
2016-03-25,7.7585,7.7614,7.757,7.7574
2016-03-28,7.7577,7.7592,7.7569,7.7574
2016-03-29,7.7574,7.7585,7.7555,7.7556
2016-03-30,7.7556,7.757,7.753,7.7535
2016-03-31,7.7535,7.7578,7.7532,7.7572
2016-04-01,7.7572,7.7575,7.7536,7.7543
2016-04-04,7.7545,7.7567,7.7536,7.7546
2016-04-05,7.7546,7.7573,7.7534,7.757
2016-04-06,7.757,7.7578,7.7554,7.7565
2016-04-07,7.7565,7.7614,7.7552,7.7613
2016-04-08,7.7613,7.7616,7.7561,7.7581
2016-04-11,7.758,7.7603,7.7534,7.7547
2016-04-12,7.7547,7.7564,7.754,7.7544
2016-04-13,7.7544,7.757,7.7544,7.7561
2016-04-14,7.7561,7.7584,7.7556,7.7565
2016-04-15,7.7565,7.758,7.7545,7.7559
2016-04-18,7.7559,7.7567,7.7544,7.7551
2016-04-19,7.7551,7.7563,7.7546,7.7548
2016-04-20,7.7548,7.7577,7.7547,7.7556
2016-04-21,7.7556,7.7582,7.7552,7.7578
2016-04-22,7.7578,7.7586,7.7556,7.7573
2016-04-25,7.757,7.7583,7.7554,7.7559
2016-04-26,7.7559,7.7569,7.7553,7.7554
2016-04-27,7.7554,7.7583,7.7551,7.756
2016-04-28,7.756,7.7583,7.7555,7.7579
2016-04-29,7.7579,7.7595,7.7563,7.7572
2016-05-02,7.7573,7.76,7.757,7.7585
2016-05-03,7.7585,7.7634,7.7582,7.7623
2016-05-04,7.7623,7.7632,7.7597,7.7626
2016-05-05,7.7626,7.7629,7.7598,7.762
2016-05-06,7.762,7.7623,7.7598,7.7618
2016-05-09,7.7606,7.7643,7.7596,7.764
2016-05-10,7.764,7.7643,7.7611,7.762
2016-05-11,7.762,7.7624,7.76,7.7607
2016-05-12,7.7607,7.7613,7.758,7.7598
2016-05-13,7.7598,7.7648,7.7596,7.764
2016-05-16,7.7631,7.7648,7.7616,7.7637
2016-05-17,7.7637,7.7641,7.7614,7.7627
2016-05-18,7.7626,7.7655,7.7622,7.7649
2016-05-19,7.7649,7.769,7.7643,7.7674
2016-05-20,7.7674,7.7693,7.7646,7.7691
2016-05-23,7.7682,7.7685,7.7659,7.7678
2016-05-24,7.7678,7.7692,7.7662,7.7687
2016-05-25,7.7686,7.7688,7.7636,7.7657
2016-05-26,7.7657,7.7671,7.7637,7.7667
2016-05-27,7.7667,7.7674,7.7637,7.7662
2016-05-30,7.766,7.7697,7.7656,7.7695
2016-05-31,7.7695,7.7715,7.7669,7.7712
2016-06-01,7.7712,7.772,7.7678,7.7709
2016-06-02,7.7709,7.7714,7.7672,7.7702
2016-06-03,7.7702,7.7719,7.7675,7.7683
2016-06-06,7.7679,7.77,7.7669,7.7676
2016-06-07,7.7675,7.7681,7.7656,7.7657
2016-06-08,7.7657,7.7669,7.7601,7.7603
2016-06-09,7.7603,7.7625,7.7597,7.7616
2016-06-10,7.7616,7.7642,7.7604,7.7626
2016-06-13,7.7621,7.7644,7.7619,7.7631
2016-06-14,7.7631,7.7636,7.7591,7.7602
2016-06-15,7.7602,7.7617,7.7591,7.76
2016-06-16,7.76,7.7612,7.7583,7.7592
2016-06-17,7.7592,7.7618,7.7586,7.7606
2016-06-20,7.7604,7.7614,7.759,7.7608
2016-06-21,7.7608,7.7614,7.758,7.7597
2016-06-22,7.7597,7.7603,7.7568,7.7587
2016-06-23,7.7587,7.759,7.7549,7.7576
2016-06-24,7.7576,7.7622,7.7566,7.7614
2016-06-27,7.7616,7.7623,7.7568,7.7612
2016-06-28,7.7612,7.7617,7.7576,7.7591
2016-06-29,7.7591,7.7597,7.7579,7.7594
2016-06-30,7.7594,7.7604,7.7569,7.7591
2016-07-01,7.7591,7.7601,7.757,7.7586
2016-07-04,7.7587,7.7594,7.7572,7.7587
2016-07-05,7.7587,7.7593,7.7574,7.7587
2016-07-06,7.7587,7.7598,7.7574,7.7581
2016-07-07,7.7581,7.7592,7.7576,7.7583
2016-07-08,7.7583,7.759,7.7569,7.7579
2016-07-11,7.7579,7.759,7.7573,7.758
2016-07-12,7.758,7.759,7.7576,7.758
2016-07-13,7.758,7.7588,7.7555,7.7566
2016-07-14,7.7566,7.7572,7.7536,7.7536
2016-07-15,7.7536,7.7555,7.7534,7.754
2016-07-18,7.7543,7.7555,7.7526,7.7544
2016-07-19,7.7544,7.756,7.7541,7.7557
2016-07-20,7.7557,7.7561,7.7548,7.7559
2016-07-21,7.7559,7.7567,7.7552,7.7562
2016-07-22,7.7562,7.7583,7.755,7.7577
2016-07-25,7.758,7.7587,7.7554,7.7569
2016-07-26,7.7569,7.7576,7.7561,7.7571
2016-07-27,7.7571,7.7578,7.7562,7.7567
2016-07-28,7.7568,7.7573,7.7557,7.7562
2016-07-29,7.7562,7.7614,7.7551,7.7575
2016-08-01,7.758,7.7615,7.756,7.7609
2016-08-02,7.7609,7.7614,7.7594,7.761
2016-08-03,7.761,7.7614,7.7575,7.7588
2016-08-04,7.7588,7.7595,7.7556,7.7565
2016-08-05,7.7565,7.7568,7.7548,7.7551
2016-08-08,7.7554,7.7574,7.755,7.757
2016-08-09,7.757,7.7579,7.7562,7.7566
2016-08-10,7.7566,7.7572,7.7554,7.7564
2016-08-11,7.7564,7.757,7.7557,7.7566
2016-08-12,7.7566,7.7571,7.7557,7.7562
2016-08-15,7.7564,7.7573,7.7554,7.7556
2016-08-16,7.7556,7.7569,7.7538,7.754
2016-08-17,7.754,7.7555,7.7535,7.7544
2016-08-18,7.7544,7.7554,7.753,7.7534
2016-08-19,7.7534,7.7543,7.7528,7.7533
2016-08-22,7.7539,7.7546,7.7524,7.7531
2016-08-23,7.7531,7.7539,7.7526,7.7533
2016-08-24,7.7533,7.7545,7.7528,7.7537
2016-08-25,7.7537,7.7555,7.7534,7.755
2016-08-26,7.755,7.7579,7.7544,7.757
2016-08-29,7.7568,7.7574,7.7542,7.7561
2016-08-30,7.7561,7.758,7.7551,7.7575
2016-08-31,7.7575,7.758,7.7562,7.757
2016-09-01,7.757,7.758,7.7564,7.7578
2016-09-02,7.7578,7.758,7.7549,7.7553
2016-09-05,7.7557,7.7565,7.7548,7.7553
2016-09-06,7.7553,7.7558,7.7548,7.7553
2016-09-07,7.7553,7.7562,7.7547,7.7558
2016-09-08,7.7558,7.7575,7.7554,7.7571
2016-09-09,7.7571,7.758,7.7551,7.7571
2016-09-12,7.7568,7.7589,7.7537,7.7581
2016-09-13,7.7581,7.7589,7.757,7.7584
2016-09-14,7.7584,7.7588,7.7573,7.7582
2016-09-15,7.7582,7.7588,7.7577,7.7586
2016-09-16,7.7586,7.7595,7.7582,7.7586
2016-09-19,7.759,7.7604,7.7571,7.7579
2016-09-20,7.7579,7.7582,7.7559,7.7571
