Date,Value
2016-01-01,-5.0
2016-01-04,-4.5
2016-01-05,-5.0
2016-01-06,-5.0
2016-01-07,-5.95
2016-01-08,0.0
2016-01-11,-3.0
2016-01-12,-5.0
2016-01-13,-5.75
2016-01-14,0.75
2016-01-15,0.5
2016-01-18,-4.0
2016-01-19,-3.0
2016-01-20,-1.5
2016-01-21,-2.0
2016-01-22,-3.5
2016-01-25,-4.0
2016-01-26,-3.5
2016-01-27,-2.5
2016-01-28,-4.75
2016-01-29,-5.0
2016-02-01,-4.0
2016-02-02,-5.0
2016-02-03,-4.0
2016-02-04,-5.0
2016-02-05,-3.5
2016-02-08,-3.0
2016-02-09,-3.0
2016-02-10,-3.0
2016-02-11,-4.0
2016-02-12,-3.88
2016-02-15,-5.0
2016-02-16,-5.0
2016-02-17,-5.5
2016-02-18,-5.0
2016-02-19,-5.25
2016-02-22,-5.0
2016-02-23,-4.65
2016-02-24,-4.25
2016-02-25,-4.5
2016-02-26,-3.5
2016-02-29,-4.13
2016-03-01,-4.75
2016-03-02,-4.4
2016-03-03,-4.45
2016-03-04,-4.5
2016-03-07,-4.75
2016-03-08,-5.05
2016-03-09,-5.05
2016-03-10,-6.0
2016-03-11,-6.13
2016-03-14,-6.38
2016-03-15,-6.5
2016-03-16,-10.0
2016-03-17,-7.01
2016-03-18,-7.0
2016-03-21,-10.0
2016-03-22,-5.0
2016-03-23,-4.5
2016-03-24,-3.75
2016-03-25,-4.41
2016-03-28,-4.0
2016-03-29,-2.88
2016-03-30,-3.13
2016-03-31,-4.25
2016-04-01,-4.25
2016-04-04,-3.75
2016-04-05,-4.4
2016-04-06,-5.0
2016-04-07,-5.25
2016-04-08,-5.38
2016-04-11,-6.03
2016-04-12,-6.03
2016-04-13,-6.4
2016-04-14,-5.75
2016-04-15,-5.85
2016-04-18,-6.0
2016-04-19,-6.0
2016-04-20,-5.75
2016-04-21,-6.18
2016-04-22,-5.5
2016-04-25,-5.0
2016-04-26,-4.8
2016-04-27,-5.0
2016-04-28,-6.0
2016-04-29,-5.63
2016-05-02,-5.63
2016-05-03,-5.75
2016-05-04,-6.0
2016-05-05,-6.5
2016-05-06,-6.5
2016-05-09,-6.5
2016-05-10,-6.5
2016-05-11,-8.5
2016-05-12,-8.0
2016-05-13,-6.7
2016-05-16,-6.5
2016-05-17,-7.25
2016-05-18,-7.0
2016-05-19,-7.25
