Date,Value
2016-01-05,0.504
2016-01-06,0.494
2016-01-07,0.45
2016-01-08,0.466
2016-01-12,0.467
2016-01-13,0.465
2016-01-14,0.418
2016-01-15,0.564
2016-01-18,0.579
2016-01-19,0.718
2016-01-20,0.767
2016-01-21,0.767
2016-01-25,0.799
2016-01-26,0.87
2016-01-27,0.883
2016-01-28,0.911
2016-01-29,0.884
2016-02-01,0.78
2016-02-02,0.818
2016-02-03,0.966
2016-02-04,0.864
2016-02-05,0.863
2016-02-11,0.817
2016-02-12,0.819
2016-02-19,0.714
2016-02-22,0.716
2016-02-23,0.672
2016-02-24,0.652
2016-02-25,0.626
2016-02-26,0.612
2016-02-29,0.641
2016-03-01,0.606
2016-03-02,0.653
2016-03-03,0.716
2016-03-04,0.693
2016-03-07,0.687
2016-03-08,0.626
2016-03-09,0.603
2016-03-10,0.631
2016-03-11,0.659
2016-03-15,0.704
2016-03-16,0.735
2016-03-17,0.583
2016-03-18,0.591
2016-03-21,0.602
2016-03-22,0.605
2016-03-23,0.664
2016-03-24,0.677
2016-03-29,0.694
2016-03-30,0.646
2016-03-31,0.582
2016-04-01,0.601
2016-04-05,0.591
2016-04-06,0.614
2016-04-07,0.616
2016-04-08,0.652
2016-04-11,0.627
2016-04-12,0.638
2016-04-13,0.642
2016-04-14,0.607
2016-04-15,0.641
2016-04-18,0.611
2016-04-19,0.637
2016-04-20,0.632
2016-04-21,0.678
2016-04-22,0.654
2016-04-25,0.686
2016-04-26,0.725
2016-04-27,0.729
2016-04-28,0.67
2016-04-29,0.649
2016-05-03,0.677
2016-05-04,0.681
2016-05-05,0.688
2016-05-06,0.682
2016-05-09,0.667
2016-05-10,0.657
2016-05-11,0.643
2016-05-12,0.622
2016-05-13,0.628
2016-05-16,0.625
2016-05-17,0.635
2016-05-18,0.616
2016-05-19,0.615
2016-06-02,0.697
2016-06-03,0.671
2016-06-06,0.594
2016-06-07,0.614
2016-06-08,0.579
2016-06-10,0.58
2016-06-13,0.505
2016-06-14,0.518
2016-06-15,0.567
2016-06-16,0.568
2016-06-17,0.6
2016-06-20,0.609
2016-06-21,0.582
2016-06-22,0.589
2016-06-23,0.595
2016-06-24,0.527
2016-06-27,0.488
2016-06-28,0.477
2016-06-29,0.477
2016-06-30,0.463
2016-08-24,0.498
2016-08-25,0.494
2016-08-26,0.506
2016-08-29,0.529
2016-08-30,0.504
2016-08-31,0.509
2016-09-01,0.51
2016-09-02,0.525
2016-09-06,0.519
2016-09-07,0.486
2016-09-08,0.487
2016-09-09,0.518
2016-09-13,0.546
2016-09-14,0.546
2016-11-02,0.568
2016-11-03,0.557
2016-11-07,0.597
2016-11-08,0.612
2016-11-09,0.613
2016-11-10,0.649
2016-11-11,0.707
2016-11-14,0.807
2016-11-15,0.821
2016-11-16,0.793
2016-11-17,0.759
2016-12-06,0.844
2016-12-07,0.84
2016-12-08,0.817
2016-12-09,0.841
2016-12-13,1.037
2016-12-14,1.017
2016-12-15,1.053
2016-12-16,1.112
2016-12-20,1.212
2016-12-21,1.199
2016-12-22,1.203
2016-12-23,1.243
2016-12-30,1.109
2017-01-03,1.157
2017-01-04,1.15
2017-01-05,1.151
2017-01-09,1.054
2017-01-10,1.027
2017-01-11,1.017
2017-01-12,1.022
2017-01-13,1.029
2017-01-16,1.037
2017-01-17,1.031
2017-01-18,0.999
2017-01-19,1.001
2017-01-20,1.047
2017-01-24,0.981
2017-01-25,0.98
2017-01-27,1.086
2017-02-01,1.059
2017-02-02,1.059
2017-02-03,1.04
2017-02-06,1.015
2017-02-07,0.965
2017-02-08,0.957
2017-02-09,0.944
2017-02-10,0.956
2017-02-13,0.958
2017-02-14,0.974
2017-02-15,0.99
2017-02-16,1.012
2017-02-17,1.047
2017-03-03,1.118
2017-03-07,1.096
2017-03-08,1.097
2017-03-09,1.132
2017-03-10,1.169
2017-03-13,1.141
2017-03-14,1.149
2017-03-15,1.128
2017-03-16,1.047
2017-03-17,1.083
2017-03-21,1.003
2017-03-22,0.979
2017-03-23,0.959
2017-03-24,0.96
2017-03-30,0.894
2017-03-31,0.905
2017-04-05,0.915
2017-04-06,0.912
2017-04-07,0.912
2017-04-10,0.938
2017-04-11,0.9
2017-04-12,0.882
2017-04-19,0.834
2017-04-20,0.792
2017-04-26,0.826
2017-04-27,0.821
2017-04-28,0.803
2017-05-02,0.838
2017-05-04,0.829
2017-05-05,0.832
2017-05-08,0.841
2017-05-09,0.826
2017-05-10,0.814
2017-05-11,0.818
2017-05-15,0.733
2017-05-16,0.728
2017-05-18,0.632
2017-05-19,0.665
2017-05-24,0.703
2017-05-25,0.703
2017-05-26,0.66
2017-05-29,0.673
2017-05-31,0.661
2017-06-01,0.689
2017-06-02,0.699
2017-06-05,0.674
2017-06-06,0.653
2017-06-07,0.638
2017-06-08,0.672
2017-06-09,0.709
2017-06-12,0.748
2017-06-14,0.792
2017-06-15,0.693
2017-06-16,0.769
2017-06-20,0.809
2017-06-21,0.802
2017-06-22,0.796
2017-06-23,0.784
2017-06-26,0.785
2017-06-27,0.775
2017-06-28,0.775
2017-06-29,0.82
2017-06-30,0.841
2017-07-04,0.928
2017-07-05,0.92
2017-07-06,0.911
2017-07-07,0.925
2017-07-10,0.916
2017-07-11,0.89
2017-07-12,0.848
2017-07-13,0.838
2017-07-14,0.844
2017-07-17,0.846
2017-07-18,0.85
2017-07-19,0.844
2017-07-20,0.853
2017-07-21,0.833
2017-07-24,0.816
2017-07-25,0.82
2017-07-26,0.85
2017-07-27,0.807
2017-07-28,0.803
2017-08-01,0.768
2017-08-02,0.759
2017-08-03,0.76
2017-08-04,0.788
2017-08-07,0.798
2017-08-08,0.804
2017-08-09,0.814
2017-08-10,0.872
2017-08-11,0.893
2017-08-14,0.851
2017-08-15,0.87
2017-08-16,0.889
2017-08-17,0.849
2017-08-18,0.838
2017-09-01,0.778
2017-09-04,0.768
2017-09-05,0.773
2017-09-06,0.77
2017-09-07,0.778
2017-09-08,0.733
2017-09-12,0.764
2017-09-13,0.761
2017-09-14,0.768
2017-09-15,0.769
2017-09-19,0.795
2017-09-20,0.803
2017-09-21,0.877
2017-09-22,0.853
2017-09-25,0.873
2017-09-26,0.866
2017-09-27,0.884
2017-09-28,0.943
2017-10-04,0.981
2017-10-10,0.955
2017-10-11,0.954
2017-10-12,0.952
2017-10-13,0.929
2017-10-16,0.914
2017-10-17,0.967
2017-10-18,1.013
2017-10-19,1.043
2017-10-20,1.076
2017-10-24,1.073
2017-10-25,1.108
2017-10-26,1.092
2017-10-27,1.098
2017-10-30,1.104
2017-10-31,1.106
2017-11-01,1.109
2017-11-06,1.077
2017-11-07,1.084
2017-11-08,1.081
2017-11-09,1.101
2017-11-10,1.118
2017-11-13,1.111
2017-11-14,1.129
2017-11-15,1.108
2017-11-16,1.088
2017-11-29,1.267
2017-12-01,1.248
2017-12-04,1.249
2017-12-05,1.251
2017-12-07,1.298
2017-12-08,1.292
2017-12-11,1.301
2017-12-13,1.287
2017-12-14,1.282
2017-12-15,1.287
2017-12-18,1.293
2017-12-20,1.325
2017-12-21,1.347
2017-12-22,1.394
2017-12-27,1.451
2017-12-28,1.429
2017-12-29,1.361
2018-01-04,1.357
2018-01-05,1.356
2018-01-08,1.324
2018-01-09,1.346
2018-01-10,1.363
2018-01-17,1.326
2018-01-18,1.341
2018-01-22,1.369
2018-01-23,1.362
2018-01-24,1.329
2018-01-25,1.318
2018-02-02,1.328
2018-02-07,1.287
2018-02-13,1.235
2018-02-14,1.202
2018-03-01,1.276
2018-03-02,1.247
2018-03-05,1.262
2018-03-06,1.295
2018-03-07,1.351
2018-03-08,1.401
2018-03-12,1.483
2018-03-13,1.463
2018-03-14,1.437
2018-03-15,1.378
2018-03-16,1.362
2018-03-19,1.422
2018-03-20,1.396
2018-03-21,1.424
2018-03-22,1.453
2018-03-23,1.472
2018-03-26,1.501
2018-03-27,1.462
2018-03-28,1.444
2018-03-29,1.421
2018-04-03,1.421
2018-04-04,1.449
2018-04-06,1.438
2018-04-09,1.411
2018-04-10,1.403
2018-04-11,1.397
2018-04-12,1.376
2018-04-13,1.405
2018-04-16,1.507
2018-04-17,1.564
2018-04-18,1.589
2018-04-19,1.651
2018-04-20,1.667
2018-04-23,1.668
2018-04-24,1.685
2018-04-25,1.701
2018-04-27,1.684
2018-04-30,1.695
2018-05-02,1.711
2018-05-03,1.728
2018-05-04,1.783
2018-05-07,1.826
2018-05-08,1.815
2018-05-09,1.809
2018-05-10,1.793
2018-05-11,1.764
2018-05-15,1.768
2018-05-16,1.809
2018-05-17,1.844
2018-05-18,1.911
2018-06-05,1.831
2018-06-06,1.831
2018-06-07,1.909
2018-06-08,1.945
2018-06-12,1.951
2018-06-14,1.981
2018-06-15,1.989
2018-06-19,1.98
2018-06-20,1.99
2018-06-21,2.015
2018-06-22,2.067
2018-06-26,1.927
2018-06-27,1.929
2018-06-29,1.904
2018-07-03,1.944
2018-07-04,1.882
2018-07-05,1.856
2018-07-06,1.799
2018-07-09,1.785
2018-07-10,1.813
2018-07-11,1.847
2018-07-12,1.862
2018-07-13,1.864
2018-07-16,1.879
2018-07-17,1.885
2018-07-18,1.904
2018-07-20,1.869
2018-07-23,1.861
2018-07-24,1.886
2018-07-25,1.889
2018-07-26,1.892
2018-07-30,1.837
2018-07-31,1.828
2018-08-01,1.801
2018-08-02,1.814
2018-08-03,1.83
2018-08-06,1.805
2018-08-07,1.803
2018-08-08,1.797
2018-08-09,1.801
2018-08-10,1.782
2018-08-13,1.795
2018-08-14,1.79
2018-08-15,1.823
2018-08-17,1.889
2018-08-22,1.936
2018-08-29,2.008
2018-08-30,2.033
2018-08-31,2.035
2018-09-03,2.029
2018-09-04,2.054
2018-09-10,2.124
2018-09-11,2.121
2018-09-12,2.139
2018-09-13,2.138
2018-09-14,2.141
2018-09-17,2.156
2018-09-18,2.138
2018-09-19,2.14
2018-09-20,2.143
2018-09-21,2.188
2018-09-24,2.279
2018-09-26,2.259
2018-09-27,2.245
2018-10-03,2.182
2018-10-04,2.221
2018-10-08,2.279
2018-10-09,2.3
2018-10-10,2.289
2018-10-11,2.278
2018-10-16,2.17
2018-10-18,2.153
2018-10-19,2.191
2018-10-22,2.203
2018-10-23,2.185
2018-10-24,2.187
2018-10-25,2.17
2018-10-26,2.16
2018-10-29,2.146
2018-10-30,2.154
2018-10-31,2.164
2018-11-01,2.165
2018-11-02,2.149
2018-11-06,2.147
2018-11-07,2.143
2018-11-08,2.139
2018-11-09,2.132
2018-11-12,2.142
2018-11-13,2.132
2018-11-14,2.086
2018-11-15,2.032
2018-11-16,2.06
2018-11-19,1.997
2018-11-20,2.006
2018-12-12,2.051
2018-12-13,2.101
2018-12-14,2.105
2018-12-17,2.071
2018-12-18,2.035
2018-12-19,1.996
2018-12-20,1.935
2018-12-21,1.925
2018-12-24,1.899
2018-12-27,1.892
2018-12-28,1.838
2018-12-31,1.819
2019-01-02,1.758
2019-01-03,1.726
2019-01-04,1.655
2019-01-07,1.719
2019-01-08,1.746
2019-01-09,1.769
2019-01-10,1.764
2019-01-11,1.712
