Date,Open,High,Low,Close
2016-01-04,13825,13920,13825,13919
2016-01-05,13966,13973,13793,13865
2016-01-06,13836,13949,13818,13949
2016-01-07,13886,13985,13880,13928
2016-01-08,13930,13930,13843,13923
2016-01-11,13955,13965,13871,13873
2016-01-12,13865,13911,13813,13911
2016-01-13,13870,13881,13826,13833
2016-01-14,13868,13969,13834,13913
2016-01-15,13905,13914,13868,13894
2016-01-18,13925,13955,13923,13934
2016-01-19,13920,13933,13845,13881
2016-01-20,13880,13960,13878,13960
2016-01-21,13907,13932,13872,13909
2016-01-22,13881,13888,13845,13845
2016-01-25,13833,13873,13833,13873
2016-01-26,13890,13927,13890,13902
2016-01-27,13875,13897,13863,13880
2016-01-28,13899,13915,13865,13875
2016-01-29,13859,13859,13755,13776
2016-02-01,13827,13827,13580,13639
2016-02-02,13652,13702,13608,13688
2016-02-03,13718,13828,13710,13770
2016-02-04,13695,13700,13638,13638
2016-02-05,13638,13674,13585,13625
2016-02-09,13675,13710,13608,13608
2016-02-10,13588,13588,13410,13463
2016-02-11,13369,13465,13345,13465
2016-02-12,13478,13527,13435,13493
2016-02-15,13475,13495,13377,13383
2016-02-16,13330,13422,13303,13400
2016-02-17,13460,13520,13460,13513
2016-02-18,13450,13505,13440,13503
2016-02-19,13520,13567,13499,13499
2016-02-22,13500,13504,13425,13443
2016-02-23,13413,13434,13383,13425
2016-02-24,13444,13458,13410,13413
2016-02-25,13400,13438,13398,13410
2016-02-26,13375,13407,13360,13402
2016-02-29,13408,13413,13373,13376
2016-03-01,13353,13399,13343,13353
2016-03-02,13308,13327,13268,13294
2016-03-03,13280,13282,13235,13238
2016-03-04,13175,13212,13109,13135
2016-03-07,13035,13092,12978,13087
2016-03-08,13113,13160,13078,13144
2016-03-09,13145,13145,13144,13144
2016-03-10,13127,13165,13065,13075
2016-03-11,13123,13123,13065,13072
2016-03-14,13028,13082,13010,13062
2016-03-15,13103,13180,13070,13178
2016-03-16,13180,13302,13135,13268
2016-03-17,13198,13198,13082,13095
2016-03-18,13114,13133,13033,13120
2016-03-21,13135,13183,13130,13137
2016-03-22,13143,13193,13140,13183
2016-03-23,13160,13210,13154,13181
2016-03-24,13210,13260,13210,13254
2016-03-28,13298,13370,13289,13370
2016-03-29,13348,13440,13338,13400
2016-03-30,13323,13378,13258,13269
2016-03-31,13278,13316,13245,13260
2016-04-01,13202,13215,13163,13163
2016-04-04,13160,13179,13119,13169
2016-04-05,13205,13235,13198,13221
2016-04-06,13218,13237,13177,13224
2016-04-07,13187,13212,13155,13162
2016-04-08,13198,13199,13138,13146
2016-04-11,13150,13152,13125,13128
2016-04-12,13128,13130,13112,13114
2016-04-13,13095,13160,13091,13160
2016-04-14,13235,13248,13175,13180
2016-04-15,13180,13180,13137,13173
2016-04-18,13200,13213,13168,13175
2016-04-19,13145,13160,13136,13148
2016-04-20,13102,13151,13102,13141
2016-04-21,13180,13185,13154,13155
2016-04-22,13170,13210,13165,13200
2016-04-25,13225,13250,13195,13197
2016-04-26,13215,13230,13200,13200
2016-04-27,13190,13207,13159,13190
2016-04-28,13175,13214,13175,13187
2016-04-29,13188,13225,13185,13197
2016-05-02,13210,13220,13179,13180
2016-05-03,13155,13195,13143,13195
2016-05-04,13238,13255,13225,13240
2016-05-09,13315,13315,13205,13291
2016-05-10,13338,13338,13285,13299
2016-05-11,13273,13305,13263,13300
2016-05-12,13295,13311,13295,13295
2016-05-13,13313,13342,13305,13320
2016-05-16,13328,13337,13308,13308
2016-05-17,13303,13308,13270,13298
2016-05-18,13318,13389,13313,13389
2016-05-19,13449,13555,13443,13545
2016-05-20,13565,13655,13548,13608
2016-05-23,13603,13620,13566,13584
2016-05-24,13570,13695,13570,13695
2016-05-25,13675,13685,13620,13657
2016-05-26,13628,13638,13598,13600
2016-05-27,13565,13595,13515,13583
2016-05-30,13625,13655,13625,13647
2016-05-31,13630,13662,13607,13658
2016-06-01,13663,13692,13654,13663
2016-06-02,13678,13698,13644,13644
2016-06-03,13630,13640,13589,13591
2016-06-06,13525,13525,13370,13376
2016-06-07,13380,13383,13260,13268
2016-06-08,13245,13273,13210,13263
2016-06-09,13233,13270,13218,13260
2016-06-10,13295,13318,13288,13290
2016-06-13,13338,13350,13273,13279
2016-06-14,13275,13385,13268,13378
2016-06-15,13385,13420,13365,13374
2016-06-16,13323,13368,13310,13368
2016-06-17,13368,13372,13335,13339
2016-06-20,13275,13300,13255,13265
2016-06-21,13268,13295,13255,13263
2016-06-22,13278,13308,13273,13283
2016-06-23,13273,13286,13245,13258
2016-06-24,13258,13440,13250,13375
2016-06-27,13380,13520,13295,13340
2016-06-28,13335,13335,13160,13178
2016-06-29,13180,13210,13140,13162
2016-06-30,13178,13220,13170,13220
2016-07-01,13213,13213,13130,13138
2016-07-11,13113,13125,13100,13103
2016-07-12,13090,13165,13090,13120
2016-07-13,13085,13120,13085,13095
2016-07-14,13085,13096,13080,13088
2016-07-15,13092,13096,13080,13091
2016-07-18,13115,13120,13088,13088
2016-07-19,13091,13091,13083,13089
2016-07-20,13100,13125,13093,13113
2016-07-21,13123,13130,13090,13100
2016-07-22,13090,13111,13090,13108
2016-07-25,13128,13143,13120,13140
2016-07-26,13158,13170,13145,13165
2016-07-27,13145,13148,13110,13140
2016-07-28,13108,13118,13096,13103
2016-07-29,13100,13113,13088,13099
2016-08-01,13085,13105,13068,13071
2016-08-02,13071,13105,13068,13098
2016-08-03,13115,13140,13108,13128
2016-08-04,13133,13150,13133,13138
2016-08-05,13125,13140,13118,13127
2016-08-08,13140,13155,13129,13129
2016-08-09,13118,13136,13118,13133
2016-08-10,13120,13133,13114,13114
2016-08-11,13115,13124,13110,13118
2016-08-12,13117,13126,13114,13121
2016-08-15,13118,13124,13105,13109
2016-08-16,13113,13113,13085,13096
2016-08-18,13110,13118,13104,13117
2016-08-19,13114,13158,13113,13158
2016-08-22,13173,13240,13155,13217
2016-08-23,13215,13235,13203,13219
2016-08-24,13219,13275,13219,13248
2016-08-25,13253,13273,13241,13241
2016-08-26,13235,13246,13208,13208
2016-08-29,13255,13283,13255,13265
2016-08-30,13250,13278,13248,13278
2016-08-31,13280,13308,13235,13265
2016-09-01,13275,13282,13235,13268
2016-09-02,13255,13274,13237,13247
2016-09-05,13215,13225,13149,13153
2016-09-06,13160,13168,13125,13127
2016-09-07,13093,13093,13073,13085
2016-09-08,13060,13108,13060,13063
2016-09-09,13088,13110,13075,13099
2016-09-13,13148,13192,13143,13170
2016-09-14,13170,13243,13170,13205
2016-09-15,13193,13234,13158,13175
2016-09-16,13145,13160,13120,13158
2016-09-19,13175,13178,13153,13156
2016-09-20,13156,13159,13138,13153
2016-09-21,13140,13165,13135,13136
2016-09-22,13105,13135,13083,13090
2016-09-23,13080,13103,13058,13077
2016-09-26,13080,13095,13030,13030
2016-09-27,13030,13035,12938,12955
2016-09-28,12940,12960,12920,12948
2016-09-29,12948,12985,12938,12975
2016-09-30,12975,13055,12975,13051
2016-10-03,13051,13051,12974,12983
2016-10-04,12983,13002,12978,12982
2016-10-05,13010,13015,12993,12998
2016-10-06,12998,13003,12984,12987
2016-10-07,13005,13010,12983,12985
2016-10-10,12985,13000,12955,12978
2016-10-11,12990,13020,12985,13013
2016-10-12,13020,13033,13010,13019
2016-10-13,13028,13080,13020,13078
2016-10-14,13078,13078,13035,13045
2016-10-17,13059,13073,13048,13069
2016-10-18,13035,13054,13030,13032
2016-10-19,13020,13050,13000,13008
2016-10-20,12980,13015,12980,13008
2016-10-21,13018,13043,13012,13042
2016-10-24,13038,13055,13010,13013
2016-10-25,13013,13045,13005,13006
2016-10-26,12995,13010,12985,13008
2016-10-27,13020,13034,13005,13033
2016-10-28,13038,13055,13038,13051
2016-10-31,13051,13060,13020,13048
2016-11-01,13033,13044,13025,13042
2016-11-02,13042,13067,13042,13056
2016-11-03,13050,13075,13041,13075
2016-11-04,13088,13115,13060,13068
2016-11-07,13088,13089,13075,13088
2016-11-08,13079,13093,13075,13084
2016-11-09,13065,13188,13055,13099
2016-11-10,13130,13138,13108,13138
2016-11-11,13188,13545,13188,13288
2016-11-14,13315,13388,13275,13365
2016-11-15,13350,13395,13320,13363
2016-11-16,13360,13385,13338,13378
2016-11-17,13388,13399,13368,13373
2016-11-18,13373,13431,13360,13428
2016-11-21,13450,13450,13423,13423
2016-11-22,13400,13453,13400,13443
2016-11-23,13443,13490,13443,13483
2016-11-24,13500,13570,13480,13559
2016-11-25,13570,13578,13500,13515
2016-11-28,13460,13538,13458,13535
2016-11-29,13500,13575,13500,13573
2016-11-30,13550,13573,13515,13553
2016-12-01,13585,13593,13553,13553
2016-12-02,13500,13535,13475,13520
2016-12-05,13525,13525,13413,13430
2016-12-06,13405,13441,13358,13383
2016-12-07,13365,13365,13315,13328
2016-12-08,13325,13375,13275,13287
2016-12-09,13330,13345,13320,13328
2016-12-13,13315,13335,13300,13308
2016-12-14,13280,13296,13275,13295
2016-12-15,13350,13403,13300,13398
2016-12-16,13420,13433,13365,13393
2016-12-19,13390,13391,13370,13386
2016-12-20,13375,13430,13375,13426
2016-12-21,13440,13490,13415,13469
2016-12-22,13463,13463,13410,13453
2016-12-23,13470,13478,13445,13452
2016-12-27,13443,13465,13422,13448
2016-12-28,13425,13463,13425,13443
2016-12-29,13463,13485,13460,13463
2016-12-30,13463,13473,13430,13473
2017-01-03,13485,13488,13465,13480
2017-01-04,13475,13485,13435,13440
2017-01-05,13420,13420,13315,13375
2017-01-06,13355,13377,13335,13365
2017-01-09,13393,13396,13363,13365
2017-01-10,13330,13335,13285,13308
2017-01-11,13340,13340,13306,13329
2017-01-12,13265,13313,13265,13290
2017-01-13,13305,13330,13301,13330
2017-01-16,13325,13370,13325,13368
2017-01-17,13365,13385,13338,13352
2017-01-18,13330,13343,13315,13343
2017-01-19,13380,13385,13354,13376
2017-01-20,13395,13410,13373,13410
2017-01-23,13385,13390,13345,13360
2017-01-24,13342,13360,13303,13331
2017-01-25,13345,13365,13333,13361
2017-01-26,13318,13345,13318,13336
2017-01-27,13368,13370,13345,13359
2017-01-30,13340,13366,13330,13351
2017-01-31,13340,13358,13335,13352
2017-02-01,13340,13387,13338,13372
2017-02-02,13373,13380,13350,13353
2017-02-03,13370,13375,13340,13345
2017-02-06,13330,13350,13319,13320
2017-02-07,13325,13338,13313,13329
2017-02-08,13338,13343,13325,13327
2017-02-09,13315,13325,13290,13297
2017-02-10,13330,13339,13298,13316
2017-02-13,13335,13335,13316,13326
2017-02-14,13330,13335,13318,13331
2017-02-16,13325,13334,13320,13320
2017-02-17,13330,13338,13320,13333
2017-02-20,13360,13360,13308,13354
2017-02-21,13368,13379,13354,13373
2017-02-22,13362,13367,13350,13367
2017-02-23,13363,13369,13349,13351
2017-02-24,13335,13340,13324,13331
2017-02-27,13335,13349,13331,13343
2017-02-28,13355,13355,13336,13336
2017-03-01,13363,13368,13336,13362
2017-03-02,13365,13368,13350,13358
2017-03-03,13365,13385,13365,13383
2017-03-06,13370,13375,13345,13351
2017-03-07,13347,13355,13343,13347
2017-03-08,13350,13350,13330,13350
2017-03-09,13373,13387,13360,13387
2017-03-10,13393,13398,13379,13379
2017-03-13,13363,13379,13348,13356
2017-03-14,13360,13375,13354,13371
2017-03-15,13370,13378,13308,13364
2017-03-16,13325,13355,13325,13352
2017-03-17,13343,13358,13330,13345
2017-03-20,13340,13345,13309,13314
2017-03-21,13300,13327,13298,13319
2017-03-22,13328,13350,13319,13329
2017-03-23,13333,13335,13322,13325
2017-03-24,13324,13337,13317,13327
2017-03-27,13300,13327,13300,13310
2017-03-29,13305,13335,13305,13314
2017-03-30,13313,13328,13308,13316
2017-03-31,13323,13328,13315,13326
2017-04-03,13323,13329,13313,13323
2017-04-04,13328,13331,13317,13328
2017-04-05,13330,13333,13318,13321
2017-04-06,13323,13340,13319,13336
2017-04-07,13333,13348,13315,13322
2017-04-10,13330,13330,13278,13287
2017-04-11,13280,13307,13275,13281
2017-04-12,13295,13303,13270,13275
2017-04-13,13260,13285,13250,13256
2017-04-17,13270,13286,13254,13286
2017-04-18,13288,13303,13286,13296
2017-04-19,13297,13297,13297,13297
2017-04-20,13325,13338,13310,13323
2017-04-21,13321,13324,13306,13322
2017-04-25,13311,13322,13275,13285
2017-04-26,13283,13288,13275,13285
2017-04-27,13290,13320,13282,13314
2017-04-28,13320,13339,13300,13329
2017-05-02,13330,13330,13299,13312
2017-05-03,13300,13313,13290,13308
2017-05-04,13318,13335,13318,13328
2017-05-05,13338,13348,13320,13330
2017-05-08,13333,13338,13305,13309
2017-05-09,13320,13352,13314,13350
2017-05-10,13354,13366,13347,13358
2017-05-12,13343,13355,13322,13330
2017-05-15,13320,13329,13301,13304
2017-05-16,13298,13306,13285,13300
2017-05-17,13293,13325,13290,13324
2017-05-18,13343,13358,13310,13356
2017-05-19,13403,13420,13320,13335
2017-05-22,13295,13308,13288,13303
2017-05-23,13290,13309,13286,13299
2017-05-24,13313,13323,13305,13311
2017-05-26,13302,13303,13293,13295
2017-05-29,13308,13325,13300,13322
2017-05-30,13330,13342,13322,13324
2017-05-31,13320,13325,13303,13323
2017-06-02,13312,13315,13297,13304
2017-06-05,13290,13313,13280,13286
2017-06-06,13294,13298,13279,13297
2017-06-07,13310,13342,13301,13305
2017-06-08,13320,13325,13293,13298
2017-06-09,13305,13308,13285,13292
2017-06-12,13293,13301,13280,13297
2017-06-13,13303,13303,13280,13292
2017-06-14,13290,13293,13278,13283
2017-06-15,13280,13288,13269,13286
2017-06-16,13300,13306,13280,13299
2017-06-19,13294,13295,13279,13289
2017-06-20,13296,13302,13282,13289
2017-06-21,13308,13322,13290,13319
2017-06-22,13308,13328,13300,13328
2017-07-03,13300,13374,13300,13368
2017-07-04,13388,13393,13360,13364
2017-07-05,13355,13364,13345,13364
2017-07-06,13370,13389,13362,13388
2017-07-07,13388,13413,13348,13403
2017-07-10,13400,13413,13394,13400
2017-07-11,13393,13402,13385,13391
2017-07-12,13373,13376,13362,13370
2017-07-13,13351,13374,13330,13348
2017-07-14,13343,13352,13339,13339
2017-07-17,13308,13330,13308,13328
2017-07-18,13315,13322,13306,13309
2017-07-19,13298,13322,13298,13318
2017-07-20,13313,13338,13313,13335
2017-07-21,13324,13333,13311,13313
2017-07-24,13318,13322,13307,13308
2017-07-25,13316,13326,13314,13326
2017-07-26,13335,13343,13332,13336
2017-07-27,13312,13323,13312,13318
2017-07-28,13320,13333,13320,13327
2017-07-31,13322,13327,13322,13325
2017-08-01,13318,13324,13315,13324
2017-08-02,13329,13334,13323,13324
2017-08-03,13331,13333,13326,13326
2017-08-04,13323,13325,13316,13316
2017-08-07,13321,13323,13317,13321
2017-08-08,13320,13326,13301,13313
2017-08-09,13323,13334,13321,13333
2017-08-10,13340,13353,13334,13334
2017-08-11,13365,13380,13351,13359
2017-08-14,13350,13355,13339,13349
2017-08-15,13351,13362,13342,13360
2017-08-16,13360,13383,13360,13378
2017-08-18,13365,13370,13357,13362
2017-08-21,13357,13360,13348,13351
2017-08-22,13343,13346,13334,13343
2017-08-23,13340,13361,13338,13359
2017-08-24,13357,13357,13343,13347
2017-08-25,13340,13349,13340,13346
2017-08-28,13338,13343,13334,13340
2017-08-29,13340,13349,13337,13341
2017-08-30,13344,13350,13343,13346
2017-08-31,13350,13354,13340,13342
2017-09-04,13348,13348,13337,13342
2017-09-05,13338,13342,13333,13338
2017-09-06,13335,13340,13335,13338
2017-09-07,13335,13335,13307,13307
2017-09-08,13300,13300,13203,13204
2017-09-11,13190,13190,13145,13165
2017-09-12,13190,13225,13180,13200
2017-09-13,13205,13214,13199,13202
2017-09-14,13233,13250,13233,13250
2017-09-15,13260,13269,13232,13240
2017-09-18,13235,13255,13233,13255
2017-09-19,13254,13279,13254,13279
2017-09-20,13280,13285,13266,13282
2017-09-22,13320,13343,13310,13313
2017-09-25,13305,13328,13300,13326
2017-09-26,13337,13383,13337,13377
2017-09-27,13380,13440,13370,13440
2017-09-28,13428,13555,13427,13505
2017-09-29,13480,13500,13450,13472
2017-10-02,13483,13578,13480,13538
2017-10-03,13585,13585,13536,13543
2017-10-04,13500,13500,13460,13477
2017-10-05,13480,13492,13458,13464
2017-10-06,13490,13508,13478,13504
2017-10-09,13500,13520,13496,13518
2017-10-10,13505,13513,13484,13512
2017-10-11,13497,13526,13496,13518
2017-10-12,13513,13528,13493,13505
2017-10-13,13498,13518,13493,13499
2017-10-16,13483,13489,13469,13483
2017-10-17,13485,13513,13483,13507
2017-10-18,13508,13517,13505,13516
2017-10-19,13514,13531,13513,13519
2017-10-20,13515,13527,13505,13519
2017-10-23,13533,13543,13528,13543
2017-10-24,13536,13536,13522,13533
2017-10-25,13558,13578,13558,13578
2017-10-26,13567,13605,13553,13582
