Date,Value
2016-01-01,10.0
2016-01-04,46.0
2016-01-05,41.0
2016-01-06,51.0
2016-01-07,26.0
2016-01-08,30.0
2016-01-11,20.0
2016-01-12,36.0
2016-01-13,1.0
2016-01-14,31.0
2016-01-15,15.0
2016-01-18,21.0
2016-01-19,6.0
2016-01-20,20.0
2016-01-21,10.0
2016-01-22,-10.0
2016-01-25,20.0
2016-01-26,11.0
2016-01-27,-4.0
2016-01-28,-14.0
2016-01-29,6.0
2016-02-01,-12.0
2016-02-02,26.0
2016-02-03,16.0
2016-02-04,-4.0
2016-02-05,2.5
2016-02-08,8.5
2016-02-09,10.0
2016-02-10,20.0
2016-02-11,20.0
2016-02-12,18.5
2016-02-15,11.0
2016-02-16,-4.0
2016-02-17,16.0
2016-02-18,10.0
2016-02-19,16.0
2016-02-22,-2.5
2016-02-23,8.0
2016-02-24,2.0
2016-02-25,6.0
2016-02-26,-10.0
2016-02-29,6.0
2016-03-01,-9.0
2016-03-02,-2.0
2016-03-03,-9.0
2016-03-04,-5.0
2016-03-07,-4.0
2016-03-08,15.0
2016-03-09,11.5
2016-03-10,21.0
2016-03-11,16.0
2016-03-14,-5.4
2016-03-15,12.0
2016-03-16,7.5
2016-03-17,-8.5
2016-03-18,-1.0
2016-03-21,6.55
2016-03-22,11.75
2016-03-23,10.05
2016-03-24,12.35
2016-03-25,7.2
2016-03-28,14.0
2016-03-29,8.5
2016-03-30,-18.5
2016-03-31,-7.9
2016-04-01,-4.5
2016-04-04,6.05
2016-04-05,11.8
2016-04-06,1.5
2016-04-07,0.0
2016-04-08,0.0
2016-04-11,4.65
2016-04-12,6.3
2016-04-13,15.0
2016-04-14,15.0
2016-04-15,10.0
2016-04-18,7.15
2016-04-19,-4.05
2016-04-20,3.75
2016-04-21,0.5
2016-04-22,0.5
2016-04-25,3.5
2016-04-26,1.5
2016-04-27,1.6
2016-04-28,0.0
2016-04-29,0.0
2016-05-02,1.0
2016-05-03,-2.5
2016-05-04,9.4
2016-05-05,11.35
2016-05-06,13.5
2016-05-09,17.2
2016-05-10,17.3
2016-05-11,13.0
2016-05-12,15.0
2016-05-13,10.5
2016-05-16,12.05
2016-05-17,15.1
2016-05-18,20.0
2016-05-19,27.55
2016-05-20,31.83
2016-05-23,15.8
2016-05-24,23.4
2016-05-25,12.65
2016-05-26,10.0
2016-05-27,5.0
2016-05-30,5.0
2016-05-31,6.9
2016-06-01,14.25
2016-06-02,3.5
2016-06-03,-3.75
2016-06-06,-8.9
2016-06-07,1.15
2016-06-08,1.35
2016-06-09,6.25
2016-06-10,20.0
2016-06-13,1.85
2016-06-14,19.82
2016-06-15,12.15
2016-06-16,8.0
2016-06-17,5.0
2016-06-20,5.0
2016-06-21,7.0
2016-06-22,10.0
2016-06-23,5.25
2016-06-24,55.0
2016-06-27,37.0
2016-06-28,0.0
2016-06-29,15.0
2016-06-30,12.0
2016-07-01,0.0
2016-07-04,0.0
2016-07-05,2.55
2016-07-06,2.6
2016-07-07,6.4
2016-07-08,5.0
2016-07-11,9.4
2016-07-12,6.45
2016-07-13,5.0
2016-07-14,3.0
2016-07-15,2.45
2016-07-18,5.35
2016-07-19,3.0
2016-07-20,7.0
2016-07-21,0.0
2016-07-22,6.0
2016-07-25,4.0
2016-07-26,8.0
2016-07-27,12.5
2016-07-28,3.0
2016-07-29,10.0
2016-08-01,-0.95
2016-08-02,-3.9
2016-08-03,11.65
2016-08-04,12.0
2016-08-05,1.45
2016-08-08,4.0
2016-08-09,6.35
2016-08-10,5.0
2016-08-11,4.0
2016-08-12,0.0
2016-08-15,-2.3
2016-08-16,-3.0
2016-08-17,5.0
2016-08-18,3.5
2016-08-19,12.0
2016-08-22,13.0
2016-08-23,12.0
2016-08-24,8.0
2016-08-25,10.0
2016-08-26,5.0
2016-08-29,6.0
2016-08-30,1.0
2016-08-31,15.0
2016-09-01,20.0
2016-09-02,17.0
2016-09-05,0.0
2016-09-06,11.25
2016-09-07,8.1
2016-09-08,3.0
2016-09-09,15.0
2016-09-12,13.0
2016-09-13,13.0
2016-09-14,25.0
2016-09-15,14.0
2016-09-16,10.0
2016-09-19,11.0
2016-09-20,11.0
2016-09-21,18.0
2016-09-22,15.0
2016-09-23,5.0
2016-09-26,5.2
2016-09-27,5.55
2016-09-28,2.5
2016-09-29,7.0
2016-09-30,10.0
2016-10-03,13.25
2016-10-04,7.25
2016-10-05,8.6
2016-10-06,5.0
2016-10-07,20.0
2016-10-10,1.25
2016-10-11,19.1
2016-10-12,20.0
2016-10-13,18.0
2016-10-14,9.05
2016-10-17,22.0
2016-10-18,6.8
2016-10-19,13.7
2016-10-20,16.5
2016-10-21,25.5
2016-10-24,11.75
2016-10-25,11.9
2016-10-26,10.7
2016-10-27,19.0
2016-10-28,8.05
2016-10-31,10.0
2016-11-01,9.7
2016-11-02,23.15
2016-11-03,21.75
2016-11-04,22.5
2016-11-07,34.75
2016-11-08,13.75
2016-11-09,56.25
2016-11-10,46.5
2016-11-11,237.75
2016-11-15,135.0
2016-11-17,85.0
2016-11-18,56.0
2016-11-21,21.25
2016-11-22,31.25
2016-11-23,10.25
2016-11-24,31.25
2016-11-25,3.75
2016-11-28,-1.25
2016-11-29,0.0
2016-11-30,-2.5
2016-12-01,2.5
2016-12-02,6.25
2016-12-05,5.0
2016-12-06,2.5
