Date,Value
2016-01-01,315.0
2016-01-04,325.0
2016-01-05,307.5
2016-01-06,307.5
2016-01-07,280.0
2016-01-08,285.0
2016-01-11,285.0
2016-01-12,285.0
2016-01-13,285.0
2016-01-14,279.0
2016-01-15,275.0
2016-01-18,265.0
2016-01-19,262.5
2016-01-20,262.5
2016-01-21,255.0
2016-01-22,257.5
2016-01-25,242.5
2016-01-26,245.0
2016-01-27,255.0
2016-01-28,260.0
2016-01-29,255.0
2016-02-01,240.0
2016-02-02,240.0
2016-02-03,250.0
2016-02-04,255.0
2016-02-05,255.0
2016-02-08,255.0
2016-02-09,245.0
2016-02-10,231.5
2016-02-11,242.0
2016-02-12,240.0
2016-02-15,232.5
2016-02-16,230.0
2016-02-17,231.0
2016-02-18,223.5
2016-02-19,225.0
2016-02-22,228.0
2016-02-23,230.0
2016-02-24,225.0
2016-02-25,222.5
2016-02-26,215.0
2016-02-29,210.0
2016-03-01,195.0
2016-03-02,195.0
2016-03-03,193.0
2016-03-04,192.5
2016-03-07,192.5
2016-03-08,202.5
2016-03-09,202.5
2016-03-10,207.5
2016-03-11,200.0
2016-03-14,200.0
2016-03-15,195.0
2016-03-16,190.0
2016-03-17,180.0
2016-03-18,180.0
2016-03-21,195.0
2016-03-22,210.0
2016-03-23,200.0
2016-03-24,215.0
2016-03-25,215.0
2016-03-28,212.5
2016-03-29,214.0
2016-03-30,205.0
2016-03-31,202.5
2016-04-01,220.0
2016-04-04,215.0
2016-04-05,221.5
2016-04-06,221.0
2016-04-07,205.0
2016-04-08,212.5
2016-04-11,200.0
2016-04-12,190.0
2016-04-13,185.0
2016-04-14,190.0
2016-04-15,187.5
2016-04-18,190.0
2016-04-19,190.0
2016-04-20,186.0
2016-04-21,190.0
2016-04-22,189.0
2016-04-25,190.0
2016-04-26,187.5
2016-04-27,189.0
2016-04-28,197.5
2016-04-29,192.5
2016-05-02,192.5
2016-05-03,198.0
2016-05-04,200.0
2016-05-05,195.0
2016-05-06,195.0
2016-05-09,195.0
2016-05-10,212.5
2016-05-11,211.5
2016-05-12,205.0
2016-05-13,209.5
2016-05-16,206.5
2016-05-17,206.5
2016-05-18,217.5
2016-05-19,210.0
2016-05-20,245.0
2016-05-23,233.0
2016-05-24,230.0
2016-05-25,232.5
2016-05-26,225.0
2016-05-27,225.0
2016-05-30,215.0
2016-05-31,220.0
2016-06-01,230.0
2016-06-02,225.0
2016-06-03,226.5
2016-06-06,225.0
2016-06-07,220.0
2016-06-08,225.0
2016-06-09,212.5
2016-06-10,225.0
2016-06-13,205.0
2016-06-14,235.0
2016-06-15,226.5
2016-06-16,240.0
2016-06-17,230.0
2016-06-20,220.0
2016-06-21,225.0
2016-06-22,230.0
2016-06-23,225.0
2016-06-24,235.0
2016-06-27,235.0
2016-06-28,217.5
2016-06-29,220.0
2016-06-30,216.5
2016-07-01,225.0
2016-07-04,220.0
2016-07-05,220.0
2016-07-07,220.0
2016-07-08,220.0
2016-07-11,202.5
2016-07-12,197.5
2016-07-13,198.5
2016-07-14,195.0
2016-07-15,195.0
2016-07-18,185.0
2016-07-19,183.0
2016-07-20,185.0
2016-07-21,185.0
2016-07-22,187.0
2016-07-25,192.5
2016-07-26,185.0
2016-07-27,185.0
2016-07-28,181.25
2016-07-29,183.0
2016-08-01,175.0
2016-08-02,175.0
2016-08-03,180.0
2016-08-04,167.5
2016-08-05,172.5
2016-08-08,175.0
2016-08-09,182.5
2016-08-10,180.0
2016-08-11,185.0
2016-08-12,175.0
2016-08-15,184.0
2016-08-16,182.5
2016-08-17,180.0
2016-08-18,180.0
2016-08-19,177.5
2016-08-22,190.0
2016-08-23,187.0
2016-08-24,186.5
2016-08-25,187.5
2016-08-26,180.5
2016-08-29,184.0
2016-08-30,180.0
2016-08-31,182.5
2016-09-01,180.0
2016-09-02,178.0
2016-09-05,172.5
2016-09-06,167.5
2016-09-07,163.5
2016-09-08,167.5
2016-09-09,179.5
2016-09-12,179.5
2016-09-13,184.5
2016-09-14,190.0
2016-09-15,190.0
2016-09-16,183.0
2016-09-19,185.0
2016-09-20,180.0
2016-09-21,177.0
2016-09-22,177.0
2016-09-23,170.5
2016-09-26,177.0
2016-09-27,180.0
2016-09-28,180.0
2016-09-29,182.0
2016-09-30,180.0
2016-10-03,180.5
2016-10-04,182.0
2016-10-05,183.0
2016-10-06,183.5
2016-10-07,185.0
2016-10-10,188.0
2016-10-11,189.0
2016-10-12,197.0
2016-10-13,198.0
2016-10-14,195.0
2016-10-17,190.0
2016-10-18,192.5
2016-10-19,193.0
2016-10-20,190.5
2016-10-21,182.5
2016-10-24,182.5
2016-10-25,183.5
2016-10-26,184.0
2016-10-27,182.0
2016-10-28,184.5
2016-10-31,182.0
2016-11-01,182.5
2016-11-02,185.5
2016-11-03,180.0
2016-11-04,180.0
2016-11-07,180.5
2016-11-08,183.0
2016-11-09,185.0
2016-11-10,186.0
2016-11-11,225.0
2016-11-14,210.0
2016-11-15,210.0
2016-11-16,205.0
2016-11-17,200.0
2016-11-18,200.0
2016-11-21,200.0
2016-11-22,220.0
2016-11-23,225.0
2016-11-24,215.0
2016-11-25,220.0
2016-11-28,215.0
2016-11-29,205.0
2016-11-30,210.0
2016-12-01,207.5
2016-12-02,205.0
2016-12-05,205.0
2016-12-06,200.0
2016-12-07,200.0
2016-12-08,190.0
2016-12-09,189.5
2016-12-13,192.5
2016-12-14,190.0
2016-12-15,191.0
2016-12-16,190.5
2016-12-19,187.5
2016-12-20,192.5
2016-12-21,192.5
2016-12-22,190.0
2016-12-23,185.0
2016-12-27,172.5
2016-12-28,172.5
2016-12-29,167.5
2016-12-30,175.0
2017-01-03,170.0
2017-01-04,165.0
2017-01-05,157.5
2017-01-06,145.0
2017-01-09,145.0
2017-01-10,127.5
2017-01-11,127.5
2017-01-12,122.0
2017-01-13,121.5
2017-01-16,122.5
2017-01-17,122.5
2017-01-18,119.0
2017-01-19,120.5
2017-01-20,119.0
2017-01-23,118.5
2017-01-24,117.5
2017-01-25,116.5
2017-01-26,113.5
2017-01-27,112.5
2017-01-30,115.05
2017-01-31,111.55
2017-02-01,113.5
2017-02-02,117.0
2017-02-03,116.5
2017-02-06,115.5
2017-02-07,115.0
2017-02-08,116.05
2017-02-09,118.5
2017-02-10,121.0
2017-02-13,119.0
2017-02-14,123.0
2017-02-15,123.0
2017-02-16,124.0
2017-02-17,126.0
2017-02-20,133.5
2017-02-21,136.0
2017-02-22,138.5
2017-02-23,143.5
2017-02-24,142.5
2017-02-27,146.5
2017-02-28,146.5
2017-03-01,146.0
2017-03-02,144.5
2017-03-03,143.5
2017-03-06,143.5
2017-03-07,141.5
2017-03-08,144.0
2017-03-09,144.5
2017-03-10,143.5
2017-03-13,143.5
2017-03-14,145.25
2017-03-15,144.0
2017-03-16,140.5
2017-03-17,140.5
2017-03-20,137.5
2017-03-21,139.0
2017-03-22,136.5
2017-03-23,130.5
2017-03-24,126.0
2017-03-27,124.0
2017-03-28,124.0
2017-03-29,122.5
2017-03-30,131.5
2017-03-31,132.5
2017-04-03,131.0
2017-04-04,130.5
2017-04-05,129.0
2017-04-06,133.0
2017-04-07,130.5
2017-04-10,132.5
2017-04-11,133.0
2017-04-12,138.0
2017-04-13,140.0
2017-04-14,133.5
2017-04-17,141.0
2017-04-18,147.5
2017-04-19,147.5
2017-04-20,144.0
2017-04-21,142.0
2017-04-24,142.0
2017-04-25,139.0
2017-04-26,142.0
2017-04-27,140.0
2017-04-28,142.0
2017-05-01,142.0
2017-05-02,142.0
2017-05-03,142.0
2017-05-04,143.0
2017-05-05,143.0
2017-05-08,142.0
2017-05-09,149.0
2017-05-10,148.0
2017-05-11,148.0
2017-05-12,145.0
2017-05-15,148.5
2017-05-16,145.0
2017-05-17,151.5
2017-05-18,143.0
2017-05-19,144.0
2017-05-22,140.0
2017-05-23,142.0
2017-05-24,138.0
2017-05-25,138.0
2017-05-26,141.5
2017-05-29,137.0
2017-05-30,150.5
2017-05-31,143.5
2017-06-01,143.5
2017-06-02,143.5
2017-06-05,143.5
2017-06-06,145.5
2017-06-07,147.5
2017-06-08,147.5
2017-06-09,147.5
2017-06-12,147.5
2017-06-13,150.5
2017-06-14,152.5
2017-06-15,150.0
2017-06-16,150.0
2017-06-19,153.0
2017-06-20,160.0
2017-06-21,150.0
2017-06-22,150.0
2017-06-23,150.0
2017-06-26,150.0
2017-06-27,150.0
2017-06-28,150.0
2017-06-29,150.0
2017-06-30,150.0
2017-07-03,147.5
2017-07-04,146.5
2017-07-05,147.5
2017-07-06,145.5
2017-07-07,146.5
2017-07-10,144.5
2017-07-11,143.5
2017-07-12,142.5
2017-07-13,144.0
2017-07-14,141.5
2017-07-17,138.5
2017-07-18,138.5
2017-07-19,135.0
2017-07-20,135.5
2017-07-21,132.0
2017-07-24,135.5
2017-07-25,134.5
2017-07-26,135.5
2017-07-27,132.0
2017-07-28,132.5
2017-07-31,132.5
2017-08-01,129.5
2017-08-02,128.5
2017-08-03,123.5
2017-08-04,120.0
2017-08-07,119.0
2017-08-08,117.5
2017-08-09,118.5
2017-08-10,115.5
2017-08-11,115.5
2017-08-14,117.5
2017-08-15,118.5
2017-08-16,117.5
2017-08-17,117.5
2017-08-18,117.0
2017-08-21,115.5
2017-08-22,114.0
2017-08-23,116.0
2017-08-24,113.5
2017-08-25,113.5
2017-08-28,112.5
2017-08-29,111.5
2017-08-30,111.5
2017-08-31,110.5
2017-09-01,110.5
2017-09-04,109.5
2017-09-05,110.5
2017-09-06,111.0
2017-09-07,109.5
2017-09-08,106.25
2017-09-11,106.5
2017-09-12,107.0
2017-09-13,106.0
2017-09-14,106.5
2017-09-15,106.5
2017-09-18,107.0
2017-09-19,107.5
2017-09-20,111.0
2017-09-21,111.0
2017-09-22,109.5
2017-09-25,107.5
2017-09-26,107.0
2017-09-27,107.5
2017-09-28,113.5
2017-09-29,109.5
2017-10-02,110.5
2017-10-03,109.0
2017-10-04,111.0
2017-10-05,107.5
2017-10-06,105.5
2017-10-09,106.0
2017-10-10,106.0
2017-10-11,108.5
2017-10-12,106.0
2017-10-13,107.0
2017-10-16,106.5
2017-10-17,105.5
2017-10-18,107.0
2017-10-19,105.0
2017-10-20,106.25
2017-10-23,107.0
