Date,Value
2018-07-26,3.0
2025-02-04,5.81
2025-02-05,5.82
2025-02-06,5.745
2025-02-07,5.745
2025-02-11,6.08
2025-02-12,6.2
2025-02-13,6.2
2025-02-14,5.81
2025-02-18,6.2
2025-02-19,5.74
2025-02-20,6.2
2025-02-21,6.08
2025-02-25,5.75
2025-02-26,5.76
2025-02-27,5.75
2025-02-28,5.75
2025-03-04,5.75
2025-03-05,5.75
2025-08-19,4.77
2025-08-20,4.775
2025-08-21,4.55
2025-08-22,4.45
2025-08-25,4.39
2025-08-26,4.41
2025-08-27,4.45
2025-08-28,4.42
2025-08-29,4.45
2025-09-02,4.555
2025-09-03,4.475
2025-09-04,4.4
2025-09-08,4.5
2025-09-09,4.5
2025-09-10,4.5
2025-09-11,4.5
2025-09-12,4.5
2025-09-16,4.55
2025-09-17,4.525
2025-09-18,4.25
2025-09-19,4.1
2025-09-22,4.055
2025-09-23,4.11
2025-09-24,4.13
2025-09-25,4.03
2025-09-26,4.02
2025-09-30,3.95
2025-10-01,3.92
2025-10-02,3.92
2025-10-03,4.0
2025-10-08,3.99
2025-10-09,3.97
2025-10-10,3.975
2025-10-14,3.92
2025-10-15,3.985
2025-10-16,3.905
2025-10-17,3.915
2025-10-21,3.935
2025-10-22,3.95
2025-10-23,3.935
2025-10-24,3.935
2025-10-28,3.935
2025-10-29,3.915
2025-10-30,3.925
2025-10-31,3.925
2025-11-04,3.945
2025-11-05,3.915
2025-11-06,3.88
2025-11-07,3.88
2025-11-11,3.915
2025-11-12,3.915
2025-11-13,3.905
2025-11-14,3.875
2025-11-18,3.95
2025-11-19,3.94
2025-11-20,3.95
2025-11-21,3.97
2025-11-25,4.0
2025-11-26,4.0
2025-11-27,4.0
2025-11-28,4.05
2025-12-02,4.08
2025-12-03,4.1
2025-12-04,4.04
2025-12-05,4.0
2025-12-09,4.04
2025-12-10,4.04
2025-12-11,4.0
2025-12-12,4.0
2025-12-16,4.02
2025-12-17,4.05
2025-12-18,4.05
2025-12-19,4.06
2025-12-23,4.05
2025-12-24,4.045
2025-12-30,4.05
2025-12-31,4.05
2026-01-02,4.05
2026-01-06,4.0
2026-01-07,3.95
2026-01-08,3.9
2026-01-09,3.88
2026-01-13,3.86
2026-01-14,3.86
2026-01-15,3.85
2026-01-20,3.8
2026-01-21,3.8
2026-01-22,3.74
2026-01-23,3.75
2026-01-27,3.76
2026-01-28,3.76
2026-01-29,3.76
2026-01-30,3.8
2026-02-02,3.85
2026-02-03,3.85
2026-02-04,3.81
2026-02-05,3.85
2026-02-06,3.88
2026-02-10,3.9
2026-02-11,3.9
2026-02-12,3.91
2026-02-13,3.92
2026-02-19,3.94
2026-02-20,3.94
2026-02-23,3.95
2026-02-24,4.05
2026-02-25,4.1
2026-02-26,4.14
2026-02-27,4.15
2026-03-03,4.2
2026-03-04,4.21
2026-03-05,4.2
2026-03-06,4.2
2026-03-10,4.2
2026-03-11,4.2
2026-03-12,4.175
2026-03-13,4.15
2026-03-17,4.18
2026-03-26,4.15
2026-03-27,4.11
2026-03-31,4.05
2026-04-01,4.01
2026-04-02,4.04
2026-04-07,4.075
2026-04-08,4.11
2026-04-09,4.145
2026-04-10,4.12
2026-04-14,4.15
2026-04-15,4.175
2026-04-16,4.14
2026-04-17,4.15
2026-04-21,4.13
2026-04-22,4.1
2026-04-23,4.15
2026-04-24,4.15
2026-04-28,4.28
2026-04-29,4.38
2026-04-30,4.6
2026-05-05,4.8
2026-05-06,4.675
2026-05-07,4.425
2026-05-08,4.35
2026-05-12,4.35
2026-05-13,4.4
