Date,Value
2018-07-26,6.5
2025-12-05,4.0
2025-12-09,3.99
2025-12-10,3.99
2025-12-11,3.99
2025-12-12,3.99
2025-12-16,4.0
2025-12-17,3.98
2025-12-18,3.99
2025-12-19,4.02
2025-12-23,4.025
2025-12-24,4.0
2025-12-25,4.0
2025-12-30,4.0
2025-12-31,4.04
2026-01-01,4.04
2026-01-02,4.1
2026-01-06,4.0
2026-01-07,3.98
2026-01-08,3.9
2026-01-09,3.9
2026-01-13,3.9
2026-01-14,3.9
2026-01-15,3.9
2026-01-16,3.9
2026-01-20,3.85
2026-01-21,3.86
2026-01-22,3.79
2026-01-23,3.8
2026-01-27,3.8
2026-01-28,3.8
2026-01-29,3.82
2026-01-30,3.85
2026-02-03,3.85
2026-02-04,3.85
2026-02-05,3.88
2026-02-06,3.885
2026-02-10,3.9
2026-02-11,3.91
2026-02-12,3.91
2026-02-13,3.92
2026-02-19,3.94
2026-02-20,3.94
2026-02-23,3.955
2026-02-24,4.0
2026-02-25,4.02
2026-02-26,4.1
2026-02-27,4.145
2026-03-02,4.2
2026-03-03,4.16
2026-03-04,4.2
2026-03-05,4.2
2026-03-06,4.2
2026-03-10,4.2
2026-03-11,4.2
2026-03-12,4.16
2026-03-13,4.16
2026-03-17,4.15
2026-03-18,4.15
2026-03-26,4.15
2026-03-27,4.16
2026-03-31,4.0
2026-04-01,4.0
2026-04-02,4.0
2026-04-03,4.0
2026-04-07,4.075
2026-04-08,4.065
2026-04-09,4.1
2026-04-10,4.125
2026-04-14,4.15
2026-04-15,4.15
2026-04-16,4.15
2026-04-17,4.11
2026-04-21,4.15
2026-04-22,4.13
2026-04-23,4.15
2026-04-24,4.17
2026-04-28,4.3
2026-04-29,4.39
2026-04-30,4.53
2026-05-01,4.5
2026-05-05,4.66
2026-05-06,4.7
2026-05-07,4.47
2026-05-08,4.36
2026-05-12,4.37
2026-05-13,4.38
2026-05-14,4.38
