Date,Value
2018-07-26,8.5
2025-01-21,5.84
2025-01-22,5.84
2025-01-23,6.105
2025-01-24,5.78
2025-01-31,5.85
2025-02-04,5.82
2025-02-05,5.83
2025-02-06,5.795
2025-02-07,5.795
2025-02-11,5.98
2025-02-12,6.245
2025-02-13,5.98
2025-02-14,5.82
2025-02-18,6.15
2025-02-19,5.7
2025-02-20,6.245
2025-02-21,5.98
2025-02-25,5.79
2025-02-26,5.81
2025-02-27,5.825
2025-02-28,5.81
2025-03-04,5.825
2025-03-05,5.825
2025-08-19,4.77
2025-08-20,4.78
2025-08-21,4.57
2025-08-22,4.45
2025-08-25,4.29
2025-08-26,4.47
2025-08-27,4.45
2025-08-28,4.42
2025-08-29,4.45
2025-09-02,4.56
2025-09-03,4.56
2025-09-04,4.56
2025-09-08,4.5
2025-09-09,4.5
2025-09-10,4.5
2025-09-11,4.48
2025-09-12,4.47
2025-09-16,4.5
2025-09-17,4.4
2025-09-18,4.25
2025-09-19,4.1
2025-09-22,4.02
2025-09-23,4.04
2025-09-24,4.07
2025-09-25,3.99
2025-09-26,3.9454
2025-09-30,3.92
2025-10-01,3.93
2025-10-02,3.92
2025-10-03,3.95
2025-10-07,3.95
2025-10-08,3.95
2025-10-09,3.94
2025-10-10,3.935
2025-10-14,3.925
2025-10-15,3.915
2025-10-16,3.88
2025-10-17,3.885
2025-10-21,3.905
2025-10-22,3.86
2025-10-23,3.795
2025-10-24,3.895
2025-10-28,3.89
2025-10-29,3.89
2025-10-30,3.895
2025-10-31,3.905
2025-11-04,3.925
2025-11-05,3.925
2025-11-06,3.895
2025-11-07,3.8
2025-11-11,3.92
2025-11-12,3.885
2025-11-13,3.875
2025-11-14,3.845
2025-11-18,3.875
2025-11-19,3.89
2025-11-20,3.885
2025-11-21,3.925
2025-11-25,3.93
2025-11-26,4.0
2025-11-27,4.0
2025-11-28,4.02
2025-12-02,4.03
2025-12-03,3.95
2025-12-04,3.95
2025-12-05,3.95
2025-12-09,3.99
2025-12-10,3.99
2025-12-11,3.95
2025-12-12,3.95
2025-12-16,4.0
2025-12-17,4.0
2025-12-18,3.95
2025-12-19,3.99
2025-12-23,4.0
2025-12-24,4.0
2025-12-25,4.0
2025-12-30,4.0
2025-12-31,4.0
2026-01-01,3.99
2026-01-02,4.0
2026-01-06,3.95
2026-01-07,3.9
2026-01-08,3.9
2026-01-09,3.9
2026-01-13,3.88
2026-01-14,3.875
2026-01-15,3.86
2026-01-16,3.86
2026-01-20,3.85
2026-01-21,3.86
2026-01-22,3.81
2026-01-23,3.81
2026-01-27,3.81
2026-01-28,3.82
2026-01-29,3.82
2026-01-30,3.825
2026-02-03,3.85
2026-02-04,3.89
2026-02-05,3.9
2026-02-06,3.9
2026-02-10,3.92
2026-02-11,3.92
2026-02-12,3.935
2026-02-13,3.93
2026-02-19,3.95
2026-02-20,3.95
2026-02-23,4.0
2026-02-24,4.03
2026-02-25,4.0
2026-02-26,4.095
2026-02-27,4.15
2026-03-02,4.17
2026-03-03,4.2
2026-03-04,4.15
2026-03-05,4.21
2026-03-06,4.205
2026-03-10,4.205
2026-03-11,4.21
2026-03-12,4.2
2026-03-13,4.17
2026-03-17,4.185
2026-03-18,4.2
2026-03-25,4.2
2026-03-26,4.2
2026-03-27,4.19
2026-03-31,4.12
2026-04-01,4.1
2026-04-02,4.105
2026-04-03,4.105
2026-04-07,4.105
2026-04-08,4.135
2026-04-09,4.16
2026-04-10,4.16
2026-04-14,4.17
2026-04-15,4.2
2026-04-16,4.16
2026-04-17,4.15
2026-04-21,4.165
2026-04-22,4.15
2026-04-23,4.175
2026-04-24,4.2
2026-04-27,4.25
2026-04-28,4.3
2026-04-29,4.35
2026-04-30,4.62
2026-05-05,4.8
2026-05-06,4.7
2026-05-07,4.4
2026-05-08,4.35
2026-05-12,4.4
2026-05-13,4.4
