Date,Value
2018-07-26,14.5
2025-01-21,5.915
2025-01-22,5.915
2025-01-23,6.07
2025-01-24,5.855
2025-01-31,5.87
2025-02-04,6.07
2025-02-05,5.875
2025-02-06,5.815
2025-02-07,5.865
2025-02-11,5.855
2025-02-12,5.855
2025-02-13,5.855
2025-02-14,5.855
2025-02-18,6.07
2025-02-19,6.07
2025-02-20,6.07
2025-02-21,5.775
2025-02-25,5.81
2025-02-26,5.825
2025-02-27,5.95
2025-02-28,5.855
2025-03-04,5.95
2025-03-05,6.07
2025-08-19,4.8
2025-08-20,4.725
2025-08-21,4.68
2025-08-22,4.45
2025-08-26,4.41
2025-08-27,4.47
2025-08-28,4.43
2025-08-29,4.49
2025-09-02,4.58
2025-09-03,4.54
2025-09-04,4.54
2025-09-08,4.54
2025-09-09,4.545
2025-09-10,4.545
2025-09-11,4.545
2025-09-12,4.45
2025-09-16,4.455
2025-09-17,4.4
2025-09-18,4.15
2025-09-19,4.1
2025-09-22,3.95
2025-09-23,4.045
2025-09-24,3.955
2025-09-25,3.93
2025-09-26,3.82
2025-09-30,3.8
2025-10-01,3.815
2025-10-02,3.84
2025-10-03,3.9
2025-10-07,3.86
2025-10-08,3.845
2025-10-09,3.825
2025-10-10,3.83
2025-10-14,3.88
2025-10-15,3.88
2025-10-16,3.825
2025-10-17,3.835
2025-10-21,3.84
2025-10-22,3.79
2025-10-23,3.745
2025-10-24,3.845
2025-10-28,3.765
2025-10-29,3.835
2025-10-30,3.795
2025-10-31,3.845
2025-11-04,3.865
2025-11-05,3.835
2025-11-06,3.71
2025-11-07,3.71
2025-11-11,3.835
2025-11-12,3.835
2025-11-13,3.825
2025-11-14,3.795
2025-11-18,3.8
2025-11-19,3.8
2025-11-20,3.835
2025-11-21,3.875
2025-11-25,3.76
2025-11-26,3.97
2025-11-27,3.88
2025-11-28,4.095
2025-12-02,3.92
2025-12-03,3.81
2025-12-04,4.105
2025-12-09,3.91
2025-12-10,3.9
2025-12-11,3.94
2025-12-12,3.94
2025-12-16,3.95
2025-12-17,3.93
2025-12-18,3.93
2025-12-19,3.95
2025-12-23,3.95
2025-12-24,3.95
2025-12-30,3.95
2025-12-31,4.0
2026-01-02,3.95
2026-01-06,3.9
2026-01-07,3.9
2026-01-08,3.85
2026-01-09,3.85
2026-01-13,3.85
2026-01-14,3.86
2026-01-15,3.85
2026-01-20,3.88
2026-01-21,3.88
2026-01-22,3.89
2026-01-23,3.89
2026-01-27,3.9
2026-01-28,3.9
2026-01-29,3.89
2026-01-30,3.89
2026-02-03,3.89
2026-02-04,3.9
2026-02-05,3.89
2026-02-06,3.9
2026-02-10,3.9
2026-02-11,3.9
2026-02-12,3.9
2026-02-13,3.93
2026-02-18,3.945
2026-02-19,3.94
2026-02-20,3.94
2026-02-23,3.95
2026-02-24,4.05
2026-02-25,4.05
2026-02-26,4.105
2026-02-27,4.115
2026-03-02,4.11
2026-03-03,4.155
2026-03-04,4.17
2026-03-05,4.17
2026-03-06,4.15
2026-03-10,4.155
2026-03-11,4.1
2026-03-12,4.13
2026-03-13,4.12
2026-03-17,4.11
2026-03-26,4.22
2026-03-27,4.2
2026-03-31,4.15
2026-04-01,4.08
2026-04-02,4.1
2026-04-07,4.1
2026-04-08,4.1
2026-04-09,4.15
2026-04-10,4.1
2026-04-14,4.19
2026-04-15,4.22
2026-04-16,4.21
2026-04-17,4.18
2026-04-21,4.2
2026-04-22,4.2
2026-04-23,4.3
2026-04-24,4.3
2026-04-28,4.355
2026-04-29,4.45
2026-04-30,4.635
2026-05-05,4.75
2026-05-06,4.7
2026-05-07,4.6
2026-05-08,4.6
2026-05-11,4.355
2026-05-12,4.5
2026-05-13,4.5
