Date,Value
2016-01-04,92.0
2016-01-05,91.5
2016-01-06,99.0
2016-01-07,94.0
2016-01-08,93.7
2016-01-11,92.5
2016-01-12,99.5
2016-01-13,95.0
2016-01-14,99.5
2016-01-15,106.7
2016-01-18,109.5
2016-01-19,101.0
2016-01-20,110.0
2016-01-21,104.0
2016-01-22,95.5
2016-01-25,95.6
2016-01-26,96.5
2016-01-27,100.0
2016-01-28,99.0
2016-01-29,94.0
2016-02-01,95.0
2016-02-02,98.1
2016-02-03,104.0
2016-02-04,98.5
2016-02-05,99.5
2016-02-08,98.5
2016-02-09,101.5
2016-02-10,99.0
2016-02-11,101.0
2016-02-12,104.5
2016-02-15,103.0
2016-02-16,105.0
2016-02-17,107.0
2016-02-18,110.0
2016-02-19,108.2
2016-02-22,108.9
2016-02-23,112.5
2016-02-24,113.5
2016-02-25,118.9
2016-02-26,117.6
2016-02-29,112.0
2016-03-01,104.5
2016-03-02,102.5
2016-03-03,99.0
2016-03-04,98.2
2016-03-07,96.0
2016-03-08,102.8
2016-03-09,105.6
2016-03-10,107.0
2016-03-11,105.0
2016-03-14,104.8
2016-03-15,110.9
2016-03-16,110.5
2016-03-17,97.5
2016-03-18,102.1
2016-03-21,103.4
2016-03-22,106.3
2016-03-23,110.9
2016-03-24,111.2
2016-03-25,113.2
2016-03-28,122.9
2016-03-29,103.8
2016-03-30,91.0
2016-03-31,91.5
2016-04-01,92.5
2016-04-04,90.6
2016-04-05,92.5
2016-04-06,91.5
2016-04-07,91.7
2016-04-08,94.0
2016-04-11,94.0
2016-04-12,92.2
2016-04-13,93.2
2016-04-14,93.0
2016-04-15,92.55
2016-04-18,95.0
2016-04-19,94.5
2016-04-20,93.5
2016-04-21,93.0
2016-04-22,95.0
2016-04-25,98.1
2016-04-26,99.7
2016-04-27,96.1
2016-04-28,96.5
2016-04-29,100.0
2016-05-02,98.5
2016-05-03,96.3
2016-05-04,100.7
2016-05-05,97.3
2016-05-06,94.9
2016-05-09,96.8
2016-05-10,97.6
2016-05-11,100.4
2016-05-12,97.0
2016-05-13,98.5
2016-05-16,97.6
2016-05-17,98.5
2016-05-18,102.5
2016-05-19,103.3
2016-05-20,104.25
2016-05-23,102.0
2016-05-24,105.3
2016-05-25,105.5
2016-05-26,99.0
2016-05-27,97.0
2016-05-30,97.5
2016-05-31,96.1
2016-06-01,104.0
2016-06-02,100.2
2016-06-03,97.75
2016-06-06,94.5
2016-06-07,93.5
2016-06-08,94.0
2016-06-09,94.5
2016-06-10,93.5
2016-06-13,93.75
2016-06-14,100.85
2016-06-15,100.9
2016-06-16,99.55
2016-06-17,100.5
2016-06-20,106.5
2016-06-21,111.0
2016-06-22,112.5
2016-06-23,106.5
2016-06-24,117.5
2016-06-27,116.5
2016-06-28,109.5
2016-06-29,103.25
2016-06-30,104.0
2016-07-01,99.9
2016-07-04,99.5
2016-07-05,107.0
2016-07-06,107.0
2016-07-07,100.0
2016-07-08,97.4
2016-07-11,92.5
2016-07-12,93.2
2016-07-13,95.8
2016-07-14,90.8
2016-07-15,90.3
2016-07-18,92.55
2016-07-19,91.7
2016-07-20,97.5
2016-07-21,94.5
2016-07-22,94.2
2016-07-25,97.65
2016-07-26,97.5
2016-07-27,98.5
2016-07-28,96.0
2016-07-29,96.5
2016-08-01,91.15
2016-08-02,89.4
2016-08-03,91.95
2016-08-04,90.0
2016-08-05,86.75
2016-08-08,88.5
2016-08-09,94.55
2016-08-10,89.55
2016-08-11,87.4
2016-08-12,85.5
2016-08-15,85.95
2016-08-16,87.5
2016-08-17,88.5
2016-08-18,85.5
2016-08-19,88.8
2016-08-22,92.55
2016-08-23,90.55
2016-08-24,93.05
2016-08-25,92.05
2016-08-26,88.5
2016-08-29,90.65
2016-08-30,88.3
2016-08-31,90.05
2016-09-01,89.7
2016-09-02,85.45
2016-09-05,84.0
2016-09-06,78.35
2016-09-07,76.15
2016-09-08,80.85
2016-09-09,82.0
2016-09-12,87.65
2016-09-13,87.45
2016-09-14,86.45
2016-09-15,87.55
2016-09-16,86.55
2016-09-19,88.5
2016-09-20,90.65
2016-09-21,90.25
2016-09-22,85.05
2016-09-23,87.05
2016-09-26,86.55
2016-09-27,87.0
2016-09-28,84.25
2016-09-29,93.2
2016-09-30,92.0
2016-10-03,89.0
2016-10-04,86.65
2016-10-05,86.05
2016-10-06,84.7
2016-10-07,85.0
2016-10-10,89.45
2016-10-11,88.4
2016-10-12,90.0
2016-10-13,91.0
2016-10-14,87.1
2016-10-17,88.5
2016-10-18,86.45
2016-10-19,86.65
2016-10-20,86.4
2016-10-21,85.0
2016-10-24,84.4
2016-10-25,81.65
2016-10-26,84.95
2016-10-27,84.25
2016-10-28,82.2
2016-10-31,84.0
2016-11-01,81.4
2016-11-02,82.3
2016-11-03,79.0
2016-11-09,77.5
2016-11-10,71.25
2016-11-15,87.55
2016-11-16,84.8
2016-11-17,82.0
2016-11-18,77.0
2016-11-21,75.5
2016-11-22,73.0
2016-11-23,74.88
2016-11-24,69.13
2016-11-25,59.63
2016-11-28,71.93
2016-11-30,66.4
2016-12-02,62.5
2016-12-06,55.55
2016-12-07,48.75
2016-12-08,54.2
2016-12-09,56.75
2016-12-14,60.3
2016-12-15,63.75
2016-12-16,61.5
2016-12-20,62.28
2016-12-27,66.38
2016-12-29,67.75
2017-01-03,67.85
2017-01-04,69.5
2017-01-05,65.75
2017-01-11,75.25
2017-01-12,71.5
2017-01-13,76.0
2017-01-16,76.5
2017-01-17,71.03
2017-01-18,72.28
2017-01-19,75.77
2017-01-20,74.77
2017-01-23,76.52
2017-01-24,74.27
2017-01-25,76.03
2017-01-26,75.77
2017-01-27,74.27
2017-01-30,73.75
2017-01-31,69.78
2017-02-01,68.03
2017-02-02,67.27
2017-02-03,67.0
2017-02-06,64.53
2017-02-07,64.28
2017-02-08,69.68
2017-02-09,71.75
2017-02-10,68.03
2017-02-13,66.77
2017-02-14,65.52
2017-02-15,64.28
2017-02-16,62.0
2017-02-17,64.28
2017-02-20,65.05
2017-02-21,64.0
2017-02-22,64.52
2017-02-23,65.55
2017-02-24,55.75
2017-02-27,64.03
2017-02-28,63.53
2017-03-01,66.52
2017-03-02,63.5
2017-03-03,64.05
2017-03-06,66.25
2017-03-07,62.03
2017-03-08,63.5
2017-03-09,63.75
2017-03-10,65.28
2017-03-13,58.47
2017-03-14,60.75
2017-03-15,57.75
2017-03-16,58.0
2017-03-17,56.25
2017-03-20,53.3
2017-03-21,55.75
2017-03-22,59.53
2017-03-23,60.78
2017-03-24,60.28
2017-03-27,58.22
2017-03-28,59.0
2017-03-29,57.5
2017-03-30,58.35
2017-03-31,56.2
2017-04-03,57.4
2017-04-04,58.25
2017-04-05,58.5
2017-04-06,61.75
2017-04-07,63.25
2017-04-10,64.25
2017-04-11,64.85
2017-04-12,64.6
2017-04-13,64.75
2017-04-14,64.5
2017-04-17,69.25
2017-04-18,69.75
2017-04-19,69.0
2017-04-20,66.85
2017-04-21,68.0
2017-04-24,65.43
2017-04-25,60.4
2017-04-26,64.95
2017-04-27,65.07
2017-04-28,66.13
2017-05-01,66.78
2017-05-02,65.88
2017-05-03,65.82
2017-05-04,65.85
2017-05-05,65.1
2017-05-08,65.97
2017-05-09,70.25
2017-05-10,70.0
2017-05-11,68.05
2017-05-12,66.4
2017-05-15,64.6
2017-05-16,63.17
