Date,Value
2016-01-01,314.1
2016-01-04,317.07
2016-01-05,317.25
2016-01-06,322.82
2016-01-07,319.32
2016-01-08,317.57
2016-01-11,316.82
2016-01-12,318.0
2016-01-13,321.38
2016-01-14,318.8
2016-01-15,323.07
2016-01-18,322.36
2016-01-19,321.56
2016-01-20,324.07
2016-01-21,318.32
2016-01-22,319.6
2016-01-25,318.5
2016-01-27,317.5
2016-01-28,317.3
2016-01-29,315.18
2016-02-01,316.61
2016-02-02,321.06
2016-02-03,324.02
2016-02-04,322.17
2016-02-05,321.82
2016-02-08,324.47
2016-02-09,329.73
2016-02-10,328.73
2016-02-11,329.45
2016-02-12,328.23
2016-02-15,327.73
2016-02-16,333.64
2016-02-17,336.74
2016-02-18,338.71
2016-02-22,344.86
2016-02-23,339.52
2016-02-24,344.11
2016-02-25,346.5
2016-02-26,345.13
2016-02-29,336.23
2016-03-01,334.5
2016-03-02,335.42
2016-03-03,337.8
2016-03-04,345.1
2016-03-08,354.37
2016-03-09,364.37
2016-03-10,355.43
2016-03-11,357.25
2016-03-14,354.83
2016-03-15,357.99
2016-03-16,349.58
2016-03-17,343.4
2016-03-18,342.97
2016-03-21,343.92
2016-03-22,344.3
2016-03-23,343.92
2016-03-28,343.75
2016-03-29,345.0
2016-03-30,322.2
2016-03-31,320.69
2016-04-04,317.22
2016-04-05,318.31
2016-04-06,314.88
2016-04-07,313.7
2016-04-11,315.94
2016-04-12,317.59
2016-04-13,324.98
2016-04-18,322.63
2016-04-20,321.25
2016-04-21,328.31
2016-04-22,322.38
2016-04-25,318.33
2016-04-26,319.49
2016-04-27,316.0
2016-04-28,313.5
2016-04-29,313.0
2016-05-02,317.0
2016-05-03,320.11
2016-05-04,317.71
2016-05-05,317.41
2016-05-06,314.68
2016-05-09,314.46
2016-05-10,314.73
2016-05-11,317.2
2016-05-12,321.64
2016-05-13,321.02
2016-05-16,323.38
2016-05-17,318.88
2016-05-18,319.88
2016-05-19,316.85
2016-05-20,313.29
2016-05-23,310.95
2016-05-24,310.21
2016-05-25,310.93
2016-05-26,305.0
2016-05-27,305.53
2016-05-30,299.52
2016-05-31,298.0
2016-06-01,300.77
2016-06-02,300.85
2016-06-03,300.31
2016-06-06,300.63
2016-06-07,299.32
2016-06-08,302.83
2016-06-09,301.5
2016-06-10,301.5
2016-06-13,301.87
2016-06-14,303.38
2016-06-15,306.27
2016-06-16,307.15
2016-06-17,307.68
2016-06-20,306.21
2016-06-21,305.24
2016-06-22,301.77
2016-06-23,300.87
2016-06-24,300.4
2016-06-27,297.44
2016-06-28,300.5
2016-06-29,305.47
2016-06-30,304.43
2016-07-01,307.19
2016-07-04,306.63
2016-07-05,307.2
2016-07-07,303.14
2016-07-08,302.43
2016-07-11,304.08
2016-07-12,303.63
2016-07-13,305.66
2016-07-14,304.38
2016-07-15,304.11
2016-07-18,302.93
2016-07-19,303.25
2016-07-20,305.71
2016-07-21,304.54
2016-07-22,303.14
2016-07-25,302.2
2016-07-26,304.5
2016-07-27,301.75
2016-07-28,304.74
2016-07-29,302.25
2016-08-01,305.42
2016-08-02,306.41
2016-08-03,304.73
2016-08-04,303.11
2016-08-05,302.08
2016-08-08,302.48
2016-08-09,302.19
2016-08-10,304.85
2016-08-11,304.86
2016-08-12,306.11
2016-08-16,306.09
2016-08-18,305.39
2016-08-19,304.2
2016-08-22,303.83
2016-08-23,304.14
2016-08-24,302.98
2016-08-25,301.97
2016-08-26,296.97
2016-08-29,293.0
2016-08-30,295.03
2016-08-31,293.03
2016-09-01,291.4
2016-09-02,294.5
2016-09-06,293.5
2016-09-07,291.0
2016-09-08,291.5
2016-09-09,288.27
2016-09-12,287.0
2016-09-14,288.35
2016-09-15,291.78
2016-09-16,293.17
2016-09-19,292.88
2016-09-20,288.77
2016-09-21,287.85
2016-09-22,283.95
2016-09-23,282.15
2016-09-26,282.12
2016-09-27,283.55
2016-09-28,284.5
2016-09-29,287.9
2016-09-30,288.76
2016-10-03,283.72
2016-10-04,280.41
2016-10-05,279.05
2016-10-06,276.25
2016-10-07,276.1
2016-10-10,275.71
2016-10-13,276.04
2016-10-14,276.48
2016-10-17,275.77
2016-10-18,272.21
2016-10-19,267.98
2016-10-20,264.26
2016-10-21,267.89
2016-10-24,267.36
2016-10-25,267.51
2016-10-26,268.5
2016-10-27,264.18
2016-10-28,264.87
2016-11-01,265.28
2016-11-02,269.74
2016-11-03,271.85
2016-11-04,271.55
2016-11-07,270.42
2016-11-08,271.69
2016-11-09,268.09
2016-11-10,263.84
2016-11-11,251.33
2016-11-15,233.31
2016-11-16,234.93
2016-11-17,241.35
2016-11-18,229.38
2016-11-21,225.91
2016-11-22,217.67
2016-11-23,202.58
2016-11-24,181.43
2016-11-25,196.92
2016-11-28,202.5
