Date,Value
2016-01-01,6.88
2016-01-04,6.855
2016-01-05,6.85
2016-01-06,6.8
2016-01-07,6.76
2016-01-08,6.725
2016-01-11,6.69
2016-01-12,6.695
2016-01-13,6.73
2016-01-14,6.76
2016-01-15,6.775
2016-01-18,6.79
2016-01-19,6.775
2016-01-20,6.67
2016-01-21,6.63
2016-01-22,6.695
2016-01-25,6.66
2016-01-26,6.66
2016-01-27,6.62
2016-01-28,6.62
2016-01-29,6.515
2016-02-01,6.575
2016-02-02,6.6675
2016-02-03,6.65
2016-02-04,6.615
2016-02-05,6.595
2016-02-08,6.59
2016-02-09,6.57
2016-02-10,6.5275
2016-02-11,6.47
2016-02-12,6.515
2016-02-15,6.585
2016-02-16,6.62
2016-02-17,6.655
2016-02-18,6.665
2016-02-19,6.665
2016-02-22,6.785
2016-02-23,6.845
2016-02-24,6.825
2016-02-25,6.88
2016-02-26,6.77
2016-02-29,6.6
2016-03-01,6.555
2016-03-02,6.625
2016-03-03,6.66
2016-03-04,6.65
2016-03-08,6.695
2016-03-09,6.685
2016-03-10,6.61
2016-03-11,6.71
2016-03-14,6.67
2016-03-15,6.61
2016-03-16,6.59
2016-03-17,6.475
2016-03-18,6.5
2016-03-21,6.485
2016-03-22,6.485
2016-03-23,6.5
2016-03-24,6.5
2016-03-28,6.495
2016-03-29,6.49
2016-03-30,6.45
2016-03-31,6.45
2016-04-01,6.46
2016-04-04,6.45
2016-04-05,6.48
2016-04-06,6.525
2016-04-07,6.5
2016-04-08,6.5
2016-04-11,6.51
2016-04-12,6.545
2016-04-13,6.595
2016-04-14,6.595
2016-04-18,6.575
2016-04-19,6.575
2016-04-20,6.57
2016-04-21,6.62
2016-04-22,6.63
2016-04-25,6.63
2016-04-26,6.63
2016-04-27,6.6
2016-04-28,6.595
2016-04-29,6.62
2016-05-03,6.63
2016-05-04,6.59
2016-05-05,6.645
2016-05-06,6.62
2016-05-09,6.625
2016-05-10,6.625
2016-05-11,6.615
2016-05-12,6.615
2016-05-13,6.68
2016-05-16,6.72
2016-05-17,6.735
2016-05-18,6.735
2016-05-19,6.7675
2016-05-20,6.74
2016-05-23,6.695
2016-05-24,6.73
2016-05-25,6.755
2016-05-26,6.745
2016-05-27,6.735
2016-05-30,6.785
2016-05-31,6.74
2016-06-01,6.815
2016-06-02,6.815
2016-06-03,6.805
2016-06-06,6.73
2016-06-07,6.715
2016-06-08,6.7
2016-06-09,6.695
2016-06-10,6.71
2016-06-13,6.72
2016-06-14,6.765
2016-06-15,6.77
2016-06-16,6.74
2016-06-17,6.76
2016-06-20,6.875
2016-06-21,6.86
2016-06-22,6.84
2016-06-23,6.825
2016-06-24,6.71
2016-06-27,6.635
2016-06-28,6.67
2016-06-29,6.61
2016-06-30,6.645
2016-07-01,6.555
2016-07-04,6.545
2016-07-05,6.505
2016-07-06,6.49
2016-07-07,6.56
2016-07-08,6.56
2016-07-11,6.56
2016-07-12,6.55
2016-07-13,6.475
2016-07-14,6.5
2016-07-15,6.53
2016-07-18,6.56
2016-07-19,6.525
2016-07-20,6.545
2016-07-21,6.575
2016-07-22,6.545
2016-07-25,6.565
2016-07-26,6.555
2016-07-27,6.555
2016-07-28,6.5
2016-07-29,6.5
2016-08-01,6.48
2016-08-02,6.54
2016-08-03,6.55
2016-08-04,6.535
2016-08-05,6.515
2016-08-08,6.54
2016-08-09,6.52
2016-08-10,6.5
2016-08-11,6.505
2016-08-12,6.51
2016-08-16,6.5
2016-08-17,6.51
2016-08-18,6.52
2016-08-19,6.5
2016-08-22,6.57
2016-08-23,6.57
2016-08-24,6.54
2016-08-25,6.51
2016-08-26,6.5
2016-08-29,6.55
2016-08-30,6.55
2016-08-31,6.535
2016-09-01,6.54
2016-09-02,6.53
2016-09-06,6.42
2016-09-07,6.31
2016-09-08,6.32
2016-09-09,6.355
2016-09-12,6.39
2016-09-13,6.39
2016-09-14,6.36
2016-09-15,6.41
2016-09-16,6.395
2016-09-19,6.415
2016-09-20,6.415
2016-09-21,6.4
2016-09-22,6.31
2016-09-23,6.3025
2016-09-26,6.285
2016-09-27,6.26
2016-09-28,6.285
2016-09-29,6.405
2016-09-30,6.38
2016-10-03,6.345
2016-10-04,6.32
2016-10-05,6.37
2016-10-06,6.38
2016-10-07,6.38
2016-10-10,6.355
2016-10-11,6.355
2016-10-13,6.36
2016-10-14,6.345
2016-10-17,6.38
2016-10-18,6.355
2016-10-19,6.335
2016-10-20,6.31
2016-10-21,6.345
2016-10-24,6.335
2016-10-25,6.33
2016-10-26,6.3
2016-10-27,6.36
2016-10-28,6.37
2016-11-01,6.385
2016-11-02,6.365
2016-11-03,6.355
2016-11-04,6.36
2016-11-07,6.365
2016-11-08,6.38
2016-11-09,6.265
2016-11-10,6.275
2016-11-11,6.365
2016-11-15,6.31
2016-11-16,6.315
2016-11-17,6.3
2016-11-18,6.33
2016-11-21,6.24
2016-11-22,6.235
2016-11-23,6.21
2016-11-24,6.15
2016-11-25,6.19
2016-11-28,6.25
2016-11-29,6.285
2016-11-30,6.22
2016-12-01,6.265
2016-12-02,6.265
2016-12-05,6.26
2016-12-06,6.26
2016-12-07,6.38
2016-12-08,6.39
2016-12-09,6.47
2016-12-13,6.47
2016-12-14,6.475
2016-12-15,6.51
2016-12-16,6.52
2016-12-20,6.49
2016-12-21,6.555
2016-12-22,6.5
2016-12-23,6.51
2016-12-29,6.53
2016-12-30,6.51
2017-01-02,6.49
2017-01-03,6.465
2017-01-04,6.405
2017-01-05,6.415
2017-01-06,6.4
2017-01-09,6.405
2017-01-10,6.4
2017-01-11,6.41
2017-01-12,6.38
2017-01-13,6.41
2017-01-16,6.475
2017-01-17,6.46
2017-01-18,6.49
2017-01-19,6.53
2017-01-20,6.545
2017-01-23,6.535
2017-01-24,6.525
2017-01-25,6.54
2017-01-27,6.53
2017-01-30,6.475
2017-01-31,6.505
2017-02-01,6.51
2017-02-02,6.47
2017-02-03,6.48
2017-02-06,6.515
2017-02-07,6.515
2017-02-08,6.745
2017-02-09,6.845
2017-02-10,6.895
2017-02-13,6.835
2017-02-14,6.86
2017-02-15,6.785
2017-02-17,6.77
2017-02-20,6.87
2017-02-21,6.87
2017-02-22,6.85
2017-02-23,6.865
2017-02-24,6.865
2017-02-27,6.825
2017-02-28,6.82
2017-03-01,6.875
2017-03-02,6.865
2017-03-03,6.845
2017-03-06,6.865
2017-03-07,6.835
2017-03-08,6.825
2017-03-09,6.775
2017-03-10,6.83
2017-03-14,6.825
2017-03-15,6.735
2017-03-16,6.735
2017-03-17,6.72
2017-03-20,6.695
2017-03-21,6.695
2017-03-22,6.67
2017-03-23,6.655
2017-03-24,6.66
2017-03-27,6.61
2017-03-28,6.61
2017-03-29,6.64
2017-03-30,6.665
2017-03-31,6.68
2017-04-03,6.69
2017-04-04,6.69
2017-04-05,6.68
2017-04-06,6.77
2017-04-07,6.77
2017-04-10,6.815
2017-04-11,6.77
2017-04-12,6.74
2017-04-13,6.715
2017-04-14,6.695
2017-04-17,6.705
2017-04-18,6.745
2017-04-19,6.7
2017-04-20,6.685
2017-04-21,6.765
2017-04-24,6.79
2017-04-25,6.78
2017-04-26,6.82
2017-04-27,6.85
2017-04-28,6.85
2017-05-02,6.85
2017-05-03,6.83
2017-05-04,6.875
2017-05-05,6.81
2017-05-08,6.79
2017-05-09,6.815
2017-05-10,6.815
2017-05-11,6.795
2017-05-12,6.72
2017-05-15,6.68
2017-05-16,6.68
2017-05-17,6.665
2017-05-18,6.675
2017-05-19,6.68
2017-05-22,6.64
2017-05-23,6.61
2017-05-24,6.61
2017-05-25,6.59
2017-05-26,6.565
2017-05-29,6.545
2017-05-30,6.55
2017-05-31,6.56
2017-06-01,6.53
2017-06-02,6.46
2017-06-05,6.465
2017-06-06,6.475
2017-06-07,6.35
2017-06-08,6.335
2017-06-09,6.27
2017-06-12,6.295
2017-06-13,6.24
2017-06-14,6.225
2017-06-15,6.24
2017-06-16,6.26
2017-06-19,6.23
2017-06-20,6.235
2017-06-21,6.215
2017-06-22,6.21
2017-06-23,6.215
2017-06-27,6.21
2017-06-28,6.275
2017-06-29,6.28
2017-06-30,6.3
2017-07-03,6.38
2017-07-04,6.325
2017-07-05,6.33
2017-07-06,6.335
2017-07-07,6.35
2017-07-10,6.38
2017-07-11,6.305
2017-07-12,6.29
2017-07-13,6.27
2017-07-14,6.315
2017-07-18,6.265
2017-07-19,6.25
2017-07-20,6.25
2017-07-21,6.22
2017-07-24,6.235
2017-07-25,6.275
2017-07-26,6.3
2017-07-27,6.27
2017-07-31,6.3
2017-08-01,6.28
2017-08-02,6.245
2017-08-03,6.175
2017-08-04,6.17
2017-08-07,6.165
2017-08-08,6.21
2017-08-09,6.2
2017-08-10,6.2
2017-08-11,6.24
2017-08-16,6.23
2017-08-17,6.23
2017-08-18,6.195
2017-08-21,6.2
2017-08-22,6.175
2017-08-23,6.215
2017-08-24,6.24
2017-08-25,6.27
2017-08-29,6.255
2017-08-30,6.2625
2017-08-31,6.2725
2017-09-01,6.235
2017-09-05,6.2375
2017-09-06,6.22
2017-09-07,6.2475
2017-09-08,6.2325
2017-09-11,6.25
2017-09-12,6.26
2017-09-13,6.29
2017-09-14,6.295
2017-09-15,6.33
2017-09-18,6.32
2017-09-19,6.31
2017-09-20,6.2875
2017-09-21,6.34
2017-09-22,6.38
2017-09-25,6.355
2017-09-26,6.415
2017-09-27,6.42
2017-09-28,6.38
2017-09-29,6.375
2017-10-03,6.4075
2017-10-04,6.4475
2017-10-05,6.4175
2017-10-06,6.44
2017-10-10,6.41
2017-10-11,6.415
2017-10-12,6.38
2017-10-13,6.34
2017-10-16,6.32
2017-10-17,6.37
2017-10-18,6.355
2017-10-19,6.395
2017-10-23,6.36
2017-10-24,6.4
2017-10-25,6.47
2017-10-26,6.4375
2017-10-27,6.465
2017-10-30,6.49
2017-10-31,6.47
2017-11-01,6.475
2017-11-02,6.415
2017-11-03,6.4275
2017-11-06,6.4475
2017-11-07,6.52
2017-11-08,6.495
2017-11-09,6.5
2017-11-10,6.51
2017-11-13,6.57
2017-11-14,6.6325
2017-11-15,6.62
2017-11-16,6.625
2017-11-17,6.635
2017-11-20,6.5675
2017-11-21,6.6225
2017-11-22,6.6425
2017-11-23,6.64
2017-11-24,6.64
2017-11-27,6.67
2017-11-28,6.6475
2017-11-29,6.635
2017-11-30,6.66
2017-12-04,6.72
2017-12-05,6.72
2017-12-06,6.6675
2017-12-07,6.66
2017-12-08,6.685
2017-12-11,6.72
2017-12-12,6.745
2017-12-13,6.82
2017-12-14,6.79
2017-12-15,6.78
2017-12-18,6.805
2017-12-19,6.82
2017-12-20,6.815
2017-12-21,6.885
2017-12-22,6.855
2017-12-26,6.835
2017-12-27,6.84
2017-12-28,6.905
2017-12-29,6.84
2018-01-02,6.925
2018-01-03,6.8725
2018-01-04,6.85
2018-01-05,6.785
2018-01-08,6.8
2018-01-09,6.83
2018-01-10,6.895
2018-01-11,6.815
2018-01-12,6.8325
2018-01-15,6.82
2018-01-16,6.89
2018-01-17,6.775
2018-01-18,6.8125
2018-01-19,6.7975
2018-01-22,6.75
2018-01-23,6.685
2018-01-24,6.71
2018-01-25,6.73
2018-01-29,6.8175
2018-01-30,6.795
2018-01-31,6.78
2018-02-01,6.92
2018-02-02,6.935
2018-02-05,6.96
2018-02-06,6.94
2018-02-07,6.92
2018-02-08,6.845
2018-02-09,6.86
2018-02-12,6.8575
2018-02-14,6.8275
2018-02-15,6.905
2018-02-16,6.9
2018-02-20,7.0
2018-02-21,6.975
2018-02-22,7.0025
2018-02-23,6.98
2018-02-26,6.96
2018-02-27,6.945
2018-02-28,6.94
2018-03-01,6.9425
2018-03-05,6.9
2018-03-06,6.89
2018-03-07,6.8625
2018-03-08,6.83
2018-03-09,6.8
2018-03-12,6.785
2018-03-13,6.79
2018-03-14,6.7925
2018-03-15,6.7925
2018-03-16,6.735
2018-03-19,6.7675
2018-03-20,6.78
2018-03-21,6.795
2018-03-22,6.805
2018-03-23,6.815
2018-03-26,6.85
2018-03-27,6.72
2018-03-28,6.76
2018-04-03,6.74
2018-04-04,6.72
2018-04-05,6.667
2018-04-06,6.675
2018-04-09,6.69
2018-04-10,6.74
2018-04-11,6.77
2018-04-12,6.78
2018-04-13,6.795
2018-04-16,6.78
2018-04-17,6.8
2018-04-18,6.805
2018-04-19,6.86
2018-04-20,6.965
2018-04-23,7.05
2018-04-24,7.0025
2018-04-25,6.995
2018-04-26,7.01
2018-04-27,6.99
2018-05-01,7.0
2018-05-02,6.99
2018-05-03,6.955
2018-05-04,6.985
2018-05-07,6.985
2018-05-08,6.995
2018-05-09,7.1225
2018-05-10,7.095
2018-05-11,7.0875
2018-05-14,7.125
2018-05-15,7.2325
2018-05-16,7.22
2018-05-17,7.275
2018-05-18,7.245
2018-05-21,7.24
2018-05-22,7.23
2018-05-23,7.2725
2018-05-24,7.29
2018-05-25,7.1375
2018-05-28,7.065
2018-05-29,7.09
2018-05-30,7.08
2018-05-31,7.16
2018-06-01,7.155
2018-06-04,7.145
2018-06-05,7.085
2018-06-06,7.125
2018-06-07,7.195
2018-06-08,7.21
2018-06-11,7.268
2018-06-12,7.31
2018-06-13,7.293
2018-06-14,7.323
2018-06-15,7.32
2018-06-18,7.335
2018-06-19,7.288
2018-06-20,7.3225
2018-06-21,7.26
2018-06-22,7.298
2018-06-25,7.31
2018-06-26,7.303
2018-06-27,7.333
2018-06-28,7.41
2018-06-29,7.372
2018-07-02,7.358
2018-07-03,7.337
2018-07-04,7.333
2018-07-05,7.412
2018-07-06,7.425
2018-07-09,7.405
2018-07-10,7.41
2018-07-11,7.395
2018-07-12,7.29
2018-07-13,7.31
2018-07-16,7.315
2018-07-17,7.2425
2018-07-18,7.237
2018-07-19,7.27
2018-07-20,7.26
2018-07-23,7.282
2018-07-24,7.277
2018-07-25,7.277
2018-07-26,7.262
2018-07-27,7.27
2018-07-30,7.272
2018-07-31,7.27
2018-08-01,7.2
2018-08-02,7.202
2018-08-03,7.255
2018-08-06,7.2575
2018-08-07,7.27
2018-08-08,7.24
2018-08-09,7.225
2018-08-10,7.23
2018-08-13,7.285
2018-08-14,7.252
2018-08-15,7.2375
2018-08-16,7.345
2018-08-17,7.335
2018-08-20,7.315
2018-08-21,7.3
2018-08-22,7.295
2018-08-23,7.33
2018-08-24,7.318
2018-08-27,7.32
2018-08-28,7.307
2018-08-29,7.325
2018-08-30,7.39
2018-08-31,7.425
2018-09-03,7.415
2018-09-04,7.5325
2018-09-05,7.57
2018-09-06,7.555
2018-09-07,7.465
2018-09-10,7.58
2018-09-11,7.57
2018-09-12,7.655
2018-09-13,7.63
2018-09-14,7.6
2018-09-17,7.595
2018-09-18,7.645
2018-09-19,7.605
2018-09-20,7.605
2018-09-21,7.593
2018-09-24,7.668
2018-09-25,7.668
2018-09-26,7.623
2018-09-27,7.615
2018-09-28,7.6
2018-10-01,7.605
2018-10-03,7.658
2018-10-04,7.7625
2018-10-05,7.67
2018-10-08,7.68
2018-10-09,7.755
2018-10-10,7.72
2018-10-11,7.6375
2018-10-12,7.6075
2018-10-15,7.53
2018-10-16,7.485
2018-10-17,7.4925
2018-10-19,7.485
2018-10-22,7.455
2018-10-23,7.415
2018-10-24,7.3475
2018-10-25,7.383
2018-10-26,7.385
2018-10-29,7.345
2018-10-30,7.379
2018-10-31,7.398
2018-11-01,7.3675
2018-11-02,7.3125
2018-11-05,7.355
2018-11-06,7.382
2018-11-07,7.382
2018-11-08,7.382
2018-11-09,7.345
2018-11-12,7.38
2018-11-13,7.295
2018-11-14,7.23
2018-11-15,7.198
2018-11-16,7.225
2018-11-19,7.21
2018-11-20,7.12
2018-11-22,7.133
2018-11-23,7.133
2018-11-26,7.105
2018-11-27,7.124
2018-11-28,7.07
2018-11-29,6.9788
2018-11-30,6.9825
2018-12-03,7.01
2018-12-04,6.9
2018-12-05,6.645
2018-12-06,6.505
2018-12-07,6.575
2018-12-10,6.675
2018-12-11,6.695
2018-12-12,6.667
2018-12-13,6.685
2018-12-14,6.71
2018-12-17,6.69
2018-12-18,6.65
2018-12-19,6.505
2018-12-20,6.458
2018-12-21,6.453
2018-12-24,6.453
2018-12-25,6.453
2018-12-26,6.36
2018-12-27,6.335
2018-12-28,6.335
2018-12-31,6.33
2019-01-01,6.36
2019-01-02,6.36
2019-01-03,6.455
2019-01-04,6.48
2019-01-07,6.56
2019-01-08,6.5
2019-01-09,6.535
2019-01-10,6.56
2019-01-11,6.545
2019-01-14,6.4275
2019-01-15,6.455
2019-01-16,6.59
2019-01-17,6.55
2019-01-18,6.565
2019-01-21,6.615
2019-01-22,6.568
2019-01-23,6.61
2019-01-24,6.575
2019-01-25,6.555
2019-01-28,6.565
2019-01-29,6.55
2019-01-30,6.57
2019-01-31,6.48
2019-02-01,6.58
2019-02-04,6.63
2019-02-05,6.588
2019-02-06,6.567
2019-02-07,6.443
2019-02-08,6.383
2019-02-11,6.38
2019-02-12,6.298
2019-02-13,6.17
2019-02-14,6.18
2019-02-15,6.19
2019-02-18,6.175
2019-02-19,6.17
2019-02-20,6.19
2019-02-21,6.18
2019-02-22,6.22
2019-02-25,6.205
2019-02-26,6.1875
2019-02-27,6.226
2019-02-28,6.192
2019-03-01,6.002
2019-03-04,6.0575
2019-03-05,6.07
2019-03-06,6.067
2019-03-07,6.075
2019-03-08,5.945
2019-03-11,5.935
2019-03-12,5.9475
2019-03-13,5.98
2019-03-14,5.965
2019-03-15,5.88
2019-03-18,5.865
2019-03-19,5.85
2019-03-20,5.89
2019-03-21,5.89
2019-03-22,5.807
2019-03-25,5.73
2019-03-26,5.78
2019-03-27,5.73
2019-03-28,5.815
2019-03-29,5.85
2019-04-01,5.85
2019-04-02,5.847
2019-04-03,5.9325
2019-04-04,6.082
2019-04-05,6.1075
2019-04-08,6.205
2019-04-09,6.155
2019-04-10,6.153
2019-04-11,6.0925
2019-04-12,6.103
2019-04-15,6.07
2019-04-16,6.02
2019-04-17,6.015
2019-04-18,6.04
2019-04-19,6.05
2019-04-22,6.1075
2019-04-23,6.205
2019-04-24,6.18
2019-04-25,6.23
2019-04-26,6.172
2019-04-29,6.172
2019-04-30,6.1525
2019-05-01,6.15
2019-05-02,6.11
2019-05-03,6.0775
2019-05-06,6.06
2019-05-07,6.065
2019-05-08,6.04
2019-05-09,6.0075
2019-05-10,6.0
2019-05-13,5.93
2019-05-14,5.89
2019-05-15,5.91
2019-05-16,5.925
2019-05-17,5.94
2019-05-20,5.803
2019-05-21,5.815
2019-05-22,5.85
2019-05-23,5.82
2019-05-24,5.805
2019-05-27,5.815
2019-05-28,5.81
2019-05-29,5.75
2019-05-30,5.768
2019-05-31,5.725
2019-06-03,5.665
2019-06-04,5.685
2019-06-06,5.592
2019-06-07,5.665
2019-06-10,5.725
2019-06-11,5.731
2019-06-12,5.655
2019-06-13,5.658
2019-06-14,5.58
2019-06-17,5.603
2019-06-18,5.565
2019-06-19,5.58
2019-06-20,5.513
2019-06-21,5.608
2019-06-24,5.6125
2019-06-25,5.6175
2019-06-26,5.66
2019-06-27,5.647
2019-06-28,5.6425
2019-07-01,5.655
2019-07-02,5.594
2019-07-03,5.5275
2019-07-04,5.475
2019-07-05,5.459
2019-07-08,5.4275
2019-07-09,5.4875
2019-07-10,5.48
2019-07-11,5.47
2019-07-12,5.49
2019-07-15,5.44
2019-07-16,5.37
2019-07-17,5.385
2019-07-18,5.38
2019-07-19,5.35
2019-07-22,5.4
2019-07-23,5.448
2019-07-24,5.44
2019-07-25,5.47
2019-07-26,5.48
2019-07-29,5.42
2019-07-30,5.43
2019-07-31,5.4025
2019-08-01,5.4475
2019-08-02,5.29
2019-08-05,5.2
2019-08-06,5.21
2019-08-07,5.089
2019-08-08,4.97
2019-08-09,5.07
2019-08-12,5.07
2019-08-13,5.04
2019-08-14,5.16
2019-08-15,5.145
2019-08-16,5.055
2019-08-19,5.125
2019-08-20,5.065
2019-08-21,5.038
2019-08-22,5.017
2019-08-23,5.034
2019-08-26,4.91
2019-08-27,4.98
2019-08-28,4.97
2019-08-29,4.965
2019-08-30,4.97
2019-09-02,4.95
2019-09-03,4.856
2019-09-04,4.8975
2019-09-05,4.9
2019-09-06,4.88
2019-09-09,4.88
2019-09-10,4.81
2019-09-11,5.01
2019-09-12,4.978
2019-09-13,4.9975
2019-09-16,5.11
2019-09-17,5.1
2019-09-18,5.004
2019-09-19,5.03
2019-09-20,5.175
2019-09-23,5.192
2019-09-24,5.215
2019-09-25,5.235
2019-09-26,5.175
2019-09-27,5.125
2019-09-30,5.115
2019-10-01,5.125
2019-10-02,5.0925
2019-10-03,5.058
2019-10-04,5.05
2019-10-07,5.04
2019-10-08,5.04
2019-10-09,4.965
2019-10-10,5.0
2019-10-11,5.06
2019-10-14,5.01
2019-10-15,5.004
2019-10-16,5.03
2019-10-17,5.145
2019-10-18,5.138
2019-10-21,5.119
2019-10-22,5.14
2019-10-23,5.105
2019-10-24,5.135
2019-10-25,5.145
2019-10-28,5.147
2019-10-29,5.1825
2019-10-30,5.18
2019-10-31,5.1525
2019-11-01,5.125
2019-11-04,5.168
2019-11-05,5.228
2019-11-06,5.233
2019-11-07,5.247
2019-11-08,5.275
2019-11-11,5.255
2019-11-12,5.257
2019-11-13,5.195
2019-11-14,5.17
2019-11-15,5.1625
2019-11-18,5.156
2019-11-19,5.106
2019-11-20,5.045
2019-11-21,5.05
2019-11-22,5.05
2019-11-25,5.0425
2019-11-26,5.063
2019-11-27,5.093
2019-11-28,5.078
2019-11-29,5.092
2019-12-02,5.115
2019-12-03,5.133
2019-12-04,5.105
2019-12-05,5.385
2019-12-06,5.435
2019-12-09,5.4225
2019-12-10,5.4525
2019-12-11,5.465
2019-12-12,5.46
2019-12-13,5.505
2019-12-16,5.53
2019-12-17,5.5125
2019-12-18,5.475
2019-12-19,5.505
2019-12-20,5.425
2019-12-23,5.445
2019-12-24,5.4475
2019-12-25,5.4475
2019-12-26,5.46
2019-12-27,5.485
2019-12-30,5.495
2019-12-31,5.535
2020-01-01,5.535
2020-01-02,5.57
2020-01-03,5.6075
2020-01-06,5.6125
2020-01-07,5.613
2020-01-08,5.5675
2020-01-09,5.56
2020-01-10,5.565
2020-01-13,5.585
2020-01-14,5.63
2020-01-15,5.685
2020-01-16,5.683
2020-01-17,5.65
2020-01-20,5.658
2020-01-21,5.66
2020-01-22,5.66
2020-01-23,5.585
2020-01-24,5.545
2020-01-27,5.453
2020-01-28,5.465
2020-01-29,5.47
2020-01-30,5.44
2020-01-31,5.427
2020-02-03,5.32
2020-02-04,5.37
2020-02-05,5.325
2020-02-06,5.245
2020-02-07,5.135
2020-02-10,5.1325
2020-02-11,5.19
2020-02-12,5.223
2020-02-13,5.17
2020-02-14,5.18
2020-02-17,5.237
2020-02-18,5.235
2020-02-19,5.235
2020-02-20,5.29
2020-02-24,5.1875
2020-02-25,5.18
2020-02-26,5.132
2020-02-27,5.125
2020-02-28,5.005
2020-03-02,4.89
2020-03-03,4.93
2020-03-04,4.725
2020-03-05,4.815
2020-03-06,4.76
2020-03-09,4.68
2020-03-10,4.69
2020-03-11,4.775
2020-03-12,4.825
2020-03-13,4.955
2020-03-16,4.92
2020-03-17,4.97
2020-03-18,5.23
2020-03-19,5.51
2020-03-20,5.37
2020-03-23,5.55
2020-03-24,5.53
2020-03-26,5.315
2020-03-27,5.02
2020-03-30,4.95
2020-03-31,4.8925
2020-04-01,4.8925
2020-04-02,4.8925
2020-04-03,5.01
2020-04-06,5.005
2020-04-07,5.0025
2020-04-08,4.985
2020-04-09,5.015
2020-04-10,4.98
2020-04-13,5.002
2020-04-14,5.002
2020-04-15,4.75
2020-04-16,4.663
2020-04-17,4.4925
2020-04-20,4.4075
2020-04-21,4.435
2020-04-22,4.38
2020-04-23,4.308
2020-04-24,4.37
2020-04-27,4.3675
2020-04-28,4.38
2020-04-29,4.47
2020-04-30,4.48
2020-05-01,4.475
2020-05-04,4.555
2020-05-05,4.515
2020-05-06,4.495
2020-05-08,4.395
2020-05-11,4.46
2020-05-12,4.4
2020-05-13,4.3
2020-05-14,4.25
2020-05-15,4.32
2020-05-18,4.275
2020-05-19,4.3
2020-05-20,4.385
2020-05-21,4.415
2020-05-22,4.36
2020-05-25,4.36
2020-05-26,4.495
2020-05-27,4.54
2020-05-28,4.545
2020-05-29,4.54
2020-06-01,4.615
2020-06-02,4.595
2020-06-03,4.64
2020-06-04,4.61
2020-06-05,4.635
2020-06-08,4.685
2020-06-09,4.67
2020-06-10,4.66
2020-06-11,4.635
2020-06-12,4.58
2020-06-15,4.5
2020-06-16,4.565
2020-06-17,4.62
2020-06-18,4.575
2020-06-19,4.585
2020-06-22,4.61
2020-06-23,4.64
2020-06-24,4.67
2020-06-25,4.63
2020-06-26,4.625
2020-06-29,4.6025
2020-06-30,4.6
