Date,Value
2016-01-04,6.91
2016-01-05,6.815
2016-01-06,6.785
2016-01-07,6.82
2016-01-08,6.765
2016-01-11,6.75
2016-01-12,6.76
2016-01-13,6.955
2016-01-14,6.96
2016-01-15,6.985
2016-01-18,6.965
2016-01-19,6.96
2016-01-20,6.965
2016-01-21,6.935
2016-01-22,6.95
2016-01-25,6.96
2016-01-27,6.875
2016-01-28,6.86
2016-01-29,6.775
2016-02-01,6.82
2016-02-02,6.92
2016-02-03,6.875
2016-02-04,6.88
2016-02-05,6.86
2016-02-08,6.88
2016-02-09,6.84
2016-02-10,6.835
2016-02-11,6.83
2016-02-12,6.8625
2016-02-15,6.92
2016-02-16,6.9375
2016-02-17,6.935
2016-02-18,6.89
2016-02-19,6.89
2016-02-22,6.98
2016-02-23,6.965
2016-02-24,6.91
2016-02-25,6.9425
2016-02-26,6.91
2016-02-29,7.625
2016-03-01,7.62
2016-03-02,7.6875
2016-03-03,7.72
2016-03-04,7.75
2016-03-07,7.73
2016-03-08,7.815
2016-03-09,7.83
2016-03-10,7.72
2016-03-11,7.895
2016-03-14,7.86
2016-03-15,7.89
2016-03-16,7.835
2016-03-17,7.915
2016-03-18,7.92
2016-03-21,7.76
2016-03-22,7.76
2016-03-23,7.9
2016-03-24,7.9
2016-03-25,7.9
2016-03-28,7.8025
2016-03-29,7.835
2016-03-30,7.875
2016-03-31,6.55
2016-04-01,6.55
2016-04-04,6.55
2016-04-05,6.56
2016-04-06,6.565
2016-04-07,6.55
2016-04-08,6.52
2016-04-11,6.51
2016-04-12,6.51
2016-04-13,6.54
2016-04-14,6.54
2016-04-15,6.54
2016-04-18,6.57
2016-04-19,6.53
2016-04-20,6.53
2016-04-21,6.625
2016-04-22,6.6075
2016-04-25,6.6
2016-04-26,6.55
2016-04-27,6.555
2016-04-28,6.555
2016-04-29,6.55
2016-05-02,6.56
2016-05-03,6.565
2016-05-04,6.57
2016-05-05,6.51
2016-05-06,6.52
2016-05-09,6.53
2016-05-10,6.585
2016-05-11,6.52
2016-05-12,6.555
2016-05-13,6.575
2016-05-16,6.52
2016-05-17,6.53
2016-05-18,6.57
2016-05-19,6.5
2016-05-20,6.46
2016-05-23,6.46
2016-05-24,6.585
2016-05-25,6.555
2016-05-26,6.575
2016-05-27,6.52
2016-05-30,6.51
2016-05-31,6.545
2016-06-01,6.52
2016-06-02,6.51
2016-06-03,6.565
2016-06-06,6.505
2016-06-07,6.5
2016-06-08,6.49
2016-06-09,6.47
2016-06-10,6.485
2016-06-13,6.55
2016-06-14,6.5
2016-06-15,6.5
2016-06-16,6.565
2016-06-17,6.49
2016-06-20,6.49
2016-06-21,6.4675
2016-06-22,6.4775
2016-06-23,6.4
2016-06-24,6.475
2016-06-27,6.45
2016-06-28,6.4625
2016-06-29,6.38
2016-06-30,6.4225
2016-07-01,6.4
2016-07-04,6.39
2016-07-05,6.375
2016-07-06,6.3625
2016-07-07,6.38
2016-07-08,6.375
2016-07-11,6.3775
2016-07-12,6.37
2016-07-13,6.3175
2016-07-14,6.43
2016-07-15,6.41
2016-07-18,6.455
2016-07-19,6.39
2016-07-20,6.43
2016-07-21,6.43
2016-07-22,6.43
2016-07-25,6.485
2016-07-26,6.44
2016-07-27,6.47
2016-07-28,6.44
2016-07-29,6.45
2016-08-01,6.45
2016-08-02,6.45
2016-08-03,6.475
2016-08-04,6.47
2016-08-05,6.45
2016-08-08,6.46
2016-08-09,6.475
2016-08-10,6.49
2016-08-11,6.51
2016-08-12,6.485
2016-08-15,6.525
2016-08-16,6.5
2016-08-17,6.5
2016-08-18,6.515
2016-08-19,6.52
2016-08-22,6.57
2016-08-23,6.545
2016-08-24,6.49
2016-08-25,6.52
2016-08-26,6.525
2016-08-29,6.535
2016-08-30,6.53
2016-08-31,6.525
2016-09-01,6.555
2016-09-02,6.51
2016-09-05,6.51
2016-09-06,6.505
2016-09-07,6.41
2016-09-08,6.47
2016-09-09,6.52
2016-09-12,6.53
2016-09-13,6.53
2016-09-14,6.45
2016-09-15,6.47
2016-09-16,6.44
2016-09-19,6.43
2016-09-20,6.43
2016-09-21,6.4375
2016-09-22,6.4
2016-09-23,6.4
2016-09-26,6.44
2016-09-27,6.41
2016-09-28,6.41
2016-09-29,6.445
2016-09-30,6.42
2016-10-03,6.415
2016-10-04,6.275
2016-10-05,6.31
2016-10-06,6.355
2016-10-07,6.31
2016-10-10,6.31
2016-10-11,6.3
2016-10-12,6.3
2016-10-13,6.2975
2016-10-14,6.29
2016-10-17,6.285
2016-10-18,6.26
2016-10-19,6.27
2016-10-20,6.29
2016-10-21,6.28
2016-10-24,6.255
2016-10-25,6.26
2016-10-26,6.255
2016-10-27,6.275
2016-10-28,6.255
2016-10-31,6.28
2016-11-01,6.26
2016-11-02,6.245
2016-11-03,6.25
2016-11-04,6.27
2016-11-07,6.26
2016-11-08,6.26
2016-11-09,6.115
2016-11-10,6.12
2016-11-11,6.14
2016-11-15,6.05
2016-11-16,6.02
2016-11-17,6.065
2016-11-18,6.035
2016-11-21,5.99
2016-11-22,5.96
2016-11-23,5.945
2016-11-24,5.87
2016-11-25,5.99
2016-11-28,6.045
2016-11-29,6.09
2016-11-30,5.98
2016-12-01,5.9925
2016-12-02,5.9925
2016-12-05,5.975
2016-12-06,5.95
2016-12-07,6.22
2016-12-08,6.23
2016-12-09,6.215
2016-12-12,6.23
2016-12-13,6.22
2016-12-14,6.18
2016-12-15,6.225
2016-12-16,6.255
2016-12-19,6.225
2016-12-20,6.25
2016-12-21,6.265
2016-12-22,6.23
2016-12-23,6.275
2016-12-27,6.28
2016-12-28,6.28
2016-12-29,6.23
2016-12-30,6.22
2017-01-02,6.19
2017-01-03,6.2
2017-01-04,6.19
2017-01-05,6.22
2017-01-06,6.2125
2017-01-09,6.17
2017-01-10,6.185
2017-01-11,6.19
2017-01-12,6.185
2017-01-13,6.1825
2017-01-16,6.18
2017-01-17,6.16
2017-01-18,6.17
2017-01-19,6.17
2017-01-20,6.1825
