Date,Value
2016-01-04,7.13
2016-01-05,7.11
2016-01-06,7.08
2016-01-07,7.075
2016-01-08,7.105
2016-01-11,7.105
2016-01-12,6.96
2016-01-13,7.125
2016-01-14,7.12
2016-01-15,7.13
2016-01-18,7.12
2016-01-19,7.115
2016-01-20,7.085
2016-01-21,7.11
2016-01-22,7.095
2016-01-25,7.08
2016-01-26,7.06
2016-01-27,7.05
2016-01-28,7.04
2016-01-29,6.975
2016-02-01,7.035
2016-02-02,7.11
2016-02-03,7.12
2016-02-04,7.13
2016-02-05,7.105
2016-02-09,7.1
2016-02-10,7.0825
2016-02-11,7.065
2016-02-12,7.085
2016-02-15,7.12
2016-02-16,7.1175
2016-02-17,7.115
2016-02-18,7.105
2016-02-22,7.15
2016-02-23,7.1825
2016-02-24,7.14
2016-02-25,7.13
2016-02-26,7.09
2016-02-29,6.99
2016-03-01,6.975
2016-03-02,7.03
2016-03-03,7.03
2016-03-04,7.045
2016-03-08,7.08
2016-03-09,7.075
2016-03-10,7.08
2016-03-11,7.145
2016-03-14,7.11
2016-03-15,7.06
2016-03-16,7.075
2016-03-17,7.025
2016-03-18,7.06
2016-03-21,7.01
2016-03-22,7.01
2016-03-23,7.005
2016-03-28,7.005
2016-03-29,7.02
2016-03-30,7.025
2016-03-31,6.57
2016-04-04,6.55
2016-04-05,6.5325
2016-04-06,6.52
2016-04-07,6.51
2016-04-11,6.525
2016-04-12,6.5
2016-04-13,6.54
2016-04-14,6.54
2016-04-18,6.525
2016-04-20,6.53
2016-04-21,6.575
2016-04-22,6.5625
2016-04-25,6.545
2016-04-26,6.57
2016-04-27,6.565
2016-04-28,6.555
2016-04-29,6.525
2016-05-04,6.575
2016-05-05,6.575
2016-05-06,6.54
2016-05-09,6.55
2016-05-10,6.565
2016-05-12,6.55
2016-05-13,6.59
2016-05-16,6.6
2016-05-17,6.62
2016-05-18,6.585
2016-05-19,6.59
2016-05-20,6.575
2016-05-23,6.535
2016-05-24,6.56
2016-05-25,6.57
2016-05-26,6.57
2016-05-30,6.575
2016-06-01,6.565
2016-06-02,6.57
2016-06-03,6.555
2016-06-06,6.53
2016-06-07,6.53
2016-06-09,6.515
2016-06-10,6.525
2016-06-13,6.54
2016-06-14,6.575
2016-06-15,6.56
2016-06-16,6.52
2016-06-17,6.56
2016-06-20,6.57
2016-06-21,6.545
2016-06-22,6.515
2016-06-23,6.48
2016-06-24,6.46
2016-06-27,6.47
2016-06-28,6.455
2016-06-29,6.435
2016-06-30,6.4575
2016-07-01,6.4375
2016-07-04,6.425
2016-07-05,6.3975
2016-07-07,6.4
2016-07-08,6.39
2016-07-11,6.4
2016-07-12,6.36
2016-07-13,6.395
2016-07-14,6.43
2016-07-15,6.46
2016-07-18,6.465
2016-07-19,6.465
2016-07-20,6.46
2016-07-21,6.485
2016-07-22,6.485
2016-07-25,6.495
2016-07-26,6.475
2016-07-27,6.47
2016-07-28,6.465
2016-07-29,6.445
2016-08-01,6.45
2016-08-02,6.475
2016-08-03,6.475
2016-08-04,6.47
2016-08-05,6.46
2016-08-08,6.46
2016-08-09,6.475
2016-08-10,6.49
2016-08-11,6.505
2016-08-12,6.485
2016-08-16,6.5125
2016-08-18,6.5275
2016-08-19,6.51
2016-08-22,6.56
2016-08-23,6.515
2016-08-24,6.515
2016-08-25,6.495
2016-08-26,6.51
2016-08-29,6.535
2016-08-30,6.545
2016-08-31,6.52
2016-09-01,6.555
2016-09-02,6.54
2016-09-06,6.505
2016-09-07,6.425
2016-09-08,6.445
2016-09-09,6.485
2016-09-12,6.49
2016-09-14,6.445
2016-09-15,6.465
2016-09-16,6.44
2016-09-19,6.48
2016-09-20,6.485
2016-09-22,6.42
2016-09-23,6.385
2016-09-26,6.42
2016-09-27,6.395
2016-09-28,6.3825
2016-09-29,6.445
2016-09-30,6.4325
2016-10-03,6.365
2016-10-04,6.3
2016-10-05,6.315
2016-10-06,6.355
2016-10-07,6.325
2016-10-10,6.3
2016-10-13,6.295
2016-10-14,6.29
2016-10-17,6.27
2016-10-18,6.26
2016-10-19,6.27
2016-10-21,6.25
2016-10-24,6.255
2016-10-25,6.235
2016-10-26,6.2475
2016-10-27,6.265
2016-10-28,6.255
2016-11-01,6.26
2016-11-02,6.245
2016-11-03,6.26
2016-11-04,6.255
2016-11-08,6.255
2016-11-09,6.095
2016-11-10,6.095
2016-11-11,6.14
2016-11-15,6.035
2016-11-16,6.02
2016-11-17,6.065
2016-11-18,6.06
2016-11-21,5.96
2016-11-22,5.935
2016-11-23,5.935
2016-11-24,5.9
2016-11-25,5.925
2016-11-28,5.99
2016-11-29,5.975
2016-11-30,5.97
2016-12-01,5.94
2016-12-02,5.925
2016-12-05,5.935
2016-12-06,5.92
2016-12-07,6.225
2016-12-08,6.205
2016-12-09,6.205
2016-12-13,6.205
2016-12-14,6.17
2016-12-15,6.215
2016-12-16,6.205
2016-12-19,6.225
2016-12-20,6.23
2016-12-21,6.225
2016-12-22,6.22
2016-12-23,6.22
2016-12-29,6.215
2016-12-30,6.34
2017-01-02,6.19
2017-01-03,6.28
2017-01-04,6.27
2017-01-05,6.255
2017-01-06,6.255
2017-01-09,6.32
2017-01-10,6.315
2017-01-11,6.27
2017-01-12,6.245
2017-01-13,6.28
2017-01-16,6.3
2017-01-17,6.275
2017-01-18,6.26
2017-01-19,6.26
2017-01-20,6.245
2017-01-23,6.26
2017-01-24,6.25
2017-01-25,6.245
2017-01-27,6.215
2017-01-30,6.215
2017-01-31,6.22
2017-02-01,6.215
2017-02-02,6.23
2017-02-03,6.225
2017-02-07,6.235
2017-02-08,6.385
2017-02-09,6.355
2017-02-10,6.365
2017-02-13,6.38
2017-02-14,6.375
2017-02-15,6.335
2017-02-16,6.32
2017-02-17,6.325
2017-02-20,6.36
2017-02-21,6.36
2017-02-22,6.345
2017-02-23,6.335
2017-02-27,6.33
2017-02-28,6.34
2017-03-01,6.355
2017-03-02,6.39
2017-03-03,6.395
2017-03-06,6.39
2017-03-07,6.29
2017-03-08,6.27
2017-03-09,6.27
2017-03-10,6.345
2017-03-14,6.395
2017-03-15,6.255
2017-03-16,6.27
2017-03-17,6.275
2017-03-20,6.31
2017-03-21,6.37
2017-03-22,6.31
2017-03-23,6.28
2017-03-24,6.265
2017-03-27,6.295
2017-03-29,6.28
2017-03-30,6.25
2017-03-31,6.21
2017-04-03,6.21
2017-04-04,6.19
2017-04-05,6.19
2017-04-06,6.26
2017-04-07,6.235
2017-04-10,6.18
2017-04-11,6.19
2017-04-12,6.2
2017-04-13,6.21
2017-04-17,6.23
2017-04-18,6.205
2017-04-19,6.2
2017-04-20,6.205
2017-04-21,6.24
2017-04-24,6.24
2017-04-25,6.26
2017-04-26,6.26
2017-04-27,6.26
2017-04-28,6.27
2017-05-02,6.265
2017-05-03,6.255
2017-05-04,6.27
2017-05-05,6.28
2017-05-08,6.24
2017-05-09,6.25
2017-05-10,6.28
2017-05-11,6.235
2017-05-12,6.22
2017-05-15,6.22
2017-05-16,6.2175
2017-05-17,6.22
2017-05-18,6.22
2017-05-19,6.215
2017-05-22,6.24
2017-05-23,6.22
2017-05-24,6.235
2017-05-25,6.215
2017-05-26,6.205
2017-05-29,6.21
2017-05-30,6.205
2017-05-31,6.245
2017-06-01,6.19
2017-06-02,6.195
2017-06-05,6.2
2017-06-06,6.205
2017-06-07,6.205
2017-06-08,6.2
2017-06-09,6.175
2017-06-12,6.195
2017-06-13,6.15
2017-06-14,6.16
2017-06-15,6.155
2017-06-16,6.15
2017-06-19,6.155
2017-06-20,6.15
2017-06-21,6.155
2017-06-22,6.15
2017-06-23,6.155
2017-06-27,6.145
2017-06-28,6.15
2017-06-29,6.145
2017-06-30,6.1575
2017-07-03,6.1425
2017-07-04,6.1375
2017-07-05,6.1375
2017-07-06,6.14
2017-07-07,6.155
2017-07-10,6.15
2017-07-11,6.155
2017-07-12,6.1475
2017-07-13,6.14
2017-07-14,6.1575
2017-07-17,6.155
2017-07-18,6.1475
2017-07-19,6.1225
2017-07-21,6.1025
2017-07-24,6.1025
2017-07-25,6.1175
2017-07-26,6.085
2017-07-27,6.08
2017-07-28,6.085
2017-07-31,6.095
2017-08-01,6.0775
2017-08-02,6.02
2017-08-03,6.035
2017-08-04,6.0475
2017-08-07,6.05
2017-08-08,6.045
2017-08-09,6.0425
2017-08-10,6.065
2017-08-11,6.0525
2017-08-14,6.0375
2017-08-15,6.06
2017-08-16,6.0675
2017-08-18,6.0575
2017-08-21,6.0425
2017-08-22,6.0575
2017-08-23,6.01
2017-08-24,6.0625
2017-08-28,6.065
2017-08-29,6.055
2017-08-30,6.03
2017-08-31,6.0325
2017-09-01,6.0
2017-09-04,6.0125
2017-09-05,6.0075
2017-09-06,6.005
2017-09-07,6.025
2017-09-08,6.035
2017-09-11,6.0225
2017-09-12,6.04
2017-09-13,6.0375
2017-09-14,6.0475
2017-09-15,6.05
2017-09-18,6.0525
2017-09-20,6.0425
2017-09-21,6.05
2017-09-22,6.0425
2017-09-25,6.0025
2017-09-26,6.005
2017-09-27,6.005
2017-09-28,5.96
2017-09-29,5.93
2017-10-02,5.93
2017-10-03,5.9375
2017-10-04,5.985
2017-10-05,5.995
2017-10-06,5.9975
2017-10-09,6.005
2017-10-11,5.995
2017-10-12,5.995
2017-10-13,5.97
2017-10-16,5.975
2017-10-17,6.0
2017-10-18,6.0
2017-10-23,6.0025
2017-10-24,6.005
2017-10-25,6.015
2017-10-26,6.0275
2017-10-27,6.025
2017-10-30,6.0225
2017-10-31,6.0125
2017-11-01,6.0175
2017-11-02,6.0225
2017-11-03,6.0075
2017-11-07,6.0375
2017-11-08,6.0275
