Date,Value
2016-01-04,7.03
2016-01-05,7.015
2016-01-06,6.955
2016-01-07,6.97
2016-01-08,6.94
2016-01-11,6.92
2016-01-12,6.93
2016-01-13,6.92
2016-01-14,6.925
2016-01-15,6.925
2016-01-18,6.91
2016-01-19,6.925
2016-01-20,6.895
2016-01-21,6.885
2016-01-22,6.895
2016-01-25,6.86
2016-01-26,6.86
2016-01-27,6.85
2016-01-28,6.845
2016-01-29,6.775
2016-02-01,6.815
2016-02-02,6.92
2016-02-03,6.915
2016-02-04,6.92
2016-02-05,6.905
2016-02-09,6.87
2016-02-10,6.88
2016-02-11,6.855
2016-02-12,6.8575
2016-02-15,6.91
2016-02-16,6.9175
2016-02-17,6.915
2016-02-18,6.92
2016-02-22,6.97
2016-02-23,6.9975
2016-02-24,6.965
2016-02-25,6.99
2016-02-26,6.935
2016-02-29,6.83
2016-03-01,6.775
2016-03-02,6.825
2016-03-03,6.85
2016-03-04,6.835
2016-03-08,6.895
2016-03-09,6.875
2016-03-10,6.895
2016-03-11,6.94
2016-03-14,6.905
2016-03-15,6.88
2016-03-16,6.88
2016-03-17,6.845
2016-03-18,6.865
2016-03-21,6.805
2016-03-22,6.8
2016-03-23,6.8
2016-03-28,6.8
2016-03-29,6.8
2016-03-30,6.79
2016-03-31,6.575
2016-04-04,6.545
2016-04-05,6.535
2016-04-06,6.52
2016-04-07,6.51
2016-04-11,6.525
2016-04-12,6.525
2016-04-13,6.565
2016-04-14,6.565
2016-04-18,6.55
2016-04-20,6.555
2016-04-21,6.595
2016-04-22,6.5825
2016-04-26,6.57
2016-04-27,6.565
2016-04-28,6.555
2016-04-29,6.545
2016-05-04,6.555
2016-05-05,6.565
2016-05-06,6.555
2016-05-09,6.555
2016-05-10,6.56
2016-05-11,6.565
2016-05-12,6.555
2016-05-13,6.59
2016-05-16,6.61
2016-05-17,6.61
2016-05-18,6.605
2016-05-19,6.605
2016-05-20,6.565
2016-05-23,6.57
2016-05-24,6.575
2016-05-25,6.5875
2016-05-26,6.585
2016-06-01,6.6
2016-06-02,6.58
2016-06-03,6.58
2016-06-06,6.545
2016-06-07,6.545
2016-06-08,6.56
2016-06-09,6.5475
2016-06-10,6.56
2016-06-13,6.565
2016-06-14,6.585
2016-06-16,6.58
2016-06-20,6.585
2016-06-21,6.575
2016-06-22,6.57
2016-06-23,6.54
2016-06-24,6.51
2016-06-27,6.485
2016-06-28,6.4975
2016-06-29,6.48
2016-06-30,6.4725
2016-07-01,6.44
2016-07-04,6.43
2016-07-05,6.4175
2016-07-07,6.445
2016-07-11,6.405
2016-07-12,6.435
2016-07-13,6.37
2016-07-14,6.415
2016-07-15,6.42
2016-07-18,6.445
2016-07-19,6.425
2016-07-20,6.45
2016-07-21,6.46
2016-07-22,6.46
2016-07-25,6.475
2016-07-26,6.475
2016-07-27,6.445
2016-07-28,6.425
2016-07-29,6.4425
2016-08-01,6.44
2016-08-02,6.455
2016-08-03,6.48
2016-08-08,6.465
2016-08-09,6.48
2016-08-10,6.495
2016-08-11,6.5075
2016-08-12,6.505
2016-08-22,6.575
2016-08-23,6.535
2016-08-24,6.51
2016-08-29,6.525
2016-08-30,6.525
2016-08-31,6.535
2016-09-02,6.52
2016-09-06,6.49
2016-09-07,6.45
2016-09-08,6.45
2016-09-12,6.485
2016-09-13,6.485
2016-09-14,6.445
2016-09-15,6.45
2016-09-16,6.44
2016-09-19,6.44
2016-09-20,6.45
2016-09-21,6.4425
2016-09-22,6.4
2016-09-23,6.39
2016-09-26,6.405
2016-09-27,6.39
2016-09-29,6.47
2016-09-30,6.425
2016-10-03,6.395
2016-10-04,6.35
2016-10-05,6.365
2016-10-06,6.36
2016-10-07,6.365
2016-10-10,6.345
2016-10-11,6.35
2016-10-13,6.3325
2016-10-14,6.325
2016-10-17,6.32
2016-10-18,6.32
2016-10-19,6.305
2016-10-21,6.305
2016-10-24,6.3
2016-10-25,6.295
2016-10-26,6.2825
2016-10-28,6.295
2016-11-01,6.285
2016-11-02,6.2675
2016-11-03,6.275
2016-11-07,6.28
2016-11-08,6.265
2016-11-09,6.135
2016-11-10,6.12
2016-11-11,6.16
2016-11-15,6.055
2016-11-16,6.06
2016-11-17,6.04
2016-11-18,6.07
2016-11-21,5.975
2016-11-22,5.955
2016-11-23,5.945
2016-11-24,5.88
2016-11-25,5.975
2016-11-28,6.06
2016-11-29,6.025
2016-11-30,5.975
2016-12-01,5.98
2016-12-02,5.9725
2016-12-05,5.965
2016-12-06,5.93
2016-12-07,6.185
2016-12-08,6.22
2016-12-09,6.21
2016-12-14,6.18
2016-12-15,6.215
2016-12-16,6.21
2016-12-21,6.205
2016-12-22,6.225
2016-12-23,6.225
2016-12-30,6.21
2017-01-02,6.2
2017-01-03,6.2
2017-01-04,6.155
2017-01-05,6.22
2017-01-06,6.17
2017-01-09,6.17
2017-01-10,6.185
2017-01-11,6.19
2017-01-12,6.18
2017-01-13,6.21
2017-01-16,6.195
2017-01-17,6.19
2017-01-18,6.21
2017-01-19,6.2
2017-01-20,6.195
2017-01-23,6.2
2017-01-24,6.19
2017-01-25,6.17
2017-01-27,6.1575
2017-01-30,6.155
2017-01-31,6.165
2017-02-01,6.16
2017-02-02,6.1575
2017-02-03,6.17
2017-02-07,6.18
2017-02-08,6.33
2017-02-09,6.34
2017-02-10,6.32
2017-02-13,6.325
2017-02-14,6.32
2017-02-15,6.325
2017-02-16,6.315
2017-02-17,6.3175
2017-02-20,6.33
2017-02-21,6.33
2017-02-22,6.33
2017-02-23,6.325
2017-02-24,6.325
2017-02-28,6.31
2017-03-01,6.325
2017-03-03,6.34
2017-03-06,6.33
2017-03-07,6.3225
2017-03-08,6.33
2017-03-09,6.31
2017-03-10,6.315
2017-03-14,6.34
2017-03-15,6.3
2017-03-16,6.315
2017-03-17,6.315
2017-03-20,6.34
2017-03-21,6.315
2017-03-22,6.31
2017-03-23,6.285
2017-03-24,6.295
2017-03-27,6.27
2017-03-28,6.27
2017-03-29,6.2625
2017-03-30,6.27
2017-03-31,6.265
2017-04-03,6.265
2017-04-04,6.26
2017-04-05,6.245
2017-04-06,6.315
2017-04-07,6.29
2017-04-10,6.305
2017-04-11,6.29
2017-04-13,6.265
2017-04-17,6.3
2017-04-18,6.29
2017-04-19,6.28
2017-04-20,6.285
2017-04-21,6.325
2017-04-24,6.345
2017-04-25,6.33
2017-04-26,6.345
2017-04-27,6.345
2017-04-28,6.34
