Date,Value
2016-01-04,6.965
2016-01-05,6.955
2016-01-06,6.93
2016-01-07,6.895
2016-01-08,6.8575
2016-01-11,6.8525
2016-01-12,6.855
2016-01-13,6.8575
2016-01-14,6.875
2016-01-15,6.91
2016-01-18,6.885
2016-01-19,6.8825
2016-01-20,6.835
2016-01-21,6.813
2016-01-22,6.835
2016-01-25,6.828
2016-01-27,6.78
2016-01-28,6.79
2016-01-29,6.715
2016-02-01,6.763
2016-02-02,6.875
2016-02-03,6.875
2016-02-04,6.873
2016-02-05,6.85
2016-02-08,6.865
2016-02-09,6.86
2016-02-10,6.84
2016-02-11,6.805
2016-02-12,6.825
2016-02-15,6.87
2016-02-16,6.87
2016-02-17,6.88
2016-02-18,6.88
2016-02-22,6.925
2016-02-23,6.965
2016-02-24,6.945
2016-02-25,6.955
2016-02-26,6.9025
2016-02-29,6.77
2016-03-01,6.73
2016-03-02,6.78
2016-03-03,6.815
2016-03-04,6.808
2016-03-08,6.87
2016-03-09,6.85
2016-03-10,6.86
2016-03-11,6.885
2016-03-14,6.86
2016-03-15,6.825
2016-03-16,6.84
2016-03-17,6.795
2016-03-18,6.825
2016-03-21,6.765
2016-03-22,6.77
2016-03-23,6.76
2016-03-28,6.75
2016-03-29,6.745
2016-03-30,6.735
2016-03-31,6.57
2016-04-04,6.53
2016-04-05,6.505
2016-04-06,6.515
2016-04-07,6.51
2016-04-11,6.53
2016-04-12,6.5325
2016-04-13,6.55
2016-04-18,6.543
2016-04-20,6.535
2016-04-21,6.553
2016-04-22,6.555
2016-04-26,6.575
2016-04-27,6.56
2016-04-28,6.555
2016-04-29,6.55
2016-05-04,6.57
2016-05-05,6.568
2016-05-06,6.568
2016-05-09,6.57
2016-05-10,6.57
2016-05-11,6.575
2016-05-12,6.565
2016-05-13,6.605
2016-05-16,6.615
2016-05-17,6.62
2016-05-18,6.62
2016-05-19,6.615
2016-05-20,6.61
2016-05-23,6.575
2016-05-24,6.59
2016-05-25,6.6
2016-05-26,6.615
2016-06-01,6.63
2016-06-02,6.6125
2016-06-03,6.62
2016-06-06,6.593
2016-06-07,6.58
2016-06-08,6.565
2016-06-10,6.57
2016-06-13,6.585
2016-06-14,6.6075
2016-06-16,6.605
2016-06-17,6.615
2016-06-20,6.625
2016-06-22,6.59
2016-06-23,6.573
2016-06-24,6.525
2016-06-27,6.5
2016-06-28,6.51
2016-06-29,6.505
2016-06-30,6.52
2016-07-01,6.495
2016-07-04,6.495
2016-07-05,6.475
2016-07-07,6.475
2016-07-08,6.475
2016-07-11,6.47
2016-07-12,6.445
2016-07-13,6.4
2016-07-14,6.415
2016-07-15,6.445
2016-07-18,6.45
2016-07-19,6.435
2016-07-20,6.455
2016-07-21,6.465
2016-07-22,6.455
2016-07-25,6.47
2016-07-26,6.47
2016-07-27,6.465
2016-07-28,6.44
2016-07-29,6.43
2016-08-01,6.44
2016-08-02,6.47
2016-08-03,6.485
2016-08-04,6.49
2016-08-08,6.47
2016-08-09,6.47
2016-08-10,6.48
2016-08-11,6.505
2016-08-12,6.505
2016-08-16,6.51
2016-08-19,6.515
2016-08-22,6.545
2016-08-23,6.525
2016-08-24,6.51
2016-08-25,6.505
2016-08-29,6.515
2016-08-30,6.515
2016-08-31,6.52
2016-09-01,6.535
2016-09-02,6.525
2016-09-06,6.485
2016-09-07,6.43
2016-09-09,6.465
2016-09-12,6.475
2016-09-14,6.44
2016-09-15,6.46
2016-09-16,6.44
2016-09-19,6.455
2016-09-20,6.465
2016-09-22,6.3925
2016-09-23,6.398
2016-09-26,6.398
2016-09-27,6.385
2016-09-28,6.395
2016-09-29,6.43
2016-09-30,6.42
2016-10-03,6.365
2016-10-04,6.31
2016-10-05,6.31
2016-10-06,6.315
2016-10-07,6.325
2016-10-10,6.305
2016-10-14,6.285
2016-10-17,6.285
2016-10-18,6.27
2016-10-19,6.255
2016-10-20,6.27
2016-10-21,6.255
2016-10-24,6.25
2016-10-25,6.24
2016-10-26,6.25
2016-10-27,6.27
2016-10-28,6.265
2016-11-01,6.255
2016-11-02,6.24
2016-11-03,6.235
2016-11-08,6.255
2016-11-09,6.105
2016-11-10,6.105
2016-11-11,6.145
2016-11-15,6.04
2016-11-16,6.03
2016-11-17,6.035
2016-11-18,6.045
2016-11-21,5.99
2016-11-22,5.96
2016-11-23,5.915
2016-11-24,5.845
2016-11-25,5.92
2016-11-28,6.005
2016-11-29,6.005
2016-11-30,5.955
2016-12-01,5.955
2016-12-02,5.955
2016-12-05,5.945
2016-12-06,5.915
2016-12-07,6.18
2016-12-08,6.18
2016-12-09,6.19
2016-12-13,6.18
2016-12-14,6.16
2016-12-15,6.18
2016-12-16,6.175
2016-12-21,6.2
2016-12-29,6.195
2016-12-30,6.17
2017-01-02,6.16
2017-01-03,6.155
2017-01-04,6.145
2017-01-05,6.16
2017-01-06,6.16
2017-01-09,6.175
2017-01-10,6.165
2017-01-11,6.17
2017-01-12,6.155
2017-01-13,6.195
2017-01-16,6.19
2017-01-17,6.183
2017-01-18,6.203
2017-01-19,6.195
2017-01-20,6.198
2017-01-23,6.195
2017-01-24,6.185
2017-01-25,6.19
2017-01-30,6.175
2017-01-31,6.175
2017-02-01,6.17
2017-02-02,6.173
2017-02-03,6.175
2017-02-06,6.175
2017-02-07,6.18
2017-02-08,6.345
2017-02-09,6.35
2017-02-10,6.345
2017-02-13,6.35
2017-02-14,6.355
2017-02-17,6.345
2017-02-20,6.375
2017-02-22,6.365
2017-02-23,6.36
2017-02-28,6.35
2017-03-01,6.373
2017-03-02,6.37
2017-03-07,6.363
2017-03-08,6.365
2017-03-09,6.36
2017-03-10,6.368
2017-03-14,6.365
2017-03-15,6.33
2017-03-16,6.335
2017-03-17,6.338
2017-03-20,6.345
2017-03-21,6.335
2017-03-22,6.32
2017-03-23,6.315
2017-03-24,6.325
2017-03-27,6.31
2017-03-29,6.31
2017-03-30,6.315
2017-03-31,6.315
2017-04-03,6.31
2017-04-05,6.3
2017-04-06,6.3575
2017-04-07,6.3575
2017-04-10,6.37
2017-04-11,6.36
2017-04-12,6.355
2017-04-13,6.325
2017-04-17,6.36
2017-04-18,6.345
2017-04-19,6.335
2017-04-20,6.345
2017-04-21,6.38
2017-04-24,6.385
2017-04-25,6.4
2017-04-26,6.4
2017-04-27,6.413
2017-04-28,6.405
2017-05-02,6.41
2017-05-03,6.41
2017-05-04,6.415
2017-05-05,6.395
2017-05-08,6.385
2017-05-09,6.385
2017-05-10,6.385
2017-05-11,6.365
2017-05-12,6.36
2017-05-15,6.335
2017-05-16,6.33
2017-05-17,6.335
2017-05-18,6.33
2017-05-19,6.335
2017-05-22,6.325
2017-05-23,6.315
2017-05-24,6.313
2017-05-25,6.29
2017-05-26,6.28
2017-05-30,6.275
2017-05-31,6.275
2017-06-01,6.255
2017-06-02,6.215
2017-06-05,6.225
2017-06-06,6.2325
2017-06-07,6.19
2017-06-08,6.2025
2017-06-09,6.195
2017-06-12,6.185
2017-06-13,6.14
2017-06-14,6.125
2017-06-15,6.12
2017-06-16,6.13
2017-06-19,6.135
2017-06-20,6.14
2017-06-21,6.125
2017-06-22,6.13
2017-06-23,6.125
2017-06-27,6.1225
2017-06-28,6.125
2017-06-29,6.1325
2017-06-30,6.175
2017-07-03,6.1865
2017-07-04,6.175
2017-07-05,6.1825
2017-07-06,6.18
2017-07-07,6.1775
2017-07-10,6.16
2017-07-11,6.17
2017-07-12,6.16
2017-07-13,6.155
2017-07-14,6.16
2017-07-17,6.1575
2017-07-18,6.155
2017-07-19,6.145
2017-07-20,6.1375
2017-07-21,6.125
2017-07-24,6.12
2017-07-25,6.155
2017-07-26,6.15
2017-07-27,6.145
2017-07-28,6.15
2017-07-31,6.145
2017-08-01,6.14
2017-08-02,6.09
2017-08-03,6.06
2017-08-04,6.07
2017-08-07,6.068
2017-08-08,6.065
2017-08-09,6.07
2017-08-10,6.085
2017-08-11,6.0725
2017-08-14,6.085
2017-08-16,6.0925
2017-08-18,6.075
2017-08-21,6.07
2017-08-22,6.075
2017-08-23,6.0875
2017-08-24,6.095
2017-08-28,6.11
2017-08-29,6.095
2017-08-30,6.1
2017-08-31,6.1025
2017-09-01,6.0775
2017-09-04,6.075
2017-09-05,6.07
2017-09-06,6.07
2017-09-07,6.09
2017-09-08,6.0875
2017-09-11,6.088
2017-09-12,6.1
2017-09-13,6.1025
2017-09-14,6.11
2017-09-15,6.12
2017-09-18,6.1225
2017-09-19,6.118
2017-09-20,6.1125
2017-09-21,6.128
2017-09-22,6.125
2017-09-25,6.095
2017-09-26,6.0975
2017-09-27,6.095
2017-09-28,6.06
2017-09-29,6.02
2017-10-03,6.02
2017-10-04,6.07
2017-10-05,6.083
2017-10-06,6.0775
2017-10-09,6.0825
2017-10-10,6.075
2017-10-11,6.075
2017-10-12,6.0825
2017-10-13,6.0675
2017-10-16,6.05
2017-10-17,6.0725
2017-10-18,6.075
2017-10-23,6.08
2017-10-24,6.08
2017-10-25,6.103
2017-10-26,6.1
2017-10-27,6.1075
2017-10-30,6.1125
2017-10-31,6.105
2017-11-01,6.12
2017-11-02,6.105
2017-11-03,6.1075
2017-11-06,6.1175
2017-11-07,6.1365
2017-11-08,6.13
2017-11-09,6.1415
2017-11-10,6.16
2017-11-13,6.175
2017-11-14,6.2025
2017-11-15,6.2125
2017-11-16,6.223
2017-11-17,6.245
2017-11-20,6.205
2017-11-21,6.2325
2017-11-22,6.245
2017-11-23,6.255
2017-11-24,6.255
2017-11-27,6.263
2017-11-28,6.225
2017-11-29,6.2175
2017-11-30,6.25
2017-12-04,6.26
2017-12-05,6.27
2017-12-06,6.225
2017-12-07,6.2375
2017-12-08,6.2475
2017-12-11,6.25
2017-12-12,6.265
2017-12-13,6.3225
2017-12-14,6.315
2017-12-15,6.32
2017-12-18,6.305
2017-12-19,6.325
2017-12-20,6.3425
2017-12-21,6.37
2017-12-22,6.358
2017-12-27,6.345
2017-12-28,6.365
2017-12-29,6.353
2018-01-02,6.375
2018-01-03,6.3475
2018-01-04,6.345
2018-01-05,6.32
2018-01-08,6.3175
2018-01-09,6.3475
2018-01-10,6.375
2018-01-11,6.338
2018-01-12,6.348
2018-01-15,6.34
2018-01-16,6.37
2018-01-17,6.313
2018-01-18,6.335
2018-01-19,6.33
2018-01-22,6.315
2018-01-23,6.31
2018-01-24,6.315
2018-01-25,6.3225
2018-01-29,6.345
2018-01-30,6.34
2018-01-31,6.338
2018-02-01,6.395
2018-02-02,6.41
2018-02-05,6.4225
2018-02-06,6.4225
2018-02-07,6.3725
2018-02-08,6.345
2018-02-09,6.37
2018-02-12,6.36
2018-02-14,6.3475
2018-02-15,6.355
2018-02-16,6.37
2018-02-20,6.41
2018-02-21,6.395
2018-02-22,6.415
