Date,Value
2016-01-01,7.07
2016-01-04,7.055
2016-01-05,7.04
2016-01-06,7.035
2016-01-07,6.98
2016-01-08,6.96
2016-01-11,6.94
2016-01-12,6.965
2016-01-13,6.985
2016-01-14,6.98
2016-01-15,7.0
2016-01-18,6.995
2016-01-19,6.97
2016-01-20,6.93
2016-01-21,6.895
2016-01-22,6.9
2016-01-25,6.91
2016-01-27,6.895
2016-01-28,6.89
2016-01-29,6.863
2016-02-01,6.89
2016-02-02,6.965
2016-02-03,6.97
2016-02-04,6.95
2016-02-05,6.93
2016-02-08,6.95
2016-02-09,6.94
2016-02-10,6.925
2016-02-11,6.89
2016-02-12,6.89
2016-02-15,6.92
2016-02-16,6.93
2016-02-17,6.93
2016-02-18,6.945
2016-02-22,6.975
2016-02-23,7.005
2016-02-24,7.025
2016-02-25,7.06
2016-02-26,7.0
2016-02-29,6.845
2016-03-01,6.83
2016-03-02,6.87
2016-03-03,6.88
2016-03-04,6.905
2016-03-08,6.935
2016-03-09,6.93
2016-03-10,6.93
2016-03-11,6.95
2016-03-14,6.935
2016-03-15,6.92
2016-03-16,6.92
2016-03-17,6.88
2016-03-18,6.88
2016-03-21,6.86
2016-03-22,6.87
2016-03-23,6.865
2016-03-28,6.855
2016-03-29,6.87
2016-03-30,6.85
2016-03-31,6.697
2016-04-04,6.68
2016-04-05,6.67
2016-04-06,6.66
2016-04-07,6.66
2016-04-11,6.66
2016-04-12,6.665
2016-04-13,6.68
2016-04-18,6.665
2016-04-20,6.675
2016-04-21,6.705
2016-04-22,6.695
2016-04-25,6.69
2016-04-26,6.7
2016-04-27,6.695
2016-04-28,6.685
2016-04-29,6.67
2016-05-02,6.66
2016-05-03,6.68
2016-05-04,6.68
2016-05-05,6.675
2016-05-06,6.67
2016-05-09,6.675
2016-05-10,6.68
2016-05-11,6.685
2016-05-12,6.685
2016-05-13,6.695
2016-05-16,6.7
2016-05-17,6.7
2016-05-18,6.7
2016-05-19,6.69
2016-05-20,6.68
2016-05-23,6.68
2016-05-24,6.68
2016-05-25,6.69
2016-05-26,6.68
2016-05-27,6.675
2016-05-30,6.68
2016-05-31,6.68
2016-06-01,6.69
2016-06-02,6.685
2016-06-03,6.68
2016-06-06,6.66
2016-06-07,6.67
2016-06-08,6.68
2016-06-09,6.68
2016-06-10,6.675
2016-06-13,6.685
2016-06-14,6.69
2016-06-15,6.69
2016-06-16,6.7
2016-06-17,6.69
2016-06-20,6.695
2016-06-21,6.675
2016-06-22,6.655
2016-06-23,6.62
2016-06-24,6.58
2016-06-27,6.54
2016-06-28,6.56
2016-06-29,6.55
2016-06-30,6.545
2016-07-01,6.555
2016-07-04,6.555
2016-07-05,6.515
2016-07-07,6.51
2016-07-08,6.505
2016-07-11,6.5
2016-07-12,6.4625
2016-07-13,6.43
2016-07-14,6.445
2016-07-15,6.465
2016-07-18,6.495
2016-07-19,6.49
2016-07-20,6.49
2016-07-21,6.5
2016-07-22,6.5
2016-07-25,6.525
2016-07-26,6.505
2016-07-27,6.51
2016-07-28,6.475
2016-07-29,6.5
2016-08-01,6.465
2016-08-02,6.5
2016-08-03,6.515
2016-08-04,6.505
2016-08-05,6.505
2016-08-08,6.51
2016-08-09,6.51
2016-08-10,6.535
2016-08-11,6.535
2016-08-12,6.54
2016-08-16,6.53
2016-08-18,6.545
2016-08-19,6.55
2016-08-22,6.585
2016-08-23,6.58
2016-08-24,6.56
2016-08-25,6.565
2016-08-26,6.565
2016-08-29,6.575
2016-08-30,6.57
2016-08-31,6.56
2016-09-01,6.565
2016-09-02,6.555
2016-09-06,6.54
2016-09-07,6.495
2016-09-08,6.49
2016-09-09,6.5
2016-09-12,6.51
2016-09-13,6.51
2016-09-14,6.49
2016-09-15,6.475
2016-09-16,6.48
2016-09-19,6.475
2016-09-20,6.48
2016-09-21,6.465
2016-09-22,6.435
2016-09-23,6.44
2016-09-26,6.44
2016-09-27,6.435
2016-09-28,6.43
2016-09-29,6.485
2016-09-30,6.47
2016-10-03,6.43
2016-10-04,6.41
2016-10-05,6.385
2016-10-06,6.395
2016-10-07,6.395
2016-10-10,6.38
2016-10-13,6.39
2016-10-14,6.365
2016-10-17,6.365
2016-10-18,6.36
2016-10-19,6.34
2016-10-20,6.35
2016-10-21,6.35
2016-10-24,6.34
2016-10-25,6.335
2016-10-26,6.34
2016-10-27,6.34
2016-10-28,6.35
2016-11-01,6.36
2016-11-02,6.34
2016-11-03,6.34
2016-11-04,6.34
2016-11-07,6.35
2016-11-08,6.345
2016-11-09,6.195
2016-11-10,6.15
2016-11-11,6.185
2016-11-15,6.08
2016-11-16,6.09
2016-11-17,6.11
2016-11-18,6.12
2016-11-21,6.03
2016-11-22,6.01
2016-11-23,5.97
2016-11-24,5.88
2016-11-25,5.96
2016-11-28,6.03
2016-11-29,6.04
2016-11-30,6.005
2016-12-01,5.99
2016-12-02,6.0
2016-12-05,5.99
2016-12-06,5.98
2016-12-07,5.96
2016-12-08,6.21
2016-12-09,6.2
2016-12-14,6.19
2016-12-15,6.215
2016-12-16,6.215
2016-12-19,6.205
2016-12-20,6.215
2016-12-21,6.195
2016-12-22,6.22
2016-12-23,6.215
2016-12-26,6.21
2016-12-27,6.21
2016-12-28,6.22
2016-12-29,6.195
2016-12-30,6.185
2017-01-02,6.15
2017-01-03,6.175
2017-01-04,6.17
2017-01-05,6.15
2017-01-06,6.1775
2017-01-09,6.18
2017-01-10,6.18
2017-01-11,6.18
2017-01-12,6.17
2017-01-13,6.18
2017-01-16,6.195
2017-01-17,6.185
2017-01-18,6.195
2017-01-19,6.205
2017-01-20,6.21
2017-01-23,6.205
2017-01-24,6.2
2017-01-25,6.2
2017-01-27,6.21
2017-01-30,6.195
2017-01-31,6.19
2017-02-01,6.195
2017-02-02,6.19
2017-02-03,6.195
2017-02-06,6.19
2017-02-07,6.195
2017-02-08,6.38
2017-02-09,6.415
2017-02-10,6.405
2017-02-13,6.405
2017-02-14,6.42
2017-02-15,6.4
2017-02-16,6.405
2017-02-17,6.41
2017-02-20,6.425
2017-02-22,6.43
2017-02-23,6.43
2017-02-27,6.42
2017-02-28,6.42
2017-03-01,6.44
2017-03-02,6.45
2017-03-03,6.44
2017-03-06,6.44
2017-03-07,6.43
2017-03-08,6.43
2017-03-09,6.43
2017-03-10,6.44
2017-03-14,6.445
2017-03-15,6.425
2017-03-16,6.41
2017-03-17,6.425
2017-03-20,6.435
2017-03-21,6.43
2017-03-22,6.41
2017-03-23,6.4
2017-03-24,6.4
2017-03-27,6.39
2017-03-29,6.4
2017-03-30,6.4
2017-03-31,6.4104
2017-04-03,6.41
2017-04-05,6.41
2017-04-06,6.4
2017-04-07,6.46
2017-04-10,6.46
2017-04-11,6.45
2017-04-12,6.44
2017-04-13,6.425
2017-04-17,6.44
2017-04-18,6.445
2017-04-19,6.43
2017-04-20,6.44
2017-04-21,6.48
2017-04-24,6.48
2017-04-25,6.49
2017-04-26,6.51
2017-04-27,6.505
2017-04-28,6.5207
2017-05-02,6.52
2017-05-03,6.52
2017-05-04,6.515
2017-05-05,6.5
2017-05-08,6.49
2017-05-09,6.5
2017-05-11,6.51
2017-05-12,6.495
2017-05-15,6.47
2017-05-16,6.48
2017-05-17,6.47
2017-05-18,6.47
2017-05-19,6.47
2017-05-22,6.45
2017-05-23,6.435
2017-05-24,6.44
2017-05-25,6.43
2017-05-26,6.415
2017-05-29,6.42
2017-05-30,6.42
2017-05-31,6.42
2017-06-01,6.38
2017-06-02,6.37
2017-06-05,6.36
2017-06-06,6.36
2017-06-07,6.31
2017-06-08,6.28
2017-06-09,6.26
2017-06-12,6.26
2017-06-13,6.22
2017-06-14,6.21
2017-06-15,6.22
2017-06-16,6.22
2017-06-19,6.22
2017-06-20,6.22
2017-06-21,6.2
2017-06-22,6.19
2017-06-23,6.2
2017-06-27,6.2
2017-06-28,6.21
2017-06-29,6.24
2017-06-30,6.25
2017-07-03,6.27
2017-07-04,6.25
2017-07-05,6.245
2017-07-06,6.25
2017-07-07,6.25
2017-07-10,6.225
2017-07-11,6.23
2017-07-12,6.225
2017-07-13,6.22
2017-07-14,6.21
2017-07-17,6.21
2017-07-18,6.21
2017-07-19,6.195
2017-07-20,6.19
2017-07-21,6.18
2017-07-24,6.18
2017-07-25,6.19
2017-07-26,6.19
2017-07-27,6.19
2017-07-28,6.19
2017-07-31,6.19
2017-08-01,6.19
2017-08-02,6.17
2017-08-03,6.13
2017-08-04,6.13
2017-08-07,6.15
2017-08-08,6.14
2017-08-09,6.15
2017-08-10,6.15
2017-08-11,6.16
2017-08-14,6.16
2017-08-16,6.16
2017-08-18,6.16
2017-08-21,6.16
2017-08-22,6.165
2017-08-23,6.17
2017-08-24,6.165
2017-08-28,6.17
2017-08-29,6.17
2017-08-30,6.17
2017-08-31,6.16
2017-09-01,6.14
2017-09-04,6.135
2017-09-05,6.13
2017-09-06,6.11
2017-09-07,6.115
2017-09-08,6.11
2017-09-11,6.125
2017-09-12,6.13
2017-09-13,6.15
2017-09-14,6.145
2017-09-15,6.155
2017-09-18,6.155
2017-09-19,6.14
2017-09-20,6.13
2017-09-21,6.15
2017-09-22,6.155
2017-09-25,6.125
2017-09-26,6.13
2017-09-27,6.13
2017-09-28,6.11
2017-09-29,6.095
2017-10-03,6.08
2017-10-04,6.135
2017-10-05,6.13
2017-10-06,6.13
2017-10-09,6.13
2017-10-10,6.12
2017-10-11,6.12
2017-10-12,6.12
2017-10-13,6.1
2017-10-16,6.09
2017-10-17,6.095
2017-10-18,6.11
2017-10-23,6.13
2017-10-24,6.13
2017-10-25,6.145
2017-10-26,6.15
2017-10-27,6.16
2017-10-30,6.17
2017-10-31,6.16
2017-11-01,6.17
2017-11-02,6.16
2017-11-03,6.17
2017-11-06,6.1725
2017-11-07,6.19
2017-11-08,6.19
2017-11-09,6.18
2017-11-10,6.22
2017-11-13,6.235
2017-11-14,6.28
2017-11-15,6.27
2017-11-16,6.295
2017-11-17,6.26
2017-11-20,6.2497
2017-11-21,6.27
2017-11-22,6.29
2017-11-23,6.3
2017-11-24,6.3
2017-11-27,6.31
2017-11-28,6.29
2017-11-29,6.29
2017-11-30,6.3
2017-12-04,6.32
2017-12-05,6.31
2017-12-06,6.3
2017-12-07,6.29
2017-12-08,6.29
2017-12-11,6.305
2017-12-12,6.32
2017-12-13,6.37
2017-12-14,6.36
2017-12-15,6.37
2017-12-18,6.38
2017-12-19,6.37
2017-12-20,6.4
2017-12-21,6.43
2017-12-22,6.46
2017-12-26,6.43
2017-12-27,6.43
2017-12-28,6.48
2017-12-29,6.45
2018-01-01,6.445
2018-01-02,6.46
2018-01-03,6.46
2018-01-04,6.465
2018-01-05,6.45
2018-01-08,6.44
2018-01-09,6.44
2018-01-10,6.48
2018-01-11,6.465
2018-01-12,6.46
2018-01-15,6.46
2018-01-16,6.49
