Date,Value
2016-01-01,6.92
2016-01-04,6.925
2016-01-05,6.92
2016-01-06,6.915
2016-01-07,6.9
2016-01-08,6.88
2016-01-11,6.87
2016-01-12,6.9
2016-01-13,6.935
2016-01-14,6.935
2016-01-15,6.94
2016-01-18,6.955
2016-01-19,6.935
2016-01-20,6.915
2016-01-21,6.875
2016-01-22,6.87
2016-01-25,6.875
2016-01-27,6.855
2016-01-28,6.855
2016-01-29,7.26
2016-02-01,7.275
2016-02-02,7.32
2016-02-03,7.32
2016-02-04,7.32
2016-02-05,7.32
2016-02-08,7.34
2016-02-09,7.345
2016-02-10,7.35
2016-02-11,7.365
2016-02-12,7.36
2016-02-15,7.39
2016-02-16,7.38
2016-02-17,7.34
2016-02-18,7.33
2016-02-22,7.32
2016-02-23,7.35
2016-02-24,7.35
2016-02-25,7.37
2016-02-26,7.36
2016-02-29,7.195
2016-03-01,7.205
2016-03-02,7.2
2016-03-03,7.245
2016-03-04,7.235
2016-03-08,7.29
2016-03-09,7.275
2016-03-10,7.291
2016-03-11,7.365
2016-03-14,7.34
2016-03-15,7.355
2016-03-16,7.325
2016-03-17,7.335
2016-03-18,7.295
2016-03-21,7.28
2016-03-22,7.28
2016-03-23,7.28
2016-03-28,7.28
2016-03-29,7.315
2016-03-30,7.3
2016-03-31,6.615
2016-04-04,6.575
2016-04-05,6.585
2016-04-06,6.575
2016-04-07,6.58
2016-04-11,6.555
2016-04-12,6.56
2016-04-13,6.56
2016-04-18,6.53
2016-04-20,6.57
2016-04-21,6.57
2016-04-22,6.57
2016-04-25,6.57
2016-04-26,6.565
2016-04-27,6.56
2016-04-28,6.55
2016-04-29,6.545
2016-05-02,6.53
2016-05-03,6.555
2016-05-04,6.555
2016-05-05,6.56
2016-05-06,6.54
2016-05-09,6.565
2016-05-10,6.57
2016-05-11,6.565
2016-05-12,6.56
2016-05-13,6.56
2016-05-16,6.57
2016-05-17,6.58
2016-05-18,6.57
2016-05-19,6.575
2016-05-20,6.575
2016-05-23,6.57
2016-05-24,6.58
2016-05-25,6.565
2016-05-26,6.57
2016-05-27,6.58
2016-05-30,6.545
2016-05-31,6.535
2016-06-01,6.525
2016-06-02,6.525
2016-06-03,6.51
2016-06-06,6.49
2016-06-07,6.495
2016-06-08,6.51
2016-06-09,6.51
2016-06-10,6.505
2016-06-13,6.51
2016-06-14,6.52
2016-06-15,6.5
2016-06-16,6.485
2016-06-17,6.46
2016-06-20,6.48
2016-06-21,6.46
2016-06-22,6.435
2016-06-23,6.43
2016-06-24,6.4
2016-06-27,6.39
