Date,Value
2016-01-04,0.059
2016-01-05,0.05875
2016-01-06,0.058
2016-01-07,0.057
2016-01-08,0.055
2016-01-12,0.056
2016-01-13,0.0538
2016-01-14,0.05
2016-01-15,0.05
2016-01-18,0.05
2016-01-19,0.047
2016-01-20,0.0463
2016-01-21,0.0463
2016-01-22,0.046
2016-01-25,0.045
2016-01-26,0.0444
2016-01-27,0.0425
2016-01-28,0.04
2016-01-29,-0.05
2016-02-01,-0.09375
2016-02-02,-0.071
2016-02-03,-0.08
2016-02-04,-0.10375
2016-02-05,-0.1175
2016-02-08,-0.13
2016-02-09,-0.145
2016-02-10,-0.1488
2016-02-12,-0.155
2016-02-15,-0.152
2016-02-16,-0.155
2016-02-17,-0.1544
2016-02-18,-0.17625
2016-02-19,-0.2075
2016-02-22,-0.20625
2016-02-23,-0.202
2016-02-24,-0.2
2016-02-25,-0.1975
2016-02-26,-0.206
2016-02-29,-0.2156
2016-03-01,-0.22
2016-03-02,-0.198
2016-03-03,-0.185
2016-03-04,-0.185
2016-03-07,-0.184
2016-03-08,-0.19
2016-03-09,-0.1825
2016-03-10,-0.1725
2016-03-11,-0.155
2016-03-14,-0.149
2016-03-15,-0.1313
2016-03-16,-0.13125
2016-03-17,-0.13125
2016-03-18,-0.1419
2016-03-21,-0.14125
2016-03-22,-0.133
2016-03-23,-0.1263
2016-03-24,-0.1225
2016-03-25,-0.13
2016-03-28,-0.1306
2016-03-29,-0.1288
2016-03-30,-0.13875
2016-03-31,-0.14
2016-04-01,-0.139
2016-04-04,-0.145
2016-04-05,-0.14625
2016-04-06,-0.14875
2016-04-07,-0.1575
2016-04-08,-0.1625
2016-04-11,-0.165
2016-04-12,-0.1613
2016-04-13,-0.1525
2016-04-14,-0.14875
2016-04-15,-0.15625
2016-04-18,-0.183
2016-04-19,-0.1913
2016-04-20,-0.20375
2016-04-21,-0.203
2016-04-22,-0.244
2016-04-25,-0.25
2016-04-26,-0.2413
2016-04-27,-0.22375
2016-04-28,-0.185
2016-05-02,-0.18375
2016-05-03,-0.185
2016-05-04,-0.185
2016-05-06,-0.183
2016-05-09,-0.187
2016-05-10,-0.20375
2016-05-11,-0.2075
2016-05-12,-0.2125
2016-05-13,-0.21125
2016-05-16,-0.21875
2016-05-17,-0.21375
2016-05-18,-0.2075
2016-05-19,-0.193
2016-05-20,-0.19625
2016-05-23,-0.2
2016-05-24,-0.20125
2016-05-25,-0.1994
2016-05-26,-0.20125
2016-05-27,-0.2038
2016-05-30,-0.20375
2016-05-31,-0.204
2016-06-01,-0.20625
2016-06-02,-0.20875
2016-06-03,-0.20875
2016-06-06,-0.2125
2016-06-07,-0.2088
2016-06-08,-0.204
2016-06-09,-0.21375
2016-06-10,-0.226
2016-06-13,-0.22875
2016-06-14,-0.229
2016-06-15,-0.238
2016-06-16,-0.22375
2016-06-17,-0.21
2016-06-20,-0.213
2016-06-21,-0.21
2016-06-22,-0.2075
2016-06-23,-0.2031
2016-06-24,-0.2344
2016-06-27,-0.23875
2016-06-28,-0.245
2016-06-29,-0.244
2016-06-30,-0.2381
2016-07-01,-0.243
2016-07-04,-0.2438
2016-07-05,-0.2444
2016-07-06,-0.2538
2016-07-07,-0.26
2016-07-08,-0.27
2016-07-11,-0.273
2016-07-12,-0.2625
2016-07-13,-0.25875
2016-07-14,-0.26
2016-07-15,-0.24733
2016-07-18,-0.245
2016-07-19,-0.24625
2016-07-20,-0.2425
2016-07-21,-0.2381
2016-07-22,-0.23625
2016-07-25,-0.233
2016-07-26,-0.23125
2016-07-27,-0.247
2016-07-28,-0.2425
2016-07-29,-0.1625
2016-08-01,-0.135
2016-08-02,-0.13
2016-08-03,-0.13
2016-08-04,-0.127
2016-08-05,-0.145
2016-08-08,-0.13475
2016-08-09,-0.13564
2016-08-10,-0.13375
2016-08-12,-0.13
2016-08-15,-0.11625
2016-08-16,-0.124
2016-08-17,-0.1218
2016-08-18,-0.1365
2016-08-19,-0.1375
2016-08-22,-0.1425
2016-08-23,-0.1475
2016-08-24,-0.15
2016-08-25,-0.1523
2016-08-26,-0.15125
2016-08-29,-0.1513
2016-08-30,-0.1631
2016-08-31,-0.172
2016-09-01,-0.166
2016-09-02,-0.1625
2016-09-05,-0.167
2016-09-06,-0.167
2016-09-07,-0.1625
2016-09-08,-0.16252
2016-09-09,-0.173
2016-09-12,-0.17432
2016-09-13,-0.173
2016-09-14,-0.18
2016-09-15,-0.1825
2016-09-16,-0.18
2016-09-19,-0.18
