Date,Value
2016-01-01,0.073
2016-01-04,0.0725
2016-01-05,0.0725
2016-01-06,0.07375
2016-01-07,0.07375
2016-01-08,0.07375
2016-01-11,0.0725
2016-01-12,0.0725
2016-01-13,0.07375
2016-01-14,0.07375
2016-01-15,0.07375
2016-01-18,0.07375
2016-01-19,0.07375
2016-01-20,0.07375
2016-01-21,0.0738
2016-01-22,0.0738
2016-01-25,0.0738
2016-01-26,0.0725
2016-01-27,0.0738
2016-01-28,0.0738
2016-01-29,0.0025
2016-02-01,0.0025
2016-02-02,0.055
2016-02-03,0.055
2016-02-04,0.055
2016-02-05,0.055
2016-02-08,0.0475
2016-02-09,0.034
2016-02-10,-0.004
2016-02-11,-0.0025
2016-02-12,-0.01
2016-02-15,-0.035
2016-02-16,-0.01127
2016-02-17,-0.0025
2016-02-18,-0.0125
2016-02-19,-0.01063
2016-02-22,-0.01
2016-02-23,-0.01
2016-02-24,-0.01
2016-02-25,-0.01
2016-02-26,-0.01
2016-02-29,-0.003
2016-03-01,-0.002
2016-03-02,-0.01
2016-03-03,-0.0113
2016-03-04,-0.01
2016-03-07,-0.01
2016-03-08,-0.01
2016-03-09,-0.01
2016-03-10,-0.015
2016-03-11,-0.012
2016-03-14,-0.0105
2016-03-15,-0.00125
2016-03-16,-0.0025
2016-03-17,-0.001
2016-03-18,-0.0025
2016-03-21,-0.0025
2016-03-22,-0.005
2016-03-23,-0.005
2016-03-24,-0.0095
2016-03-25,-0.005
2016-03-28,-0.0063
2016-03-29,-0.0063
2016-03-30,-0.006
2016-03-31,-0.0063
2016-04-01,-0.006
2016-04-04,-0.006
2016-04-05,-0.007
2016-04-06,-0.008
2016-04-07,-0.0088
2016-04-08,-0.0103
2016-04-11,-0.011
2016-04-12,-0.01
2016-04-13,-0.007
2016-04-14,-0.01375
2016-04-15,-0.01125
2016-04-18,-0.07
2016-04-19,-0.0725
2016-04-20,-0.08
2016-04-21,-0.0825
2016-04-22,-0.09
2016-04-25,-0.09
2016-04-26,-0.0775
2016-04-27,-0.07625
2016-04-28,-0.063
2016-04-29,-0.079
2016-05-02,-0.065
2016-05-03,-0.0688
2016-05-04,-0.071
2016-05-05,-0.0688
2016-05-06,-0.0688
2016-05-09,-0.07
2016-05-10,-0.07
2016-05-11,-0.066
2016-05-12,-0.067
2016-05-13,-0.06625
2016-05-16,-0.07125
2016-05-17,-0.07125
2016-05-18,-0.0675
2016-05-19,-0.0675
2016-05-20,-0.059
2016-05-23,-0.06
2016-05-24,-0.0575
2016-05-25,-0.06
2016-05-26,-0.06
2016-05-27,-0.0575
2016-05-30,-0.06
2016-05-31,-0.06125
2016-06-01,-0.055
2016-06-02,-0.056
2016-06-03,-0.055
2016-06-06,-0.0525
2016-06-07,-0.0575
2016-06-08,-0.0588
2016-06-09,-0.072
2016-06-10,-0.06
2016-06-13,-0.06
2016-06-14,-0.06
2016-06-15,-0.065
2016-06-16,-0.055
2016-06-17,-0.058
2016-06-20,-0.058
2016-06-21,-0.05875
2016-06-22,-0.06
2016-06-23,-0.0625
2016-06-24,-0.0625
2016-06-27,-0.0625
2016-06-28,-0.0625
2016-06-29,-0.06375
2016-06-30,-0.065
2016-07-01,-0.0638
2016-07-04,-0.0638
2016-07-05,-0.0638
2016-07-06,-0.0638
2016-07-07,-0.06
2016-07-08,-0.06
2016-07-11,-0.0575
2016-07-12,-0.0575
2016-07-13,-0.05627
2016-07-14,-0.055
2016-07-15,-0.0516
2016-07-18,-0.07
2016-07-19,-0.0507
2016-07-20,-0.05328
2016-07-21,-0.0541
2016-07-22,-0.05562
2016-07-25,-0.05424
2016-07-26,-0.0538
2016-07-27,-0.05807
2016-07-28,-0.05884
2016-07-29,-0.041
2016-08-01,-0.0375
2016-08-02,-0.04027
2016-08-03,-0.03996
2016-08-04,-0.04
2016-08-05,-0.04005
2016-08-08,-0.04125
2016-08-09,-0.04332
2016-08-10,-0.04641
2016-08-11,-0.048
2016-08-12,-0.04608
2016-08-15,-0.04208
2016-08-16,-0.0417
2016-08-17,-0.04411
2016-08-18,-0.0444
2016-08-19,-0.0445
2016-08-22,-0.0475
2016-08-23,-0.0482
2016-08-24,-0.04817
2016-08-25,-0.04851
2016-08-26,-0.04625
2016-08-29,-0.048
2016-08-30,-0.04875
2016-08-31,-0.04937
2016-09-01,-0.05
2016-09-02,-0.04984
2016-09-05,-0.05
2016-09-06,-0.04851
2016-09-07,-0.049
2016-09-08,-0.0488
2016-09-09,-0.04897
2016-09-12,-0.05037
2016-09-13,-0.052
2016-09-14,-0.05859
2016-09-15,-0.06696
2016-09-16,-0.06888
2016-09-19,-0.082
2016-09-20,-0.06914
