Date,Value
2016-01-01,0.072
2016-01-04,0.0725
2016-01-05,0.072
2016-01-06,0.073
2016-01-07,0.073
2016-01-08,0.073
2016-01-11,0.0725
2016-01-12,0.0725
2016-01-13,0.0725
2016-01-14,0.072
2016-01-15,0.072
2016-01-18,0.07125
2016-01-19,0.0713
2016-01-20,0.0713
2016-01-21,0.0713
2016-01-22,0.07063
2016-01-25,0.07
2016-01-26,0.07
2016-01-27,0.07
2016-01-28,0.07
2016-01-29,-0.05
2016-02-01,-0.0119
2016-02-02,-0.0094
2016-02-03,0.016
2016-02-04,0.008
2016-02-05,2e-06
2016-02-08,-0.0044
2016-02-09,-0.0119
2016-02-10,-0.0163
2016-02-11,-0.000506
2016-02-12,-0.005
2016-02-15,-0.035
2016-02-16,-0.008
2016-02-17,-0.0169
2016-02-18,-0.021
2016-02-19,-0.025
2016-02-22,-0.02625
2016-02-23,-0.03
2016-02-24,-0.0306
2016-02-25,-0.032
2016-02-26,-0.0325
2016-02-29,-0.0356
2016-03-01,-0.027
2016-03-02,-0.026
2016-03-03,-0.0306
2016-03-04,-0.027
2016-03-07,-0.03
2016-03-08,-0.0325
2016-03-09,-0.023
2016-03-10,-0.02625
2016-03-11,-0.02
2016-03-14,-0.02
2016-03-15,-0.008
2016-03-16,-0.00875
2016-03-17,-0.005
2016-03-18,-0.0063
2016-03-21,-0.0063
2016-03-22,-0.0125
2016-03-23,-0.01
2016-03-24,-0.015
2016-03-25,-0.008
2016-03-28,-0.0106
2016-03-29,-0.011
2016-03-30,-0.011
2016-03-31,-0.015
2016-04-01,-0.008
2016-04-04,-0.01
2016-04-05,-0.01
2016-04-06,-0.021
2016-04-07,-0.024
2016-04-08,-0.025
2016-04-11,-0.025
2016-04-12,-0.027
2016-04-13,-0.025
2016-04-14,-0.031
2016-04-15,-0.031
2016-04-18,-0.075
2016-04-19,-0.081
2016-04-20,-0.087
2016-04-21,-0.087
2016-04-22,-0.1075
2016-04-25,-0.1056
2016-04-26,-0.105
2016-04-27,-0.0975
2016-04-28,-0.075
2016-04-29,-0.072
2016-05-02,-0.0775
2016-05-03,-0.0763
2016-05-04,-0.074
2016-05-05,-0.0763
2016-05-06,-0.0775
2016-05-09,-0.0775
2016-05-10,-0.08
2016-05-11,-0.0819
2016-05-12,-0.0806
2016-05-13,-0.0875
2016-05-16,-0.0825
2016-05-17,-0.0856
2016-05-18,-0.071
2016-05-19,-0.07375
2016-05-20,-0.0763
2016-05-23,-0.07625
2016-05-24,-0.075
2016-05-25,-0.0775
2016-05-26,-0.079
2016-05-27,-0.0813
2016-05-30,-0.0775
2016-05-31,-0.0813
2016-06-01,-0.08
2016-06-02,-0.0844
2016-06-03,-0.085
2016-06-06,-0.0825
2016-06-07,-0.085
2016-06-08,-0.083
2016-06-09,-0.09
2016-06-10,-0.095
2016-06-13,-0.094
2016-06-14,-0.092
2016-06-15,-0.093
2016-06-16,-0.063
2016-06-17,-0.06
2016-06-20,-0.062
2016-06-21,-0.065
2016-06-22,-0.065
2016-06-23,-0.06625
2016-06-24,-0.066
2016-06-27,-0.07
2016-06-28,-0.0725
2016-06-29,-0.069
2016-06-30,-0.075
2016-07-01,-0.075
2016-07-04,-0.075
2016-07-05,-0.075
2016-07-06,-0.08
2016-07-07,-0.077
2016-07-08,-0.077
2016-07-11,-0.078
2016-07-12,-0.1025
2016-07-13,-0.0975
2016-07-14,-0.09116
2016-07-15,-0.09475
2016-07-18,-0.0981
2016-07-19,-0.09556
2016-07-20,-0.0931
2016-07-21,-0.09407
2016-07-22,-0.09733
2016-07-25,-0.09728
2016-07-26,-0.088
2016-07-27,-0.092
2016-07-28,-0.093
2016-07-29,-0.045
2016-08-01,-0.043
2016-08-02,-0.045
2016-08-03,-0.04375
2016-08-04,-0.04074
2016-08-05,-0.04307
2016-08-08,-0.04393
2016-08-09,-0.045
2016-08-10,-0.0475
2016-08-11,-0.05
2016-08-12,-0.04642
2016-08-15,-0.04656
2016-08-16,-0.046
2016-08-17,-0.0467
2016-08-18,-0.0469
2016-08-19,-0.04875
2016-08-22,-0.05
2016-08-23,-0.051
2016-08-24,-0.05125
2016-08-25,-0.055
2016-08-26,-0.05636
2016-08-29,-0.05637
2016-08-30,-0.05911
2016-08-31,-0.065
2016-09-01,-0.07375
2016-09-02,-0.07194
2016-09-05,-0.07204
2016-09-06,-0.07332
2016-09-07,-0.07
2016-09-08,-0.0675
2016-09-09,-0.06883
2016-09-12,-0.07561
2016-09-13,-0.07529
2016-09-14,-0.08
2016-09-15,-0.08375
2016-09-16,-0.08366
2016-09-19,-0.0875
2016-09-20,-0.0875
2016-09-21,-0.0625
2016-09-22,-0.0625
2016-09-23,-0.062
2016-09-26,-0.06126
2016-09-27,-0.06022
2016-09-28,-0.05881
2016-09-29,-0.05874
2016-09-30,-0.05975
2016-10-03,-0.06
2016-10-04,-0.05863
2016-10-05,-0.053
2016-10-06,-0.05742
2016-10-07,-0.048
2016-10-10,-0.051
2016-10-11,-0.05128
2016-10-12,-0.04915
2016-10-13,-0.05197
2016-10-14,-0.05367
2016-10-17,-0.055
2016-10-18,-0.055
2016-10-19,-0.05501
2016-10-20,-0.054
2016-10-21,-0.047
2016-10-24,-0.0475
2016-10-25,-0.051
2016-10-26,-0.05
2016-10-27,-0.0444
2016-10-28,-0.04604
2016-10-31,-0.0475
2016-11-01,-0.0475
2016-11-02,-0.0475
2016-11-03,-0.048
2016-11-04,-0.0475
2016-11-07,-0.0475
2016-11-08,-0.0475
2016-11-09,-0.0475
2016-11-10,-0.04949
2016-11-11,-0.04944
2016-11-14,-0.05273
2016-11-15,-0.05
2016-11-16,-0.05
2016-11-17,-0.047
2016-11-18,-0.04978
2016-11-21,-0.051
2016-11-22,-0.05237
2016-11-23,-0.052
2016-11-24,-0.0525
2016-11-25,-0.0538
2016-11-28,-0.055
2016-11-29,-0.055
2016-11-30,-0.055
2016-12-01,-0.05541
2016-12-02,-0.05533
2016-12-05,-0.055
2016-12-06,-0.05433
2016-12-07,-0.05434
2016-12-08,-0.05516
2016-12-09,-0.05544
2016-12-12,-0.05516
2016-12-13,-0.05478
2016-12-14,-0.0528
2016-12-15,-0.04998
2016-12-16,-0.04866
2016-12-19,-0.045
2016-12-20,-0.0425
2016-12-21,-0.04
2016-12-22,-0.038
2016-12-23,-0.038
2016-12-26,-0.03805
2016-12-27,-0.03985
2016-12-28,-0.0413
2016-12-29,-0.04177
2016-12-30,-0.04117
2017-01-02,-0.043
2017-01-03,-0.044
2017-01-04,-0.044
2017-01-05,-0.0431
2017-01-06,-0.0425
2017-01-09,-0.0438
2017-01-10,-0.042
2017-01-11,-0.039
2017-01-12,-0.0394
2017-01-13,-0.03875
2017-01-16,-0.03904
2017-01-17,-0.0381
2017-01-18,-0.0375
2017-01-19,-0.03848
2017-01-20,-0.0382
2017-01-23,-0.0382
2017-01-24,-0.042
2017-01-25,-0.04159
2017-01-26,-0.042
2017-01-27,-0.0425
2017-01-30,-0.0425
2017-01-31,-0.04375
2017-02-01,-0.04442
2017-02-02,-0.0445
2017-02-03,-0.04346
2017-02-06,-0.044
2017-02-07,-0.04208
2017-02-08,-0.04
2017-02-09,-0.03855
2017-02-10,-0.039
2017-02-13,-0.03853
2017-02-14,-0.038
2017-02-15,-0.04
2017-02-16,-0.04212
2017-02-17,-0.0425
2017-02-20,-0.04256
2017-02-21,-0.0425
2017-02-22,-0.04125
2017-02-23,-0.041
2017-02-24,-0.04131
2017-02-27,-0.04157
2017-02-28,-0.04125
2017-03-01,-0.0419
2017-03-02,-0.0425
2017-03-03,-0.0425
2017-03-06,-0.042
2017-03-07,-0.042
2017-03-08,-0.0425
2017-03-09,-0.04237
2017-03-10,-0.04097
2017-03-13,-0.04099
2017-03-14,-0.041
2017-03-15,-0.042
2017-03-16,-0.042
2017-03-17,-0.042
2017-03-20,-0.0425
2017-03-21,-0.042
2017-03-22,-0.04169
2017-03-23,-0.04152
2017-03-24,-0.04139
2017-03-27,-0.0413
2017-03-28,-0.04128
2017-03-29,-0.0413
2017-03-30,-0.0413
2017-03-31,-0.04131
2017-04-03,-0.0425
2017-04-04,-0.045
2017-04-05,-0.04539
2017-04-06,-0.045
2017-04-07,-0.04708
2017-04-10,-0.0475
2017-04-11,-0.04985
2017-04-12,-0.04911
2017-04-13,-0.0488
2017-04-14,-0.0488
2017-04-17,-0.05
2017-04-18,-0.05
2017-04-19,-0.0525
2017-04-20,-0.05
2017-04-21,-0.052
2017-04-24,-0.0515
2017-04-25,-0.05502
2017-04-26,-0.05861
2017-04-27,-0.05918
2017-04-28,-0.06375
2017-05-01,-0.06125
2017-05-02,-0.06323
2017-05-03,-0.0625
2017-05-04,-0.064
2017-05-05,-0.064
2017-05-08,-0.0638
2017-05-09,-0.058
2017-05-10,-0.05581
2017-05-11,-0.05512
2017-05-12,-0.05386
2017-05-15,-0.05326
2017-05-16,-0.05262
2017-05-17,-0.05335
2017-05-18,-0.055
2017-05-19,-0.05375
2017-05-22,-0.05364
2017-05-23,-0.05385
2017-05-24,-0.055
2017-05-25,-0.05513
2017-05-26,-0.05581
2017-05-29,-0.05567
2017-05-30,-0.0575
2017-05-31,-0.06
2017-06-01,-0.0588
2017-06-02,-0.06
2017-06-05,-0.05992
2017-06-06,-0.05998
2017-06-07,-0.06
2017-06-08,-0.0588
2017-06-09,-0.05853
2017-06-12,-0.05851
2017-06-13,-0.05843
2017-06-14,-0.05831
2017-06-15,-0.05831
2017-06-16,-0.058
2017-06-19,-0.058
2017-06-20,-0.05909
2017-06-21,-0.059
2017-06-22,-0.0577
2017-06-23,-0.0575
2017-06-26,-0.0575
2017-06-27,-0.0575
2017-06-28,-0.0575
2017-06-29,-0.05653
2017-06-30,-0.05654
2017-07-03,-0.05592
2017-07-04,-0.05594
2017-07-05,-0.05594
2017-07-06,-0.05437
2017-07-07,-0.053
2017-07-10,-0.053
2017-07-11,-0.053
2017-07-12,-0.05396
2017-07-13,-0.05388
2017-07-14,-0.053
2017-07-17,-0.0525
2017-07-18,-0.0538
2017-07-19,-0.05521
2017-07-20,-0.05521
2017-07-21,-0.05615
2017-07-24,-0.05641
2017-07-25,-0.05636
2017-07-26,-0.055
2017-07-27,-0.05549
2017-07-28,-0.05625
2017-07-31,-0.05646
2017-08-01,-0.05645
2017-08-02,-0.05648
2017-08-03,-0.0575
2017-08-04,-0.057
2017-08-07,-0.057
2017-08-08,-0.055
2017-08-09,-0.05292
2017-08-10,-0.052
2017-08-11,-0.0525
2017-08-14,-0.05154
2017-08-15,-0.053
2017-08-16,-0.052
2017-08-17,-0.055
2017-08-18,-0.05133
2017-08-21,-0.05291
2017-08-22,-0.05286
2017-08-23,-0.055
2017-08-24,-0.05363
2017-08-25,-0.056
2017-08-28,-0.0556
2017-08-29,-0.0556
2017-08-30,-0.05676
2017-08-31,-0.05789
2017-09-01,-0.06
2017-09-04,-0.06
2017-09-05,-0.06
2017-09-06,-0.06
2017-09-07,-0.06027
2017-09-08,-0.06027
2017-09-11,-0.06034
2017-09-12,-0.06038
2017-09-13,-0.06038
2017-09-14,-0.06
2017-09-15,-0.06
2017-09-18,-0.06
2017-09-19,-0.06
2017-09-20,-0.06
2017-09-21,-0.059
2017-09-22,-0.05875
2017-09-25,-0.05875
2017-09-26,-0.05875
2017-09-27,-0.05859
2017-09-28,-0.05836
2017-09-29,-0.0585
2017-10-02,-0.0625
2017-10-03,-0.06
2017-10-04,-0.05875
2017-10-05,-0.05706
2017-10-06,-0.052
2017-10-09,-0.0525
2017-10-10,-0.0525
2017-10-11,-0.04941
2017-10-12,-0.04743
2017-10-13,-0.044
2017-10-16,-0.043
2017-10-17,-0.04222
2017-10-18,-0.04269
2017-10-19,-0.04108
2017-10-20,-0.041
2017-10-23,-0.0409
2017-10-24,-0.0475
2017-10-25,-0.04762
2017-10-26,-0.04553
2017-10-27,-0.0456
2017-10-30,-0.04556
2017-10-31,-0.045
2017-11-01,-0.045
2017-11-02,-0.04492
2017-11-03,-0.045
2017-11-06,-0.045
2017-11-07,-0.045
2017-11-08,-0.045
2017-11-09,-0.045
