Date,Value
2016-01-01,0.071
2016-01-04,0.071
2016-01-05,0.071
2016-01-06,0.071
2016-01-07,0.0713
2016-01-08,0.071
2016-01-11,0.0713
2016-01-12,0.071
2016-01-13,0.071
2016-01-14,0.069
2016-01-15,0.07
2016-01-18,0.07
2016-01-19,0.06875
2016-01-20,0.06875
2016-01-21,0.0688
2016-01-22,0.06875
2016-01-25,0.06875
2016-01-26,0.06875
2016-01-27,0.0675
2016-01-28,0.066
2016-01-29,-0.008
2016-02-01,-0.0219
2016-02-02,-0.004
2016-02-03,-0.005
2016-02-04,-0.007
2016-02-05,-0.008
2016-02-08,-0.01625
2016-02-09,-0.0181
2016-02-10,-0.025
2016-02-11,-0.022
2016-02-12,-0.038
2016-02-15,-0.0425
2016-02-16,-0.036
2016-02-17,-0.0319
2016-02-18,-0.039
2016-02-19,-0.043
2016-02-22,-0.0419
2016-02-23,-0.048
2016-02-24,-0.0475
2016-02-25,-0.053
2016-02-26,-0.045
2016-02-29,-0.0519
2016-03-01,-0.047
2016-03-02,-0.0513
2016-03-03,-0.0444
2016-03-04,-0.04
2016-03-07,-0.045
2016-03-08,-0.0475
2016-03-09,-0.045
2016-03-10,-0.0403
2016-03-11,-0.025
2016-03-14,-0.034
2016-03-15,-0.0175
2016-03-16,-0.017
2016-03-17,-0.0175
2016-03-18,-0.015
2016-03-21,-0.0181
2016-03-22,-0.0213
2016-03-23,-0.02
2016-03-24,-0.021
2016-03-25,-0.0256
2016-03-28,-0.0225
2016-03-29,-0.0225
2016-03-30,-0.025
2016-03-31,-0.027
2016-04-01,-0.025
2016-04-04,-0.02875
2016-04-05,-0.02875
2016-04-06,-0.033
2016-04-07,-0.037
2016-04-08,-0.043
2016-04-11,-0.048
2016-04-12,-0.045
2016-04-13,-0.049
2016-04-14,-0.0425
2016-04-15,-0.04625
2016-04-18,-0.088
2016-04-19,-0.093
2016-04-20,-0.0975
2016-04-21,-0.101
2016-04-22,-0.125
2016-04-25,-0.12375
2016-04-26,-0.11875
2016-04-27,-0.1125
2016-04-28,-0.087
2016-04-29,-0.092
2016-05-02,-0.0925
2016-05-03,-0.0925
2016-05-04,-0.092
2016-05-05,-0.0925
2016-05-06,-0.0938
2016-05-09,-0.095
2016-05-10,-0.105
2016-05-11,-0.103
2016-05-12,-0.107
2016-05-13,-0.106
2016-05-16,-0.1063
2016-05-17,-0.105
2016-05-18,-0.0975
2016-05-19,-0.095
2016-05-20,-0.0944
2016-05-23,-0.09125
2016-05-24,-0.09375
2016-05-25,-0.0925
2016-05-26,-0.093
2016-05-27,-0.091
2016-05-30,-0.092
2016-05-31,-0.095
2016-06-01,-0.095
2016-06-02,-0.0975
2016-06-03,-0.1013
2016-06-06,-0.09875
2016-06-07,-0.1025
2016-06-08,-0.1
2016-06-09,-0.105
2016-06-10,-0.105
2016-06-13,-0.1075
2016-06-14,-0.1075
2016-06-15,-0.11125
2016-06-16,-0.08125
2016-06-17,-0.071
2016-06-20,-0.073
2016-06-21,-0.0825
2016-06-22,-0.0825
2016-06-23,-0.0825
2016-06-24,-0.0875
2016-06-27,-0.095
2016-06-28,-0.0975
2016-06-29,-0.10125
2016-06-30,-0.102
2016-07-01,-0.1
2016-07-04,-0.1
2016-07-05,-0.101
2016-07-06,-0.11125
2016-07-07,-0.1138
2016-07-08,-0.1156
2016-07-11,-0.126
2016-07-12,-0.1225
2016-07-13,-0.11754
2016-07-14,-0.1225
2016-07-15,-0.12
2016-07-18,-0.1181
2016-07-19,-0.11791
2016-07-20,-0.115
2016-07-21,-0.10847
2016-07-22,-0.112
2016-07-25,-0.1125
2016-07-26,-0.1112
2016-07-27,-0.1088
2016-07-28,-0.108
2016-07-29,-0.053
2016-08-01,-0.048
2016-08-02,-0.0469
2016-08-03,-0.04709
2016-08-04,-0.04639
2016-08-05,-0.0489
2016-08-08,-0.0525
2016-08-09,-0.04994
2016-08-10,-0.05249
2016-08-11,-0.0538
2016-08-12,-0.0538
2016-08-15,-0.051
2016-08-16,-0.0521
2016-08-17,-0.054
2016-08-18,-0.05563
2016-08-19,-0.05587
2016-08-22,-0.05849
2016-08-23,-0.06208
2016-08-24,-0.06255
2016-08-25,-0.06364
2016-08-26,-0.06397
2016-08-29,-0.0675
2016-08-30,-0.07
2016-08-31,-0.0825
2016-09-01,-0.0825
2016-09-02,-0.08362
2016-09-05,-0.0856
2016-09-06,-0.0869
2016-09-07,-0.08124
2016-09-08,-0.0775
2016-09-09,-0.08
2016-09-12,-0.08699
2016-09-13,-0.081
2016-09-14,-0.095
2016-09-15,-0.09875
2016-09-16,-0.1031
2016-09-19,-0.1031
2016-09-20,-0.105
2016-09-21,-0.073
2016-09-22,-0.073
2016-09-23,-0.07125
2016-09-26,-0.07
2016-09-27,-0.06951
2016-09-28,-0.06979
2016-09-29,-0.07
2016-09-30,-0.071
2016-10-03,-0.06964
2016-10-04,-0.06875
2016-10-05,-0.068
2016-10-06,-0.06958
2016-10-07,-0.062
2016-10-10,-0.063
2016-10-11,-0.06147
2016-10-12,-0.0581
