Date,Value
2016-01-01,0.069
2016-01-04,0.06918
2016-01-05,0.06917
2016-01-06,0.06916
2016-01-07,0.06938
2016-01-08,0.06898
2016-01-11,0.0688
2016-01-12,0.06892
2016-01-13,0.06726
2016-01-14,0.06718
2016-01-15,0.067
2016-01-18,0.067
2016-01-19,0.06625
2016-01-20,0.06625
2016-01-21,0.06625
2016-01-22,0.06617
2016-01-25,0.06625
2016-01-26,0.066
2016-01-27,0.065
2016-01-28,0.063
2016-01-29,-0.014375
2016-02-01,-0.02375
2016-02-02,-0.02
2016-02-03,-0.013
2016-02-04,-0.01625
2016-02-05,-0.0169
2016-02-08,-0.01936
2016-02-09,-0.025
2016-02-10,-0.034
2016-02-11,-0.036
2016-02-12,-0.0563
2016-02-15,-0.05
2016-02-16,-0.05181
2016-02-17,-0.04563
2016-02-18,-0.0531
2016-02-19,-0.062
2016-02-22,-0.0615
2016-02-23,-0.067
2016-02-24,-0.0681
2016-02-25,-0.073
2016-02-26,-0.065
2016-02-29,-0.067
2016-03-01,-0.07128
2016-03-02,-0.063
2016-03-03,-0.058
2016-03-04,-0.06145
2016-03-07,-0.06218
2016-03-08,-0.06408
2016-03-09,-0.058
2016-03-10,-0.055
2016-03-11,-0.0512
2016-03-14,-0.05
2016-03-15,-0.034
2016-03-16,-0.036
2016-03-17,-0.028
2016-03-18,-0.0325
2016-03-21,-0.032
2016-03-22,-0.032
2016-03-23,-0.03233
2016-03-24,-0.03561
2016-03-25,-0.0381
2016-03-28,-0.0373
2016-03-29,-0.03724
2016-03-30,-0.03852
2016-03-31,-0.03893
2016-04-01,-0.04
2016-04-04,-0.043
2016-04-05,-0.044
2016-04-06,-0.047
2016-04-07,-0.051
2016-04-08,-0.055
2016-04-11,-0.06
2016-04-12,-0.063
2016-04-13,-0.064
2016-04-14,-0.059
2016-04-15,-0.063
2016-04-18,-0.095
2016-04-19,-0.09773
2016-04-20,-0.107
2016-04-21,-0.11
2016-04-22,-0.138
2016-04-25,-0.13875
2016-04-26,-0.135
2016-04-27,-0.12875
2016-04-28,-0.105
2016-04-29,-0.105
2016-05-02,-0.1075
2016-05-03,-0.1056
2016-05-04,-0.105
2016-05-05,-0.1056
2016-05-06,-0.108
2016-05-09,-0.107
2016-05-10,-0.12
2016-05-11,-0.12082
2016-05-12,-0.11994
2016-05-13,-0.12
2016-05-16,-0.12172
2016-05-17,-0.12125
2016-05-18,-0.1156
2016-05-19,-0.10659
2016-05-20,-0.10687
2016-05-23,-0.10625
2016-05-24,-0.108
2016-05-25,-0.108
2016-05-26,-0.11
2016-05-27,-0.11078
2016-05-30,-0.108
2016-05-31,-0.1125
2016-06-01,-0.11125
2016-06-02,-0.1119
2016-06-03,-0.113
2016-06-06,-0.118
2016-06-07,-0.115
2016-06-08,-0.1125
2016-06-09,-0.12
2016-06-10,-0.12314
2016-06-13,-0.122
2016-06-14,-0.125
2016-06-15,-0.132
2016-06-16,-0.1025
2016-06-17,-0.095
2016-06-20,-0.0975
2016-06-21,-0.1
2016-06-22,-0.1
2016-06-23,-0.098
2016-06-24,-0.105
2016-06-27,-0.11
2016-06-28,-0.12
2016-06-29,-0.122
2016-06-30,-0.12272
2016-07-01,-0.122
2016-07-04,-0.12247
2016-07-05,-0.12264
2016-07-06,-0.138
2016-07-07,-0.143
2016-07-08,-0.147
2016-07-11,-0.147
2016-07-12,-0.14625
2016-07-13,-0.147
2016-07-14,-0.145
2016-07-15,-0.14
2016-07-18,-0.14
2016-07-19,-0.14124
2016-07-20,-0.1325
2016-07-21,-0.125
2016-07-22,-0.127
2016-07-25,-0.12929
2016-07-26,-0.124
2016-07-27,-0.122
2016-07-28,-0.122
2016-07-29,-0.069
2016-08-01,-0.06
2016-08-02,-0.05994
2016-08-03,-0.06
2016-08-04,-0.058
2016-08-05,-0.06
2016-08-08,-0.05995
2016-08-09,-0.06152
2016-08-10,-0.06378
2016-08-11,-0.0644
2016-08-12,-0.0644
2016-08-15,-0.0645
2016-08-16,-0.068
2016-08-17,-0.06734
2016-08-18,-0.0694
2016-08-19,-0.06981
2016-08-22,-0.073
2016-08-23,-0.0768
2016-08-24,-0.07766
2016-08-25,-0.0775
2016-08-26,-0.078
2016-08-29,-0.083
2016-08-30,-0.084
2016-08-31,-0.1008
2016-09-01,-0.101
2016-09-02,-0.099
2016-09-05,-0.099
2016-09-06,-0.104
2016-09-07,-0.095
2016-09-08,-0.093
2016-09-09,-0.097
2016-09-12,-0.1
2016-09-13,-0.1
2016-09-14,-0.107
2016-09-15,-0.111
2016-09-16,-0.118
2016-09-19,-0.1131
2016-09-20,-0.117
2016-09-21,-0.08
2016-09-22,-0.08
2016-09-23,-0.07875
2016-09-26,-0.077
2016-09-27,-0.079
2016-09-28,-0.083
2016-09-29,-0.08
2016-09-30,-0.08
2016-10-03,-0.07848
2016-10-04,-0.0825
2016-10-05,-0.08
2016-10-06,-0.082
2016-10-07,-0.075
2016-10-10,-0.075
2016-10-11,-0.072
2016-10-12,-0.069
2016-10-13,-0.07
2016-10-14,-0.06944
2016-10-17,-0.06971
2016-10-18,-0.069
2016-10-19,-0.07013
2016-10-20,-0.065
2016-10-21,-0.06178
2016-10-24,-0.059
2016-10-25,-0.06
2016-10-26,-0.059
2016-10-27,-0.056
2016-10-28,-0.05341
2016-10-31,-0.05375
2016-11-01,-0.055
2016-11-02,-0.05648
2016-11-03,-0.058
2016-11-04,-0.056
2016-11-07,-0.055
2016-11-08,-0.06
2016-11-09,-0.057
2016-11-10,-0.058
2016-11-11,-0.057
2016-11-14,-0.057
2016-11-15,-0.058
2016-11-16,-0.052
2016-11-17,-0.055
2016-11-18,-0.053
2016-11-21,-0.055
2016-11-22,-0.056
2016-11-23,-0.056
2016-11-24,-0.056
2016-11-25,-0.05706
2016-11-28,-0.058
2016-11-29,-0.05829
2016-11-30,-0.05846
2016-12-01,-0.058
2016-12-02,-0.0579
2016-12-05,-0.05723
2016-12-06,-0.057
2016-12-07,-0.058
2016-12-08,-0.0575
2016-12-09,-0.0575
2016-12-12,-0.056
2016-12-13,-0.056
2016-12-14,-0.054
2016-12-15,-0.05125
2016-12-16,-0.049
2016-12-19,-0.045
2016-12-20,-0.043
2016-12-21,-0.042
2016-12-22,-0.04
2016-12-23,-0.04
2016-12-26,-0.0389
2016-12-27,-0.04139
2016-12-28,-0.0425
2016-12-29,-0.04375
2016-12-30,-0.04341
2017-01-02,-0.044
2017-01-03,-0.044
2017-01-04,-0.04429
2017-01-05,-0.04424
2017-01-06,-0.04375
2017-01-09,-0.044
2017-01-10,-0.0425
2017-01-11,-0.041
2017-01-12,-0.04085
2017-01-13,-0.03875
2017-01-16,-0.0388
2017-01-17,-0.039
2017-01-18,-0.038
2017-01-19,-0.037
2017-01-20,-0.038
2017-01-23,-0.037
2017-01-24,-0.0425
2017-01-25,-0.04128
2017-01-26,-0.0425
2017-01-27,-0.0425
2017-01-30,-0.04222
2017-01-31,-0.044
2017-02-01,-0.044
2017-02-02,-0.045
2017-02-03,-0.04237
2017-02-06,-0.042
2017-02-07,-0.041
2017-02-08,-0.03813
2017-02-09,-0.03785
2017-02-10,-0.038
2017-02-13,-0.038
2017-02-14,-0.038
2017-02-15,-0.042
2017-02-16,-0.042
2017-02-17,-0.042
2017-02-20,-0.0425
2017-02-21,-0.04142
2017-02-22,-0.04125
2017-02-23,-0.041
2017-02-24,-0.041
2017-02-27,-0.04151
2017-02-28,-0.04125
2017-03-01,-0.04125
2017-03-02,-0.042
2017-03-03,-0.042
2017-03-06,-0.041
2017-03-07,-0.0413
2017-03-08,-0.04225
2017-03-09,-0.04125
2017-03-10,-0.04
2017-03-13,-0.04007
2017-03-14,-0.04
2017-03-15,-0.041
