Date,Value
2016-01-04,0.065
2016-01-05,0.0656
2016-01-06,0.065
2016-01-07,0.065
2016-01-08,0.065
2016-01-12,0.0638
2016-01-13,0.0625
2016-01-14,0.062
2016-01-15,0.06188
2016-01-18,0.06
2016-01-19,0.0594
2016-01-20,0.0594
2016-01-21,0.0594
2016-01-22,0.0588
2016-01-25,0.059
2016-01-26,0.0588
2016-01-27,0.057
2016-01-28,0.0544
2016-01-29,-0.025
2016-02-01,-0.0475
2016-02-02,-0.03625
2016-02-03,-0.0356
2016-02-04,-0.0469
2016-02-05,-0.05
2016-02-08,-0.05625
2016-02-09,-0.064
2016-02-10,-0.07
2016-02-12,-0.09
2016-02-15,-0.084
2016-02-16,-0.08625
2016-02-17,-0.07875
2016-02-18,-0.11
2016-02-19,-0.13
2016-02-22,-0.1288
2016-02-23,-0.128
2016-02-24,-0.1263
2016-02-25,-0.1263
2016-02-26,-0.1313
2016-02-29,-0.135
2016-03-01,-0.138
2016-03-02,-0.127
2016-03-03,-0.1138
2016-03-04,-0.11
2016-03-07,-0.11
2016-03-08,-0.1125
2016-03-09,-0.10625
2016-03-10,-0.1002
2016-03-11,-0.087
2016-03-14,-0.087
2016-03-15,-0.06875
2016-03-16,-0.0725
2016-03-17,-0.075
2016-03-18,-0.0725
2016-03-21,-0.075
2016-03-22,-0.0713
2016-03-23,-0.067
2016-03-24,-0.072
2016-03-25,-0.0781
2016-03-28,-0.0775
2016-03-29,-0.0756
2016-03-30,-0.078
2016-03-31,-0.0775
2016-04-01,-0.08125
2016-04-04,-0.0838
2016-04-05,-0.08625
2016-04-06,-0.0881
2016-04-07,-0.09
2016-04-08,-0.0975
2016-04-11,-0.0994
2016-04-12,-0.1019
2016-04-13,-0.097
2016-04-14,-0.09
2016-04-15,-0.1
2016-04-18,-0.1269
2016-04-19,-0.135
2016-04-20,-0.146
2016-04-21,-0.14875
2016-04-22,-0.185
2016-04-25,-0.197
2016-04-26,-0.18375
2016-04-27,-0.17
2016-04-28,-0.14
2016-05-02,-0.1388
2016-05-03,-0.1388
2016-05-04,-0.1388
2016-05-06,-0.136
2016-05-09,-0.14
2016-05-10,-0.15875
2016-05-11,-0.157
2016-05-12,-0.16
2016-05-13,-0.16
2016-05-16,-0.161
2016-05-17,-0.1619
2016-05-18,-0.1575
2016-05-19,-0.149
2016-05-20,-0.1475
2016-05-23,-0.145
2016-05-24,-0.1475
2016-05-25,-0.1475
2016-05-26,-0.145
2016-05-27,-0.145
2016-05-30,-0.1475
2016-05-31,-0.1525
2016-06-01,-0.15125
2016-06-02,-0.152
2016-06-03,-0.154
2016-06-06,-0.155
2016-06-07,-0.153
2016-06-08,-0.1519
2016-06-09,-0.159
2016-06-10,-0.167
2016-06-13,-0.17
2016-06-14,-0.17
2016-06-15,-0.177
2016-06-16,-0.161
2016-06-17,-0.15375
2016-06-20,-0.1544
2016-06-21,-0.1556
2016-06-22,-0.155
2016-06-23,-0.15
2016-06-24,-0.16
2016-06-27,-0.16875
2016-06-28,-0.1788
2016-06-29,-0.18
2016-06-30,-0.1788
2016-07-01,-0.181
2016-07-04,-0.18125
2016-07-05,-0.18125
2016-07-06,-0.192
2016-07-07,-0.197
2016-07-08,-0.2075
2016-07-11,-0.208
2016-07-12,-0.202
2016-07-13,-0.19929
2016-07-14,-0.2025
2016-07-15,-0.195
2016-07-18,-0.195
2016-07-19,-0.19571
2016-07-20,-0.1825
2016-07-21,-0.1781
2016-07-22,-0.1775
2016-07-25,-0.175
2016-07-26,-0.17125
2016-07-27,-0.1781
2016-07-28,-0.175
2016-07-29,-0.11
2016-08-01,-0.0935
2016-08-02,-0.0863
2016-08-03,-0.095
2016-08-04,-0.087
2016-08-05,-0.0944
2016-08-08,-0.09318
2016-08-09,-0.094
2016-08-10,-0.0947
2016-08-11,-0.094
2016-08-12,-0.09241
2016-08-15,-0.093
2016-08-16,-0.094
2016-08-17,-0.0901
2016-08-18,-0.09682
2016-08-19,-0.09813
2016-08-22,-0.104
2016-08-23,-0.10522
2016-08-24,-0.10624
2016-08-25,-0.1067
2016-08-26,-0.10801
2016-08-29,-0.108
2016-08-30,-0.1138
2016-08-31,-0.1263
2016-09-01,-0.129
2016-09-02,-0.12625
2016-09-05,-0.12728
2016-09-06,-0.127
2016-09-07,-0.124
2016-09-08,-0.12
2016-09-09,-0.125
2016-09-12,-0.131
2016-09-13,-0.13
2016-09-14,-0.136
2016-09-15,-0.1382
2016-09-16,-0.141
2016-09-19,-0.14
2016-09-20,-0.1406
2016-09-21,-0.1081
2016-09-23,-0.10051
2016-09-26,-0.09875
2016-09-27,-0.1
2016-09-28,-0.1009
2016-09-29,-0.106
2016-09-30,-0.11
2016-10-03,-0.10859
2016-10-04,-0.108
2016-10-05,-0.1031
2016-10-06,-0.1038
2016-10-07,-0.102
2016-10-10,-0.1
2016-10-11,-0.09875
2016-10-12,-0.09399
2016-10-13,-0.091
2016-10-14,-0.09246
2016-10-17,-0.0925
2016-10-18,-0.0881
2016-10-19,-0.08764
2016-10-20,-0.082
2016-10-21,-0.075
2016-10-24,-0.07375
2016-10-25,-0.075
2016-10-26,-0.074
2016-10-27,-0.06856
2016-10-28,-0.065
2016-10-31,-0.06501
2016-11-01,-0.0687
2016-11-02,-0.06867
2016-11-03,-0.0694
2016-11-04,-0.0694
2016-11-07,-0.068
2016-11-08,-0.0681
2016-11-09,-0.071
2016-11-10,-0.068
2016-11-11,-0.06943
2016-11-14,-0.065
2016-11-15,-0.063
2016-11-16,-0.0588
2016-11-17,-0.0575
2016-11-18,-0.05757
2016-11-21,-0.05884
2016-11-22,-0.05949
2016-11-24,-0.059
2016-11-25,-0.05918
2016-11-28,-0.062
2016-11-29,-0.0619
2016-11-30,-0.062
2016-12-01,-0.06
2016-12-02,-0.05875
2016-12-05,-0.05875
2016-12-06,-0.0575
2016-12-07,-0.05875
2016-12-08,-0.0575
2016-12-09,-0.0575
2016-12-12,-0.0575
2016-12-13,-0.0579
2016-12-14,-0.05685
2016-12-15,-0.052
2016-12-16,-0.05
2016-12-19,-0.045
2016-12-20,-0.042
2016-12-21,-0.042
2016-12-22,-0.0392
2016-12-23,-0.0406
2016-12-26,-0.03898
2016-12-27,-0.04079
2016-12-28,-0.04127
2016-12-29,-0.045
2016-12-30,-0.0447
2017-01-02,-0.046
2017-01-03,-0.0456
2017-01-04,-0.0444
2017-01-05,-0.04435
2017-01-06,-0.04375
2017-01-09,-0.044
2017-01-10,-0.04347
2017-01-11,-0.042
2017-01-12,-0.0429
2017-01-13,-0.0394
2017-01-16,-0.03937
2017-01-17,-0.03842
2017-01-18,-0.0375
2017-01-19,-0.0375
2017-01-20,-0.0355
2017-01-23,-0.0356
2017-01-24,-0.0425
2017-01-25,-0.03976
2017-01-26,-0.039
2017-01-27,-0.04
2017-01-30,-0.0398
2017-01-31,-0.039
2017-02-01,-0.04
2017-02-02,-0.04
2017-02-03,-0.03716
2017-02-06,-0.0356
2017-02-07,-0.035
2017-02-08,-0.0338
2017-02-09,-0.0332
2017-02-10,-0.0342
2017-02-13,-0.035
2017-02-14,-0.03625
2017-02-15,-0.038
2017-02-16,-0.03804
2017-02-17,-0.03795
2017-02-20,-0.03815
2017-02-21,-0.038
2017-02-22,-0.039
2017-02-23,-0.039
2017-02-24,-0.04
2017-02-27,-0.04127
2017-02-28,-0.04
2017-03-01,-0.04043
2017-03-02,-0.038
2017-03-03,-0.04
