Date,Value
2016-01-04,0.062
2016-01-05,0.06125
2016-01-06,0.061
2016-01-07,0.06
2016-01-08,0.06
2016-01-12,0.06
2016-01-13,0.0575
2016-01-14,0.056
2016-01-15,0.056
2016-01-18,0.055
2016-01-19,0.0525
2016-01-20,0.0525
2016-01-21,0.0525
2016-01-22,0.053
2016-01-25,0.052
2016-01-26,0.051
2016-01-27,0.049
2016-01-28,0.047
2016-01-29,-0.04
2016-02-01,-0.07125
2016-02-02,-0.0525
2016-02-03,-0.0575
2016-02-04,-0.07625
2016-02-05,-0.085
2016-02-08,-0.093
2016-02-09,-0.105
2016-02-10,-0.1075
2016-02-12,-0.12625
2016-02-15,-0.1175
2016-02-16,-0.12
2016-02-17,-0.1125
2016-02-18,-0.145
2016-02-19,-0.175
2016-02-22,-0.174
2016-02-23,-0.17
2016-02-24,-0.1681
2016-02-25,-0.168
2016-02-26,-0.1744
2016-02-29,-0.183
2016-03-01,-0.182
2016-03-02,-0.1675
2016-03-03,-0.1544
2016-03-04,-0.15375
2016-03-07,-0.1475
2016-03-08,-0.153
2016-03-09,-0.143
2016-03-10,-0.1373
2016-03-11,-0.1205
2016-03-14,-0.12
2016-03-15,-0.099
2016-03-16,-0.1038
2016-03-17,-0.105
2016-03-18,-0.1119
2016-03-21,-0.112
2016-03-22,-0.1081
2016-03-23,-0.1044
2016-03-24,-0.1
2016-03-25,-0.10875
2016-03-28,-0.107
2016-03-29,-0.1075
2016-03-30,-0.107
2016-03-31,-0.11375
2016-04-01,-0.11375
2016-04-04,-0.12
2016-04-05,-0.12
2016-04-06,-0.122
2016-04-07,-0.125
2016-04-08,-0.13375
2016-04-11,-0.135
2016-04-12,-0.135
2016-04-13,-0.128
2016-04-14,-0.12375
2016-04-15,-0.12875
2016-04-18,-0.158
2016-04-19,-0.16625
2016-04-20,-0.17875
2016-04-21,-0.18
2016-04-22,-0.22
2016-04-25,-0.23
2016-04-26,-0.218
2016-04-27,-0.2025
2016-04-28,-0.16625
2016-05-02,-0.1638
2016-05-03,-0.1638
2016-05-04,-0.1638
2016-05-06,-0.1644
2016-05-09,-0.167
2016-05-10,-0.1844
2016-05-11,-0.1881
2016-05-12,-0.191
2016-05-13,-0.191
2016-05-16,-0.192
2016-05-17,-0.193
2016-05-18,-0.186
2016-05-19,-0.1738
2016-05-20,-0.174
2016-05-23,-0.17625
2016-05-24,-0.17875
2016-05-25,-0.17875
2016-05-26,-0.177
2016-05-27,-0.18
2016-05-30,-0.18
2016-05-31,-0.1825
2016-06-01,-0.18125
2016-06-02,-0.182
2016-06-03,-0.185
2016-06-06,-0.189
2016-06-07,-0.1863
2016-06-08,-0.1794
2016-06-09,-0.191
2016-06-10,-0.19875
2016-06-13,-0.20375
2016-06-14,-0.2031
2016-06-15,-0.211
2016-06-16,-0.2
2016-06-17,-0.18875
2016-06-20,-0.187
2016-06-21,-0.186
2016-06-22,-0.186
2016-06-23,-0.1806
2016-06-24,-0.20375
2016-06-27,-0.2088
2016-06-28,-0.217
2016-06-29,-0.216
2016-06-30,-0.2131
2016-07-01,-0.215
2016-07-04,-0.2175
2016-07-05,-0.21625
2016-07-06,-0.227
2016-07-07,-0.231
2016-07-08,-0.241
2016-07-11,-0.243
2016-07-12,-0.235
2016-07-13,-0.23375
2016-07-14,-0.2338
2016-07-15,-0.222
2016-07-18,-0.222
2016-07-19,-0.22483
2016-07-20,-0.21625
2016-07-21,-0.21125
2016-07-22,-0.2113
2016-07-25,-0.2075
2016-07-26,-0.205
2016-07-27,-0.21479
2016-07-28,-0.2125
2016-07-29,-0.1381
2016-08-01,-0.12
2016-08-02,-0.11
2016-08-03,-0.11
2016-08-04,-0.111
2016-08-05,-0.1206
2016-08-08,-0.115
2016-08-09,-0.1169
2016-08-10,-0.117
2016-08-12,-0.116
2016-08-15,-0.10625
2016-08-16,-0.11
2016-08-17,-0.10842
2016-08-18,-0.11875
2016-08-19,-0.12
2016-08-22,-0.126
2016-08-23,-0.128
2016-08-24,-0.13375
2016-08-25,-0.1338
2016-08-26,-0.132
2016-08-29,-0.131
2016-08-30,-0.143
2016-08-31,-0.152
2016-09-01,-0.151
2016-09-02,-0.15
2016-09-05,-0.15
2016-09-06,-0.15
2016-09-07,-0.1475
2016-09-08,-0.145
2016-09-09,-0.15125
2016-09-12,-0.155
2016-09-13,-0.153
2016-09-14,-0.158
2016-09-15,-0.1625
2016-09-16,-0.16368
2016-09-19,-0.1625
2016-09-20,-0.16
2016-09-21,-0.13
2016-09-22,-0.13
2016-09-23,-0.121
2016-09-26,-0.118
2016-09-27,-0.122
2016-09-28,-0.12616
2016-09-29,-0.13
2016-09-30,-0.135
2016-10-03,-0.13
2016-10-04,-0.13
2016-10-05,-0.12
2016-10-06,-0.122
2016-10-07,-0.12375
2016-10-10,-0.1225
2016-10-11,-0.12
2016-10-12,-0.115
2016-10-13,-0.108
2016-10-14,-0.11058
2016-10-17,-0.1075
2016-10-18,-0.105
2016-10-19,-0.1025
2016-10-20,-0.09625
2016-10-21,-0.089
2016-10-24,-0.08791
2016-10-25,-0.09
2016-10-26,-0.08875
2016-10-27,-0.085
2016-10-28,-0.076
2016-10-31,-0.0775
2016-11-01,-0.079
2016-11-02,-0.07875
2016-11-04,-0.082
2016-11-07,-0.07875
2016-11-08,-0.079
2016-11-09,-0.086
2016-11-10,-0.08
2016-11-11,-0.077
2016-11-14,-0.071
2016-11-15,-0.06875
2016-11-16,-0.062
2016-11-17,-0.0694
2016-11-18,-0.0624
2016-11-21,-0.063
2016-11-22,-0.06163
2016-11-24,-0.06125
2016-11-25,-0.0625
2016-11-28,-0.066
2016-11-29,-0.066
2016-11-30,-0.065
2016-12-01,-0.062
2016-12-02,-0.061
2016-12-05,-0.06125
2016-12-06,-0.06
2016-12-07,-0.06
2016-12-08,-0.06
2016-12-09,-0.061
2016-12-12,-0.06
2016-12-13,-0.06091
2016-12-14,-0.06
2016-12-15,-0.05375
2016-12-16,-0.0502
2016-12-19,-0.0438
2016-12-20,-0.042
2016-12-21,-0.041
2016-12-22,-0.03938
2016-12-23,-0.04
2016-12-26,-0.03839
2016-12-27,-0.03946
2016-12-28,-0.0394
2016-12-29,-0.046
2016-12-30,-0.04576
2017-01-02,-0.0475
2017-01-03,-0.0469
2017-01-04,-0.045
2017-01-05,-0.045
2017-01-06,-0.04375
2017-01-09,-0.044
2017-01-10,-0.04375
2017-01-11,-0.04375
2017-01-12,-0.045
2017-01-13,-0.04
2017-01-16,-0.03931
2017-01-17,-0.039
2017-01-18,-0.037
2017-01-19,-0.03458
2017-01-20,-0.035
2017-01-23,-0.035
2017-01-24,-0.04125
2017-01-25,-0.038
2017-01-26,-0.0375
2017-01-27,-0.038
2017-01-30,-0.0375
2017-01-31,-0.037
2017-02-01,-0.03625
2017-02-02,-0.036
2017-02-03,-0.03406
2017-02-06,-0.031
2017-02-07,-0.03097
2017-02-08,-0.029
2017-02-09,-0.02908
2017-02-10,-0.031
2017-02-13,-0.03234
2017-02-14,-0.0325
2017-02-15,-0.033
2017-02-16,-0.0338
2017-02-17,-0.034
2017-02-20,-0.03375
2017-02-21,-0.03472
2017-02-22,-0.036
2017-02-23,-0.038
2017-02-24,-0.038
2017-02-27,-0.04
2017-02-28,-0.038
