Date,Open,High,Low,Close
2016-01-01,1172.45,1172.45,1172.45,1172.45
2016-01-04,1179.0,1187.65,1177.5,1187.65
2016-01-05,1191.0,1192.05,1182.2,1188.1
2016-01-06,1190.0,1197.9,1187.25,1197.7
2016-01-07,1198.9,1203.65,1196.35,1200.65
2016-01-08,1197.97,1199.45,1191.3,1198.05
2016-01-11,1204.67,1211.3,1204.67,1209.7
2016-01-12,1204.47,1212.65,1203.6,1210.25
2016-01-13,1210.0,1210.15,1203.0,1203.9
2016-01-14,1208.2,1215.3,1208.2,1213.35
2016-01-15,1208.0,1214.3,1206.2,1213.25
2016-01-18,1213.97,1216.2,1209.6,1210.9
2016-01-19,1209.02,1213.85,1205.75,1205.95
2016-01-20,1207.97,1214.55,1207.4,1213.85
2016-01-21,1209.8,1213.85,1206.45,1213.75
2016-01-22,1205.75,1206.15,1199.35,1200.2
2016-01-25,1199.0,1199.05,1191.85,1194.2
2016-01-26,1198.78,1204.9,1197.45,1204.2
2016-01-27,1199.0,1204.2,1197.5,1202.1
2016-01-28,1208.97,1211.25,1206.05,1208.55
2016-01-29,1207.0,1212.4,1198.7,1199.2
2016-02-01,1205.07,1210.8,1199.0,1200.45
2016-02-02,1201.9,1207.6,1195.45,1207.5
2016-02-03,1210.88,1221.05,1210.88,1219.3
2016-02-04,1203.3,1205.75,1199.85,1202.1
2016-02-05,1189.55,1198.75,1189.3,1197.5
2016-02-08,1197.45,1197.45,1197.45,1197.45
2016-02-09,1197.45,1197.45,1197.45,1197.45
2016-02-10,1197.45,1197.45,1197.45,1197.45
2016-02-11,1192.5,1205.9,1188.05,1202.6
2016-02-12,1198.47,1211.7,1198.47,1211.55
2016-02-15,1207.0,1212.35,1205.7,1208.05
2016-02-16,1209.97,1219.3,1209.97,1216.6
2016-02-17,1219.97,1228.4,1219.97,1227.3
2016-02-18,1222.07,1228.13,1221.85,1227.35
2016-02-19,1229.97,1239.65,1227.35,1233.7
2016-02-22,1233.97,1237.7,1229.53,1234.45
2016-02-23,1227.18,1232.7,1225.05,1231.2
2016-02-24,1230.38,1236.7,1230.38,1234.3
2016-02-25,1231.97,1238.95,1231.97,1238.65
2016-02-26,1234.97,1238.2,1232.5,1238.1
2016-02-29,1242.97,1245.2,1236.35,1236.7
2016-03-02,1230.97,1235.9,1226.95,1227.5
2016-03-03,1226.5,1226.75,1214.65,1214.65
2016-03-04,1210.9,1214.0,1202.85,1203.3
2016-03-07,1195.97,1203.6,1195.97,1201.5
2016-03-08,1199.47,1208.0,1199.47,1206.65
2016-03-09,1210.97,1217.15,1210.52,1216.25
2016-03-10,1209.97,1213.75,1202.75,1203.5
2016-03-11,1206.0,1210.25,1192.85,1193.15
2016-03-14,1187.97,1192.15,1183.55,1186.25
2016-03-15,1189.97,1192.6,1185.25,1187.65
2016-03-16,1194.97,1195.5,1189.7,1193.25
2016-03-17,1178.9,1179.05,1172.5,1173.25
2016-03-18,1157.0,1163.65,1157.0,1162.4
2016-03-21,1160.97,1169.15,1160.97,1163.5
2016-03-22,1160.97,1165.1,1153.9,1153.9
2016-03-23,1156.0,1163.15,1155.45,1161.1
2016-03-24,1168.55,1170.1,1163.85,1166.25
2016-03-25,1168.0,1173.3,1165.05,1169.1
2016-03-28,1169.97,1173.05,1165.25,1166.05
2016-03-29,1168.0,1168.05,1160.35,1163.8
2016-03-30,1157.0,1157.05,1151.03,1151.1
2016-03-31,1145.57,1146.73,1142.9,1143.5
2016-04-01,1145.0,1154.75,1142.95,1154.05
2016-04-04,1148.0,1151.45,1145.45,1146.15
2016-04-05,1152.97,1158.6,1152.4,1155.15
2016-04-06,1159.0,1160.7,1152.95,1156.15
2016-04-07,1155.0,1157.75,1150.65,1151.3
2016-04-08,1159.22,1162.7,1151.3,1153.8
2016-04-11,1152.25,1154.3,1145.05,1146.5
2016-04-12,1142.97,1147.5,1140.97,1145.9
2016-04-13,1145.85,1145.85,1145.85,1145.85
2016-04-14,1146.97,1158.7,1144.9,1156.5
2016-04-15,1150.47,1155.25,1145.7,1146.15
2016-04-18,1146.97,1153.55,1146.97,1150.45
2016-04-19,1141.72,1145.5,1136.18,1136.25
2016-04-20,1131.28,1136.65,1128.35,1135.25
2016-04-21,1130.97,1138.8,1130.97,1132.95
2016-04-22,1139.97,1144.35,1137.95,1143.15
2016-04-25,1150.97,1152.47,1147.05,1147.95
2016-04-26,1150.4,1151.8,1147.35,1150.95
2016-04-27,1149.0,1149.25,1142.45,1148.3
2016-04-28,1147.5,1149.75,1138.05,1138.1
2016-04-29,1137.0,1143.75,1133.68,1139.45
2016-05-02,1143.97,1145.65,1136.55,1137.65
2016-05-03,1139.0,1140.7,1132.35,1140.25
2016-05-04,1148.63,1155.35,1148.63,1154.45
2016-05-06,1154.4,1154.4,1154.4,1154.4
2016-05-09,1167.1,1167.55,1162.35,1165.8
2016-05-10,1174.22,1175.65,1172.35,1172.8
2016-05-11,1169.2,1172.3,1165.25,1167.68
2016-05-12,1165.0,1166.65,1161.45,1162.45
2016-05-13,1166.97,1172.65,1165.75,1171.45
2016-05-16,1178.47,1180.75,1177.07,1179.6
2016-05-17,1182.3,1182.35,1171.28,1173.75
2016-05-18,1177.5,1183.57,1177.5,1182.85
2016-05-19,1190.45,1193.35,1187.95,1191.8
2016-05-20,1188.0,1191.0,1185.6,1190.15
2016-05-23,1185.97,1185.97,1181.35,1182.9
2016-05-24,1182.97,1192.8,1182.97,1192.7
2016-05-25,1187.5,1190.5,1178.4,1182.68
2016-05-26,1181.0,1184.85,1177.9,1180.45
2016-05-27,1179.5,1182.6,1177.25,1179.3
2016-05-30,1185.97,1192.6,1185.97,1191.75
2016-05-31,1198.0,1198.05,1187.55,1191.73
2016-06-01,1189.97,1196.47,1188.3,1193.02
2016-06-02,1194.97,1194.97,1185.35,1186.57
2016-06-03,1185.47,1190.0,1182.75,1183.65
2016-06-07,1164.6,1167.35,1161.38,1162.65
2016-06-08,1158.0,1158.68,1153.43,1156.75
2016-06-09,1155.0,1160.45,1151.15,1155.9
2016-06-10,1159.97,1165.63,1159.57,1165.45
2016-06-13,1170.97,1174.3,1170.77,1173.6
2016-06-14,1171.97,1173.88,1170.75,1173.23
2016-06-15,1173.47,1179.95,1172.88,1173.25
2016-06-16,1171.0,1172.48,1163.7,1171.35
2016-06-17,1171.0,1177.5,1167.22,1173.45
2016-06-20,1169.0,1169.05,1160.32,1160.77
2016-06-21,1160.47,1162.8,1154.7,1157.2
2016-06-22,1154.0,1158.35,1153.0,1154.55
2016-06-23,1147.97,1153.65,1147.85,1150.3
2016-06-24,1144.5,1180.23,1144.5,1179.32
2016-06-27,1173.3,1188.5,1173.3,1182.32
2016-06-28,1179.97,1185.05,1169.13,1171.25
2016-06-29,1168.0,1170.73,1159.95,1160.1
2016-06-30,1150.97,1156.88,1150.7,1151.77
2016-07-01,1150.97,1154.0,1143.38,1145.05
2016-07-04,1146.7,1152.75,1145.35,1146.73
2016-07-05,1145.97,1156.55,1145.97,1155.4
2016-07-06,1160.97,1169.13,1160.97,1165.65
2016-07-07,1162.0,1162.05,1152.8,1154.55
2016-07-08,1159.0,1162.48,1156.5,1161.77
2016-07-11,1149.55,1151.4,1143.55,1147.23
2016-07-12,1151.3,1152.75,1147.4,1148.05
2016-07-13,1145.0,1148.02,1142.5,1146.4
2016-07-14,1144.97,1153.63,1134.85,1138.28
2016-07-15,1132.0,1134.78,1130.45,1133.27
2016-07-18,1141.0,1141.05,1134.15,1136.47
2016-07-19,1135.97,1141.88,1135.52,1135.55
2016-07-20,1141.47,1143.6,1138.32,1140.45
2016-07-21,1142.47,1143.77,1136.0,1136.13
2016-07-22,1137.5,1137.55,1132.43,1134.45
2016-07-25,1135.17,1137.93,1135.17,1136.77
2016-07-26,1142.97,1143.02,1134.5,1134.95
2016-07-27,1138.0,1138.03,1132.15,1134.18
2016-07-28,1129.0,1129.05,1123.35,1124.45
2016-07-29,1124.0,1125.55,1120.15,1120.38
2016-08-01,1114.0,1114.3,1108.05,1108.18
2016-08-02,1109.2,1112.2,1106.35,1110.35
2016-08-03,1110.0,1117.88,1108.2,1117.45
2016-08-04,1116.97,1117.97,1112.4,1114.05
2016-08-05,1113.0,1113.05,1110.3,1110.72
2016-08-08,1115.0,1116.95,1108.3,1108.3
2016-08-09,1107.5,1110.27,1105.35,1106.25
2016-08-10,1104.0,1104.05,1091.07,1094.38
2016-08-11,1096.97,1103.5,1093.2,1099.72
2016-08-12,1098.47,1103.25,1097.18,1103.2
2016-08-16,1097.0,1098.68,1092.35,1092.35
2016-08-17,1096.0,1109.07,1094.5,1108.85
2016-08-18,1107.0,1109.65,1103.35,1107.2
2016-08-19,1106.97,1120.65,1106.97,1117.55
2016-08-22,1116.97,1129.13,1116.97,1126.25
2016-08-23,1122.0,1122.72,1114.22,1115.88
2016-08-24,1119.97,1125.67,1117.57,1122.0
2016-08-25,1120.47,1123.63,1115.55,1115.85
2016-08-26,1116.0,1117.07,1111.85,1113.7
2016-08-29,1120.97,1128.48,1120.97,1124.95
2016-08-30,1118.5,1122.45,1116.55,1119.88
2016-08-31,1121.0,1121.03,1114.57,1114.8
2016-09-01,1115.7,1122.6,1114.05,1122.0
2016-09-02,1116.97,1119.7,1114.25,1117.15
2016-09-05,1114.4,1114.57,1105.1,1105.15
2016-09-06,1102.1,1107.9,1102.1,1105.25
2016-09-07,1097.35,1097.35,1089.75,1091.38
2016-09-08,1089.97,1094.85,1089.97,1092.55
2016-09-09,1095.97,1103.0,1095.97,1099.8
2016-09-12,1105.0,1113.1,1105.0,1113.05
2016-09-13,1108.5,1120.75,1106.8,1119.18
2016-09-19,1124.97,1126.95,1116.65,1118.05
2016-09-20,1119.4,1121.38,1116.13,1120.23
2016-09-21,1117.0,1122.72,1110.75,1120.2
2016-09-22,1102.47,1106.15,1100.55,1102.95
2016-09-23,1104.0,1107.15,1100.05,1102.45
2016-09-26,1104.0,1109.98,1102.9,1107.95
2016-09-27,1109.47,1113.05,1096.75,1097.57
2016-09-28,1098.0,1099.03,1093.57,1096.8
2016-09-29,1094.0,1099.75,1091.5,1098.32
2016-09-30,1100.97,1106.43,1097.82,1101.25
2016-10-04,1104.0,1108.73,1102.05,1107.78
2016-10-05,1115.75,1117.1,1111.65,1113.57
2016-10-06,1114.0,1114.0,1109.68,1111.78
2016-10-07,1114.57,1117.82,1113.88,1115.63
2016-10-10,1114.3,1114.77,1107.17,1109.95
2016-10-11,1106.0,1121.53,1106.0,1120.43
2016-10-12,1123.7,1124.78,1121.3,1123.68
2016-10-13,1125.2,1136.45,1124.63,1135.15
2016-10-14,1128.0,1136.57,1128.0,1133.4
2016-10-17,1141.17,1143.65,1136.4,1138.08
2016-10-18,1131.0,1139.07,1128.93,1129.38
2016-10-19,1129.2,1129.2,1120.05,1123.07
2016-10-20,1122.0,1127.68,1118.8,1127.43
2016-10-21,1128.1,1136.95,1128.1,1134.95
