Date,Value
2016-01-04,3.6
2016-01-05,3.75
2016-01-06,3.79
2016-01-07,3.8
2016-01-08,4.06
2016-01-11,4.8
2016-01-12,4.5
2016-01-13,4.35
2016-01-14,4.55
2016-01-15,4.7
2016-01-18,4.75
2016-01-19,4.75
2016-01-20,4.8
2016-01-21,4.7
2016-01-22,4.54
2016-01-25,4.49
2016-01-26,4.45
2016-01-27,4.55
2016-01-28,4.6
2016-01-29,4.4
2016-02-01,4.4
2016-02-02,4.45
2016-02-03,4.7
2016-02-04,4.5
2016-02-05,4.55
2016-02-08,4.53
2016-02-09,4.55
2016-02-10,4.55
2016-02-11,4.4
2016-02-12,3.95
2016-02-15,4.0
2016-02-16,3.8
2016-02-17,3.2
2016-02-18,3.5
2016-02-19,3.6
2016-02-22,4.14
2016-02-23,3.95
2016-02-24,3.75
2016-02-25,3.95
2016-02-26,3.99
2016-02-29,3.7
2016-03-01,3.7
2016-03-02,3.9
2016-03-03,3.9
2016-03-04,4.28
2016-03-07,4.2
2016-03-08,4.35
2016-03-09,4.44
2016-03-10,4.4
2016-03-11,4.3
2016-03-14,4.44
2016-03-15,4.42
2016-03-16,4.47
2016-03-17,4.45
2016-03-18,4.39
2016-03-21,4.28
2016-03-22,4.18
2016-03-23,4.34
2016-03-24,4.45
2016-03-25,4.3
2016-03-28,4.33
2016-03-29,4.29
2016-03-30,4.2
2016-03-31,4.17
2016-04-01,4.51
2016-04-04,4.36
2016-04-05,4.38
2016-04-06,4.41
2016-04-07,4.64
2016-04-08,4.43
2016-04-11,4.38
2016-04-12,4.11
2016-04-13,4.33
2016-04-14,4.22
2016-04-15,4.2
2016-04-18,4.26
2016-04-19,4.33
2016-04-20,4.18
2016-04-21,4.0
2016-04-22,3.8
2016-04-25,3.93
2016-04-26,3.93
2016-04-27,3.82
2016-04-28,3.7
2016-04-29,3.59
2016-05-02,3.42
2016-05-03,3.57
2016-05-04,3.3
2016-05-05,3.38
2016-05-06,3.3
2016-05-09,3.48
2016-05-10,3.33
2016-05-11,3.24
2016-05-12,3.13
2016-05-13,3.4
2016-05-16,3.69
2016-05-17,3.48
2016-05-18,3.5
2016-05-19,3.4
2016-05-20,3.1
2016-05-23,3.21
2016-05-24,3.23
