Date,Value
2016-01-01,1.6525
2016-01-04,1.6425
2016-01-05,1.6425
2016-01-06,1.6388
2016-01-07,1.6375
2016-01-08,1.635
2016-01-11,1.6225
2016-01-12,1.6175
2016-01-13,1.6125
2016-01-14,1.6175
2016-01-15,1.6275
2016-01-18,1.625
2016-01-19,1.625
2016-01-20,1.6125
2016-01-21,1.6125
2016-01-22,1.6125
2016-01-25,1.6075
2016-01-26,1.5975
2016-01-27,1.605
2016-01-28,1.6038
2016-01-29,1.59
2016-02-01,1.555
2016-02-02,1.555
2016-02-03,1.55
2016-02-04,1.5488
2016-02-05,1.5525
2016-02-08,1.5575
2016-02-09,1.5575
2016-02-10,1.5575
2016-02-11,1.535
2016-02-12,1.55
2016-02-15,1.5575
2016-02-16,1.515
2016-02-17,1.5175
2016-02-18,1.5275
2016-02-19,1.54
2016-02-22,1.5525
2016-02-23,1.5475
2016-02-24,1.555
2016-02-25,1.55
2016-02-26,1.5438
2016-02-29,1.545
2016-03-01,1.545
2016-03-02,1.5475
2016-03-03,1.5575
2016-03-04,1.57
2016-03-07,1.5638
2016-03-08,1.555
2016-03-09,1.54
2016-03-10,1.565
2016-03-11,1.595
2016-03-14,1.5825
2016-03-15,1.585
2016-03-16,1.5925
2016-03-17,1.5775
2016-03-18,1.5575
2016-03-21,1.5525
2016-03-22,1.56
2016-03-23,1.56
2016-03-24,1.5575
2016-03-25,1.5575
2016-03-28,1.55
2016-03-29,1.5275
2016-03-30,1.53
2016-03-31,1.5325
2016-04-01,1.525
2016-04-04,1.52
2016-04-05,1.5275
2016-04-06,1.5375
2016-04-07,1.5425
2016-04-08,1.5375
2016-04-11,1.5525
2016-04-12,1.5475
2016-04-13,1.5475
2016-04-14,1.5638
2016-04-15,1.5575
2016-04-18,1.5575
2016-04-19,1.5488
2016-04-20,1.5425
2016-04-21,1.555
2016-04-22,1.54
2016-04-25,1.53
2016-04-26,1.5275
2016-04-27,1.5275
2016-04-28,1.5225
2016-04-29,1.5275
2016-05-02,1.5275
2016-05-03,1.5375
2016-05-04,1.535
2016-05-05,1.535
2016-05-06,1.535
2016-05-09,1.525
2016-05-10,1.525
2016-05-11,1.52
2016-05-12,1.52
2016-05-13,1.5225
2016-05-16,1.5125
2016-05-17,1.515
2016-05-18,1.5213
2016-05-19,1.52
2016-05-20,1.5125
2016-05-23,1.515
2016-05-24,1.4975
2016-05-25,1.5025
2016-05-26,1.515
2016-05-27,1.51
2016-05-30,1.5175
2016-05-31,1.5175
2016-06-01,1.4825
2016-06-02,1.4825
2016-06-03,1.4775
2016-06-06,1.4775
2016-06-07,1.465
2016-06-08,1.4625
2016-06-09,1.365
2016-06-10,1.3625
2016-06-13,1.3525
2016-06-14,1.3625
2016-06-15,1.3625
2016-06-16,1.355
2016-06-17,1.3625
2016-06-20,1.37
2016-06-21,1.3625
2016-06-22,1.3675
2016-06-23,1.3575
2016-06-24,1.315
2016-06-27,1.2925
