Date,Value
2016-01-04,1.885
2016-01-05,1.905
2016-01-06,1.8975
2016-01-07,1.8775
2016-01-08,1.895
2016-01-11,1.8625
2016-01-12,1.8675
2016-01-13,1.8525
2016-01-14,1.87
2016-01-15,1.865
2016-01-18,1.8725
2016-01-19,1.89
2016-01-20,1.815
2016-01-21,1.81
2016-01-22,1.845
2016-01-25,1.84
2016-01-26,1.8025
2016-01-27,1.825
2016-01-28,1.835
2016-01-29,1.7875
2016-02-01,1.72
2016-02-02,1.715
2016-02-03,1.66
2016-02-04,1.665
2016-02-05,1.68
2016-02-11,1.55
2016-02-12,1.585
2016-02-15,1.6125
2016-02-16,1.57
2016-02-17,1.58
2016-02-18,1.6075
2016-02-19,1.625
2016-02-22,1.6425
2016-02-23,1.643
2016-02-24,1.6225
2016-02-25,1.605
2016-02-26,1.5875
2016-02-29,1.59
2016-03-01,1.59
2016-03-02,1.6275
2016-03-03,1.6725
2016-03-04,1.68
2016-03-07,1.6625
2016-03-08,1.635
2016-03-09,1.635
2016-03-10,1.6425
2016-03-11,1.7
2016-03-14,1.6825
2016-03-15,1.6652
2016-03-16,1.68
2016-03-17,1.64
2016-03-18,1.615
2016-03-21,1.6075
2016-03-22,1.6225
2016-03-23,1.6475
2016-03-24,1.6325
2016-03-25,1.62
2016-03-28,1.615
2016-03-29,1.5875
2016-03-30,1.5775
2016-03-31,1.5875
2016-04-01,1.58
2016-04-04,1.5575
2016-04-05,1.575
2016-04-06,1.5775
2016-04-07,1.5925
2016-04-08,1.595
2016-04-11,1.5975
2016-04-12,1.5975
2016-04-14,1.6525
2016-04-15,1.6525
2016-04-18,1.6625
2016-04-19,1.6525
2016-04-20,1.62
2016-04-21,1.6475
2016-04-22,1.658
2016-04-25,1.665
2016-04-26,1.65
2016-04-27,1.65
2016-04-28,1.64
2016-04-29,1.6375
2016-05-02,1.645
2016-05-03,1.63
2016-05-04,1.6075
2016-05-09,1.59
2016-05-10,1.5975
2016-05-11,1.5925
2016-05-12,1.5875
2016-05-13,1.5925
2016-05-16,1.5925
2016-05-17,1.605
2016-05-18,1.62
2016-05-19,1.63
2016-05-20,1.61
2016-05-23,1.61
2016-05-24,1.58
2016-05-25,1.605
2016-05-26,1.6125
2016-05-27,1.605
2016-05-30,1.6425
2016-05-31,1.63
2016-06-01,1.575
2016-06-02,1.5825
2016-06-03,1.5503
2016-06-07,1.52
2016-06-08,1.5
2016-06-09,1.455
2016-06-10,1.45
2016-06-13,1.4225
2016-06-14,1.45
2016-06-15,1.4375
2016-06-16,1.3875
2016-06-17,1.41
2016-06-20,1.445
2016-06-21,1.428
2016-06-22,1.445
2016-06-23,1.4325
2016-06-24,1.3175
2016-06-27,1.2875
2016-06-28,1.298
2016-06-29,1.285
2016-06-30,1.2975
2016-07-01,1.245
2016-07-04,1.255
2016-07-05,1.255
2016-07-06,1.215
2016-07-07,1.22
2016-07-08,1.2225
2016-07-11,1.2175
2016-07-12,1.2275
2016-07-13,1.235
2016-07-14,1.2175
2016-07-15,1.2425
2016-07-18,1.27
2016-07-19,1.2775
