Date,Value
2016-01-04,1.049
2016-01-05,1.049
2016-01-06,1.089
2016-01-07,1.094
2016-01-08,1.123
2016-01-11,1.139
2016-01-12,1.168
2016-01-13,1.162
2016-01-14,1.138
2016-01-15,1.114
2016-01-18,1.143
2016-01-19,1.125
2016-01-20,1.136
2016-01-21,1.118
2016-01-22,1.117
2016-01-25,1.128
2016-01-26,1.116
2016-01-27,1.133
2016-01-28,1.169
2016-01-29,1.096
2016-02-01,1.059
2016-02-02,1.052
2016-02-03,1.07
2016-02-04,1.075
2016-02-05,1.044
2016-02-10,0.999
2016-02-11,0.974
2016-02-12,1.004
2016-02-15,1.051
2016-02-16,1.063
2016-02-17,1.063
2016-02-18,1.05
2016-02-19,1.043
2016-02-22,1.054
2016-02-23,1.06
2016-02-24,1.047
2016-02-25,1.059
2016-02-26,1.052
2016-02-29,1.044
2016-03-01,1.03
2016-03-02,1.049
2016-03-03,1.036
2016-03-04,1.01
2016-03-07,1.014
2016-03-08,1.026
2016-03-09,1.013
2016-03-10,1.006
2016-03-11,1.005
2016-03-14,1.042
2016-03-15,1.016
2016-03-16,1.008
2016-03-17,0.923
2016-03-18,0.929
2016-03-21,0.94
2016-03-22,0.926
2016-03-23,0.925
2016-03-24,0.904
2016-03-28,0.908
2016-03-29,0.969
2016-03-30,0.848
2016-03-31,0.808
2016-04-01,0.833
2016-04-04,0.835
2016-04-05,0.861
2016-04-06,0.887
2016-04-07,0.887
2016-04-08,0.893
2016-04-11,0.874
2016-04-12,0.885
2016-04-13,0.932
2016-04-14,1.041
2016-04-15,1.021
2016-04-18,0.987
2016-04-19,0.936
2016-04-20,0.962
2016-04-21,1.015
2016-04-22,1.016
2016-04-25,1.023
2016-04-26,1.061
2016-04-27,1.046
2016-04-28,1.02
2016-04-29,1.021
2016-05-03,1.024
2016-05-04,1.025
2016-05-05,1.026
2016-05-06,1.026
2016-05-09,1.045
2016-05-10,1.051
2016-05-11,1.019
2016-05-12,1.009
2016-05-13,1.01
2016-05-16,1.001
2016-05-17,0.997
2016-05-18,1.025
2016-05-19,1.053
2016-05-20,1.042
2016-05-23,1.056
2016-05-24,1.073
2016-05-25,1.074
2016-05-26,1.042
2016-05-27,1.059
2016-05-30,1.111
2016-05-31,1.085
2016-06-01,1.052
2016-06-02,1.014
2016-06-03,0.998
2016-06-06,0.944
2016-06-07,0.951
2016-06-08,0.923
2016-06-09,0.907
2016-06-10,0.925
2016-06-13,0.91
2016-06-14,0.939
2016-06-15,0.99
2016-06-16,0.957
2016-06-17,1.014
2016-06-20,1.045
2016-06-21,1.023
2016-06-22,1.007
2016-06-23,1.013
2016-06-24,1.003
2016-06-27,0.993
2016-06-28,1.017
2016-06-29,1.03
2016-06-30,1.025
2016-07-01,0.968
2016-07-04,0.964
2016-07-05,0.924
2016-07-07,0.931
2016-07-08,0.932
2016-07-11,0.916
2016-07-12,0.94
2016-07-13,0.935
2016-07-14,0.93
2016-07-15,0.93
2016-07-18,0.921
2016-07-19,0.921
2016-07-20,0.958
2016-07-21,0.965
2016-07-22,0.947
2016-07-25,0.974
2016-07-26,0.974
2016-07-27,0.987
2016-07-28,0.964
2016-07-29,0.952
2016-08-01,0.924
2016-08-02,0.931
2016-08-03,0.938
2016-08-04,0.926
2016-08-05,0.896
2016-08-08,0.898
2016-08-10,0.856
2016-08-11,0.882
2016-08-12,0.87
2016-08-15,0.866
2016-08-16,0.841
2016-08-17,0.873
2016-08-18,0.855
2016-08-19,0.849
2016-08-22,0.845
2016-08-23,0.82
2016-08-24,0.808
2016-08-25,0.796
2016-08-26,0.797
2016-08-29,0.883
2016-08-30,0.879
2016-08-31,0.851
2016-09-01,0.842
2016-09-02,0.814
2016-09-05,0.791
2016-09-06,0.782
2016-09-07,0.763
2016-09-08,0.759
2016-09-09,0.794
2016-09-13,0.836
2016-09-14,0.851
2016-09-15,0.867
2016-09-16,0.858
2016-09-19,0.85
2016-09-20,0.846
2016-09-21,0.841
2016-09-22,0.807
2016-09-23,0.818
2016-09-26,0.815
2016-09-27,0.83
2016-09-28,0.887
2016-09-29,0.948
2016-09-30,0.924
2016-10-03,0.931
2016-10-04,0.922
2016-10-05,0.928
2016-10-06,0.919
2016-10-07,0.925
2016-10-10,0.901
2016-10-11,0.933
2016-10-12,0.929
2016-10-13,0.899
2016-10-14,0.9
2016-10-17,0.902
2016-10-18,0.877
2016-10-19,0.883
2016-10-20,0.894
2016-10-21,0.911
2016-10-24,0.882
2016-10-25,0.877
2016-10-26,0.857
2016-10-27,0.868
2016-10-28,0.88
2016-10-31,0.877
2016-11-01,0.877
2016-11-02,0.868
2016-11-03,0.852
2016-11-04,0.848
2016-11-07,0.856
2016-11-08,0.851
2016-11-09,0.852
2016-11-10,0.923
2016-11-11,0.978
2016-11-14,1.106
2016-11-15,1.085
2016-11-16,1.081
2016-11-17,1.06
2016-11-18,1.133
2016-11-21,1.12
2016-11-22,1.11
2016-11-23,1.106
2016-11-24,1.168
2016-11-25,1.153
2016-11-28,1.112
2016-11-29,1.102
2016-11-30,1.097
2016-12-01,1.144
2016-12-02,1.207
2016-12-05,1.2
2016-12-06,1.195
2016-12-07,1.174
2016-12-08,1.164
2016-12-09,1.222
2016-12-12,1.261
2016-12-13,1.285
2016-12-14,1.298
2016-12-15,1.398
2016-12-16,1.405
2016-12-19,1.382
2016-12-20,1.383
2016-12-21,1.362
2016-12-22,1.329
2016-12-23,1.313
2016-12-27,1.29
2016-12-28,1.303
2016-12-29,1.287
2016-12-30,1.312
2017-01-03,1.301
2017-01-04,1.321
2017-01-05,1.28
2017-01-06,1.258
2017-01-09,1.239
2017-01-10,1.222
2017-01-11,1.218
2017-01-12,1.171
2017-01-13,1.167
2017-01-16,1.165
2017-01-17,1.142
2017-01-18,1.143
2017-01-19,1.163
2017-01-20,1.152
2017-01-23,1.132
2017-01-24,1.14
2017-01-25,1.172
2017-01-26,1.37
2017-01-27,1.36
2017-01-31,1.295
2017-02-01,1.289
2017-02-02,1.245
2017-02-03,1.243
2017-02-06,1.2
2017-02-07,1.177
2017-02-08,1.201
2017-02-09,1.213
2017-02-10,1.25
2017-02-13,1.268
2017-02-14,1.231
2017-02-15,1.212
2017-02-16,1.211
2017-02-17,1.209
2017-02-20,1.209
2017-02-21,1.252
2017-02-22,1.25
2017-02-23,1.227
2017-02-24,1.225
2017-02-27,1.23
2017-02-28,1.228
2017-03-01,1.284
2017-03-02,1.283
2017-03-03,1.281
2017-03-06,1.25
2017-03-07,1.249
2017-03-08,1.256
2017-03-09,1.282
2017-03-10,1.285
2017-03-13,1.249
2017-03-14,1.297
2017-03-15,1.286
2017-03-16,1.235
2017-03-17,1.216
2017-03-20,1.206
2017-03-21,1.209
2017-03-22,1.221
2017-03-23,1.22
2017-03-24,1.232
2017-03-27,1.2
2017-03-28,1.249
2017-03-29,1.256
2017-03-30,1.255
2017-03-31,1.323
2017-04-03,1.309
2017-04-04,1.289
2017-04-05,1.269
2017-04-06,1.244
2017-04-07,1.229
2017-04-10,1.243
2017-04-11,1.218
2017-04-12,1.193
2017-04-13,1.177
2017-04-17,1.17
2017-04-18,1.183
2017-04-19,1.2
2017-04-20,1.227
2017-04-21,1.225
2017-04-24,1.239
2017-04-25,1.238
2017-04-26,1.246
2017-04-27,1.23
2017-04-28,1.214
2017-05-02,1.212
2017-05-03,1.215
