Date,Value
2016-01-04,2.899
2016-01-05,2.911
2016-01-06,2.933
2016-01-07,2.965
2016-01-08,3.058
2016-01-11,3.09
2016-01-12,3.095
2016-01-13,3.105
2016-01-14,3.125
2016-01-15,3.116
2016-01-18,3.116
2016-01-19,3.109
2016-01-20,3.105
2016-01-21,3.103
2016-01-22,3.105
2016-01-26,3.099
2016-01-27,3.093
2016-01-28,3.079
2016-01-29,3.083
2016-02-02,3.082
2016-02-03,3.079
2016-02-04,3.1
2016-02-05,3.127
2016-02-10,3.135
2016-02-11,3.136
2016-02-12,3.143
2016-02-15,3.139
2016-02-16,3.137
2016-02-17,3.154
2016-02-18,3.148
2016-02-19,3.157
2016-02-22,3.156
2016-02-23,3.16
2016-02-24,3.223
2016-02-25,3.238
2016-02-26,3.229
2016-02-29,3.21
2016-03-01,3.184
2016-03-02,3.168
2016-03-03,3.119
2016-03-04,3.106
2016-03-07,3.083
2016-03-08,3.08
2016-03-09,3.068
2016-03-10,3.088
2016-03-11,3.07
2016-03-14,3.088
2016-03-15,3.084
2016-03-16,3.076
2016-03-17,3.073
2016-03-18,3.078
2016-03-21,3.08
2016-03-22,3.069
2016-03-23,3.063
2016-03-24,3.081
2016-03-25,3.084
2016-03-28,3.088
2016-03-29,3.098
2016-03-30,3.09
2016-03-31,3.063
2016-04-01,3.071
2016-04-04,3.029
2016-04-05,3.04
2016-04-06,3.046
2016-04-07,3.041
2016-04-08,3.041
2016-04-11,3.039
2016-04-12,3.041
2016-04-13,3.029
2016-04-14,3.045
2016-04-15,3.036
2016-04-18,3.053
2016-04-19,3.058
2016-04-20,3.045
2016-04-21,3.046
2016-04-22,3.041
2016-04-25,3.046
2016-04-26,3.09
2016-04-27,3.09
2016-04-28,3.099
2016-04-29,3.099
2016-05-03,3.086
2016-05-04,3.101
2016-05-05,3.076
2016-05-06,3.073
2016-05-09,3.074
2016-05-10,3.064
2016-05-11,3.059
2016-05-12,3.044
2016-05-13,2.969
2016-05-16,2.954
2016-05-17,2.943
2016-05-18,2.943
2016-05-19,2.945
2016-05-20,2.958
2016-05-23,2.96
2016-05-24,2.965
2016-05-25,2.996
2016-05-26,2.997
2016-05-27,3.0
2016-05-30,3.013
2016-05-31,3.027
2016-06-01,3.068
2016-06-02,3.113
2016-06-03,3.099
2016-06-06,3.022
2016-06-07,3.023
2016-06-08,3.011
2016-06-09,3.02
2016-06-10,3.005
2016-06-13,3.009
2016-06-14,2.977
2016-06-15,3.022
2016-06-16,2.999
2016-06-17,3.023
2016-06-20,2.999
2016-06-21,2.986
2016-06-23,2.976
2016-06-24,2.982
2016-06-27,2.978
2016-06-28,2.952
2016-06-29,2.94
2016-06-30,2.929
2016-07-01,2.867
2016-07-04,2.857
2016-07-05,2.869
2016-07-08,2.874
2016-07-11,2.846
2016-07-12,2.841
2016-07-13,2.754
2016-07-14,2.62
2016-07-15,2.631
2016-07-18,2.593
2016-07-19,2.605
2016-07-20,2.601
2016-07-21,2.606
2016-07-22,2.641
2016-07-25,2.643
2016-07-26,2.645
2016-07-27,2.643
2016-07-28,2.634
2016-07-29,2.636
2016-08-01,2.635
2016-08-02,2.648
2016-08-03,2.696
2016-08-04,2.694
2016-08-05,2.69
2016-08-08,2.694
2016-08-09,2.696
2016-08-10,2.695
2016-08-11,2.682
2016-08-12,2.668
2016-08-15,2.639
2016-08-16,2.645
2016-08-17,2.65
2016-08-18,2.634
2016-08-19,2.631
2016-08-22,2.648
2016-08-23,2.649
2016-08-24,2.65
2016-08-25,2.64
2016-08-26,2.643
2016-08-29,2.659
2016-08-30,2.666
2016-09-01,2.675
2016-09-02,2.686
2016-09-05,2.681
2016-09-06,2.671
2016-09-07,2.643
2016-09-08,2.633
2016-09-09,2.639
2016-09-13,2.62
2016-09-14,2.646
2016-09-15,2.687
2016-09-19,2.686
2016-09-20,2.687
2016-09-21,2.692
2016-09-22,2.667
2016-09-23,2.671
2016-09-26,2.671
2016-09-27,2.675
2016-09-28,2.676
2016-09-29,2.669
2016-09-30,2.668
2016-10-04,2.671
2016-10-05,2.68
2016-10-06,2.674
2016-10-07,2.682
2016-10-10,2.688
2016-10-11,2.696
2016-10-12,2.704
2016-10-13,2.738
2016-10-14,2.738
2016-10-17,2.755
2016-10-18,2.75
2016-10-19,2.76
2016-10-20,2.747
2016-10-21,2.745
2016-10-24,2.736
2016-10-25,2.721
2016-10-26,2.711
2016-10-27,2.701
2016-10-28,2.711
2016-10-31,2.72
2016-11-01,2.714
2016-11-02,2.714
2016-11-03,2.718
2016-11-04,2.715
2016-11-07,2.72
2016-11-08,2.723
2016-11-09,2.724
2016-11-10,2.839
2016-11-11,3.085
2016-11-14,3.381
2016-11-15,3.501
2016-11-16,3.448
2016-11-17,3.542
2016-11-18,3.641
2016-11-21,3.661
2016-11-22,3.67
2016-11-23,3.693
2016-11-24,3.705
2016-11-25,3.765
2016-11-28,3.771
2016-11-29,3.795
2016-11-30,3.763
2016-12-01,3.735
2016-12-02,3.71
2016-12-05,3.714
2016-12-06,3.653
2016-12-07,3.54
2016-12-08,3.48
2016-12-09,3.463
2016-12-13,3.456
2016-12-14,3.45
2016-12-15,3.46
2016-12-16,3.478
2016-12-19,3.474
2016-12-20,3.484
2016-12-21,3.48
2016-12-22,3.446
2016-12-23,3.427
2016-12-27,3.422
2016-12-28,3.421
2016-12-29,3.42
2016-12-30,3.422
2017-01-03,3.415
2017-01-04,3.421
2017-01-05,3.394
2017-01-06,3.364
2017-01-09,3.363
2017-01-10,3.363
2017-01-11,3.345
2017-01-12,3.304
