Date,Value
2016-01-04,632.11
2016-01-05,641.4
2016-01-06,710.15
2016-01-07,744.51
2016-01-08,775.05
2016-01-11,820.45
2016-01-12,972.75
2016-01-13,819.5
2016-01-14,915.5
2016-01-15,856.1
2016-01-18,855.01
2016-01-19,868.8
2016-01-20,890.7
2016-01-21,872.5
2016-01-22,605.5
2016-01-25,651.58
2016-01-26,683.05
2016-01-27,628.3
2016-01-28,573.2
2016-01-29,642.6
2016-02-01,604.31
2016-02-02,726.65
2016-02-03,795.1
2016-02-04,656.26
2016-02-05,655.2
2016-02-08,604.51
2016-02-09,658.0
2016-02-10,729.35
2016-02-11,678.76
2016-02-12,727.01
2016-02-15,680.0
2016-02-16,698.18
2016-02-17,778.2
2016-02-18,616.85
2016-02-19,677.85
2016-02-22,652.35
2016-02-23,592.13
2016-02-24,714.2
2016-02-25,661.1
2016-02-26,593.2
2016-02-29,572.9
2016-03-01,670.65
2016-03-02,604.45
2016-03-03,642.2
2016-03-04,528.05
2016-03-07,490.65
2016-03-08,558.95
2016-03-09,632.6
2016-03-10,619.96
2016-03-11,595.35
2016-03-14,643.4
2016-03-15,645.9
2016-03-16,700.76
2016-03-17,671.05
2016-03-18,628.8
2016-03-21,595.81
2016-03-22,586.93
2016-03-23,544.65
2016-03-24,580.05
2016-03-25,480.15
2016-03-28,561.45
2016-03-29,524.05
2016-03-30,409.11
2016-03-31,386.66
2016-04-01,388.7
2016-04-04,366.71
2016-04-05,368.7
2016-04-06,384.65
2016-04-07,379.5
2016-04-08,388.41
2016-04-11,412.15
2016-04-12,428.8
2016-04-13,412.9
2016-04-14,381.4
2016-04-15,447.21
2016-04-18,481.0
2016-04-19,385.16
2016-04-20,386.4
2016-04-21,366.26
2016-04-22,431.5
2016-04-25,435.75
2016-04-26,476.16
2016-04-27,470.75
2016-04-28,447.71
2016-04-29,453.56
2016-05-02,518.6
2016-05-03,494.16
2016-05-04,495.75
2016-05-05,549.5
2016-05-06,553.6
2016-05-09,546.5
2016-05-10,584.95
2016-05-11,606.46
2016-05-12,525.65
2016-05-13,584.1
2016-05-16,572.3
2016-05-17,557.55
2016-05-18,536.4
2016-05-19,559.0
2016-05-20,596.25
2016-05-23,585.0
2016-05-24,584.5
2016-05-25,545.3
2016-05-26,532.6
2016-05-27,521.34
2016-05-30,582.5
2016-05-31,512.5
2016-06-01,561.8
2016-06-02,548.05
2016-06-03,523.25
2016-06-06,519.5
2016-06-07,496.75
2016-06-08,494.4
2016-06-09,493.9
2016-06-10,519.95
2016-06-13,533.28
2016-06-14,523.61
2016-06-15,539.96
2016-06-16,588.71
2016-06-17,469.06
2016-06-20,480.06
2016-06-21,555.01
2016-06-22,613.25
2016-06-23,335.01
2016-06-24,666.5
2016-06-27,613.2
2016-06-28,612.6
2016-06-29,493.2
2016-06-30,544.05
2016-07-01,551.8
2016-07-04,499.51
2016-07-05,497.5
2016-07-06,490.99
2016-07-07,531.5
2016-07-08,469.5
2016-07-11,457.76
2016-07-12,493.01
2016-07-13,448.1
2016-07-14,483.45
2016-07-15,449.1
2016-07-18,379.06
2016-07-19,456.46
2016-07-20,448.75
2016-07-21,504.0
2016-07-22,540.0
2016-07-25,514.0
2016-07-26,427.25
2016-07-27,489.25
2016-07-28,492.75
2016-07-29,489.0
2016-08-01,507.71
2016-08-02,502.65
2016-08-03,504.15
2016-08-04,457.5
2016-08-05,380.5
2016-08-08,498.5
2016-08-09,519.76
2016-08-10,519.5
2016-08-11,494.26
2016-08-12,486.41
2016-08-15,434.66
2016-08-16,452.26
2016-08-17,478.25
2016-08-18,434.76
2016-08-19,451.5
2016-08-22,464.5
2016-08-23,481.5
2016-08-24,481.55
2016-08-25,483.4
2016-08-26,433.75
2016-08-29,410.5
2016-08-30,468.01
2016-08-31,567.98
2016-09-01,482.31
2016-09-02,512.5
2016-09-05,463.76
2016-09-06,370.24
2016-09-07,386.25
2016-09-08,473.75
2016-09-09,485.76
2016-09-12,486.51
2016-09-13,532.75
2016-09-14,536.0
2016-09-15,504.0
2016-09-16,517.0
2016-09-19,511.0
2016-09-20,491.75
2016-09-21,525.25
2016-09-22,449.0
2016-09-23,501.7
2016-09-26,488.75
2016-09-27,473.76
2016-09-28,517.23
2016-09-29,531.01
2016-09-30,483.0
2016-10-03,530.45
2016-10-04,474.95
2016-10-05,501.01
2016-10-06,475.23
2016-10-07,481.73
2016-10-10,472.5
2016-10-11,520.06
2016-10-12,534.25
2016-10-13,480.25
2016-10-14,514.0
2016-10-17,544.75
2016-10-18,464.78
2016-10-19,516.75
2016-10-20,514.5
2016-10-21,507.01
2016-10-24,481.5
2016-10-25,434.5
2016-10-26,497.81
2016-10-27,525.0
2016-10-28,535.0
2016-10-31,497.01
2016-11-01,499.75
2016-11-02,497.86
2016-11-03,523.95
2016-11-04,522.01
2016-11-07,510.25
2016-11-08,512.46
2016-11-09,541.51
2016-11-10,501.6
2016-11-11,830.6
2016-11-14,1102.85
2016-11-15,875.9
2016-11-16,943.1
2016-11-17,1003.5
2016-11-18,1333.3
2016-11-21,1017.5
2016-11-22,1006.9
2016-11-23,1382.0
2016-11-24,1301.0
2016-11-25,1228.55
2016-11-28,1347.45
2016-11-29,1252.51
2016-11-30,1218.5
2016-12-01,1195.01
2016-12-02,1048.51
2016-12-05,745.05
2016-12-06,831.49
2016-12-07,603.5
2016-12-08,690.51
2016-12-09,482.5
2016-12-12,478.68
2016-12-13,497.55
2016-12-14,765.26
2016-12-15,957.49
2016-12-16,950.0
2016-12-19,865.0
2016-12-20,1037.51
2016-12-21,1071.0
2016-12-22,831.0
2016-12-23,970.0
2016-12-27,1041.33
2016-12-28,1012.3
2016-12-29,922.51
2016-12-30,892.5
2017-01-03,967.5
2017-01-04,897.5
2017-01-05,662.5
2017-01-06,723.75
2017-01-09,757.25
2017-01-10,773.45
2017-01-11,849.01
2017-01-12,677.5
2017-01-13,844.3
2017-01-16,793.26
2017-01-17,857.48
2017-01-18,1071.52
2017-01-19,1070.65
2017-01-20,910.0
2017-01-23,919.13
2017-01-24,916.75
2017-01-25,1044.98
2017-01-26,962.51
2017-01-27,811.25
2017-01-30,893.65
2017-01-31,1002.25
2017-02-01,1034.96
2017-02-02,970.13
2017-02-03,925.23
2017-02-06,906.5
2017-02-07,901.5
2017-02-08,966.25
2017-02-09,935.01
2017-02-10,961.5
2017-02-13,894.28
2017-02-14,867.5
2017-02-15,922.5
2017-02-16,873.76
2017-02-17,988.7
2017-02-20,982.5
2017-02-21,1025.0
2017-02-22,1020.25
2017-02-23,1039.72
2017-02-24,1055.01
2017-02-27,938.95
2017-02-28,932.7
2017-03-01,949.24
2017-03-02,912.0
2017-03-03,969.0
2017-03-07,952.51
2017-03-08,818.0
2017-03-09,936.5
2017-03-10,1244.03
2017-03-13,967.5
2017-03-14,1030.0
2017-03-15,1005.01
2017-03-16,1026.51
2017-03-17,1140.25
2017-03-28,940.0
2017-03-29,940.0
2017-03-30,947.23
2017-03-31,974.4
2017-04-04,925.01
2017-04-05,881.0
2017-04-06,929.22
2017-04-07,900.01
2017-04-10,891.49
2017-04-11,916.5
2017-04-12,850.01
2017-04-13,695.0
2017-04-14,662.0
2017-04-17,696.63
2017-04-18,657.75
2017-04-19,633.0
2017-04-20,680.01
2017-04-21,637.25
2017-04-24,587.5
2017-04-25,475.63
2017-04-26,521.37
2017-04-27,503.5
2017-04-28,415.23
2017-05-01,403.46
2017-05-02,363.76
2017-05-03,296.25
2017-05-04,371.25
2017-05-05,458.51
2017-05-08,400.0
2017-05-09,430.0
2017-05-10,430.0
2017-05-11,421.28
2017-05-12,410.63
2017-05-15,387.49
2017-05-16,413.7
2017-05-17,434.24
2017-05-18,496.23
2017-05-19,413.01
2017-05-22,460.0
2017-05-23,447.5
2017-05-24,433.76
2017-05-25,345.0
2017-05-26,360.0
2017-05-29,367.5
2017-05-30,355.0
2017-05-31,435.0
2017-06-01,540.33
2017-06-02,563.5
2017-06-05,328.8
2017-06-06,411.26
