Date,Value
2016-01-04,23.5
2016-01-05,23.0
2016-01-06,23.0
2016-01-07,26.5
2016-01-08,23.0
2016-01-11,23.0
2016-01-12,23.0
2016-01-13,23.25
2016-01-14,22.5
2016-01-15,22.5
2016-01-18,23.75
2016-01-19,23.6
2016-01-20,23.0
2016-01-21,23.0
2016-01-22,22.5
2016-01-26,22.5
2016-01-27,21.63
2016-01-28,25.67
2016-01-29,22.5
2016-02-02,22.25
2016-02-03,22.5
2016-02-04,23.25
2016-02-05,23.0
2016-02-10,22.5
2016-02-11,21.75
2016-02-12,23.0
2016-02-15,22.0
2016-02-16,22.95
2016-02-17,22.75
2016-02-18,22.35
2016-02-19,23.0
2016-02-22,22.5
2016-02-23,23.0
2016-02-24,22.5
2016-02-25,23.0
2016-02-26,23.5
2016-02-29,24.5
2016-03-01,25.0
2016-03-02,24.5
2016-03-03,24.0
2016-03-04,24.0
2016-03-07,23.75
2016-03-08,24.0
2016-03-09,24.0
2016-03-10,24.5
2016-03-11,24.75
2016-03-14,25.0
2016-03-15,24.0
2016-03-16,24.0
2016-03-17,23.5
2016-03-18,23.0
2016-03-21,23.5
2016-03-22,23.0
2016-03-23,22.5
2016-03-24,22.5
2016-03-25,21.75
2016-03-28,21.5
2016-03-29,21.0
2016-03-30,22.5
2016-03-31,23.0
2016-04-01,22.5
2016-04-04,22.5
2016-04-05,22.45
2016-04-06,22.5
2016-04-07,22.5
2016-04-08,22.5
2016-04-11,22.5
2016-04-12,23.0
2016-04-13,22.6
2016-04-14,22.75
2016-04-15,22.5
2016-04-18,22.25
2016-04-19,22.5
2016-04-20,22.0
2016-04-21,25.0
2016-04-22,21.5
2016-04-25,22.05
2016-04-26,23.25
2016-04-27,22.25
2016-04-28,22.0
2016-04-29,22.0
2016-05-03,21.75
2016-05-04,22.5
2016-05-05,21.75
2016-05-06,22.5
2016-05-09,22.5
2016-05-10,22.5
2016-05-11,21.5
2016-05-12,21.5
2016-05-13,21.5
2016-05-16,22.0
2016-05-17,22.0
2016-05-18,24.0
2016-05-19,21.0
2016-05-20,21.0
2016-05-23,22.0
2016-05-24,22.0
2016-05-25,22.0
2016-05-26,21.08
2016-05-27,21.0
2016-05-30,21.4
2016-05-31,21.4
2016-06-01,21.5
2016-06-02,20.5
2016-06-03,21.4
2016-06-06,21.0
2016-06-07,21.5
2016-06-08,21.5
2016-06-09,21.5
2016-06-10,21.35
2016-06-13,25.1
2016-06-14,22.0
2016-06-15,22.25
2016-06-16,22.25
2016-06-17,22.0
2016-06-20,21.75
2016-06-21,22.0
2016-06-23,24.5
2016-06-24,20.0
2016-06-27,21.5
2016-06-28,19.0
2016-06-29,19.0
2016-06-30,20.0
2016-07-01,20.0
2016-07-04,20.0
2016-07-05,17.0
2016-07-08,18.0
2016-07-11,18.0
2016-07-12,18.5
2016-07-13,17.5
2016-07-14,16.5
2016-07-15,17.8
2016-07-18,17.5
2016-07-19,18.5
2016-07-20,18.5
2016-07-21,18.25
2016-07-22,18.25
2016-07-25,18.0
2016-07-26,17.38
2016-07-27,17.0
2016-07-28,17.75
2016-07-29,17.6
2016-08-01,18.45
2016-08-02,18.53
2016-08-03,18.5
2016-08-04,18.35
2016-08-05,23.5
2016-08-08,18.6
2016-08-09,18.5
2016-08-10,18.25
2016-08-11,19.0
2016-08-12,18.5
2016-08-15,18.0
2016-08-16,18.0
2016-08-17,18.35
2016-08-18,18.0
2016-08-19,18.38
2016-08-22,18.5
2016-08-23,18.5
2016-08-24,17.4
2016-08-25,18.0
2016-08-26,15.75
2016-08-29,14.5
2016-08-30,15.5
2016-09-01,16.0
2016-09-02,16.35
2016-09-05,17.0
2016-09-06,25.0
2016-09-07,21.5
2016-09-08,18.4
2016-09-09,17.9
2016-09-13,18.0
2016-09-14,17.8
2016-09-15,17.3
2016-09-19,17.5
2016-09-20,17.0
2016-09-21,17.0
2016-09-22,19.25
2016-09-23,17.0
2016-09-26,15.5
2016-09-27,16.25
2016-09-28,16.0
2016-09-29,17.5
2016-09-30,16.5
2016-10-04,15.5
2016-10-05,15.5
2016-10-06,16.5
2016-10-07,16.75
2016-10-10,17.25
2016-10-11,16.5
2016-10-12,16.5
2016-10-13,17.5
2016-10-14,17.0
2016-10-17,17.75
2016-10-18,17.5
2016-10-19,17.65
2016-10-20,18.0
2016-10-21,17.75
2016-10-24,19.5
2016-10-25,17.9
2016-10-26,17.5
2016-10-27,18.0
2016-10-28,17.5
2016-10-31,16.6
2016-11-01,17.5
2016-11-02,26.5
2016-11-03,18.5
2016-11-04,18.5
2016-11-07,19.0
2016-11-08,19.0
2016-11-09,19.5
2016-11-10,18.5
2016-11-11,17.75
2016-11-15,18.38
2016-11-16,16.5
2016-11-17,17.75
2016-11-18,19.0
2016-11-21,19.0
2016-11-22,18.13
2016-11-23,16.88
2016-11-24,14.0
2016-11-25,14.0
2016-11-28,14.0
2016-11-29,12.0
2016-11-30,11.0
2016-12-01,11.75
2016-12-02,16.5
2016-12-05,19.5
2016-12-06,20.0
2016-12-07,19.38
2016-12-08,18.25
2016-12-09,17.88
2016-12-13,13.63
2016-12-14,10.5
2016-12-15,8.0
2016-12-16,13.63
2016-12-19,13.25
2016-12-20,15.0
2016-12-21,15.0
2016-12-22,2.75
2016-12-23,-1.0
2016-12-27,1.0
2016-12-30,13.0
2017-01-03,16.0
2017-01-04,17.5
2017-01-05,21.5
2017-01-06,18.13
2017-01-09,18.5
2017-01-11,18.25
2017-01-12,18.5
2017-01-13,18.63
2017-01-16,18.5
2017-01-17,18.5
2017-01-18,16.63
2017-01-19,20.5
2017-01-20,18.63
2017-01-23,21.38
2017-01-24,19.0
2017-01-25,18.0
2017-01-26,18.38
2017-01-27,17.25
2017-01-31,17.88
2017-02-02,18.0
2017-02-03,18.25
2017-02-06,18.5
2017-02-07,18.5
2017-02-08,20.5
2017-02-10,18.5
2017-02-13,17.88
2017-02-14,18.0
2017-02-15,18.0
2017-02-16,18.0
2017-02-17,18.0
2017-02-20,18.38
2017-02-21,18.0
2017-02-22,17.5
2017-02-23,17.83
2017-02-24,18.0
2017-02-27,17.5
2017-02-28,18.0
2017-03-01,17.5
2017-03-02,16.88
