Date,Value
2016-01-04,487.5
2016-01-05,490.0
2016-01-06,475.0
2016-01-07,485.0
2016-01-08,490.0
2016-01-11,470.0
2016-01-12,467.5
2016-01-13,470.0
2016-01-14,457.5
2016-01-15,457.5
2016-01-18,462.5
2016-01-19,467.5
2016-01-20,467.5
2016-01-21,492.5
2016-01-22,460.0
2016-01-26,465.0
2016-01-27,462.5
2016-01-28,465.0
2016-01-29,481.25
2016-02-02,485.0
2016-02-03,485.0
2016-02-04,485.0
2016-02-05,485.0
2016-02-10,492.5
2016-02-11,495.0
2016-02-12,498.75
2016-02-15,490.0
2016-02-16,495.0
2016-02-17,490.0
2016-02-18,495.0
2016-02-19,485.0
2016-02-22,480.0
2016-02-23,470.0
2016-02-24,475.0
2016-02-25,482.5
2016-02-26,490.0
2016-02-29,495.0
2016-03-01,490.0
2016-03-02,490.0
2016-03-03,490.0
2016-03-04,490.0
2016-03-07,490.0
2016-03-08,498.75
2016-03-09,490.0
2016-03-10,505.0
2016-03-11,501.25
2016-03-14,515.0
2016-03-15,507.5
2016-03-16,510.0
2016-03-17,507.5
2016-03-18,505.0
2016-03-21,506.5
2016-03-22,515.0
2016-03-23,507.0
2016-03-24,510.0
2016-03-25,510.0
2016-03-28,502.5
2016-03-29,496.5
2016-03-30,508.75
2016-03-31,505.0
2016-04-01,505.0
2016-04-04,505.0
2016-04-05,502.5
2016-04-06,510.0
2016-04-07,510.0
2016-04-08,510.0
2016-04-11,507.5
2016-04-12,510.0
2016-04-13,512.5
2016-04-14,510.0
2016-04-15,510.0
2016-04-18,497.5
2016-04-19,490.0
2016-04-20,480.0
2016-04-21,472.5
2016-04-22,485.0
2016-04-25,485.0
2016-04-26,485.0
2016-04-27,487.5
2016-04-28,480.0
2016-04-29,475.0
2016-05-03,480.0
2016-05-04,480.0
2016-05-05,480.0
2016-05-06,465.0
2016-05-09,485.0
2016-05-10,472.5
2016-05-11,470.0
2016-05-12,470.0
2016-05-13,470.0
2016-05-16,460.0
2016-05-17,465.0
2016-05-18,460.0
2016-05-19,435.0
2016-05-20,445.0
2016-05-23,450.0
2016-05-24,448.0
2016-05-25,442.5
2016-05-26,445.0
2016-05-27,445.0
2016-05-30,427.5
2016-05-31,432.5
2016-06-01,466.25
2016-06-02,455.0
2016-06-03,460.0
2016-06-06,470.0
2016-06-07,470.0
2016-06-08,475.0
2016-06-09,465.0
2016-06-10,468.75
2016-06-13,465.0
2016-06-14,470.0
2016-06-15,470.0
2016-06-16,470.0
2016-06-17,470.0
2016-06-20,470.0
2016-06-21,475.0
2016-06-23,465.0
2016-06-24,453.75
2016-06-27,455.0
2016-06-28,452.5
2016-06-29,457.5
2016-06-30,457.5
2016-07-01,375.0
2016-07-04,470.0
2016-07-05,375.0
2016-07-08,450.0
2016-07-11,455.0
2016-07-12,445.0
2016-07-13,415.0
2016-07-14,405.0
2016-07-15,405.0
2016-07-18,410.0
2016-07-19,415.0
2016-07-20,405.0
2016-07-21,405.0
2016-07-22,405.0
2016-07-25,390.0
2016-07-26,360.0
2016-07-27,360.0
2016-07-28,380.0
2016-07-29,375.0
2016-08-01,375.0
2016-08-02,375.0
2016-08-03,375.0
2016-08-04,375.0
2016-08-05,375.0
2016-08-08,375.0
2016-08-09,370.0
2016-08-10,365.0
2016-08-11,375.0
2016-08-12,357.5
2016-08-15,360.0
2016-08-16,365.0
2016-08-17,370.0
2016-08-18,370.0
2016-08-19,370.0
2016-08-22,370.0
2016-08-23,365.0
2016-08-24,362.5
2016-08-25,360.0
2016-08-26,353.0
2016-08-29,340.0
2016-08-30,340.0
2016-09-01,340.0
2016-09-02,365.0
2016-09-05,355.5
2016-09-06,355.5
2016-09-07,362.5
2016-09-08,363.0
2016-09-09,355.0
2016-09-13,355.0
2016-09-14,355.0
2016-09-15,345.5
2016-09-19,345.0
2016-09-20,345.0
2016-09-21,345.0
2016-09-22,355.0
2016-09-23,362.5
2016-09-26,350.0
2016-09-27,365.0
2016-09-28,355.0
2016-09-29,355.0
2016-09-30,342.5
2016-10-04,338.0
2016-10-05,335.0
2016-10-06,335.0
2016-10-07,333.0
2016-10-10,325.0
2016-10-11,325.0
2016-10-12,330.0
2016-10-13,330.0
2016-10-14,325.0
2016-10-17,332.5
2016-10-18,337.5
2016-10-19,332.5
2016-10-20,335.0
2016-10-21,335.0
2016-10-24,335.0
2016-10-25,335.0
2016-10-26,335.0
2016-10-27,335.0
2016-10-28,335.0
2016-10-31,335.0
2016-11-01,340.0
2016-11-02,347.5
2016-11-03,335.0
