Date,Value
2016-01-01,4.43
2016-01-04,4.458
2016-01-05,4.4135
2016-01-06,4.46
2016-01-07,4.4662
2016-01-08,4.435
2016-01-11,4.39
2016-01-12,4.415
2016-01-13,4.358
2016-01-14,4.2763
2016-01-15,4.205
2016-01-18,4.22
2016-01-19,4.2107
2016-01-20,4.145
2016-01-21,4.07
2016-01-22,4.035
2016-01-25,4.045
2016-01-26,4.025
2016-01-27,3.988
2016-01-28,3.975
2016-01-29,3.965
2016-02-01,3.97
2016-02-02,4.015
2016-02-03,4.0271
2016-02-04,3.985
2016-02-05,3.987
2016-02-08,3.995
2016-02-09,3.995
2016-02-10,3.895
2016-02-11,3.795
2016-02-12,3.88
2016-02-15,3.8798
2016-02-16,3.9075
2016-02-17,3.933
2016-02-18,3.92
2016-02-19,3.928
2016-02-22,3.945
2016-02-23,4.015
2016-02-24,4.0414
2016-02-25,3.9765
2016-02-26,3.9412
2016-02-29,3.983
2016-03-01,3.9253
2016-03-02,3.935
2016-03-03,3.943
2016-03-04,3.9161
2016-03-07,3.895
2016-03-08,3.865
2016-03-09,3.895
2016-03-10,3.8825
2016-03-11,3.918
2016-03-14,3.9418
2016-03-15,3.98
2016-03-16,3.9842
2016-03-17,3.87
2016-03-18,3.8257
2016-03-21,3.8575
2016-03-22,3.865
2016-03-23,3.89
2016-03-24,3.8875
2016-03-25,3.888
2016-03-28,3.9025
2016-03-29,3.8975
2016-03-30,3.835
2016-03-31,3.7957
2016-04-01,3.8228
2016-04-04,3.8275
2016-04-05,3.84
2016-04-06,3.88
2016-04-07,3.875
2016-04-08,3.915
2016-04-11,3.918
2016-04-12,3.8881
2016-04-13,3.9375
2016-04-14,3.94
2016-04-15,3.925
2016-04-18,3.95
2016-04-19,3.91
2016-04-20,3.84
2016-04-21,3.9
2016-04-22,3.91
2016-04-25,3.91
2016-04-26,3.94
2016-04-27,3.905
2016-04-28,3.8975
2016-04-29,3.8825
2016-05-02,3.875
2016-05-03,3.875
2016-05-04,3.87
2016-05-05,3.855
2016-05-06,3.835
2016-05-09,3.795
2016-05-10,3.785
2016-05-11,3.79
2016-05-12,3.785
2016-05-13,3.81
2016-05-16,3.7975
2016-05-17,3.81
2016-05-18,3.83
2016-05-19,3.89
2016-05-20,3.92
2016-05-23,3.92
2016-05-24,3.9425
2016-05-25,3.965
2016-05-26,3.94
2016-05-27,3.932
2016-05-30,4.02
2016-05-31,4.04
2016-06-01,4.02
2016-06-02,4.0125
2016-06-03,3.95
2016-06-06,3.89
2016-06-07,3.873
2016-06-08,3.8762
2016-06-09,3.835
2016-06-10,3.8225
2016-06-13,3.775
2016-06-14,3.8012
2016-06-15,3.85
2016-06-16,3.84
2016-06-17,3.855
2016-06-20,3.835
2016-06-21,3.845
2016-06-22,3.845
2016-06-23,3.8725
2016-06-24,3.81
2016-06-27,3.77
2016-06-28,3.708
2016-06-29,3.6745
2016-06-30,3.6867
2016-07-01,3.645
2016-07-04,3.61
2016-07-05,3.6259
2016-07-06,3.625
2016-07-07,3.6264
2016-07-08,3.635
2016-07-11,3.623
2016-07-12,3.6627
2016-07-13,3.5075
2016-07-14,3.523
2016-07-15,3.5334
2016-07-18,3.518
2016-07-19,3.525
2016-07-20,3.5725
2016-07-21,3.6175
2016-07-22,3.635
2016-07-25,3.625
2016-07-26,3.595
2016-07-27,3.605
2016-07-28,3.555
2016-07-29,3.5725
2016-08-01,3.53
2016-08-02,3.5825
2016-08-03,3.5976
2016-08-04,3.63
2016-08-05,3.6134
2016-08-08,3.6325
2016-08-09,3.64
2016-08-10,3.58
2016-08-11,3.6
2016-08-12,3.5025
2016-08-15,3.465
2016-08-16,3.4725
2016-08-17,3.505
2016-08-18,3.47
2016-08-19,3.4575
2016-08-22,3.5
2016-08-23,3.472
2016-08-24,3.4426
2016-08-25,3.46
2016-08-26,3.473
2016-08-29,3.51
2016-08-30,3.515
2016-08-31,3.515
2016-09-01,3.505
2016-09-02,3.4875
2016-09-05,3.465
2016-09-06,3.475
2016-09-07,3.48
2016-09-08,3.5025
2016-09-09,3.545
2016-09-12,3.543
2016-09-13,3.583
2016-09-14,3.595
2016-09-15,3.63
2016-09-16,3.63
2016-09-19,3.633
2016-09-20,3.615
2016-09-21,3.6175
2016-09-22,3.558
2016-09-23,3.577
2016-09-26,3.573
2016-09-27,3.56
2016-09-28,3.585
2016-09-29,3.595
2016-09-30,3.595
2016-10-03,3.595
2016-10-04,3.613
2016-10-05,3.655
2016-10-06,3.662
2016-10-07,3.6956
2016-10-10,3.69
2016-10-11,3.75
2016-10-12,3.78
2016-10-13,3.775
2016-10-14,3.7124
2016-10-17,3.805
2016-10-18,3.75
2016-10-19,3.7466
2016-10-20,3.75
2016-10-21,3.6975
2016-10-24,3.654
2016-10-25,3.645
2016-10-26,3.622
2016-10-27,3.645
2016-10-28,3.6939
2016-10-31,3.6938
2016-11-01,3.695
2016-11-02,3.675
2016-11-03,3.67
2016-11-04,3.69
2016-11-07,3.7475
2016-11-08,3.76
2016-11-09,3.79
2016-11-10,3.97
2016-11-11,4.33
2016-11-14,4.475
2016-11-15,4.245
2016-11-16,4.3175
2016-11-17,4.42
2016-11-18,4.41
2016-11-21,4.3795
2016-11-22,4.275
2016-11-23,4.22
2016-11-24,4.155
2016-11-25,4.17
2016-11-28,4.105
2016-11-29,4.2013
2016-11-30,4.198
2016-12-01,4.2
2016-12-02,4.19
2016-12-05,4.1468
2016-12-06,4.1622
2016-12-07,4.1523
2016-12-08,4.09
2016-12-09,4.11
2016-12-12,4.11
2016-12-13,4.1602
2016-12-14,4.2039
2016-12-15,4.28
2016-12-16,4.34
2016-12-19,4.4
2016-12-20,4.42
2016-12-21,4.38
2016-12-22,4.38
