Date,Value
2016-01-04,3.85
2016-01-05,3.85
2016-01-06,3.8525
2016-01-07,3.855
2016-01-08,3.84
2016-01-11,3.84
2016-01-12,3.835
2016-01-13,3.83
2016-01-14,3.83
2016-01-15,3.775
2016-01-18,3.775
2016-01-19,3.77
2016-01-20,3.76
2016-01-21,3.675
2016-01-22,3.645
2016-01-26,3.655
2016-01-27,3.6345
2016-01-28,3.66
2016-01-29,3.64
2016-02-02,3.67
2016-02-03,3.672
2016-02-04,3.66
2016-02-05,3.655
2016-02-10,3.62
2016-02-11,3.605
2016-02-12,3.615
2016-02-15,3.6
2016-02-16,3.6
2016-02-17,3.58
2016-02-18,3.577
2016-02-19,3.585
2016-02-22,3.5975
2016-02-23,3.6
2016-02-24,3.615
2016-02-25,3.605
2016-02-26,3.6
2016-02-29,3.61
2016-03-01,3.595
2016-03-02,3.59
2016-03-03,3.605
2016-03-04,3.6
2016-03-07,3.59
2016-03-08,3.59
2016-03-09,3.58
2016-03-10,3.615
2016-03-11,3.62
2016-03-14,3.6295
2016-03-15,3.6275
2016-03-16,3.625
2016-03-17,3.595
2016-03-18,3.56
2016-03-21,3.575
2016-03-22,3.575
2016-03-23,3.6
2016-03-24,3.6
2016-03-25,3.6
2016-03-28,3.6
2016-03-29,3.6175
2016-03-30,3.595
2016-03-31,3.575
2016-04-01,3.59
2016-04-04,3.595
2016-04-05,3.597
2016-04-06,3.59
2016-04-07,3.59
2016-04-08,3.59
2016-04-11,3.59
2016-04-12,3.58
2016-04-13,3.59
2016-04-14,3.6
2016-04-15,3.585
2016-04-18,3.59
2016-04-19,3.585
2016-04-20,3.575
2016-04-21,3.58
2016-04-22,3.585
2016-04-25,3.57
2016-04-26,3.57
2016-04-27,3.5545
2016-04-28,3.565
2016-04-29,3.569
2016-05-03,3.55
2016-05-04,3.547
2016-05-05,3.5425
2016-05-06,3.5275
2016-05-09,3.515
2016-05-10,3.495
2016-05-11,3.515
2016-05-12,3.505
2016-05-13,3.52
2016-05-16,3.515
2016-05-17,3.52
2016-05-18,3.53
2016-05-19,3.54
2016-05-20,3.575
2016-05-23,3.575
2016-05-24,3.59
2016-05-25,3.585
2016-05-26,3.585
2016-05-27,3.585
2016-05-30,3.6
2016-05-31,3.63
2016-06-01,3.62
2016-06-02,3.615
2016-06-03,3.595
2016-06-06,3.585
2016-06-07,3.57
2016-06-08,3.58
2016-06-09,3.57
2016-06-10,3.565
2016-06-13,3.555
2016-06-14,3.5825
2016-06-15,3.585
2016-06-16,3.58
2016-06-17,3.58
2016-06-20,3.575
2016-06-21,3.565
2016-06-22,3.565
2016-06-23,3.565
2016-06-24,3.565
2016-06-27,3.535
2016-06-28,3.49
2016-06-29,3.505
2016-06-30,3.55
2016-07-01,3.485
2016-07-04,3.48
2016-07-05,3.485
2016-07-08,3.49
2016-07-11,3.4875
2016-07-12,3.495
2016-07-13,3.38
2016-07-14,3.37
2016-07-15,3.355
2016-07-18,3.355
2016-07-19,3.355
2016-07-20,3.365
2016-07-21,3.355
2016-07-22,3.365
2016-07-25,3.365
2016-07-26,3.355
2016-07-27,3.352
2016-07-28,3.33
2016-07-29,3.345
2016-08-01,3.34
2016-08-02,3.345
2016-08-03,3.335
2016-08-04,3.345
2016-08-05,3.345
2016-08-08,3.36
2016-08-09,3.36
2016-08-10,3.35
2016-08-11,3.355
2016-08-12,3.305
2016-08-15,3.29
2016-08-16,3.315
2016-08-17,3.32
2016-08-18,3.295
2016-08-19,3.3025
2016-08-22,3.305
2016-08-23,3.3
2016-08-24,3.295
2016-08-25,3.29
2016-08-26,3.3
2016-08-29,3.3
2016-08-30,3.29
2016-09-01,3.3
2016-09-02,3.2875
2016-09-05,3.28
2016-09-06,3.285
2016-09-07,3.285
2016-09-08,3.285
2016-09-09,3.3
2016-09-13,3.3
2016-09-14,3.3
2016-09-15,3.3075
2016-09-19,3.315
2016-09-20,3.3125
2016-09-21,3.33
2016-09-22,3.305
2016-09-23,3.31
2016-09-26,3.31
2016-09-27,3.3
2016-09-28,3.312
2016-09-29,3.325
2016-09-30,3.315
2016-10-04,3.32
2016-10-05,3.305
2016-10-06,3.33
2016-10-07,3.34
2016-10-10,3.33
2016-10-11,3.355
2016-10-12,3.375
2016-10-13,3.37
2016-10-14,3.365
2016-10-17,3.385
2016-10-18,3.37
2016-10-19,3.36
2016-10-20,3.375
2016-10-21,3.375
2016-10-24,3.345
2016-10-25,3.345
2016-10-26,3.335
2016-10-27,3.345
2016-10-28,3.345
2016-10-31,3.345
2016-11-01,3.345
2016-11-02,3.34
2016-11-03,3.3445
2016-11-04,3.34
2016-11-07,3.335
2016-11-08,3.345
2016-11-09,3.325
2016-11-10,3.375
2016-11-11,3.49
2016-11-14,3.585
2016-11-15,3.5
2016-11-16,3.51
2016-11-17,3.585
2016-11-18,3.65
2016-11-21,3.605
2016-11-22,3.585
2016-11-23,3.565
2016-11-24,3.615
2016-11-25,3.665
2016-11-28,3.655
2016-11-29,3.66
2016-11-30,3.645
2016-12-01,3.66
2016-12-02,3.665
2016-12-05,3.63
2016-12-06,3.605
2016-12-07,3.575
2016-12-08,3.57
2016-12-09,3.545
2016-12-13,3.575
2016-12-14,3.565
2016-12-15,3.615
2016-12-16,3.635
2016-12-19,3.64
2016-12-20,3.645
2016-12-21,3.645
2016-12-22,3.64
2016-12-23,3.645
2016-12-27,3.645
2016-12-28,3.645
2016-12-29,3.635
2016-12-30,3.625
2017-01-03,3.625
2017-01-04,3.635
2017-01-05,3.615
2017-01-06,3.6
2017-01-09,3.605
2017-01-10,3.615
2017-01-11,3.6075
2017-01-12,3.595
2017-01-13,3.595
2017-01-16,3.585
2017-01-17,3.565
2017-01-18,3.565
2017-01-19,3.57
2017-01-20,3.555
2017-01-23,3.555
2017-01-24,3.525
2017-01-25,3.54
