Date,Value
2016-01-01,2.47285
2016-01-04,2.46
2016-01-05,2.455
2016-01-06,2.435
2016-01-07,2.4325
2016-01-08,2.425
2016-01-11,2.4025
2016-01-12,2.41578
2016-01-13,2.3975
2016-01-14,2.405
2016-01-15,2.3925
2016-01-18,2.355
2016-01-19,2.3301
2016-01-20,2.315
2016-01-21,2.325
2016-01-22,2.335
2016-01-25,2.3375
2016-01-26,2.335
2016-01-27,2.31614
2016-01-28,2.3075
2016-01-29,2.31
2016-02-01,2.31625
2016-02-02,2.315
2016-02-03,2.335
2016-02-04,2.3625
2016-02-05,2.3575
2016-02-08,2.335
2016-02-09,2.3275
2016-02-10,2.3175
2016-02-11,2.305
2016-02-12,2.3
2016-02-15,2.315
2016-02-16,2.3
2016-02-17,2.295
2016-02-18,2.30125
2016-02-19,2.2825
2016-02-22,2.28
2016-02-23,2.2625
2016-02-24,2.2425
2016-02-25,2.245
2016-02-26,2.2475
2016-02-29,2.225
2016-03-01,2.2325
2016-03-02,2.25569
2016-03-03,2.24535
2016-03-04,2.245
2016-03-07,2.24625
2016-03-08,2.2425
2016-03-09,2.055
2016-03-10,2.0475
2016-03-11,2.065
2016-03-14,2.06
2016-03-15,2.0575
2016-03-16,2.045
2016-03-17,2.02625
2016-03-18,2.026
2016-03-21,2.0225
2016-03-22,2.0175
2016-03-23,2.025
2016-03-24,2.0225
2016-03-25,2.0225
2016-03-28,2.02
2016-03-29,2.005
2016-03-30,1.9825
2016-03-31,1.9775
2016-04-01,1.985
2016-04-04,1.965
2016-04-05,1.9525
2016-04-06,1.9525
2016-04-07,1.955
2016-04-08,1.9475
2016-04-11,1.955
2016-04-12,1.9775
2016-04-13,2.01
2016-04-14,1.9925
2016-04-15,1.9925
2016-04-18,2.0119
2016-04-19,2.0222
2016-04-20,1.9996
2016-04-21,1.9875
2016-04-22,1.975
2016-04-25,1.9725
2016-04-26,1.987
2016-04-27,1.9555
2016-04-28,2.035
2016-04-29,2.034
2016-05-02,2.04138
2016-05-03,2.02
2016-05-04,2.0256
2016-05-05,2.006
2016-05-06,1.962
2016-05-09,1.9525
2016-05-10,1.9519
2016-05-11,1.9752
2016-05-12,2.0
2016-05-13,2.012
2016-05-16,2.0097
2016-05-17,2.0175
2016-05-18,2.05
2016-05-19,2.06911
2016-05-20,2.09
2016-05-23,2.115
2016-05-24,2.0995
2016-05-25,2.0814
2016-05-26,2.06756
2016-05-27,2.06416
2016-05-30,2.0825
2016-05-31,2.09024
2016-06-01,2.085
2016-06-02,2.075
2016-06-03,2.07
2016-06-06,2.045
2016-06-07,2.0308
2016-06-08,2.055
2016-06-09,2.116
2016-06-10,2.093
2016-06-13,2.0794
2016-06-14,2.059
2016-06-15,2.06
2016-06-16,2.0575
2016-06-17,2.07
2016-06-20,2.085
2016-06-21,2.1075
2016-06-22,2.1075
2016-06-23,2.1175
2016-06-24,2.0025
2016-06-27,1.9875
2016-06-28,2.01678
2016-06-29,2.0375
2016-06-30,2.029
2016-07-01,2.014
2016-07-04,2.005
2016-07-05,1.99
2016-07-06,1.9832
2016-07-07,2.0364
2016-07-08,2.045
2016-07-11,2.0525
2016-07-12,2.0644
2016-07-13,2.0425
2016-07-14,1.9873
2016-07-15,1.965
2016-07-18,1.945
2016-07-19,1.8975
2016-07-20,1.8971
2016-07-21,1.852
2016-07-22,1.845
2016-07-25,1.8436
2016-07-26,1.83
2016-07-27,1.828
2016-07-28,1.815
2016-07-29,1.81221
2016-08-01,1.805
2016-08-02,1.8025
2016-08-03,1.7949
2016-08-04,1.7813
2016-08-05,1.7675
2016-08-08,1.7575
2016-08-09,1.7149
2016-08-10,1.7198
2016-08-11,1.7575
2016-08-12,1.751
2016-08-15,1.7325
2016-08-16,1.7316
2016-08-17,1.7275
2016-08-18,1.73
2016-08-19,1.739
2016-08-22,1.7386
2016-08-23,1.75
2016-08-24,1.7425
2016-08-25,1.7374
2016-08-26,1.74058
2016-08-29,1.7475
2016-08-30,1.7439
2016-08-31,1.7493
2016-09-01,1.7491
2016-09-02,1.749
2016-09-05,1.7494
2016-09-06,1.7375
2016-09-07,1.7472
2016-09-08,1.755
2016-09-09,1.75483
2016-09-12,1.77595
2016-09-13,1.805
2016-09-14,1.7901
2016-09-15,1.785
2016-09-16,1.78778
2016-09-19,1.8125
2016-09-20,1.8173
2016-09-21,1.8138
2016-09-22,1.774
2016-09-23,1.76
2016-09-26,1.7519
2016-09-27,1.7525
2016-09-28,1.7505
2016-09-29,1.7496
2016-09-30,1.73935
2016-10-03,1.7475
2016-10-04,1.7721
2016-10-05,1.7819
2016-10-06,1.799
2016-10-07,1.7975
2016-10-10,1.7914
2016-10-11,1.765
2016-10-12,1.75
2016-10-13,1.7475
2016-10-14,1.7509
2016-10-17,1.7525
2016-10-18,1.7665
2016-10-19,1.7622
2016-10-20,1.757
2016-10-21,1.75365
2016-10-24,1.754
2016-10-25,1.755
2016-10-26,1.76
2016-10-27,1.76
2016-10-28,1.761
2016-10-31,1.758
2016-11-01,1.7575
2016-11-02,1.778
2016-11-03,1.79
2016-11-04,1.799
2016-11-07,1.808
2016-11-08,1.815
2016-11-09,1.7821
2016-11-10,1.78437
2016-11-11,1.78051
2016-11-14,1.78
2016-11-15,1.77978
2016-11-16,1.77805
2016-11-17,1.772
2016-11-18,1.775
2016-11-21,1.7775
2016-11-22,1.77
2016-11-23,1.77994
2016-11-24,1.77714
2016-11-25,1.77
2016-11-28,1.77
2016-11-29,1.76789
2016-11-30,1.78385
2016-12-01,1.78299
2016-12-02,1.78329
2016-12-05,1.782
2016-12-06,1.7825
2016-12-07,1.78269
2016-12-08,1.785
2016-12-09,1.79424
2016-12-12,1.79854
2016-12-13,1.80343
2016-12-14,1.815
2016-12-15,1.83768
2016-12-16,1.85127
2016-12-19,1.85394
2016-12-20,1.85809
2016-12-21,1.86957
2016-12-22,1.8775
2016-12-23,1.87835
2016-12-26,1.8737
2016-12-27,1.8775
2016-12-28,1.8925
2016-12-29,1.895
2016-12-30,1.875
2017-01-02,1.887
2017-01-03,1.87778
2017-01-04,1.875
2017-01-05,1.8625
2017-01-06,1.865
2017-01-09,1.87
2017-01-10,1.86466
2017-01-11,1.8707
2017-01-12,1.865
2017-01-13,1.858
2017-01-16,1.855
2017-01-17,1.86142
2017-01-18,1.87153
2017-01-19,1.8672
2017-01-20,1.8725
2017-01-23,1.87025
2017-01-24,1.885
2017-01-25,1.8815
2017-01-26,1.885
2017-01-27,1.875
2017-01-30,1.875
2017-01-31,1.86616
2017-02-01,1.86
2017-02-02,1.85298
2017-02-03,1.85
2017-02-06,1.85
2017-02-07,1.8525
2017-02-08,1.8125
2017-02-09,1.81
2017-02-10,1.80823
2017-02-13,1.807
2017-02-14,1.8225
2017-02-15,1.82
2017-02-16,1.8175
2017-02-17,1.80974
2017-02-20,1.81
2017-02-21,1.81
2017-02-22,1.81
2017-02-23,1.81047
2017-02-24,1.812
2017-02-27,1.812
2017-02-28,1.815
2017-03-01,1.8187
2017-03-02,1.8187
2017-03-03,1.817
2017-03-06,1.815
2017-03-07,1.8225
2017-03-08,1.82422
2017-03-09,1.82787
2017-03-10,1.825
2017-03-13,1.825
2017-03-14,1.8275
2017-03-15,1.82765
2017-03-16,1.82
2017-03-17,1.817
2017-03-20,1.8175
2017-03-21,1.81276
2017-03-22,1.82
2017-03-23,1.8175
2017-03-24,1.82
2017-03-27,1.81791
2017-03-28,1.8175
2017-03-29,1.8225
2017-03-30,1.82
2017-03-31,1.82
2017-04-03,1.82225
2017-04-04,1.815
2017-04-05,1.8125
2017-04-06,1.815
2017-04-07,1.81225
2017-04-10,1.81518
2017-04-11,1.82
2017-04-12,1.82
2017-04-13,1.81775
2017-04-14,1.82
2017-04-17,1.82
2017-04-18,1.82296
2017-04-19,1.82225
2017-04-20,1.83206
2017-04-21,1.81828
2017-04-24,1.83225
2017-04-25,1.835
2017-04-26,1.835
2017-04-27,1.83225
2017-04-28,1.83225
2017-05-01,1.83081
2017-05-02,1.83
2017-05-03,1.8317
2017-05-04,1.82775
2017-05-05,1.835
2017-05-08,1.84487
2017-05-09,1.855
2017-05-10,1.85352
2017-05-11,1.8175
2017-05-12,1.80916
2017-05-15,1.80566
2017-05-16,1.80825
2017-05-17,1.805
2017-05-18,1.81
2017-05-19,1.8075
2017-05-22,1.81
2017-05-23,1.81225
2017-05-24,1.80741
2017-05-25,1.81
2017-05-26,1.81225
2017-05-29,1.8135
2017-05-30,1.81
2017-05-31,1.81225
2017-06-01,1.81142
2017-06-02,1.81225
2017-06-05,1.81246
2017-06-06,1.81
2017-06-07,1.81
