Date,Value
2016-01-01,2.5
2016-01-04,2.4975
2016-01-05,2.5
2016-01-06,2.49749
2016-01-07,2.49762
2016-01-08,2.497
2016-01-11,2.492
2016-01-12,2.49
2016-01-13,2.4875
2016-01-14,2.49184
2016-01-15,2.4894
2016-01-18,2.4775
2016-01-19,2.475
2016-01-20,2.4675
2016-01-21,2.48
2016-01-22,2.48
2016-01-25,2.48261
2016-01-26,2.48
2016-01-27,2.5025
2016-01-28,2.5025
2016-01-29,2.5024
2016-02-01,2.5023
2016-02-02,2.5023
2016-02-03,2.5025
2016-02-04,2.5023
2016-02-05,2.5025
2016-02-08,2.5024
2016-02-09,2.4975
2016-02-10,2.495
2016-02-11,2.4881
2016-02-12,2.4875
2016-02-15,2.4875
2016-02-16,2.478
2016-02-17,2.475
2016-02-18,2.4775
2016-02-19,2.475
2016-02-22,2.475
2016-02-23,2.46
2016-02-24,2.4473
2016-02-25,2.4482
2016-02-26,2.4475
2016-02-29,2.44
2016-03-01,2.445
2016-03-02,2.4492
2016-03-03,2.4375
2016-03-04,2.4375
2016-03-07,2.4425
2016-03-08,2.4325
2016-03-09,2.2525
2016-03-10,2.2525
2016-03-11,2.25207
2016-03-14,2.2525
2016-03-15,2.2521
2016-03-16,2.2525
2016-03-17,2.2525
2016-03-18,2.25207
2016-03-21,2.2521
2016-03-22,2.25
2016-03-23,2.25
2016-03-24,2.25
2016-03-25,2.25
2016-03-28,2.25
2016-03-29,2.2425
2016-03-30,2.2325
2016-03-31,2.23
2016-04-01,2.23
2016-04-04,2.2175
2016-04-05,2.2075
2016-04-06,2.2
2016-04-07,2.2
2016-04-08,2.202
2016-04-11,2.1925
2016-04-12,2.1975
2016-04-13,2.205
2016-04-14,2.19
2016-04-15,2.1905
2016-04-18,2.205
2016-04-19,2.21
2016-04-20,2.1875
2016-04-21,2.165
2016-04-22,2.1675
2016-04-25,2.1625
2016-04-26,2.1725
2016-04-27,2.1475
2016-04-28,2.17701
2016-04-29,2.25214
2016-05-02,2.2522
2016-05-03,2.25208
2016-05-04,2.2521
2016-05-05,2.2475
2016-05-06,2.245
2016-05-09,2.2275
2016-05-10,2.23
2016-05-11,2.215
2016-05-12,2.2175
2016-05-13,2.22
2016-05-16,2.2075
2016-05-17,2.2075
