Date,Value
2016-01-01,2.5
2016-01-04,2.49671
2016-01-05,2.5
2016-01-06,2.49598
2016-01-07,2.49605
2016-01-08,2.495
2016-01-11,2.49
2016-01-12,2.485
2016-01-13,2.4825
2016-01-14,2.485
2016-01-15,2.4813
2016-01-18,2.4625
2016-01-19,2.455
2016-01-20,2.4325
2016-01-21,2.4481
2016-01-22,2.45
2016-01-25,2.4475
2016-01-26,2.4488
2016-01-27,2.4571
2016-01-28,2.4624
2016-01-29,2.45936
2016-02-01,2.465
2016-02-02,2.4642
2016-02-03,2.47835
2016-02-04,2.49
2016-02-05,2.4885
2016-02-08,2.4825
2016-02-09,2.48202
2016-02-10,2.4755
2016-02-11,2.4617
2016-02-12,2.4625
2016-02-15,2.4698
2016-02-16,2.45775
2016-02-17,2.455
2016-02-18,2.4625
2016-02-19,2.4575
2016-02-22,2.46306
2016-02-23,2.4475
2016-02-24,2.4334
2016-02-25,2.4337
2016-02-26,2.4336
2016-02-29,2.425
2016-03-01,2.43
2016-03-02,2.4316
2016-03-03,2.42
2016-03-04,2.4175
2016-03-07,2.4234
2016-03-08,2.4175
2016-03-09,2.225
2016-03-10,2.23
2016-03-11,2.235
2016-03-14,2.23
2016-03-15,2.225
2016-03-16,2.22
2016-03-17,2.2175
2016-03-18,2.2167
2016-03-21,2.2125
2016-03-22,2.214
2016-03-23,2.2106
2016-03-24,2.21
2016-03-25,2.21013
2016-03-28,2.2075
2016-03-29,2.205
2016-03-30,2.1925
2016-03-31,2.1875
2016-04-01,2.193
2016-04-04,2.1875
2016-04-05,2.178
2016-04-06,2.1748
2016-04-07,2.165
2016-04-08,2.166
2016-04-11,2.1625
2016-04-12,2.1675
2016-04-13,2.187
2016-04-14,2.16
2016-04-15,2.1584
2016-04-18,2.175
2016-04-19,2.1785
2016-04-20,2.165
2016-04-21,2.1275
2016-04-22,2.125
2016-04-25,2.125
2016-04-26,2.1388
2016-04-27,2.117
2016-04-28,2.20999
2016-04-29,2.196
2016-05-02,2.197
