Date,Value
2016-01-01,2.4925
2016-01-04,2.49025
2016-01-05,2.48836
2016-01-06,2.485
2016-01-07,2.48737
2016-01-08,2.485
2016-01-11,2.48
2016-01-12,2.47403
2016-01-13,2.4755
2016-01-14,2.47
2016-01-15,2.4709
2016-01-18,2.4475
2016-01-19,2.4275
2016-01-20,2.41
2016-01-21,2.42737
2016-01-22,2.43118
2016-01-25,2.4275
2016-01-26,2.4275
2016-01-27,2.4346
2016-01-28,2.4416
2016-01-29,2.435
2016-02-01,2.4425
2016-02-02,2.4438
2016-02-03,2.46338
2016-02-04,2.48
2016-02-05,2.475
2016-02-08,2.4675
2016-02-09,2.46705
2016-02-10,2.4577
2016-02-11,2.4421
2016-02-12,2.44
2016-02-15,2.45046
2016-02-16,2.43679
2016-02-17,2.4325
2016-02-18,2.4381
2016-02-19,2.4325
2016-02-22,2.43814
2016-02-23,2.42
2016-02-24,2.4011
2016-02-25,2.40385
2016-02-26,2.4025
2016-02-29,2.395
2016-03-01,2.3975
2016-03-02,2.4071
2016-03-03,2.39875
2016-03-04,2.395
2016-03-07,2.4006
2016-03-08,2.391
2016-03-09,2.1975
2016-03-10,2.205
2016-03-11,2.2106
2016-03-14,2.2025
2016-03-15,2.195
2016-03-16,2.19
2016-03-17,2.1825
2016-03-18,2.184
2016-03-21,2.175
2016-03-22,2.178
2016-03-23,2.1716
2016-03-24,2.17
2016-03-25,2.1725
2016-03-28,2.17383
2016-03-29,2.165
2016-03-30,2.15
2016-03-31,2.1459
2016-04-01,2.151
2016-04-04,2.14
2016-04-05,2.1292
2016-04-06,2.1269
2016-04-07,2.12
2016-04-08,2.1194
2016-04-11,2.1175
2016-04-12,2.1275
2016-04-13,2.15
2016-04-14,2.1275
2016-04-15,2.125
2016-04-18,2.1425
2016-04-19,2.145
2016-04-20,2.13
2016-04-21,2.1
2016-04-22,2.1
2016-04-25,2.1
2016-04-26,2.10845
2016-04-27,2.077
2016-04-28,2.172
2016-04-29,2.1699
2016-05-02,2.1725
2016-05-03,2.1482
2016-05-04,2.157
2016-05-05,2.145
2016-05-06,2.1225
2016-05-09,2.1175
2016-05-10,2.1175
2016-05-11,2.1275
2016-05-12,2.1475
2016-05-13,2.155
2016-05-16,2.1519
2016-05-17,2.15
2016-05-18,2.1662
2016-05-19,2.1774
2016-05-20,2.19
2016-05-23,2.2025
2016-05-24,2.19227
2016-05-25,2.18
2016-05-26,2.17
2016-05-27,2.17
2016-05-30,2.1826
2016-05-31,2.1845
2016-06-01,2.18
2016-06-02,2.16869
2016-06-03,2.162
2016-06-06,2.1438
2016-06-07,2.13321
2016-06-08,2.1525
2016-06-09,2.21736
2016-06-10,2.21132
2016-06-13,2.205
2016-06-14,2.195
2016-06-15,2.1925
2016-06-16,2.1962
2016-06-17,2.19694
2016-06-20,2.2035
2016-06-21,2.21
2016-06-22,2.20983
2016-06-23,2.20749
2016-06-24,2.1534
2016-06-27,2.1485
2016-06-28,2.1644
2016-06-29,2.1764
2016-06-30,2.1728
2016-07-01,2.1642
2016-07-04,2.15302
2016-07-05,2.1466
2016-07-06,2.14342
2016-07-07,2.1475
2016-07-08,2.18257
2016-07-11,2.1825
2016-07-12,2.182
2016-07-13,2.1725
2016-07-14,2.12643
2016-07-15,2.11
2016-07-18,2.09
2016-07-19,2.075
2016-07-20,2.07
2016-07-21,2.035
2016-07-22,2.02947
2016-07-25,2.02
2016-07-26,2.015
2016-07-27,2.0075
2016-07-28,2.0025
2016-07-29,1.99621
2016-08-01,1.99
2016-08-02,1.985
2016-08-03,1.97692
2016-08-04,1.96
2016-08-05,1.955
2016-08-08,1.943
2016-08-09,1.913
2016-08-10,1.90127
2016-08-11,1.94773
2016-08-12,1.95608
2016-08-15,1.95
2016-08-16,1.9507
2016-08-17,1.947
2016-08-18,1.9444
2016-08-19,1.94688
2016-08-22,1.9425
2016-08-23,1.9453
2016-08-24,1.9352
2016-08-25,1.931
2016-08-26,1.931
2016-08-29,1.933
2016-08-30,1.935
2016-08-31,1.935
2016-09-01,1.9309
2016-09-02,1.93
2016-09-05,1.925
2016-09-06,1.9225
2016-09-07,1.919
2016-09-08,1.9225
2016-09-09,1.9225
2016-09-12,1.9275
2016-09-13,1.935
2016-09-14,1.9325
2016-09-15,1.9275
2016-09-16,1.929
2016-09-19,1.929
2016-09-20,1.935
2016-09-21,1.9229
2016-09-22,1.9125
2016-09-23,1.905
2016-09-26,1.901
2016-09-27,1.9005
2016-09-28,1.8927
2016-09-29,1.891
2016-09-30,1.8875
2016-10-03,1.89
2016-10-04,1.89659
2016-10-05,1.8956
2016-10-06,1.895
2016-10-07,1.892
2016-10-10,1.883
2016-10-11,1.8625
2016-10-12,1.846
2016-10-13,1.84241
2016-10-14,1.8425
2016-10-17,1.84
2016-10-18,1.8425
2016-10-19,1.84
2016-10-20,1.83
2016-10-21,1.825
2016-10-24,1.8227
2016-10-25,1.8196
2016-10-26,1.8134
2016-10-27,1.8111
2016-10-28,1.8111
2016-10-31,1.806
2016-11-01,1.8061
2016-11-02,1.81
2016-11-03,1.8125
2016-11-04,1.81428
2016-11-07,1.81
2016-11-08,1.8042
2016-11-09,1.754
2016-11-10,1.75333
2016-11-11,1.7525
2016-11-14,1.7525
2016-11-15,1.7525
2016-11-16,1.752
2016-11-17,1.752
2016-11-18,1.752
2016-11-21,1.75186
2016-11-22,1.751
2016-11-23,1.751
2016-11-24,1.75128
2016-11-25,1.75
2016-11-28,1.74914
2016-11-29,1.749
2016-11-30,1.751
2016-12-01,1.751
2016-12-02,1.752
2016-12-05,1.75017
2016-12-06,1.75
2016-12-07,1.75
2016-12-08,1.75
2016-12-09,1.751
2016-12-12,1.751
2016-12-13,1.751
2016-12-14,1.751
2016-12-15,1.753
2016-12-16,1.75299
2016-12-19,1.7525
2016-12-20,1.7525
2016-12-21,1.75284
2016-12-22,1.75276
2016-12-23,1.752
2016-12-26,1.7525
2016-12-27,1.7529
2016-12-28,1.7525
2016-12-29,1.75267
2016-12-30,1.75147
2017-01-02,1.752
2017-01-03,1.7526
2017-01-04,1.7525
2017-01-05,1.75251
2017-01-06,1.7525
2017-01-09,1.751
2017-01-10,1.75244
2017-01-11,1.753
2017-01-12,1.75239
2017-01-13,1.752
2017-01-16,1.754
2017-01-17,1.751
2017-01-18,1.754
2017-01-19,1.75428
2017-01-20,1.755
2017-01-23,1.755
2017-01-24,1.75429
2017-01-25,1.75427
2017-01-26,1.75417
2017-01-27,1.752
2017-01-30,1.752
2017-01-31,1.752
2017-02-01,1.752
2017-02-02,1.752
2017-02-03,1.752
2017-02-06,1.7525
2017-02-07,1.7525
2017-02-08,1.753
2017-02-09,1.753
2017-02-10,1.753
2017-02-13,1.753
2017-02-14,1.75263
2017-02-15,1.753
2017-02-16,1.753
2017-02-17,1.75274
2017-02-20,1.75268
2017-02-21,1.75269
2017-02-22,1.753
2017-02-23,1.753
2017-02-24,1.7525
2017-02-27,1.753
2017-02-28,1.7525
2017-03-01,1.7543
2017-03-02,1.75297
2017-03-03,1.75298
2017-03-06,1.75299
2017-03-07,1.75442
2017-03-08,1.75311
2017-03-09,1.753
2017-03-10,1.753
2017-03-13,1.753
2017-03-14,1.753
2017-03-15,1.753
2017-03-16,1.753
2017-03-17,1.753
2017-03-20,1.7531
2017-03-21,1.753
2017-03-22,1.753
2017-03-23,1.754
2017-03-24,1.75307
2017-03-27,1.75288
2017-03-28,1.75416
2017-03-29,1.754
2017-03-30,1.7525
2017-03-31,1.754
2017-04-03,1.7535
2017-04-04,1.75345
2017-04-05,1.75336
2017-04-06,1.75424
2017-04-07,1.753
2017-04-10,1.754
2017-04-11,1.75305
2017-04-12,1.75428
2017-04-13,1.754
2017-04-14,1.75428
2017-04-17,1.754
2017-04-18,1.754
2017-04-19,1.754
2017-04-20,1.754
2017-04-21,1.754
2017-04-24,1.754
2017-04-25,1.754
2017-04-26,1.754
2017-04-27,1.754
2017-04-28,1.754
2017-05-01,1.75439
2017-05-02,1.754
2017-05-03,1.75443
2017-05-04,1.754
2017-05-05,1.75449
2017-05-08,1.75315
2017-05-09,1.755
2017-05-10,1.754
2017-05-11,1.754
2017-05-12,1.754
2017-05-15,1.75277
2017-05-16,1.75411
2017-05-17,1.753
2017-05-18,1.753
2017-05-19,1.751
2017-05-22,1.75115
2017-05-23,1.751
2017-05-24,1.75108
2017-05-25,1.75108
2017-05-26,1.75116
2017-05-29,1.751
2017-05-30,1.75297
2017-05-31,1.7555
2017-06-01,1.7525
2017-06-02,1.75231
2017-06-05,1.752
2017-06-06,1.75216
2017-06-07,1.754
2017-06-08,1.75292
2017-06-09,1.7525
2017-06-12,1.7525
2017-06-13,1.754
2017-06-14,1.753
2017-06-15,1.75293
2017-06-16,1.753
2017-06-19,1.75296
2017-06-20,1.753
2017-06-21,1.754
2017-06-22,1.754
2017-06-23,1.754
2017-06-26,1.754
2017-06-27,1.754
2017-06-28,1.75404
2017-06-29,1.755
2017-06-30,1.755
2017-07-03,1.755
2017-07-04,1.755
2017-07-05,1.75483
2017-07-06,1.755
2017-07-07,1.755
2017-07-10,1.755
2017-07-11,1.7549
2017-07-12,1.75494
2017-07-13,1.755
2017-07-14,1.755
2017-07-17,1.755
2017-07-18,1.7542
2017-07-19,1.7525
2017-07-20,1.75487
2017-07-21,1.7551
2017-07-24,1.75501
2017-07-25,1.75505
2017-07-26,1.75506
2017-07-27,1.755
2017-07-28,1.755
2017-07-31,1.755
2017-08-01,1.755
2017-08-02,1.75533
2017-08-03,1.75555
2017-08-04,1.75552
2017-08-07,1.7557
2017-08-08,1.753
2017-08-09,1.753
2017-08-10,1.75424
