Date,Value
2016-01-01,2.47976
2016-01-04,2.4725
2016-01-05,2.47
2016-01-06,2.4575
2016-01-07,2.45503
2016-01-08,2.462
2016-01-11,2.4425
2016-01-12,2.4375
2016-01-13,2.4375
2016-01-14,2.4325
2016-01-15,2.435
2016-01-18,2.4
2016-01-19,2.3725
2016-01-20,2.3475
2016-01-21,2.3735
2016-01-22,2.37379
2016-01-25,2.3725
2016-01-26,2.3769
2016-01-27,2.37
2016-01-28,2.37725
2016-01-29,2.3708
2016-02-01,2.3775
2016-02-02,2.3819
2016-02-03,2.41
2016-02-04,2.42872
2016-02-05,2.425
2016-02-08,2.415
2016-02-09,2.40697
2016-02-10,2.4
2016-02-11,2.3801
2016-02-12,2.375
2016-02-15,2.39
2016-02-16,2.3748
2016-02-17,2.3725
2016-02-18,2.375
2016-02-19,2.365
2016-02-22,2.36956
2016-02-23,2.35
2016-02-24,2.33
2016-02-25,2.33
2016-02-26,2.3318
2016-02-29,2.31171
2016-03-01,2.315
2016-03-02,2.32674
2016-03-03,2.32
2016-03-04,2.32
2016-03-07,2.3265
2016-03-08,2.32
2016-03-09,2.118
2016-03-10,2.125
2016-03-11,2.1331
2016-03-14,2.1275
2016-03-15,2.1205
2016-03-16,2.1158
2016-03-17,2.104
2016-03-18,2.103
2016-03-21,2.095
2016-03-22,2.0925
2016-03-23,2.0925
2016-03-24,2.095
2016-03-25,2.095
2016-03-28,2.0971
2016-03-29,2.0875
2016-03-30,2.0725
2016-03-31,2.0678
2016-04-01,2.0743
2016-04-04,2.06
2016-04-05,2.0375
2016-04-06,2.035
2016-04-07,2.0425
2016-04-08,2.0377
2016-04-11,2.04293
2016-04-12,2.0575
2016-04-13,2.0775
2016-04-14,2.0575
2016-04-15,2.0564
2016-04-18,2.0725
2016-04-19,2.0775
2016-04-20,2.0575
2016-04-21,2.035
2016-04-22,2.035
2016-04-25,2.0325
2016-04-26,2.0425
2016-04-27,2.0125
2016-04-28,2.1025
2016-04-29,2.1011
2016-05-02,2.105
2016-05-03,2.08
2016-05-04,2.0875
2016-05-05,2.0725
2016-05-06,2.04
2016-05-09,2.0324
2016-05-10,2.04
2016-05-11,2.0575
2016-05-12,2.085
2016-05-13,2.0925
2016-05-16,2.0875
2016-05-17,2.0925
2016-05-18,2.1175
2016-05-19,2.1225
2016-05-20,2.145
2016-05-23,2.1614
2016-05-24,2.1475
2016-05-25,2.1291
2016-05-26,2.12
2016-05-27,2.12
2016-05-30,2.13498
2016-05-31,2.14239
2016-06-01,2.13
2016-06-02,2.1225
2016-06-03,2.1162
2016-06-06,2.1
2016-06-07,2.0775
2016-06-08,2.1051
2016-06-09,2.1575
2016-06-10,2.1525
2016-06-13,2.1433
2016-06-14,2.09
2016-06-15,2.12
2016-06-16,2.1275
2016-06-17,2.135
2016-06-20,2.145
2016-06-21,2.155
2016-06-22,2.1556
2016-06-23,2.16
2016-06-24,2.0775
2016-06-27,2.0695
2016-06-28,2.09
2016-06-29,2.11
2016-06-30,2.1026
2016-07-01,2.0925
2016-07-04,2.08
2016-07-05,2.07517
2016-07-06,2.0675
2016-07-07,2.1075
2016-07-08,2.123
2016-07-11,2.1225
2016-07-12,2.123
2016-07-13,2.1125
2016-07-14,2.06
2016-07-15,2.04
2016-07-18,2.02
2016-07-19,1.9975
2016-07-20,1.9825
2016-07-21,1.9425
2016-07-22,1.9375
2016-07-25,1.928
2016-07-26,1.9275
2016-07-27,1.915
2016-07-28,1.91
2016-07-29,1.905
2016-08-01,1.8992
2016-08-02,1.8925
2016-08-03,1.8775
2016-08-04,1.87
2016-08-05,1.87
2016-08-08,1.8475
2016-08-09,1.81
2016-08-10,1.81
2016-08-11,1.86
2016-08-12,1.864
2016-08-15,1.8543
2016-08-16,1.86
2016-08-17,1.855
2016-08-18,1.8525
2016-08-19,1.86
2016-08-22,1.8575
2016-08-23,1.862
2016-08-24,1.855
2016-08-25,1.85106
2016-08-26,1.851
2016-08-29,1.855
2016-08-30,1.8575
2016-08-31,1.8575
