Date,Value
2022-09-07,3.1653
2022-09-08,3.1651
2022-09-09,3.1114
2022-09-12,3.0083
2022-09-13,3.0493
2022-09-14,3.0129
2022-09-15,3.014
2022-09-16,3.0026
2022-09-19,3.0144
2022-09-20,3.126
2022-09-21,3.101
2022-09-22,3.0561
2022-09-23,3.133
2022-09-26,3.153
2022-09-27,3.2254
2022-09-28,3.137
2022-09-29,3.163
2022-09-30,3.135
2022-10-03,2.982
2022-10-04,2.992
2022-10-05,3.1148
2022-10-06,3.1762
2022-10-07,3.2131
2022-10-10,3.3296
2022-10-11,3.434
2022-10-12,3.4644
2022-10-13,3.4142
2022-10-14,3.3348
2022-10-17,3.2984
2022-10-18,3.3164
2022-10-19,3.3694
2022-10-20,3.4457
2022-10-21,3.5056
2022-10-24,3.4731
2022-10-25,3.3825
2022-10-26,3.3388
2022-10-27,3.2372
2022-10-28,3.2706
2022-10-31,3.26
2022-11-01,3.2284
2022-11-02,3.16
2022-11-03,3.2174
2022-11-04,3.1916
2022-11-07,3.2265
2022-11-08,3.2343
2022-11-09,3.1747
2022-11-10,3.0072
2022-11-11,3.0798
2022-11-14,3.064
2022-11-15,2.9423
2022-11-16,2.8021
2022-11-17,2.8591
2022-11-18,2.89
2022-11-21,2.8695
2022-11-22,2.891
2022-11-23,2.8363
2022-11-24,2.7371
2022-11-25,2.8128
2022-11-28,2.8253
2022-11-29,2.777
2022-11-30,2.7811
2022-12-01,2.7418
2022-12-02,2.7345
2022-12-05,2.7097
2022-12-06,2.6326
2022-12-07,2.5793
2022-12-08,2.5871
2022-12-09,2.5373
2022-12-12,2.4427
2022-12-13,2.4279
2022-12-14,2.4854
2022-12-15,2.5347
2022-12-16,2.5829
2022-12-19,2.524
2022-12-20,2.6139
2022-12-21,2.6763
2022-12-22,2.7616
2022-12-23,2.8029
2022-12-27,2.84675
2022-12-28,2.794
2022-12-29,2.83685
2022-12-30,2.8556
2023-01-02,2.804
2023-01-03,2.7302
2023-01-04,2.7705
2023-01-05,2.8817
2023-01-06,2.8175
2023-01-09,2.7901
2023-01-10,2.7802
2023-01-11,2.6878
2023-01-12,2.6441
2023-01-13,2.5927
2023-01-16,2.5841
2023-01-17,2.5237
2023-01-18,2.4568
2023-01-19,2.4859
2023-01-20,2.538
2023-01-23,2.5503
2023-01-24,2.5183
2023-01-25,2.5077
2023-01-26,2.578
2023-01-27,2.612
2023-01-30,2.6808
2023-01-31,2.659
