Date,Open,High,Low,Close
2016-01-01,8.8431,8.8664,8.8371,8.8664
2016-01-04,8.8472,8.9442,8.7717,8.8778
2016-01-05,8.8778,8.966,8.8609,8.9093
2016-01-06,8.9093,8.9942,8.8941,8.9566
2016-01-07,8.9566,8.985,8.8772,8.8843
2016-01-08,8.8843,8.9624,8.8573,8.88
2016-01-11,8.8913,8.958,8.8344,8.9394
2016-01-12,8.9392,8.9566,8.8438,8.8816
2016-01-13,8.8816,8.8975,8.7903,8.8191
2016-01-14,8.8191,8.8533,8.7582,8.7733
2016-01-15,8.7733,8.8549,8.7566,8.8351
2016-01-18,8.8324,8.9207,8.8178,8.9011
2016-01-19,8.9011,8.9063,8.7894,8.8101
2016-01-20,8.8101,8.9233,8.8027,8.8779
2016-01-21,8.8774,8.9585,8.7754,8.7951
2016-01-22,8.7951,8.8094,8.7171,8.7384
2016-01-25,8.7434,8.7927,8.7097,8.7593
2016-01-26,8.7593,8.7782,8.6773,8.7026
2016-01-27,8.7026,8.7328,8.6468,8.6621
2016-01-28,8.6621,8.6888,8.6085,8.6135
2016-01-29,8.6135,8.736,8.5999,8.6789
2016-02-01,8.6855,8.7234,8.6374,8.6892
2016-02-02,8.6892,8.7462,8.6768,8.7284
2016-02-03,8.7284,8.7428,8.542,8.5658
2016-02-04,8.5658,8.5882,8.4465,8.5037
2016-02-05,8.5036,8.6166,8.486,8.5601
2016-02-08,8.5683,8.6531,8.5323,8.5889
2016-02-09,8.5883,8.6254,8.5463,8.5853
2016-02-10,8.5854,8.5978,8.5021,8.5136
2016-02-11,8.5136,8.5937,8.5003,8.5595
2016-02-12,8.5595,8.6316,8.539,8.6007
2016-02-15,8.5866,8.6571,8.5734,8.6214
2016-02-16,8.6214,8.6408,8.5762,8.627
2016-02-17,8.627,8.6459,8.5382,8.5435
2016-02-18,8.5435,8.611,8.5334,8.5914
2016-02-19,8.5918,8.6264,8.5541,8.5576
2016-02-22,8.5584,8.6284,8.5539,8.6022
2016-02-23,8.6022,8.634,8.5805,8.6084
2016-02-24,8.6084,8.7608,8.5885,8.6665
2016-02-25,8.6665,8.6913,8.614,8.6292
2016-02-26,8.6289,8.6975,8.5932,8.6852
2016-02-29,8.6863,8.7381,8.6703,8.6932
2016-03-01,8.6932,8.7113,8.6327,8.6504
2016-03-02,8.6504,8.7211,8.6385,8.6645
2016-03-03,8.6645,8.6926,8.5662,8.5926
2016-03-04,8.5926,8.5933,8.4739,8.4767
2016-03-07,8.4869,8.557,8.4772,8.5024
2016-03-08,8.5024,8.5995,8.4897,8.5645
2016-03-09,8.5645,8.5912,8.4975,8.5202
2016-03-10,8.5201,8.6095,8.457,8.516
2016-03-11,8.516,8.5463,8.3966,8.4134
2016-03-14,8.4859,8.5259,8.4021,8.4712
2016-03-15,8.4712,8.5786,8.4691,8.5481
2016-03-16,8.548,8.6054,8.4417,8.4554
2016-03-17,8.4559,8.4653,8.3029,8.3219
2016-03-18,8.3219,8.3974,8.3024,8.3702
2016-03-21,8.3896,8.428,8.3604,8.4186
2016-03-22,8.4186,8.4669,8.3793,8.4036
2016-03-23,8.4034,8.5006,8.3944,8.4797
2016-03-24,8.4797,8.5215,8.4694,8.4854
2016-03-25,8.4854,8.5084,8.4632,8.4757
2016-03-28,8.4778,8.5126,8.4142,8.4348
2016-03-29,8.4348,8.491,8.3812,8.3942
2016-03-30,8.3939,8.3989,8.2801,8.3044
2016-03-31,8.3044,8.3319,8.2523,8.2685
2016-04-01,8.2685,8.35,8.2511,8.3196
2016-04-04,8.3082,8.3485,8.2849,8.3295
2016-04-05,8.3295,8.3802,8.323,8.3297
2016-04-06,8.3296,8.3672,8.2781,8.321
2016-04-07,8.321,8.3385,8.2575,8.3226
2016-04-08,8.3226,8.3352,8.1987,8.237
2016-04-11,8.2259,8.2563,8.1633,8.2017
2016-04-12,8.2019,8.2342,8.1278,8.1683
2016-04-13,8.1683,8.2524,8.1664,8.2341
2016-04-14,8.2341,8.2977,8.1995,8.233
2016-04-15,8.2328,8.2598,8.22,8.2511
2016-04-18,8.2502,8.3196,8.1923,8.2172
2016-04-19,8.2172,8.2213,8.0979,8.1178
2016-04-20,8.118,8.1596,8.1016,8.1188
2016-04-21,8.1188,8.2132,8.0813,8.2033
2016-04-22,8.2035,8.2554,8.1754,8.2463
2016-04-25,8.2238,8.2523,8.1754,8.2058
2016-04-26,8.206,8.2324,8.118,8.1579
2016-04-27,8.158,8.198,8.1196,8.1619
2016-04-28,8.1619,8.1688,8.1039,8.1381
2016-04-29,8.1381,8.1468,8.0349,8.051
2016-05-02,8.059,8.0734,8.0118,8.0154
2016-05-03,8.0157,8.124,7.97,8.1238
2016-05-04,8.1238,8.1639,8.095,8.1537
2016-05-05,8.154,8.1873,8.1128,8.1757
2016-05-06,8.1751,8.2185,8.1581,8.2055
2016-05-09,8.1978,8.2321,8.1687,8.2257
2016-05-10,8.2255,8.2431,8.1947,8.2165
2016-05-11,8.2165,8.2322,8.1321,8.1658
2016-05-12,8.1658,8.1809,8.091,8.1317
2016-05-13,8.1317,8.2263,8.1262,8.2026
2016-05-16,8.2098,8.2176,8.1367,8.1688
2016-05-17,8.1688,8.1957,8.1278,8.1816
2016-05-18,8.1816,8.3204,8.1786,8.3152
2016-05-19,8.3149,8.3941,8.2915,8.3646
2016-05-20,8.3646,8.3673,8.3035,8.3281
2016-05-23,8.3288,8.3838,8.3017,8.3496
2016-05-24,8.3496,8.4065,8.3305,8.3548
2016-05-25,8.3548,8.3643,8.3129,8.3642
2016-05-26,8.3642,8.3651,8.2407,8.2788
2016-05-27,8.2785,8.3523,8.2646,8.3366
2016-05-30,8.3342,8.3733,8.3278,8.3457
2016-05-31,8.3457,8.3896,8.3288,8.3789
2016-06-01,8.3793,8.3815,8.2918,8.3057
2016-06-02,8.3057,8.3753,8.2795,8.3352
2016-06-03,8.3349,8.3466,8.1648,8.173
2016-06-06,8.1846,8.2228,8.1555,8.1709
2016-06-07,8.1706,8.1786,8.1089,8.1121
2016-06-08,8.1123,8.1261,8.0719,8.101
2016-06-09,8.1014,8.178,8.0906,8.1566
2016-06-10,8.1566,8.2787,8.1485,8.2736
2016-06-13,8.2567,8.3174,8.2308,8.2653
2016-06-14,8.2653,8.3704,8.2609,8.3625
2016-06-15,8.3625,8.3699,8.2717,8.3079
2016-06-16,8.3079,8.4767,8.2955,8.3903
2016-06-17,8.3904,8.4012,8.3377,8.3624
2016-06-20,8.3444,8.3457,8.232,8.2793
2016-06-21,8.2793,8.3355,8.2469,8.3163
2016-06-22,8.3163,8.3278,8.2524,8.2922
2016-06-23,8.2926,8.2949,8.1318,8.1462
2016-06-24,8.1467,8.7291,8.104,8.3331
2016-06-27,8.4907,8.6148,8.4463,8.5731
2016-06-28,8.5731,8.578,8.4275,8.4764
2016-06-29,8.4764,8.4939,8.3757,8.3935
2016-06-30,8.3935,8.4285,8.347,8.3634
2016-07-01,8.3632,8.4371,8.3219,8.3437
2016-07-04,8.3265,8.3524,8.2812,8.2902
2016-07-05,8.2902,8.4163,8.2838,8.407
2016-07-06,8.407,8.513,8.4061,8.432
2016-07-07,8.4321,8.5258,8.4242,8.5092
2016-07-08,8.514,8.5493,8.4616,8.5246
2016-07-11,8.502,8.5495,8.4693,8.5057
2016-07-12,8.5057,8.5059,8.3966,8.4327
2016-07-13,8.4327,8.469,8.3818,8.4255
2016-07-14,8.4255,8.4292,8.3499,8.3644
2016-07-15,8.3649,8.4989,8.3449,8.4836
2016-07-18,8.4719,8.4849,8.4306,8.4473
2016-07-19,8.4473,8.5203,8.4406,8.5121
2016-07-20,8.5121,8.533,8.4849,8.4984
2016-07-21,8.4981,8.5152,8.4492,8.4923
2016-07-22,8.4922,8.5664,8.4863,8.5515
2016-07-25,8.5584,8.5916,8.5348,8.5656
2016-07-26,8.5648,8.5926,8.5528,8.5696
2016-07-27,8.5696,8.6106,8.5226,8.5384
2016-07-28,8.5384,8.5689,8.4938,8.5557
2016-07-29,8.5557,8.5675,8.4035,8.4459
2016-08-01,8.4326,8.502,8.4178,8.498
2016-08-02,8.498,8.5033,8.3982,8.4284
2016-08-03,8.4284,8.466,8.4144,8.4545
2016-08-04,8.4545,8.4894,8.4268,8.4398
2016-08-05,8.4398,8.5191,8.4225,8.5076
2016-08-08,8.4964,8.5171,8.4701,8.4701
2016-08-09,8.4701,8.4968,8.3916,8.4065
2016-08-10,8.4068,8.4135,8.2499,8.2707
2016-08-11,8.2694,8.298,8.208,8.25
2016-08-12,8.25,8.2543,8.1531,8.211
2016-08-15,8.2102,8.243,8.1947,8.2143
2016-08-16,8.2143,8.2228,8.1222,8.1952
2016-08-17,8.1952,8.2524,8.176,8.2041
2016-08-18,8.2042,8.2069,8.1492,8.1512
2016-08-19,8.1512,8.233,8.1479,8.2192
2016-08-22,8.2327,8.2646,8.1863,8.2143
2016-08-23,8.2142,8.2344,8.1789,8.2142
2016-08-24,8.2142,8.2416,8.1731,8.2192
2016-08-25,8.2193,8.2316,8.1853,8.2201
2016-08-26,8.2201,8.3042,8.1393,8.2697
2016-08-29,8.2774,8.3248,8.2608,8.2783
2016-08-30,8.2782,8.3557,8.2717,8.3443
2016-08-31,8.3443,8.363,8.3122,8.328
2016-09-01,8.328,8.4015,8.3122,8.335
2016-09-02,8.335,8.3469,8.2472,8.322
2016-09-05,8.3211,8.3297,8.2602,8.3042
2016-09-06,8.3042,8.3064,8.165,8.17
2016-09-07,8.1699,8.1971,8.1528,8.1803
2016-09-08,8.1808,8.214,8.1166,8.1883
2016-09-09,8.1887,8.2766,8.1669,8.2512
2016-09-12,8.2303,8.2794,8.202,8.236
2016-09-13,8.236,8.2877,8.2009,8.2779
2016-09-14,8.2779,8.2852,8.2146,8.2385
2016-09-15,8.2383,8.2751,8.2149,8.2321
2016-09-16,8.2321,8.3231,8.2284,8.3107
2016-09-19,8.3083,8.3188,8.2663,8.2888
2016-09-20,8.2889,8.3103,8.2552,8.3097
2016-09-21,8.3097,8.3292,8.2537,8.2631
2016-09-22,8.2627,8.2656,8.0806,8.1339
2016-09-23,8.1339,8.1452,8.0968,8.113
2016-09-26,8.1054,8.144,8.0896,8.1089
2016-09-27,8.1089,8.1663,8.0682,8.1154
2016-09-28,8.1155,8.1397,8.0339,8.0351
2016-09-29,8.0352,8.0686,8.0004,8.0485
2016-09-30,8.0485,8.1001,7.9797,7.9846
2016-10-03,7.9955,8.0153,7.9455,7.981
2016-10-04,7.981,8.0244,7.9715,8.0079
2016-10-05,8.0077,8.0407,7.9792,8.02
2016-10-06,8.0195,8.0615,8.0162,8.0573
2016-10-07,8.0581,8.1263,8.0262,8.0862
2016-10-10,8.0907,8.1336,8.0625,8.0844
2016-10-11,8.0848,8.205,8.0791,8.1823
2016-10-12,8.1821,8.2451,8.1662,8.2179
2016-10-13,8.2179,8.26,8.1492,8.1511
2016-10-14,8.1511,8.2409,8.1442,8.2205
2016-10-17,8.2201,8.2551,8.171,8.1805
2016-10-18,8.1805,8.1833,8.1225,8.1522
2016-10-19,8.152,8.1739,8.133,8.1354
2016-10-20,8.1354,8.2172,8.1294,8.1843
2016-10-21,8.1843,8.2798,8.1814,8.2491
2016-10-24,8.2524,8.2763,8.2262,8.2551
2016-10-25,8.255,8.2911,8.245,8.283
2016-10-26,8.283,8.287,8.2495,8.2758
2016-10-27,8.2753,8.2893,8.2145,8.2671
2016-10-28,8.2669,8.2998,8.2387,8.2645
2016-10-31,8.2605,8.2814,8.2454,8.2596
2016-11-01,8.2595,8.2712,8.1826,8.2153
2016-11-02,8.2154,8.2233,8.1667,8.1898
2016-11-03,8.1899,8.1949,8.1634,8.1862
2016-11-04,8.1861,8.2277,8.1381,8.1591
2016-11-07,8.1577,8.2674,8.1433,8.2349
2016-11-08,8.2349,8.2485,8.2072,8.2295
2016-11-09,8.2295,8.3514,8.1563,8.3439
2016-11-10,8.3446,8.4181,8.2677,8.3654
2016-11-11,8.3657,8.4401,8.3479,8.3935
2016-11-14,8.4213,8.5258,8.4052,8.4742
2016-11-15,8.4742,8.4792,8.3799,8.4335
2016-11-16,8.4334,8.5123,8.3998,8.4776
2016-11-17,8.4776,8.5485,8.4499,8.5412
2016-11-18,8.5413,8.6105,8.5383,8.5974
2016-11-21,8.5966,8.6063,8.5242,8.5445
2016-11-22,8.5444,8.5565,8.4934,8.5194
2016-11-23,8.5194,8.6262,8.5045,8.6131
2016-11-24,8.6129,8.6418,8.5701,8.5982
2016-11-25,8.5982,8.61,8.5405,8.5805
2016-11-28,8.5674,8.5929,8.5087,8.5382
2016-11-29,8.5382,8.5921,8.5192,8.5331
2016-11-30,8.5332,8.5508,8.4537,8.5249
2016-12-01,8.5248,8.526,8.4132,8.4202
2016-12-02,8.4203,8.4634,8.3967,8.4219
2016-12-05,8.4123,8.5336,8.3476,8.3717
2016-12-06,8.3722,8.4075,8.3398,8.4051
2016-12-07,8.4046,8.4233,8.347,8.3638
2016-12-08,8.3638,8.464,8.3176,8.4335
2016-12-09,8.4335,8.5306,8.4253,8.5033
2016-12-12,8.5081,8.5188,8.4231,8.4377
2016-12-13,8.4377,8.4547,8.397,8.4258
2016-12-14,8.4258,8.6063,8.4103,8.5769
2016-12-15,8.5769,8.7016,8.5478,8.6668
2016-12-16,8.6668,8.7148,8.6432,8.6726
2016-12-19,8.6856,8.7029,8.6314,8.687
2016-12-20,8.687,8.7263,8.6727,8.7044
2016-12-21,8.7043,8.7106,8.6303,8.6824
2016-12-22,8.6824,8.7245,8.6615,8.7128
2016-12-23,8.7131,8.7236,8.686,8.7009
2016-12-26,8.6918,8.7088,8.6823,8.6945
2016-12-27,8.6945,8.7241,8.6892,8.7066
2016-12-28,8.7066,8.7584,8.6898,8.7234
2016-12-29,8.7234,8.7243,8.6421,8.6429
2016-12-30,8.6436,8.6492,8.5234,8.6406
2017-01-02,8.6386,8.6622,8.6191,8.6596
2017-01-03,8.6596,8.6885,8.6283,8.6574
2017-01-04,8.6574,8.6684,8.5867,8.5928
2017-01-05,8.5927,8.6026,8.4736,8.4783
2017-01-06,8.4781,8.5463,8.4622,8.5379
2017-01-09,8.5346,8.5837,8.5244,8.5395
2017-01-10,8.5395,8.6114,8.5057,8.6051
2017-01-11,8.605,8.6716,8.5245,8.5513
2017-01-12,8.5512,8.5586,8.4769,8.5276
2017-01-13,8.5276,8.5359,8.4794,8.5005
2017-01-16,8.5279,8.5529,8.5019,8.5315
2017-01-17,8.5315,8.5364,8.4282,8.4468
2017-01-18,8.4468,8.5026,8.436,8.497
2017-01-19,8.497,8.5107,8.4434,8.4485
2017-01-20,8.4485,8.4672,8.3925,8.4108
2017-01-23,8.4113,8.4252,8.3429,8.3473
2017-01-24,8.3472,8.3694,8.3149,8.3524
2017-01-25,8.3525,8.3716,8.3004,8.3114
2017-01-26,8.3114,8.3651,8.2978,8.3394
2017-01-27,8.3393,8.3681,8.3037,8.3405
2017-01-30,8.3217,8.3815,8.3004,8.3151
2017-01-31,8.3151,8.3229,8.2258,8.2464
2017-02-01,8.2464,8.2672,8.2189,8.2343
2017-02-02,8.2343,8.2538,8.1762,8.2525
2017-02-03,8.2525,8.2712,8.1892,8.2066
