Date,Value
2016-01-01,28.0
2016-01-04,26.54
2016-01-05,27.02
2016-01-06,28.94
2016-01-07,28.0
2016-01-08,29.91
2016-01-11,32.99
2016-01-12,34.93
2016-01-13,35.7
2016-01-14,36.0
2016-01-15,35.99
2016-01-18,36.25
2016-01-19,36.0
2016-01-20,33.95
2016-01-21,32.4
2016-01-22,31.78
2016-01-25,36.02
2016-01-26,34.94
2016-01-27,30.48
2016-01-28,28.87
2016-01-29,25.92
2016-02-01,24.93
2016-02-02,25.01
2016-02-03,26.33
2016-02-04,24.04
2016-02-05,24.53
2016-02-08,24.0
2016-02-09,25.06
2016-02-10,23.84
2016-02-11,22.97
2016-02-12,22.97
2016-02-15,22.68
2016-02-16,22.52
2016-02-17,21.96
2016-02-18,19.54
2016-02-19,18.97
2016-02-22,21.97
2016-02-23,23.53
2016-02-24,21.51
2016-02-25,19.96
2016-02-26,19.06
2016-02-29,19.0
2016-03-01,18.95
2016-03-02,19.99
2016-03-03,19.08
2016-03-04,19.5
2016-03-07,19.98
2016-03-08,20.03
2016-03-09,19.01
2016-03-10,16.5
2016-03-11,17.5
2016-03-14,19.23
2016-03-15,18.83
2016-03-16,16.7
2016-03-17,15.99
2016-03-18,10.01
2016-03-21,11.51
2016-03-22,12.25
2016-03-23,11.85
2016-03-24,11.94
2016-03-25,12.0
2016-03-28,12.0
2016-03-29,7.97
2016-03-30,10.61
2016-03-31,11.0
2016-04-01,11.76
2016-04-04,13.28
2016-04-05,13.74
2016-04-06,14.02
2016-04-07,15.25
2016-04-08,15.96
2016-04-11,14.51
2016-04-12,15.76
2016-04-13,17.02
2016-04-14,14.01
2016-04-15,10.5
2016-04-18,9.5
2016-04-19,9.25
2016-04-20,9.32
2016-04-21,11.5
2016-04-22,11.5
2016-04-25,12.51
2016-04-26,10.49
2016-04-27,10.51
2016-04-28,12.47
2016-04-29,11.5
2016-05-02,12.01
2016-05-03,11.52
2016-05-04,11.51
2016-05-05,11.48
2016-05-06,12.26
2016-05-09,14.5
2016-05-10,14.51
2016-05-11,14.37
2016-05-12,15.49
2016-05-13,16.75
2016-05-16,17.0
2016-05-17,17.02
2016-05-18,13.08
2016-05-19,12.99
2016-05-20,13.75
2016-05-23,13.13
2016-05-24,12.25
2016-05-25,9.5
2016-05-26,8.5
2016-05-27,8.49
2016-05-30,8.5
2016-05-31,7.08
2016-06-01,6.0
2016-06-02,6.5
2016-06-03,7.98
2016-06-06,7.51
2016-06-07,8.5
2016-06-08,4.5
2016-06-09,4.75
2016-06-10,4.27
2016-06-13,5.0
2016-06-14,4.38
2016-06-15,5.0
2016-06-16,5.7
2016-06-17,6.99
2016-06-20,6.25
2016-06-21,5.0
2016-06-22,4.74
2016-06-23,5.01
2016-06-24,1.49
2016-06-27,7.47
2016-06-28,5.99
2016-06-29,4.99
2016-06-30,3.0
2016-07-01,2.49
2016-07-04,2.48
2016-07-05,0.25
2016-07-06,-2.5
2016-07-07,0.88
2016-07-08,2.0
2016-07-11,1.5
2016-07-12,1.0
2016-07-13,0.5
2016-07-14,-0.75
2016-07-15,-0.5
2016-07-18,-1.31
2016-07-19,-1.75
2016-07-20,-1.75
2016-07-21,-1.38
2016-07-22,-2.0
2016-07-25,-2.75
2016-07-26,-3.75
2016-07-27,-5.0
2016-07-28,-8.52
2016-07-29,-6.91
2016-08-01,-5.5
2016-08-02,-2.0
2016-08-03,-3.0
2016-08-04,-3.5
2016-08-05,-3.5
2016-08-08,-3.0
2016-08-09,-3.24
2016-08-10,-3.99
2016-08-11,-3.25
2016-08-12,-4.0
2016-08-15,-5.0
2016-08-16,-4.52
2016-08-17,-4.48
2016-08-18,-4.5
2016-08-19,-4.69
2016-08-22,-4.98
2016-08-23,-4.0
2016-08-24,-5.01
2016-08-25,-5.51
2016-08-26,-6.78
2016-08-29,-6.49
2016-08-30,-6.26
2016-08-31,-5.88
2016-09-01,-6.5
2016-09-02,-5.0
2016-09-05,-4.49
2016-09-06,-3.96
2016-09-07,-3.5
2016-09-08,-4.24
2016-09-09,-6.0
2016-09-12,-5.51
2016-09-13,-3.0
2016-09-14,-2.0
2016-09-15,-5.0
2016-09-16,-6.04
2016-09-19,-6.01
2016-09-20,-6.52
2016-09-21,-6.98
2016-09-22,-6.51
2016-09-23,-5.5
2016-09-26,-8.01
2016-09-27,-9.99
2016-09-28,-5.49
2016-09-29,-5.24
2016-09-30,-8.47
2016-10-03,-7.99
2016-10-04,-6.39
2016-10-05,-5.0
2016-10-06,-3.51
2016-10-07,-3.0
2016-10-10,-3.49
2016-10-11,-4.51
2016-10-12,-5.5
2016-10-13,-5.45
2016-10-14,-5.26
2016-10-17,-5.12
2016-10-18,-5.37
2016-10-19,-5.0
2016-10-20,-4.5
2016-10-21,-3.74
2016-10-24,-4.0
2016-10-25,-3.88
2016-10-26,-4.0
2016-10-27,-3.7
2016-10-28,-3.0
2016-10-31,-3.25
2016-11-01,-3.75
2016-11-02,-4.25
2016-11-03,-4.01
2016-11-04,-3.75
2016-11-07,-4.0
2016-11-08,-3.0
2016-11-09,-2.99
2016-11-10,-2.85
2016-11-14,-2.25
2016-11-15,-1.5
2016-11-16,-1.5
2016-11-17,-1.77
2016-11-18,-3.13
2016-11-21,-3.74
2016-11-22,-6.0
2016-11-23,-6.51
2016-11-24,-7.0
2016-11-25,-7.88
2016-11-28,-7.87
2016-11-29,-15.01
2016-11-30,-15.99
2016-12-01,-18.04
2016-12-02,-17.73
2016-12-05,-17.7
2016-12-06,-17.52
2016-12-07,-16.74
2016-12-08,-16.99
2016-12-09,-19.3
2016-12-12,-21.02
2016-12-13,-20.92
2016-12-14,-22.2
2016-12-15,-20.0
2016-12-16,-21.58
2016-12-19,-22.54
2016-12-20,-22.0
2016-12-21,-22.5
2016-12-22,-22.0
2016-12-23,-22.47
2016-12-26,-22.45
2016-12-27,-23.26
2016-12-28,-24.01
2016-12-29,-22.0
2016-12-30,-25.55
2017-01-02,-24.0
2017-01-03,-25.0
2017-01-04,-22.46
2017-01-05,-21.0
2017-01-06,-19.98
2017-01-09,-18.48
2017-01-10,-21.49
2017-01-11,-19.99
2017-01-12,-18.5
2017-01-13,-17.0
2017-01-16,-19.81
2017-01-17,-23.0
2017-01-18,-21.0
2017-01-19,-22.0
2017-01-20,-20.46
2017-01-23,-21.21
2017-01-24,-19.81
2017-01-25,-18.0
2017-01-26,-18.26
2017-01-27,-17.58
