Date,Value
2016-01-01,5.0
2016-01-04,4.01
2016-01-05,4.5
2016-01-06,5.74
2016-01-07,6.5
2016-01-08,6.69
2016-01-11,6.5
2016-01-12,6.99
2016-01-13,7.14
2016-01-14,7.5
2016-01-15,7.5
2016-01-18,7.55
2016-01-19,7.5
2016-01-20,7.49
2016-01-21,7.35
2016-01-22,6.51
2016-01-25,7.3
2016-01-26,7.29
2016-01-27,6.6
2016-01-28,6.32
2016-01-29,6.24
2016-02-01,5.86
2016-02-02,5.5
2016-02-03,6.09
2016-02-04,6.39
2016-02-05,5.15
2016-02-08,5.05
2016-02-09,4.76
2016-02-10,4.72
2016-02-11,4.74
2016-02-12,4.74
2016-02-15,4.73
2016-02-16,5.0
2016-02-17,4.99
2016-02-18,4.89
2016-02-19,4.97
2016-02-22,5.12
2016-02-23,5.51
2016-02-24,5.5
2016-02-25,5.73
2016-02-26,6.02
2016-02-29,5.5
2016-03-01,5.35
2016-03-02,5.75
2016-03-03,5.7
2016-03-04,4.88
2016-03-07,5.15
2016-03-08,5.26
2016-03-09,6.4
2016-03-10,5.5
2016-03-11,5.0
2016-03-14,5.33
2016-03-15,8.01
2016-03-16,6.83
2016-03-17,4.51
2016-03-18,2.01
2016-03-21,1.83
2016-03-22,2.1
2016-03-23,2.35
2016-03-24,2.35
2016-03-25,2.35
2016-03-28,2.35
2016-03-29,0.75
2016-03-30,1.26
2016-03-31,1.5
2016-04-01,2.13
2016-04-04,2.75
2016-04-05,1.6
2016-04-06,1.62
2016-04-07,2.38
2016-04-08,3.25
2016-04-11,3.25
2016-04-12,3.12
2016-04-13,3.45
2016-04-14,3.15
2016-04-15,2.25
2016-04-18,2.15
2016-04-19,2.0
2016-04-20,2.0
2016-04-21,2.51
2016-04-22,2.85
2016-04-25,2.62
2016-04-26,2.5
2016-04-27,1.87
2016-04-28,2.24
2016-04-29,2.12
2016-05-02,2.06
2016-05-03,1.53
2016-05-04,1.88
2016-05-05,1.87
2016-05-06,2.26
2016-05-09,2.07
2016-05-10,2.25
2016-05-11,2.51
2016-05-12,3.25
2016-05-13,4.0
2016-05-16,4.0
2016-05-17,4.01
2016-05-18,2.79
2016-05-19,3.3
2016-05-20,2.65
2016-05-23,2.35
2016-05-24,2.4
2016-05-25,0.95
2016-05-26,0.95
2016-05-27,1.0
2016-05-30,1.0
2016-05-31,1.15
2016-06-01,1.0
