Date,Value
2016-01-01,0.095
2016-01-04,0.17
2016-01-05,0.19
2016-01-06,0.338
2016-01-07,0.258
2016-01-08,0.251
2016-01-11,0.196
2016-01-12,0.165
2016-01-13,0.225
2016-01-14,0.28
2016-01-15,0.358
2016-01-18,0.14
2016-01-19,0.058
2016-01-20,0.14
2016-01-21,0.188
2016-01-22,0.054
2016-01-25,0.126
2016-01-26,0.165
2016-01-27,0.145
2016-01-28,0.13
2016-01-29,0.065
2016-02-01,0.07
2016-02-02,0.11
2016-02-03,0.245
2016-02-04,0.135
2016-02-05,0.085
2016-02-08,0.125
2016-02-09,0.085
2016-02-10,0.135
2016-02-11,0.085
2016-02-12,0.085
2016-02-15,0.03
2016-02-16,0.175
2016-02-17,0.205
2016-02-18,0.205
2016-02-19,0.24
2016-02-22,0.225
2016-02-23,0.275
2016-02-24,0.27
2016-02-25,0.325
2016-02-26,0.275
2016-02-29,0.29
2016-03-01,0.21
2016-03-02,0.24
2016-03-03,0.12
2016-03-04,0.054
2016-03-07,0.12
2016-03-08,0.12
2016-03-09,0.155
2016-03-10,0.035
2016-03-11,-0.025
2016-03-14,-0.025
2016-03-15,0.013
2016-03-16,0.02
2016-03-17,-0.115
2016-03-18,-0.086
2016-03-21,-0.102
2016-03-22,-0.094
2016-03-23,0.025
2016-03-24,0.04
2016-03-25,0.013
2016-03-28,-0.055
2016-03-29,-0.006
2016-03-30,-0.095
2016-03-31,-0.032
2016-04-01,-0.021
2016-04-04,-0.006
2016-04-05,0.015
2016-04-06,0.015
2016-04-07,0.005
2016-04-08,-0.015
2016-04-11,-0.032
2016-04-12,-0.03
2016-04-13,-0.03
2016-04-14,0.027
2016-04-15,0.02
2016-04-18,-0.005
2016-04-19,-0.062
2016-04-20,-0.05
2016-04-21,-0.01
2016-04-22,-0.045
2016-04-25,0.028
2016-04-26,0.015
2016-04-27,0.038
2016-04-28,0.01
2016-04-29,0.021
2016-05-02,0.026
2016-05-03,0.015
2016-05-04,0.03
2016-05-05,0.071
2016-05-06,0.065
2016-05-09,0.127
2016-05-10,0.138
2016-05-11,0.108
2016-05-12,0.088
2016-05-13,0.11
2016-05-16,0.072
2016-05-17,0.043
2016-05-18,0.09
2016-05-19,0.07
2016-05-20,0.055
2016-05-23,0.036
2016-05-24,0.065
2016-05-25,0.04
2016-05-26,0.012
2016-05-27,0.023
2016-05-30,0.023
2016-05-31,0.051
2016-06-01,0.047
2016-06-02,0.03
2016-06-03,0.0
2016-06-06,-0.013
2016-06-07,-0.043
2016-06-08,-0.06
2016-06-09,-0.02
2016-06-10,-0.012
2016-06-13,-0.024
2016-06-14,-0.01
2016-06-15,-0.005
2016-06-16,-0.033
2016-06-17,-0.045
2016-06-20,-0.074
2016-06-21,-0.061
2016-06-22,-0.132
2016-06-23,-0.15
2016-06-24,-0.038
2016-06-27,-0.05
2016-06-28,-0.091
2016-06-29,-0.098
2016-06-30,-0.1
2016-07-01,-0.156
2016-07-04,-0.152
2016-07-05,-0.101
2016-07-06,-0.088
2016-07-07,-0.12
2016-07-08,-0.125
2016-07-11,-0.111
2016-07-12,-0.142
2016-07-13,-0.13
2016-07-14,-0.19
2016-07-15,-0.185
2016-07-18,-0.177
2016-07-19,-0.126
2016-07-20,-0.113
2016-07-21,-0.133
2016-07-22,-0.149
2016-07-25,-0.172
2016-07-26,-0.178
2016-07-27,-0.209
2016-07-28,-0.215
2016-07-29,-0.215
2016-08-01,-0.298
2016-08-02,-0.247
2016-08-03,-0.247
2016-08-04,-0.298
2016-08-05,-0.319
2016-08-08,-0.329
2016-08-09,-0.328
2016-08-10,-0.357
2016-08-11,-0.394
2016-08-12,-0.36
2016-08-15,-0.37
2016-08-16,-0.395
2016-08-17,-0.332
2016-08-18,-0.3
2016-08-19,-0.19
2016-08-22,-0.166
2016-08-23,-0.192
2016-08-24,-0.215
2016-08-25,-0.24
2016-08-26,-0.275
2016-08-29,-0.281
2016-08-30,-0.313
2016-08-31,-0.276
2016-09-01,-0.22
2016-09-02,-0.24
2016-09-05,-0.263
2016-09-06,-0.33
2016-09-07,-0.338
2016-09-08,-0.335
2016-09-09,-0.195
2016-09-12,-0.235
2016-09-13,-0.265
2016-09-14,-0.259
2016-09-15,-0.25
2016-09-16,-0.25
2016-09-19,-0.355
2016-09-20,-0.327
2016-09-21,-0.363
2016-09-22,-0.39
2016-09-23,-0.375
2016-09-26,-0.298
2016-09-27,-0.345
