Date,Value
2016-01-04,-0.0075
2016-01-05,-0.0065
2016-01-06,-0.007
2016-01-07,-0.0055
2016-01-08,-0.005
2016-01-11,-0.005
2016-01-12,-0.0055
2016-01-13,-0.005
2016-01-14,-0.0045
2016-01-15,-0.003
2016-01-18,-0.0025
2016-01-19,-0.0035
2016-01-20,-0.0035
2016-01-21,-0.0035
2016-01-22,-0.0035
2016-01-25,-0.004
2016-01-26,-0.0025
2016-01-27,-0.002
2016-01-28,-0.0005
2016-01-29,-0.002
2016-02-01,-0.0065
2016-02-02,-0.006
2016-02-03,-0.0085
2016-02-04,-0.01
2016-02-05,-0.0085
2016-02-15,-0.0085
2016-02-16,-0.0075
2016-02-17,-0.007
2016-02-18,-0.006
2016-02-19,-0.005
2016-02-22,-0.004
2016-02-23,-0.0035
2016-02-24,-0.0035
2016-02-25,-0.004
2016-02-26,-0.005
2016-03-01,-0.005
2016-03-02,-0.005
2016-03-03,-0.005
2016-03-04,-0.0045
2016-03-07,-0.0055
2016-03-08,-0.0055
2016-03-09,-0.0055
2016-03-10,-0.0055
2016-03-11,-0.0055
2016-03-14,-0.006
2016-03-15,-0.0065
2016-03-16,-0.0075
2016-03-17,-0.007
2016-03-18,-0.007
2016-03-21,-0.0075
2016-03-22,-0.0075
2016-03-23,-0.0075
2016-03-24,-0.008
2016-03-25,-0.0075
2016-03-28,-0.007
2016-03-29,-0.008
2016-03-30,-0.0095
2016-03-31,-0.0095
2016-04-01,-0.0095
2016-04-06,-0.0085
2016-04-07,-0.0085
2016-04-08,-0.0085
2016-04-11,-0.0095
2016-04-12,-0.0095
2016-04-13,-0.0095
2016-04-14,-0.0095
2016-04-15,-0.0095
2016-04-18,-0.01
2016-04-19,-0.01
2016-04-20,-0.01
2016-04-21,-0.0095
2016-04-22,-0.0105
2016-04-25,-0.0095
2016-04-26,-0.0105
2016-04-27,-0.009
2016-04-28,-0.0095
2016-04-29,-0.009
2016-05-03,-0.009
2016-05-04,-0.0095
2016-05-05,-0.0105
