Date,Open,High,Low,Close
2016-01-01,0.6831,0.6859,0.6829,0.684
2016-01-04,0.6835,0.6858,0.672,0.6752
2016-01-05,0.6752,0.6758,0.6677,0.6705
2016-01-06,0.6705,0.6709,0.6626,0.6639
2016-01-07,0.6639,0.6667,0.6591,0.6627
2016-01-08,0.6627,0.6678,0.6541,0.6545
2016-01-11,0.656,0.658,0.6509,0.656
2016-01-12,0.656,0.6569,0.6515,0.6538
2016-01-13,0.6538,0.659,0.6514,0.6514
2016-01-14,0.6514,0.6516,0.6419,0.6474
2016-01-15,0.6474,0.6492,0.6381,0.6463
2016-01-18,0.6443,0.648,0.6406,0.6452
2016-01-19,0.6452,0.6513,0.6403,0.6411
2016-01-20,0.6411,0.6438,0.6348,0.643
2016-01-21,0.643,0.6559,0.6411,0.653
2016-01-22,0.653,0.6551,0.6467,0.6493
2016-01-25,0.6485,0.6533,0.645,0.6454
2016-01-26,0.6454,0.6512,0.6425,0.6499
2016-01-27,0.6499,0.6531,0.6418,0.6432
2016-01-28,0.6432,0.6514,0.6419,0.648
2016-01-29,0.648,0.6543,0.6459,0.6484
2016-02-01,0.6488,0.6558,0.645,0.6548
2016-02-02,0.6548,0.6555,0.6462,0.6515
2016-02-03,0.6515,0.6698,0.6509,0.6667
2016-02-04,0.6667,0.6747,0.6642,0.6723
2016-02-05,0.6723,0.6752,0.6616,0.6629
2016-02-08,0.6622,0.666,0.6593,0.6627
2016-02-09,0.6627,0.6669,0.6563,0.6636
2016-02-10,0.6636,0.6695,0.6605,0.6686
2016-02-11,0.6686,0.6735,0.6586,0.6717
2016-02-12,0.6717,0.6739,0.6614,0.6627
2016-02-15,0.663,0.6676,0.6614,0.6648
2016-02-16,0.6648,0.6676,0.6545,0.658
2016-02-17,0.658,0.665,0.6554,0.6633
2016-02-18,0.6633,0.6668,0.6606,0.6644
2016-02-19,0.6645,0.6647,0.6565,0.6632
2016-02-22,0.6638,0.6726,0.6622,0.6699
2016-02-23,0.6699,0.6715,0.6639,0.6643
2016-02-24,0.6642,0.6674,0.6587,0.6659
2016-02-25,0.6659,0.673,0.6643,0.6723
2016-02-26,0.6723,0.6775,0.6618,0.6629
2016-02-29,0.6648,0.666,0.6566,0.659
2016-03-01,0.659,0.664,0.6572,0.6629
2016-03-02,0.6629,0.6678,0.6594,0.6675
2016-03-03,0.6675,0.6756,0.6656,0.6724
2016-03-04,0.6724,0.6821,0.6715,0.6811
2016-03-07,0.6817,0.6817,0.675,0.6801
2016-03-08,0.6801,0.6804,0.6735,0.6746
2016-03-09,0.6746,0.681,0.6642,0.6654
2016-03-10,0.6654,0.6709,0.6619,0.6668
2016-03-11,0.6668,0.6774,0.6649,0.6749
2016-03-14,0.6738,0.6756,0.6658,0.6676
2016-03-15,0.6676,0.6685,0.6587,0.6601
2016-03-16,0.6601,0.674,0.6576,0.6724
2016-03-17,0.6724,0.6859,0.6721,0.6852
2016-03-18,0.6852,0.6874,0.6783,0.6804
2016-03-21,0.6806,0.6808,0.6747,0.6762
2016-03-22,0.6762,0.6776,0.6721,0.6753
2016-03-23,0.6753,0.6771,0.6683,0.6706
2016-03-24,0.6706,0.6722,0.6672,0.6702
2016-03-25,0.6702,0.6717,0.6677,0.6686
2016-03-28,0.6693,0.6736,0.6669,0.6723
2016-03-29,0.6723,0.6867,0.6718,0.685
2016-03-30,0.685,0.6965,0.6842,0.6921
2016-03-31,0.6921,0.6966,0.6882,0.6909
2016-04-01,0.6909,0.6937,0.6836,0.6904
2016-04-04,0.6896,0.6904,0.683,0.6834
2016-04-05,0.6834,0.6837,0.676,0.6804
2016-04-06,0.6804,0.6844,0.6774,0.6824
2016-04-07,0.6824,0.6863,0.6763,0.6777
2016-04-08,0.6777,0.683,0.6772,0.6809
2016-04-11,0.681,0.6879,0.6791,0.6858
2016-04-12,0.6858,0.6926,0.6852,0.6924
2016-04-13,0.6924,0.6953,0.6898,0.6919
2016-04-14,0.6919,0.6921,0.6824,0.6847
2016-04-15,0.6847,0.6927,0.6844,0.6919
2016-04-18,0.6891,0.6958,0.6846,0.695
2016-04-19,0.695,0.7054,0.6949,0.7045
2016-04-20,0.7045,0.7051,0.6973,0.6979
2016-04-21,0.6978,0.6983,0.69,0.6912
2016-04-22,0.6912,0.6936,0.6835,0.6852
2016-04-25,0.6858,0.6878,0.6842,0.6855
2016-04-26,0.6855,0.6911,0.6854,0.6899
2016-04-27,0.6899,0.6907,0.6808,0.6846
2016-04-28,0.6847,0.699,0.6847,0.6962
2016-04-29,0.6962,0.6999,0.6951,0.6977
2016-05-02,0.6978,0.7024,0.6966,0.702
2016-05-03,0.702,0.7054,0.6911,0.6914
2016-05-04,0.6914,0.6941,0.686,0.688
2016-05-05,0.688,0.6918,0.6872,0.6884
2016-05-06,0.6884,0.6891,0.6808,0.6831
2016-05-09,0.6829,0.6848,0.6764,0.6768
2016-05-10,0.6768,0.6779,0.6716,0.676
2016-05-11,0.6761,0.6845,0.6759,0.682
2016-05-12,0.682,0.6848,0.6805,0.682
2016-05-13,0.682,0.6831,0.6756,0.6775
2016-05-16,0.6774,0.6809,0.6747,0.6791
2016-05-17,0.679,0.6843,0.6779,0.6811
2016-05-18,0.6811,0.6813,0.6729,0.674
2016-05-19,0.674,0.6765,0.6711,0.6744
2016-05-20,0.6744,0.6781,0.6737,0.6765
2016-05-23,0.6757,0.6807,0.6748,0.6763
2016-05-24,0.6763,0.6768,0.6706,0.6738
2016-05-25,0.6738,0.6773,0.6727,0.6738
2016-05-26,0.6738,0.6767,0.6693,0.6741
2016-05-27,0.6741,0.6759,0.6687,0.6701
2016-05-30,0.6709,0.6709,0.6676,0.6694
2016-05-31,0.6694,0.6776,0.6689,0.6763
2016-06-01,0.6763,0.683,0.6761,0.6817
2016-06-02,0.6817,0.6834,0.678,0.681
2016-06-03,0.681,0.6961,0.6801,0.6958
2016-06-06,0.6939,0.6965,0.6905,0.6923
2016-06-07,0.6922,0.6982,0.6893,0.6979
2016-06-08,0.6979,0.7028,0.6946,0.701
2016-06-09,0.701,0.7148,0.7009,0.7105
2016-06-10,0.7104,0.7123,0.7041,0.7055
2016-06-13,0.7054,0.7082,0.7032,0.7061
2016-06-14,0.7061,0.7062,0.6993,0.6993
2016-06-15,0.6993,0.7071,0.6964,0.7034
2016-06-16,0.7034,0.7093,0.6969,0.7045
2016-06-17,0.7045,0.7072,0.7033,0.7049
2016-06-20,0.7043,0.7131,0.7042,0.712
2016-06-21,0.7119,0.7169,0.7102,0.7122
2016-06-22,0.7122,0.7188,0.712,0.7164
2016-06-23,0.7164,0.7255,0.716,0.725
2016-06-24,0.725,0.73,0.6974,0.7124
2016-06-27,0.7106,0.7114,0.6981,0.6996
2016-06-28,0.6995,0.7086,0.6987,0.7047
2016-06-29,0.7048,0.7137,0.7041,0.7113
2016-06-30,0.7113,0.7142,0.7058,0.7134
2016-07-01,0.7135,0.7198,0.712,0.7175
2016-07-04,0.7163,0.7241,0.7149,0.7229
2016-07-05,0.7229,0.7234,0.714,0.7154
2016-07-06,0.7154,0.7157,0.708,0.7132
2016-07-07,0.7132,0.7236,0.7117,0.7228
2016-07-08,0.7228,0.7307,0.7213,0.7306
2016-07-11,0.7289,0.7313,0.7216,0.722
2016-07-12,0.722,0.7325,0.7213,0.73
2016-07-13,0.73,0.7318,0.7239,0.7276
2016-07-14,0.7276,0.7294,0.7175,0.7199
2016-07-15,0.7199,0.7202,0.7109,0.7116
2016-07-18,0.7138,0.7158,0.7069,0.7116
2016-07-19,0.7116,0.7117,0.701,0.7053
2016-07-20,0.7053,0.7068,0.7016,0.7026
2016-07-21,0.7026,0.7026,0.6952,0.6997
2016-07-22,0.6996,0.7017,0.6975,0.6997
2016-07-25,0.6994,0.7017,0.6957,0.6996
2016-07-26,0.6996,0.7086,0.6984,0.7054
2016-07-27,0.7054,0.7085,0.7005,0.7076
2016-07-28,0.7076,0.7121,0.7063,0.7073
2016-07-29,0.7073,0.7229,0.7072,0.7199
2016-08-01,0.7197,0.723,0.7167,0.7172
2016-08-02,0.7172,0.7257,0.7163,0.7243
2016-08-03,0.7243,0.7247,0.7141,0.7159
2016-08-04,0.7159,0.7201,0.7147,0.7173
2016-08-05,0.7173,0.7219,0.7122,0.7144
2016-08-08,0.7132,0.7164,0.7088,0.7138
2016-08-09,0.7138,0.718,0.7111,0.7166
2016-08-10,0.7165,0.7265,0.7159,0.7206
2016-08-11,0.7207,0.7341,0.7203,0.7209
2016-08-12,0.7209,0.7255,0.7186,0.7197
2016-08-15,0.7188,0.7227,0.7165,0.7211
2016-08-16,0.7213,0.7305,0.7199,0.7281
2016-08-17,0.7281,0.7322,0.7204,0.7252
2016-08-18,0.7252,0.7311,0.7251,0.729
2016-08-19,0.729,0.7294,0.7242,0.7272
2016-08-22,0.7257,0.7294,0.721,0.7269
2016-08-23,0.7269,0.7344,0.7269,0.7291
2016-08-24,0.7292,0.7335,0.727,0.7312
2016-08-25,0.7312,0.7336,0.7287,0.7302
2016-08-26,0.7301,0.738,0.7221,0.7236
2016-08-29,0.7244,0.7264,0.7211,0.7251
2016-08-30,0.7251,0.7265,0.7205,0.722
2016-08-31,0.7219,0.7266,0.7216,0.725
2016-09-01,0.725,0.7295,0.7227,0.7283
2016-09-02,0.7283,0.736,0.7269,0.7286
2016-09-05,0.7287,0.7344,0.7277,0.7305
