Date,Value
2016-01-01,-136.3
2016-01-04,-133.5
2016-01-05,-132.6
2016-01-06,-131.35
2016-01-07,-131.75
2016-01-08,-129.5
2016-01-11,-129.32
2016-01-12,-130.0
2016-01-13,-129.1
2016-01-14,-128.95
2016-01-15,-128.15
2016-01-18,-127.05
2016-01-19,-123.2
2016-01-20,-123.7
2016-01-21,-126.6
2016-01-22,-125.5
2016-01-25,-125.25
2016-01-26,-128.45
2016-01-27,-125.13
2016-01-28,-126.85
2016-01-29,-127.07
2016-02-01,-128.05
2016-02-02,-129.85
2016-02-03,-134.8
2016-02-04,-135.27
2016-02-05,-131.75
2016-02-08,-130.75
2016-02-09,-132.2
2016-02-10,-132.21
2016-02-11,-133.1
2016-02-12,-128.9
2016-02-15,-131.2
2016-02-16,-126.85
2016-02-17,-126.9
2016-02-18,-127.4
2016-02-19,-124.7
2016-02-22,-126.38
2016-02-23,-124.5
2016-02-24,-121.7
2016-02-25,-122.4
2016-02-26,-119.5
2016-02-29,-117.7
2016-03-01,-117.5
2016-03-02,-118.75
2016-03-03,-120.18
2016-03-04,-120.3
2016-03-07,-119.35
2016-03-08,-119.1
2016-03-09,-104.6
2016-03-10,-104.63
2016-03-11,-105.78
2016-03-14,-104.68
2016-03-15,-101.7
2016-03-16,-107.7
2016-03-17,-107.2
2016-03-18,-106.3
2016-03-21,-103.9
2016-03-22,-102.1
2016-03-23,-102.75
2016-03-24,-101.1
2016-03-25,-98.5
2016-03-28,-102.1
2016-03-29,-105.2
2016-03-30,-107.8
2016-03-31,-107.2
2016-04-01,-106.68
2016-04-04,-105.35
2016-04-05,-104.97
2016-04-06,-104.9
2016-04-07,-104.9
2016-04-08,-104.18
2016-04-11,-106.4
2016-04-12,-109.0
2016-04-13,-110.8
2016-04-14,-106.8
2016-04-15,-108.35
2016-04-18,-110.75
2016-04-19,-112.95
2016-04-20,-108.9
2016-04-21,-105.15
2016-04-22,-102.78
2016-04-25,-101.9
2016-04-26,-104.5
2016-04-27,-102.65
2016-04-28,-110.5
2016-04-29,-110.75
2016-05-02,-111.95
2016-05-03,-111.0
2016-05-04,-109.97
2016-05-05,-108.5
2016-05-06,-104.25
2016-05-09,-103.0
2016-05-10,-102.15
2016-05-11,-104.6
2016-05-12,-106.7
2016-05-13,-105.48
2016-05-16,-105.05
2016-05-17,-104.9
2016-05-18,-104.0
2016-05-19,-104.1
2016-05-20,-105.95
2016-05-23,-107.28
2016-05-24,-104.5
2016-05-25,-104.0
2016-05-26,-103.2
2016-05-27,-100.1
2016-05-30,-101.1
2016-05-31,-104.9
2016-06-01,-105.0
2016-06-02,-103.75
2016-06-03,-110.9
2016-06-06,-107.7
2016-06-07,-110.0
2016-06-08,-111.45
2016-06-09,-115.95
2016-06-10,-115.5
2016-06-13,-115.1
2016-06-14,-110.25
2016-06-15,-114.75
2016-06-16,-114.25
2016-06-17,-115.4
2016-06-20,-115.3
2016-06-21,-116.5
2016-06-22,-119.7
2016-06-23,-119.0
2016-06-24,-115.35
2016-06-27,-113.5
2016-06-28,-116.95
2016-06-29,-119.1
2016-06-30,-118.6
2016-07-01,-117.82
2016-07-04,-118.0
2016-07-05,-116.22
2016-07-06,-116.55
2016-07-07,-118.98
2016-07-08,-121.55
2016-07-11,-120.0
2016-07-12,-118.8
2016-07-13,-118.65
2016-07-14,-111.85
2016-07-15,-109.25
2016-07-18,-104.9
2016-07-19,-99.9
2016-07-20,-100.27
2016-07-21,-96.28
2016-07-22,-94.75
2016-07-25,-93.87
2016-07-26,-94.9
2016-07-27,-96.25
2016-07-28,-94.5
2016-07-29,-100.4
2016-08-01,-97.0
2016-08-02,-96.55
2016-08-03,-94.38
2016-08-04,-93.76
2016-08-05,-89.5
2016-08-08,-87.5
2016-08-09,-84.55
2016-08-10,-87.25
2016-08-11,-87.5
2016-08-12,-87.95
2016-08-15,-88.6
2016-08-16,-90.35
2016-08-17,-91.0
2016-08-18,-90.55
2016-08-19,-89.82
2016-08-22,-90.0
2016-08-23,-89.95
2016-08-24,-91.0
2016-08-25,-88.0
2016-08-26,-85.05
2016-08-29,-85.88
2016-08-30,-87.05
2016-08-31,-88.25
2016-09-01,-88.8
2016-09-02,-88.15
2016-09-05,-88.5
2016-09-06,-92.05
2016-09-07,-92.7
2016-09-08,-90.5
2016-09-09,-89.15
2016-09-12,-91.43
2016-09-13,-91.5
2016-09-14,-93.05
2016-09-15,-93.5
2016-09-16,-93.35
2016-09-19,-92.6
2016-09-20,-93.25
2016-09-21,-93.5
2016-09-22,-90.1
2016-09-23,-88.75
2016-09-26,-89.5
2016-09-27,-88.3
2016-09-28,-88.1
2016-09-29,-88.86
2016-09-30,-87.5
2016-10-03,-88.18
2016-10-04,-88.32
2016-10-05,-89.1
2016-10-06,-88.3
2016-10-07,-88.5
2016-10-10,-86.4
2016-10-11,-83.2
2016-10-12,-83.95
2016-10-13,-84.3
2016-10-14,-85.3
2016-10-17,-87.45
2016-10-18,-89.8
2016-10-19,-89.39
2016-10-20,-86.65
2016-10-21,-86.33
2016-10-24,-84.3
2016-10-25,-85.75
2016-10-26,-85.41
2016-10-27,-85.32
2016-10-28,-85.7
2016-10-31,-85.5
2016-11-01,-87.01
2016-11-02,-90.93
2016-11-03,-92.8
2016-11-04,-93.0
2016-11-07,-93.85
2016-11-08,-93.15
2016-11-09,-91.15
2016-11-10,-90.1
2016-11-11,-88.0
2016-11-14,-86.28
2016-11-15,-85.3
2016-11-16,-83.6
2016-11-17,-80.7
2016-11-18,-80.75
2016-11-21,-81.3
2016-11-22,-80.93
2016-11-23,-78.8
2016-11-24,-76.8
2016-11-25,-76.8
2016-11-28,-77.01
2016-11-29,-78.8
