Date,Value
2016-01-01,2.56
2016-01-04,2.105
2016-01-05,2.195
2016-01-06,2.15
2016-01-07,2.0225
2016-01-08,2.065
2016-01-11,2.0825
2016-01-12,2.075
2016-01-13,2.13
2016-01-14,2.1
2016-01-15,2.16
2016-01-18,2.1725
2016-01-19,2.1025
2016-01-20,2.165
2016-01-21,2.155
2016-01-22,2.135
2016-01-25,2.22
2016-01-26,2.1475
2016-01-27,2.1025
2016-01-28,2.23
2016-01-29,2.195
2016-02-01,2.1975
2016-02-02,2.1125
2016-02-03,2.1225
2016-02-04,2.235
2016-02-05,2.135
2016-02-08,2.1675
2016-02-09,2.2375
2016-02-10,2.21
2016-02-11,2.25
2016-02-12,2.2625
2016-02-15,2.215
2016-02-16,2.2
2016-02-17,2.17
2016-02-18,2.22
2016-02-19,2.185
2016-02-22,2.175
2016-02-23,2.16
2016-02-24,2.21
2016-02-25,2.16
2016-02-26,2.14
2016-02-29,2.125
2016-03-01,2.15
2016-03-02,2.13
2016-03-03,2.125
2016-03-04,2.145
2016-03-07,2.12
2016-03-08,2.14
2016-03-09,2.09
2016-03-10,2.135
2016-03-11,2.1
2016-03-14,2.1975
2016-03-15,2.075
2016-03-16,2.155
2016-03-17,2.105
2016-03-18,2.165
2016-03-21,2.13
2016-03-22,2.02
2016-03-23,2.055
2016-03-24,2.045
2016-03-25,2.12
2016-03-28,2.12
2016-03-29,2.02
2016-03-30,2.03
2016-03-31,2.185
2016-04-01,2.225
2016-04-04,2.11
2016-04-05,2.135
2016-04-06,2.115
2016-04-07,2.185
2016-04-08,2.125
2016-04-11,2.15
2016-04-12,2.175
2016-04-13,2.155
2016-04-14,2.2525
2016-04-15,2.2775
2016-04-18,2.3375
2016-04-19,2.2725
2016-04-20,2.225
2016-04-21,2.15
2016-04-22,2.25
2016-04-25,2.18
2016-04-26,2.18
2016-04-27,2.1575
2016-04-28,2.14
2016-04-29,2.115
2016-05-02,2.08
2016-05-03,2.14
2016-05-04,2.01
2016-05-05,1.9225
2016-05-06,1.9475
2016-05-09,1.975
2016-05-10,1.86
2016-05-11,1.925
2016-05-12,1.855
2016-05-13,1.845
2016-05-16,1.835
2016-05-17,1.845
2016-05-18,1.845
2016-05-19,1.8075
2016-05-20,1.82
2016-05-23,1.795
2016-05-24,1.815
2016-05-25,1.71
2016-05-26,1.71
2016-05-27,1.74
2016-05-30,1.655
2016-05-31,1.69
2016-06-01,1.675
2016-06-02,1.67
2016-06-03,1.655
2016-06-06,1.615
2016-06-07,1.605
2016-06-08,1.655
2016-06-09,1.62
2016-06-10,1.68
2016-06-13,1.67
2016-06-14,1.725
2016-06-15,1.745
2016-06-16,1.705
2016-06-17,1.705
2016-06-20,1.7
2016-06-21,1.695
2016-06-22,1.68
2016-06-23,1.69
2016-06-24,1.715
2016-06-27,1.775
2016-06-28,1.7
2016-06-29,1.67
2016-06-30,1.605
2016-07-01,1.635
2016-07-04,1.635
2016-07-05,1.63
2016-07-06,1.645
2016-07-07,1.64
2016-07-08,1.625
2016-07-11,1.645
2016-07-12,1.63
2016-07-13,1.635
2016-07-14,1.625
2016-07-15,1.635
2016-07-18,1.645
2016-07-19,1.645
2016-07-20,1.665
2016-07-21,1.625
2016-07-22,1.645
2016-07-25,1.69
2016-07-26,1.64
2016-07-27,1.55
2016-07-28,1.56
2016-07-29,1.575
2016-08-01,1.5775
2016-08-02,1.55
2016-08-03,1.5525
2016-08-04,1.52
2016-08-05,1.53
2016-08-08,1.535
2016-08-09,1.52
2016-08-10,1.51
2016-08-11,1.52
2016-08-12,1.535
2016-08-15,1.53
2016-08-16,1.56
2016-08-17,1.535
2016-08-18,1.525
2016-08-19,1.5525
2016-08-22,1.565
2016-08-23,1.555
2016-08-24,1.6
2016-08-25,1.575
2016-08-26,1.58
2016-08-29,1.565
2016-08-30,1.56
2016-08-31,1.54
2016-09-01,1.535
2016-09-02,1.625
2016-09-05,1.555
2016-09-06,1.545
2016-09-07,1.5425
2016-09-08,1.52
2016-09-09,1.535
2016-09-12,1.5475
2016-09-13,1.5525
2016-09-14,1.5875
2016-09-15,1.6175
2016-09-16,1.56
2016-09-19,1.59
2016-09-20,1.605
2016-09-21,1.59
2016-09-22,1.565
2016-09-23,1.585
2016-09-26,1.55
2016-09-27,1.5475
2016-09-28,1.545
2016-09-29,1.535
2016-09-30,1.545
2016-10-03,1.5675
2016-10-04,1.53
2016-10-05,1.54
2016-10-06,1.585
2016-10-07,1.61
2016-10-10,1.62
2016-10-11,1.58
2016-10-12,1.58
2016-10-13,1.545
2016-10-14,1.54
2016-10-17,1.535
2016-10-18,1.5375
2016-10-19,1.5175
2016-10-20,1.5125
2016-10-21,1.53
2016-10-24,1.53
2016-10-25,1.52
2016-10-26,1.555
2016-10-27,1.5475
2016-10-28,1.5325
2016-10-31,1.565
2016-11-01,1.55
2016-11-02,1.53
2016-11-03,1.53
2016-11-04,1.56
2016-11-07,1.535
2016-11-08,1.53
2016-11-09,1.56
2016-11-10,1.53
2016-11-11,1.61
2016-11-14,1.5825
2016-11-15,1.57
2016-11-16,1.605
2016-11-17,1.52
2016-11-18,1.605
2016-11-21,1.635
2016-11-22,1.605
2016-11-23,1.57
2016-11-24,1.6
2016-11-25,1.6025
2016-11-28,1.64
2016-11-29,1.58
2016-11-30,1.575
2016-12-01,1.63
2016-12-02,1.59
2016-12-05,1.63
2016-12-06,1.63
2016-12-07,1.65
2016-12-08,1.64
2016-12-09,1.595
2016-12-12,1.645
2016-12-13,1.63
2016-12-14,1.65
2016-12-15,1.565
2016-12-16,1.635
2016-12-19,1.6225
2016-12-20,1.645
2016-12-21,1.585
2016-12-22,1.565
2016-12-23,1.57
2016-12-26,1.56
2016-12-27,1.56
2016-12-28,1.56
2016-12-29,1.6
2016-12-30,1.55
2017-01-02,1.54
2017-01-03,1.525
2017-01-04,1.515
2017-01-05,1.555
2017-01-06,1.62
2017-01-09,1.595
2017-01-10,1.55
2017-01-11,1.58
2017-01-12,1.56
2017-01-13,1.57
2017-01-16,1.58
2017-01-17,1.605
2017-01-18,1.595
2017-01-19,1.59
2017-01-20,1.585
2017-01-23,1.6
2017-01-24,1.61
2017-01-25,1.595
2017-01-26,1.58
2017-01-27,1.57
2017-01-30,1.56
2017-01-31,1.59
2017-02-01,1.57
2017-02-02,1.57
2017-02-03,1.56
2017-02-06,1.56
2017-02-07,1.54
2017-02-08,1.56
2017-02-09,1.51
2017-02-10,1.495
2017-02-13,1.515
2017-02-14,1.54
2017-02-15,1.52
2017-02-16,1.505
2017-02-17,1.525
2017-02-20,1.5075
2017-02-21,1.535
2017-02-22,1.5375
2017-02-23,1.52
2017-02-24,1.5
2017-02-27,1.5
2017-02-28,1.53
2017-03-01,1.57
2017-03-02,1.5525
2017-03-03,1.56
2017-03-06,1.5425
2017-03-07,1.57
2017-03-08,1.555
2017-03-09,1.555
2017-03-10,1.5175
2017-03-13,1.545
2017-03-14,1.55
2017-03-15,1.5025
2017-03-16,1.425
2017-03-17,1.425
2017-03-20,1.2725
2017-03-21,1.2925
2017-03-22,1.29
2017-03-23,1.3175
2017-03-24,1.32
2017-03-27,1.32
2017-03-28,1.335
2017-03-29,1.305
2017-03-30,1.285
2017-03-31,1.305
2017-04-03,1.2825
2017-04-04,1.27
2017-04-05,1.25
2017-04-06,1.2325
2017-04-07,1.28
2017-04-10,1.285
2017-04-11,1.255
2017-04-12,1.2225
2017-04-13,1.22
2017-04-14,1.255
2017-04-17,1.195
2017-04-18,1.2325
2017-04-19,1.2125
2017-04-20,1.2225
2017-04-21,1.2225
2017-04-24,1.175
2017-04-25,1.23
2017-04-26,1.185
2017-04-27,1.22
2017-04-28,1.23
2017-05-01,1.18
2017-05-02,1.275
2017-05-03,1.2475
2017-05-04,1.26
2017-05-05,1.265
2017-05-08,1.2425
2017-05-09,1.2525
2017-05-10,1.2525
2017-05-11,1.175
2017-05-12,1.2325
2017-05-15,1.235
2017-05-16,1.235
2017-05-17,1.1875
2017-05-18,1.195
2017-05-19,1.2025
2017-05-22,1.235
2017-05-23,1.22
2017-05-24,1.205
2017-05-25,1.2
2017-05-26,1.205
2017-05-29,1.215
2017-05-30,1.2275
2017-05-31,1.2175
2017-06-01,1.205
2017-06-02,1.205
2017-06-05,1.2325
2017-06-06,1.165
2017-06-07,1.17
2017-06-08,1.165
2017-06-09,1.195
2017-06-12,1.1875
2017-06-13,1.16
2017-06-14,1.1625
2017-06-15,1.1525
2017-06-16,1.1775
2017-06-19,1.1725
2017-06-20,1.165
2017-06-21,1.1475
2017-06-22,1.17
2017-06-23,1.1775
2017-06-26,1.1525
2017-06-27,1.155
2017-06-28,1.1575
2017-06-29,1.155
2017-06-30,1.1775
2017-07-03,1.195
2017-07-04,1.2125
2017-07-05,1.2075
2017-07-06,1.245
2017-07-07,1.2475
2017-07-10,1.24
2017-07-11,1.2325
2017-07-12,1.235
2017-07-13,1.2825
2017-07-14,1.3
2017-07-17,1.3075
2017-07-18,1.3425
2017-07-19,1.355
2017-07-20,1.355
2017-07-21,1.3625
2017-07-24,1.3675
2017-07-25,1.38
2017-07-26,1.3475
2017-07-27,1.42
2017-07-28,1.44
2017-07-31,1.465
2017-08-01,1.46
2017-08-02,1.46
2017-08-03,1.445
2017-08-04,1.44
2017-08-07,1.425
2017-08-08,1.415
2017-08-09,1.405
2017-08-10,1.43
2017-08-11,1.5
2017-08-14,1.525
2017-08-15,1.515
2017-08-16,1.495
2017-08-17,1.485
2017-08-18,1.49
2017-08-21,1.51
2017-08-22,1.54
2017-08-23,1.545
2017-08-24,1.535
2017-08-25,1.52
2017-08-28,1.465
2017-08-29,1.525
2017-08-30,1.495
2017-08-31,1.475
2017-09-01,1.435
2017-09-04,1.51
2017-09-05,1.52
2017-09-06,1.51
2017-09-07,1.525
2017-09-08,1.55
2017-09-11,1.5575
2017-09-12,1.53
2017-09-13,1.5325
2017-09-14,1.515
2017-09-15,1.515
2017-09-18,1.53
2017-09-19,1.515
2017-09-20,1.525
2017-09-21,1.5275
2017-09-22,1.53
2017-09-25,1.525
2017-09-26,1.505
2017-09-27,1.525
2017-09-28,1.525
2017-09-29,1.51
2017-10-02,1.5125
2017-10-03,1.495
2017-10-04,1.505
2017-10-05,1.5075
2017-10-06,1.4825
2017-10-09,1.515
2017-10-10,1.495
2017-10-11,1.505
2017-10-12,1.4775
2017-10-13,1.495
2017-10-16,1.475
2017-10-17,1.4825
2017-10-18,1.495
2017-10-19,1.4825
2017-10-20,1.4825
2017-10-23,1.49
2017-10-24,1.51
2017-10-25,1.465
2017-10-26,1.4475
2017-10-27,1.455
2017-10-30,1.4625
2017-10-31,1.45
2017-11-01,1.4375
2017-11-02,1.43
2017-11-03,1.435
2017-11-06,1.435
2017-11-07,1.425
2017-11-08,1.4275
2017-11-09,1.4325
2017-11-10,1.43
2017-11-13,1.4225
2017-11-14,1.425
2017-11-15,1.435
2017-11-16,1.4075
2017-11-17,1.4175
2017-11-20,1.425
2017-11-21,1.415
2017-11-22,1.4125
2017-11-23,1.415
2017-11-24,1.39
2017-11-27,1.39
2017-11-28,1.405
2017-11-29,1.395
2017-11-30,1.33
