Date,Value
2016-01-01,-0.6
2016-01-04,-1.145
2016-01-05,-1.165
2016-01-06,-1.415
2016-01-07,-1.79
2016-01-08,-2.015
2016-01-11,-2.375
2016-01-12,-2.21
2016-01-13,-1.645
2016-01-14,-2.115
2016-01-15,-2.29
2016-01-18,-1.945
2016-01-19,-1.585
2016-01-20,-1.855
2016-01-21,-1.635
2016-01-22,-1.215
2016-01-25,-1.105
2016-01-26,-1.355
2016-01-27,-1.24
2016-01-28,-1.165
2016-01-29,-1.17
2016-02-01,-1.15
2016-02-02,-1.055
2016-02-03,-1.015
2016-02-04,-1.005
2016-02-05,-1.015
2016-02-08,-1.3
2016-02-09,-1.715
2016-02-10,-1.575
2016-02-11,-1.93
2016-02-12,-1.89
2016-02-15,-1.4
2016-02-16,-1.49
2016-02-17,-1.645
2016-02-18,-1.315
2016-02-19,-1.66
2016-02-22,-1.5
2016-02-23,-1.395
2016-02-24,-1.54
2016-02-25,-1.5
2016-02-26,-1.505
2016-02-29,-1.495
2016-03-01,-1.545
2016-03-02,-1.275
2016-03-03,-1.3
2016-03-04,-1.295
2016-03-07,-1.23
2016-03-08,-1.37
2016-03-09,-1.385
2016-03-10,-1.735
2016-03-11,-1.655
2016-03-14,-1.605
2016-03-15,-1.455
2016-03-16,-1.405
2016-03-17,-1.13
2016-03-18,-0.825
2016-03-21,-0.92
2016-03-22,-1.01
2016-03-23,-1.445
2016-03-24,-1.395
2016-03-25,-1.415
2016-03-28,-1.315
2016-03-29,-0.915
2016-03-30,-0.91
2016-03-31,-0.86
2016-04-01,-0.81
2016-04-04,-0.785
2016-04-05,-1.435
2016-04-06,-1.03
2016-04-07,-1.0
2016-04-08,-1.085
2016-04-11,-0.89
2016-04-12,-0.85
2016-04-13,-0.625
2016-04-14,-0.69
2016-04-15,-0.69
2016-04-18,-0.765
2016-04-19,-0.945
2016-04-20,-0.985
2016-04-21,-0.93
2016-04-22,-0.985
2016-04-25,-1.02
2016-04-26,-1.845
2016-04-27,-1.99
2016-04-28,-1.76
2016-04-29,-1.61
2016-05-02,-1.695
2016-05-03,-1.82
2016-05-04,-1.775
2016-05-05,-1.48
2016-05-06,-1.58
2016-05-09,-1.315
2016-05-10,-1.055
2016-05-11,-1.44
2016-05-12,-1.19
2016-05-13,-1.485
2016-05-16,-1.31
2016-05-17,-0.925
2016-05-18,-1.1
2016-05-19,-1.36
2016-05-20,-1.55
2016-05-23,-1.315
2016-05-24,-1.395
2016-05-25,-1.29
2016-05-26,-0.93
2016-05-27,-0.92
2016-05-30,-0.87
2016-05-31,-0.9
2016-06-01,-0.89
2016-06-02,-0.91
2016-06-03,-0.835
2016-06-06,-1.175
2016-06-07,-1.045
2016-06-08,-1.25
2016-06-09,-1.32
2016-06-10,-1.41
2016-06-13,-1.56
2016-06-14,-2.04
2016-06-15,-2.2
2016-06-16,-2.255
2016-06-17,-5.545
2016-06-20,-4.4
2016-06-21,-4.415
2016-06-22,-5.2875
2016-06-23,-5.2675
2016-06-24,-4.65
2016-06-27,-4.72
2016-06-28,-3.17
2016-06-29,-2.685
2016-06-30,-2.5575
2016-07-01,-2.8925
2016-07-04,-2.535
2016-07-05,-2.5725
2016-07-06,-2.4875
2016-07-07,-2.1225
2016-07-08,-1.82
2016-07-11,-1.57
2016-07-12,-1.31
2016-07-13,-1.2775
2016-07-14,-1.39
2016-07-15,-1.8975
2016-07-18,-1.92
2016-07-19,-1.7775
2016-07-20,-1.64
2016-07-21,-1.6
2016-07-22,-1.28
2016-07-25,-1.165
2016-07-26,-1.135
2016-07-27,-0.805
2016-07-28,-0.8225
2016-07-29,-0.705
2016-08-01,-0.865
2016-08-02,-0.685
2016-08-03,-0.7975
2016-08-04,-0.825
2016-08-05,-0.7
2016-08-08,-0.745
2016-08-09,-0.705
2016-08-10,-0.66
2016-08-11,-0.71
2016-08-12,-0.695
2016-08-15,-0.8875
2016-08-16,-0.8825
2016-08-17,-0.78
2016-08-18,-0.82
2016-08-19,-1.07
2016-08-22,-1.745
2016-08-23,-1.56
2016-08-24,-2.075
2016-08-25,-1.995
2016-08-26,-1.7
2016-08-29,-2.03
2016-08-30,-1.96
2016-08-31,-1.97
2016-09-01,-1.7375
2016-09-02,-1.46
2016-09-05,-1.45
2016-09-06,-1.22
2016-09-07,-1.1125
2016-09-08,-0.8
2016-09-09,-1.025
2016-09-12,-1.67
2016-09-13,-1.63
2016-09-14,-1.8925
2016-09-15,-1.845
2016-09-16,-2.035
2016-09-19,-1.715
2016-09-20,-1.66
2016-09-21,-1.81
2016-09-22,-1.225
2016-09-23,-1.35
2016-09-26,-1.795
2016-09-27,-1.7
2016-09-28,-1.67
2016-09-29,-1.58
2016-09-30,-1.685
2016-10-03,-1.555
2016-10-04,-1.545
2016-10-05,-1.45
2016-10-06,-1.415
2016-10-07,-1.53
2016-10-10,-1.53
2016-10-11,-1.525
2016-10-12,-1.525
2016-10-13,-1.975
2016-10-14,-1.755
2016-10-17,-1.715
2016-10-18,-1.335
2016-10-19,-1.255
2016-10-20,-1.27
2016-10-21,-1.325
2016-10-24,-1.375
2016-10-25,-1.31
2016-10-26,-1.335
2016-10-27,-1.41
2016-10-28,-1.495
2016-10-31,-1.5375
2016-11-01,-1.485
