Date,Value
2016-01-01,-5.165
2016-01-04,-5.1
2016-01-05,-5.35
2016-01-06,-5.665
2016-01-07,-5.7075
2016-01-08,-5.65
2016-01-11,-5.915
2016-01-12,-5.6375
2016-01-13,-5.545
2016-01-14,-5.6875
2016-01-15,-5.8625
2016-01-18,-5.71
2016-01-19,-5.4025
2016-01-20,-5.5325
2016-01-21,-5.545
2016-01-22,-5.435
2016-01-25,-5.4375
2016-01-26,-5.3975
2016-01-27,-5.3575
2016-01-28,-5.38
2016-01-29,-5.3575
2016-02-01,-5.3375
2016-02-02,-5.3125
2016-02-03,-5.34
2016-02-04,-5.27
2016-02-05,-5.135
2016-02-08,-5.4825
2016-02-09,-5.5925
2016-02-10,-5.5125
2016-02-11,-5.605
2016-02-12,-5.525
2016-02-15,-5.35
2016-02-16,-5.345
2016-02-17,-5.49
2016-02-18,-5.335
2016-02-19,-5.605
2016-02-22,-5.53
2016-02-23,-5.44
2016-02-24,-5.54
2016-02-25,-5.445
2016-02-26,-5.485
2016-02-29,-5.545
2016-03-01,-5.565
2016-03-02,-5.33
2016-03-03,-5.27
2016-03-04,-5.03
2016-03-07,-5.08
2016-03-08,-5.145
2016-03-09,-5.35
2016-03-10,-5.105
2016-03-11,-5.12
2016-03-14,-5.0425
2016-03-15,-5.035
2016-03-16,-5.16
2016-03-17,-4.875
2016-03-18,-4.74
2016-03-21,-4.705
2016-03-22,-4.725
2016-03-23,-4.52
2016-03-24,-4.53
2016-03-25,-4.565
2016-03-28,-4.655
2016-03-29,-4.62
2016-03-30,-4.045
2016-03-31,-3.96
2016-04-01,-4.015
2016-04-04,-4.13
2016-04-05,-4.265
2016-04-06,-4.24
2016-04-07,-4.1
2016-04-08,-4.325
2016-04-11,-4.165
2016-04-12,-4.075
2016-04-13,-3.9925
2016-04-14,-4.0275
2016-04-15,-4.0725
2016-04-18,-4.125
2016-04-19,-4.1475
2016-04-20,-4.025
2016-04-21,-4.165
2016-04-22,-4.155
2016-04-25,-4.21
2016-04-26,-4.105
2016-04-27,-4.22
2016-04-28,-4.15
2016-04-29,-4.23
2016-05-02,-4.235
2016-05-03,-4.405
2016-05-04,-4.365
2016-05-05,-4.22
2016-05-06,-4.1975
2016-05-09,-4.275
2016-05-10,-4.405
2016-05-11,-4.19
2016-05-12,-4.18
2016-05-13,-4.285
2016-05-16,-4.43
2016-05-17,-4.24
2016-05-18,-4.27
2016-05-19,-4.1425
2016-05-20,-4.035
2016-05-23,-4.04
2016-05-24,-3.975
2016-05-25,-3.93
2016-05-26,-3.855
2016-05-27,-3.845
2016-05-30,-3.9
2016-05-31,-3.87
2016-06-01,-3.86
2016-06-02,-3.915
2016-06-03,-3.805
2016-06-06,-3.86
2016-06-07,-3.82
2016-06-08,-3.73
2016-06-09,-3.64
2016-06-10,-3.745
2016-06-13,-3.945
2016-06-14,-4.185
2016-06-15,-4.245
2016-06-16,-4.25
