Date,Value
2016-01-01,-3.775
2016-01-04,-3.835
2016-01-05,-3.965
2016-01-06,-4.245
2016-01-07,-4.48
2016-01-08,-4.59
2016-01-11,-4.795
2016-01-12,-4.68
2016-01-13,-4.44
2016-01-14,-4.805
2016-01-15,-4.845
2016-01-18,-4.765
2016-01-19,-4.525
2016-01-20,-4.63
2016-01-21,-4.525
2016-01-22,-4.42
2016-01-25,-4.355
2016-01-26,-4.385
2016-01-27,-4.305
2016-01-28,-4.3775
2016-01-29,-4.355
2016-02-01,-4.295
2016-02-02,-4.295
2016-02-03,-4.33
2016-02-04,-4.165
2016-02-05,-4.085
2016-02-08,-4.345
2016-02-09,-4.54
2016-02-10,-4.48
2016-02-11,-4.715
2016-02-12,-4.635
2016-02-15,-4.445
2016-02-16,-4.475
2016-02-17,-4.565
2016-02-18,-4.455
2016-02-19,-4.655
2016-02-22,-4.555
2016-02-23,-4.46
2016-02-24,-4.585
2016-02-25,-4.53
2016-02-26,-4.62
2016-02-29,-4.685
2016-03-01,-4.675
2016-03-02,-4.46
2016-03-03,-4.425
2016-03-04,-4.095
2016-03-07,-4.19
2016-03-08,-4.31
2016-03-09,-4.37
2016-03-10,-4.305
2016-03-11,-4.225
2016-03-14,-4.145
2016-03-15,-4.115
2016-03-16,-4.195
2016-03-17,-4.015
2016-03-18,-3.765
2016-03-21,-3.735
2016-03-22,-3.805
2016-03-23,-3.595
2016-03-24,-3.625
2016-03-25,-3.63
2016-03-28,-3.66
2016-03-29,-3.64
2016-03-30,-3.215
2016-03-31,-3.19
2016-04-01,-3.22
2016-04-04,-3.295
2016-04-05,-3.475
2016-04-06,-3.465
2016-04-07,-3.46
2016-04-08,-3.52
2016-04-11,-3.51
2016-04-12,-3.475
2016-04-13,-3.35
2016-04-14,-3.415
2016-04-15,-3.3975
2016-04-18,-3.4575
2016-04-19,-3.375
2016-04-20,-3.3625
2016-04-21,-3.44
2016-04-22,-3.425
2016-04-25,-3.545
2016-04-26,-3.535
2016-04-27,-3.74
2016-04-28,-3.665
2016-04-29,-3.615
2016-05-02,-3.615
2016-05-03,-3.905
2016-05-04,-3.905
2016-05-05,-3.86
2016-05-06,-3.8
2016-05-09,-3.775
2016-05-10,-3.82
2016-05-11,-3.74
2016-05-12,-3.74
2016-05-13,-3.86
2016-05-16,-3.885
2016-05-17,-3.675
2016-05-18,-3.725
2016-05-19,-3.7525
2016-05-20,-3.64
2016-05-23,-3.645
2016-05-24,-3.59
2016-05-25,-3.5
2016-05-26,-3.45
2016-05-27,-3.405
2016-05-30,-3.43
2016-05-31,-3.42
2016-06-01,-3.42
2016-06-02,-3.46
2016-06-03,-3.41
2016-06-06,-3.31
2016-06-07,-3.195
2016-06-08,-3.215
2016-06-09,-3.185
2016-06-10,-3.305
2016-06-13,-3.51
2016-06-14,-3.83
2016-06-15,-4.05
2016-06-16,-4.11
2016-06-17,-4.07
2016-06-20,-3.86
2016-06-21,-3.71
2016-06-22,-3.75
2016-06-23,-3.72
2016-06-24,-3.9275
2016-06-27,-4.145
2016-06-28,-3.745
2016-06-29,-3.65
2016-06-30,-3.675
2016-07-01,-3.435
2016-07-04,-3.365
2016-07-05,-3.41
2016-07-06,-3.535
2016-07-07,-3.39
2016-07-08,-3.235
2016-07-11,-3.15
2016-07-12,-3.06
2016-07-13,-2.995
