Date,Value
2016-01-01,12.525
2016-01-04,13.44
2016-01-05,13.485
2016-01-06,13.8825
2016-01-07,14.03
2016-01-08,13.975
2016-01-11,14.095
2016-01-12,13.745
2016-01-13,13.56
2016-01-14,13.81
2016-01-15,14.55
2016-01-18,14.2675
2016-01-19,13.955
2016-01-20,14.305
2016-01-21,14.095
2016-01-22,13.77
2016-01-25,13.75
2016-01-26,13.775
2016-01-27,13.245
2016-01-28,12.875
2016-01-29,12.875
2016-02-01,12.88
2016-02-02,12.775
2016-02-03,13.07
2016-02-04,13.055
2016-02-05,13.14
2016-02-08,13.925
2016-02-09,14.19
2016-02-10,14.735
2016-02-11,15.515
2016-02-12,14.765
2016-02-15,13.98
2016-02-16,14.365
2016-02-17,14.785
2016-02-18,14.135
2016-02-19,14.045
2016-02-22,14.05
2016-02-23,14.115
2016-02-24,14.405
2016-02-25,13.72
2016-02-26,13.89
2016-02-29,14.53
2016-03-01,14.045
2016-03-02,13.91
2016-03-03,14.115
2016-03-04,13.77
2016-03-07,14.18
2016-03-08,14.17
2016-03-09,13.675
2016-03-10,13.63
2016-03-11,13.43
2016-03-14,13.245
2016-03-15,13.13
2016-03-16,12.705
2016-03-17,12.995
2016-03-18,12.885
2016-03-21,12.695
2016-03-22,12.835
2016-03-23,12.945
2016-03-24,13.315
2016-03-25,13.31
2016-03-28,13.42
2016-03-29,13.27
2016-03-30,14.335
2016-03-31,13.795
2016-04-01,13.54
2016-04-04,14.1275
2016-04-05,14.55
2016-04-06,14.46
2016-04-07,14.75
2016-04-08,14.055
2016-04-11,14.335
2016-04-12,14.205
2016-04-13,13.665
2016-04-14,13.7475
2016-04-15,13.9175
2016-04-18,13.925
2016-04-19,13.57
2016-04-20,13.075
2016-04-21,13.105
2016-04-22,13.055
2016-04-25,13.795
2016-04-26,13.565
2016-04-27,13.705
2016-04-28,12.325
2016-04-29,12.465
2016-05-02,12.81
2016-05-03,13.355
2016-05-04,13.155
2016-05-05,12.6
2016-05-06,12.5
2016-05-09,13.97
2016-05-10,14.1675
2016-05-11,13.96
2016-05-12,13.665
2016-05-13,13.73
2016-05-16,14.385
2016-05-17,13.75
2016-05-18,14.025
2016-05-19,14.045
2016-05-20,13.65
2016-05-23,13.535
2016-05-24,13.475
2016-05-25,13.335
2016-05-26,13.46
2016-05-27,13.01
2016-05-30,13.59
2016-05-31,13.31
2016-06-01,13.395
2016-06-02,13.18
2016-06-03,12.82
2016-06-06,12.88
2016-06-07,12.51
2016-06-08,12.41
2016-06-09,11.885
2016-06-10,13.025
2016-06-13,13.505
2016-06-14,13.68
2016-06-15,12.93
2016-06-16,13.46
2016-06-17,12.975
2016-06-20,12.74
2016-06-21,13.045
2016-06-22,13.18
2016-06-23,12.78
2016-06-24,13.365
2016-06-27,14.19
2016-06-28,13.015
2016-06-29,12.7025
2016-06-30,12.4775
2016-07-01,12.3
2016-07-04,12.5125
2016-07-05,12.955
2016-07-06,12.97
2016-07-07,12.77
2016-07-08,12.255
2016-07-11,13.465
2016-07-12,13.275
2016-07-13,13.1425
2016-07-14,13.44
2016-07-15,13.955
2016-07-18,13.8
2016-07-19,14.21
2016-07-20,13.8925
2016-07-21,12.7425
2016-07-22,12.6475
2016-07-25,12.965
2016-07-26,12.795
2016-07-27,11.745
2016-07-28,11.86
2016-07-29,11.4
2016-08-01,12.0975
2016-08-02,12.2
2016-08-03,12.35
2016-08-04,11.565
2016-08-05,11.51
2016-08-08,11.46
2016-08-09,11.16
2016-08-10,11.66
2016-08-11,10.08
2016-08-12,9.8
2016-08-15,10.255
2016-08-16,10.5075
2016-08-17,10.65
2016-08-18,10.45
2016-08-19,10.74
2016-08-22,12.6075
2016-08-23,12.1175
2016-08-24,12.395
2016-08-25,12.01
2016-08-26,12.1
2016-08-29,12.66
2016-08-30,12.75
2016-08-31,12.645
2016-09-01,12.15
2016-09-02,11.5575
2016-09-05,11.85
2016-09-06,11.58
2016-09-07,11.415
2016-09-08,11.25
2016-09-09,11.885
2016-09-12,12.7175
2016-09-13,12.83
2016-09-14,12.5225
2016-09-15,12.145
2016-09-16,11.735
2016-09-19,11.355
2016-09-20,11.44
2016-09-21,10.77
2016-09-22,10.055
2016-09-23,10.0975
2016-09-26,10.505
2016-09-27,10.205
2016-09-28,10.06
2016-09-29,10.28
2016-09-30,10.355
2016-10-03,10.36
2016-10-04,10.455
2016-10-05,10.455
2016-10-06,11.875
2016-10-07,11.8675
2016-10-10,11.745
2016-10-11,12.1
2016-10-12,11.925
2016-10-13,11.75
2016-10-14,11.55
2016-10-17,11.61
2016-10-18,11.16
2016-10-19,10.98
2016-10-20,11.05
2016-10-21,11.015
2016-10-24,10.95
2016-10-25,11.055
