Date,Value
2016-01-01,9.35
2016-01-04,13.075
2016-01-05,13.2175
2016-01-06,13.95
2016-01-07,14.01
2016-01-08,13.48
2016-01-11,13.265
2016-01-12,12.685
2016-01-13,12.8075
2016-01-14,13.7225
2016-01-15,14.735
2016-01-18,13.4975
2016-01-19,13.195
2016-01-20,13.01
2016-01-21,17.29
2016-01-22,16.46
2016-01-25,15.63
2016-01-26,15.64
2016-01-27,13.7
2016-01-28,13.275
2016-01-29,14.735
2016-02-01,13.52
2016-02-02,13.765
2016-02-03,13.925
2016-02-04,13.2825
2016-02-05,13.095
2016-02-08,13.64
2016-02-09,14.375
2016-02-10,13.93
2016-02-11,16.38
2016-02-12,14.9
2016-02-15,13.205
2016-02-16,14.14
2016-02-17,13.65
2016-02-18,12.28
2016-02-19,12.91
2016-02-22,11.83
2016-02-23,12.23
2016-02-24,12.895
2016-02-25,12.43
2016-02-26,13.7
2016-02-29,13.63
2016-03-01,13.345
2016-03-02,13.18
2016-03-03,16.96
2016-03-04,16.35
2016-03-07,16.22
2016-03-08,16.945
2016-03-09,14.095
2016-03-10,16.745
2016-03-11,15.83
2016-03-14,15.135
2016-03-15,14.46
2016-03-16,13.0
2016-03-17,13.55
2016-03-18,12.79
2016-03-21,11.08
2016-03-22,11.48
2016-03-23,11.69
2016-03-24,12.265
2016-03-25,13.815
2016-03-28,13.705
2016-03-29,13.885
2016-03-30,13.775
2016-03-31,13.81
2016-04-01,12.45
2016-04-04,12.665
2016-04-05,13.2675
2016-04-06,13.2725
2016-04-07,14.715
2016-04-08,12.8525
2016-04-11,13.025
2016-04-12,12.995
2016-04-13,12.895
2016-04-14,13.36
2016-04-15,13.3275
2016-04-18,12.005
2016-04-19,11.3875
2016-04-20,10.745
2016-04-21,16.82
2016-04-22,16.59
2016-04-25,17.215
2016-04-26,17.15
2016-04-27,17.12
2016-04-28,12.955
2016-04-29,13.59
2016-05-02,13.69
2016-05-03,14.67
2016-05-04,14.19
2016-05-05,12.705
2016-05-06,12.295
2016-05-09,11.965
2016-05-10,12.3
2016-05-11,12.09
2016-05-12,12.385
2016-05-13,12.415
2016-05-16,12.135
2016-05-17,11.0
2016-05-18,11.925
2016-05-19,11.94
2016-05-20,11.25
2016-05-23,10.545
2016-05-24,10.175
2016-05-25,10.14
2016-05-26,10.22
2016-05-27,10.725
2016-05-30,11.125
2016-05-31,11.925
2016-06-01,12.06
2016-06-02,15.28
2016-06-03,14.555
2016-06-06,14.275
2016-06-07,13.67
2016-06-08,14.16
2016-06-09,12.465
2016-06-10,13.485
2016-06-13,12.98
2016-06-14,12.98
2016-06-15,11.35
2016-06-16,11.81
2016-06-17,16.745
2016-06-20,15.375
2016-06-21,15.7375
2016-06-22,16.11
2016-06-23,15.87
2016-06-24,15.4575
2016-06-27,14.915
2016-06-28,12.68
2016-06-29,11.6375
2016-06-30,11.8525
2016-07-01,12.0175
2016-07-04,12.115
2016-07-05,12.98
2016-07-06,12.895
2016-07-07,12.92
2016-07-08,11.655
2016-07-11,11.655
2016-07-12,11.995
2016-07-13,12.54
2016-07-14,14.0675
2016-07-15,15.3925
2016-07-18,13.635
2016-07-19,14.0125
2016-07-20,14.4225
2016-07-21,12.68
2016-07-22,12.78
2016-07-25,12.71
2016-07-26,13.2025
2016-07-27,11.275
2016-07-28,11.7625
2016-07-29,11.21
2016-08-01,11.85
2016-08-02,11.755
2016-08-03,11.5175
2016-08-04,15.195
2016-08-05,14.665
2016-08-08,14.985
2016-08-09,14.385
2016-08-10,15.26
2016-08-11,10.37
2016-08-12,9.945
2016-08-15,9.875
2016-08-16,10.59
2016-08-17,10.54
2016-08-18,9.965
2016-08-19,10.115
2016-08-22,12.22
2016-08-23,11.11
2016-08-24,11.4425
2016-08-25,11.26
2016-08-26,11.0
2016-08-29,11.65
2016-08-30,11.555
2016-08-31,12.28
2016-09-01,11.375
2016-09-02,9.2225
2016-09-05,9.35
2016-09-06,9.33
2016-09-07,9.3375
2016-09-08,10.0
2016-09-09,10.125
2016-09-12,12.12
2016-09-13,12.3325
2016-09-14,12.0625
2016-09-15,16.5875
2016-09-16,14.87
2016-09-19,13.85
2016-09-20,14.255
2016-09-21,12.42
2016-09-22,9.115
2016-09-23,9.3275
2016-09-26,9.935
2016-09-27,9.46
2016-09-28,9.325
2016-09-29,10.105
2016-09-30,10.81
2016-10-03,9.605
