Date,Open,High,Low,Close
2016-01-04,47.075,47.158,47.0,47.125
2016-01-05,47.13,47.188,46.875,46.89
2016-01-06,46.9,47.062,46.82,47.025
2016-01-07,47.095,47.14,46.98,47.01
2016-01-08,46.995,47.173,46.92,47.158
2016-01-11,47.233,47.335,47.233,47.269
2016-01-12,47.2,47.46,47.2,47.45
2016-01-13,47.35,47.55,47.335,47.542
2016-01-14,47.55,47.748,47.55,47.64
2016-01-15,47.689,47.78,47.63,47.745
2016-01-18,47.8,47.885,47.635,47.706
2016-01-19,47.675,47.755,47.586,47.67
2016-01-20,47.685,47.895,47.67,47.89
2016-01-21,47.825,47.958,47.695,47.935
2016-01-22,47.85,47.911,47.8,47.805
2016-01-25,47.74,47.9,47.72,47.89
2016-01-26,47.96,48.005,47.869,47.997
2016-01-27,47.925,47.995,47.809,47.815
2016-01-28,47.9,47.945,47.717,47.743
2016-01-29,47.675,47.775,47.615,47.65
2016-02-01,47.705,47.74,47.623,47.69
2016-02-02,47.675,47.79,47.67,47.685
2016-02-03,47.825,47.925,47.825,47.86
2016-02-04,47.765,47.8,47.719,47.775
2016-02-05,47.675,47.757,47.665,47.665
2016-02-09,47.75,47.795,47.0,47.671
2016-02-10,47.575,47.632,47.445,47.47
2016-02-11,47.39,47.488,47.375,47.45
2016-02-12,47.5,47.74,47.45,47.74
2016-02-15,47.525,47.555,47.435,47.45
2016-02-16,47.46,47.59,47.403,47.573
2016-02-17,47.6,47.695,47.45,47.45
2016-02-18,47.513,47.595,47.51,47.55
2016-02-19,47.6,47.905,47.552,47.665
2016-02-22,47.675,47.705,47.585,47.619
2016-02-23,47.575,47.66,47.575,47.635
2016-02-24,47.65,47.717,47.613,47.625
2016-02-25,47.62,47.62,47.62,47.62
2016-02-26,47.575,47.603,47.076,47.515
2016-02-29,47.55,47.605,47.525,47.558
2016-03-01,47.5,47.5,47.3,47.35
2016-03-02,47.24,47.307,47.225,47.298
2016-03-03,47.252,47.252,47.02,47.125
2016-03-04,47.045,47.125,46.861,46.946
2016-03-07,46.89,46.925,46.772,46.92
2016-03-08,46.9,47.035,46.285,46.958
2016-03-09,46.95,47.025,46.835,46.855
2016-03-10,46.8,46.855,46.653,46.695
2016-03-11,46.755,46.795,46.595,46.62
2016-03-14,46.54,46.607,46.439,46.595
2016-03-15,46.61,46.83,46.61,46.83
2016-03-16,46.825,46.925,46.475,46.785
2016-03-17,46.58,46.58,46.357,46.38
2016-03-18,46.225,46.379,46.168,46.36
2016-03-21,46.4,46.577,46.0,46.33
2016-03-22,46.375,46.39,46.16,46.285
2016-03-23,46.25,46.463,46.227,46.395
2016-03-28,46.475,46.537,46.325,46.34
2016-03-29,46.325,46.439,46.235,46.35
2016-03-30,46.195,46.262,46.02,46.028
2016-03-31,45.915,46.085,45.91,46.07
2016-04-01,45.97,47.02,45.95,46.015
2016-04-04,46.025,46.105,46.025,46.08
2016-04-05,46.2,46.295,46.153,46.26
2016-04-06,46.3,46.338,46.165,46.2
