Date,Value
2024-10-15,5.7235
2024-10-16,5.72
2024-10-17,5.74
2024-10-18,5.75
2024-10-22,5.789
2024-10-23,5.74
2024-10-25,5.775
2024-10-29,5.7735
2024-10-30,5.74
2024-10-31,5.74
2024-11-01,5.74
2024-11-05,5.6375
2024-11-06,5.6625
2024-11-07,5.6625
2024-11-08,5.6625
2024-11-12,5.74
2024-11-13,5.74
2024-11-14,5.735
2024-11-15,5.735
2024-11-18,5.6625
2024-11-19,5.71
2024-11-20,5.725
2024-11-21,5.675
2024-11-22,5.72
2024-11-26,5.6875
2024-11-27,5.74
2024-11-28,5.665
2024-11-29,5.73
2024-12-02,5.6875
2024-12-03,5.725
2024-12-04,5.725
2024-12-05,5.675
2024-12-06,5.67
2024-12-10,5.67
2024-12-11,5.67
2024-12-12,5.705
2024-12-13,5.665
2024-12-16,5.723
2024-12-17,5.675
2024-12-18,5.675
2024-12-19,5.695
2024-12-20,5.575
2024-12-26,5.68
2024-12-27,5.675
2025-01-02,5.6687
2025-01-03,5.665
2025-01-07,5.73
2025-01-08,5.705
2025-01-09,5.675
2025-01-10,5.725
2025-01-14,5.675
2025-01-15,5.72
2025-01-16,5.715
2025-01-17,5.715
2025-01-20,5.715
2025-01-21,5.65
2025-01-22,5.65
2025-01-23,5.65
2025-01-24,5.6125
2025-01-27,5.625
2025-01-28,5.6375
2025-01-29,5.6375
2025-01-30,5.65
2025-01-31,5.625
2025-02-03,5.6875
2025-02-04,5.655
2025-02-05,5.6125
2025-02-06,5.54
2025-02-07,5.525
2025-02-10,5.54
2025-02-11,5.535
2025-02-12,5.51
2025-02-13,5.58
2025-02-14,5.575
2025-02-17,5.575
2025-02-18,5.575
2025-02-19,5.575
2025-02-20,5.5755
2025-02-21,5.6
2025-02-24,5.59
2025-02-25,5.598
2025-02-26,5.585
2025-02-27,5.585
2025-02-28,5.585
2025-03-03,5.585
2025-03-04,5.585
2025-03-05,5.585
2025-03-06,5.585
2025-03-07,5.58
2025-03-10,5.575
2025-03-11,5.575
2025-03-12,5.57
2025-03-13,5.575
2025-03-14,5.5625
2025-03-17,5.5625
2025-03-18,5.5475
2025-03-19,5.5575
2025-03-20,5.545
2025-03-21,5.55
2025-03-24,5.545
2025-03-25,5.54
2025-03-26,5.535
2025-03-27,5.5125
2025-03-28,5.5125
2025-03-31,5.525
2025-04-02,5.525
2025-04-03,5.52
2025-04-04,5.515
2025-04-07,5.51
2025-04-08,5.51
2025-04-09,5.51
2025-04-10,5.505
2025-04-11,5.485
2025-04-14,5.485
2025-04-15,5.475
2025-04-16,5.47
2025-04-17,5.47
2025-04-21,5.47
2025-04-22,5.47
2025-04-23,5.47
2025-04-24,5.465
2025-04-25,5.47
2025-04-28,5.45
2025-04-29,5.47
2025-04-30,5.46
2025-05-01,5.44
2025-05-02,5.44
2025-05-05,5.475
2025-05-06,5.37
2025-05-07,5.365
2025-05-08,5.365
2025-05-09,5.325
2025-05-13,5.315
2025-05-14,5.31
2025-05-15,5.2995
2025-05-16,5.295
2025-05-19,5.294
2025-05-20,5.275
2025-05-21,5.29
2025-05-22,5.2875
2025-05-23,5.285
2025-05-26,5.27
2025-05-27,5.28
2025-05-28,5.28
2025-05-29,5.27
2025-05-30,5.275
2025-06-02,5.275
2025-06-03,5.24
2025-06-04,5.26
2025-06-05,5.205
2025-06-06,5.2025
2025-06-09,5.195
2025-06-10,5.2
2025-06-11,5.1775
2025-06-12,5.175
2025-06-13,5.19
2025-06-16,5.175
2025-06-17,5.175
2025-06-18,5.16
2025-06-19,5.185
2025-06-20,5.175
2025-06-23,5.195
2025-06-24,5.175
2025-06-25,5.175
2025-06-26,5.19
2025-06-27,5.165
2025-06-30,5.185
2025-07-01,5.18
2025-07-02,5.18
2025-07-03,5.125
2025-07-04,5.0715
2025-07-07,5.025
2025-07-08,5.06
2025-07-09,5.0
2025-07-10,5.05
2025-07-11,5.05
2025-07-14,4.975
2025-07-15,4.985
2025-07-16,4.985
2025-07-17,4.985
2025-07-18,5.0375
2025-07-21,5.05
2025-07-22,5.025
2025-07-23,5.0125
2025-07-24,4.975
2025-07-25,4.975
2025-07-28,5.0
2025-07-29,4.975
2025-07-30,4.975
2025-07-31,4.9625
2025-08-01,4.9625
2025-08-04,4.9625
2025-08-05,4.9
2025-08-06,4.9
2025-08-07,4.875
2025-08-08,4.9
2025-08-11,4.9
2025-08-12,4.9
2025-08-13,4.9
2025-08-14,4.925
2025-08-15,4.9
2025-08-18,4.9
2025-08-19,4.9
2025-08-20,4.9
2025-08-21,4.9
2025-08-22,4.9
2025-08-26,4.875
2025-08-27,4.875
2025-08-28,4.875
2025-08-29,4.875
2025-09-01,4.875
2025-09-02,4.875
2025-09-03,4.875
2025-09-04,4.875
2025-09-05,4.875
2025-09-08,4.875
2025-09-09,4.875
2025-09-10,4.875
2025-09-11,4.825
2025-09-12,4.825
2025-09-15,4.825
2025-09-16,4.825
2025-09-17,4.82
2025-09-18,4.825
2025-09-19,4.8
2025-09-22,4.8575
2025-09-23,4.85
2025-09-24,4.8625
2025-09-25,4.825
2025-09-26,4.85
2025-09-29,4.8625
2025-09-30,4.87
2025-10-01,4.8625
2025-10-02,4.8625
2025-10-03,4.8625
2025-10-06,4.8625
2025-10-07,4.8575
2025-10-08,4.8
2025-10-09,4.845
2025-10-10,4.65
2025-10-13,4.65
2025-10-14,4.65
2025-10-15,4.6375
2025-10-16,4.6125
2025-10-17,4.5875
2025-10-20,4.5875
2025-10-21,4.5875
2025-10-22,4.5875
2025-10-23,4.5875
2025-10-24,4.575
2025-10-27,4.5675
2025-10-28,4.54
2025-10-29,4.55
2025-10-30,4.555
2025-10-31,4.54
2025-11-03,4.525
2025-11-04,4.525
2025-11-05,4.525
2025-11-06,4.52
2025-11-07,4.45
2025-11-10,4.4375
2025-11-11,4.4365
2025-11-12,4.435
2025-11-13,4.4225
2025-11-14,4.4225
2025-11-17,4.4
2025-11-18,4.405
2025-11-19,4.405
2025-11-20,4.405
2025-11-21,4.4075
2025-11-24,4.39
2025-11-25,4.4
