Date,Value
2024-10-15,6.02
2024-10-16,6.015
2024-10-17,5.995
2024-10-18,6.01
2024-10-22,5.9875
2024-10-23,5.9875
2024-10-25,5.9875
2024-10-29,5.9875
2024-10-30,6.0
2024-10-31,5.9375
2024-11-07,5.9875
2024-11-08,5.9875
2024-11-12,6.0125
2024-11-13,5.9875
2024-11-14,6.01
2024-11-15,6.0
2024-11-18,5.9875
2024-11-19,5.98
2024-11-20,5.97
2024-11-21,5.975
2024-11-22,5.948
2024-11-25,5.975
2024-11-26,5.9625
2024-11-27,5.9125
2024-11-28,5.9125
2024-11-29,5.925
2024-12-03,5.8875
2024-12-04,5.8735
2024-12-05,5.868
2024-12-06,5.8625
2024-12-09,5.8375
2024-12-10,5.825
2024-12-11,5.8185
2024-12-12,5.81
2024-12-13,5.7875
2024-12-16,5.81
2024-12-17,5.7975
2024-12-18,5.79
2024-12-19,5.78
2024-12-20,5.7625
2024-12-26,5.7625
2024-12-27,5.7625
2025-01-02,5.76
2025-01-03,5.7375
2025-01-07,5.76
2025-01-08,5.76
2025-01-09,5.76
2025-01-10,5.74
2025-01-13,5.76
2025-01-14,5.76
2025-01-15,5.76
2025-01-16,5.76
2025-01-17,5.75
2025-01-20,5.75
2025-01-21,5.76
2025-01-22,5.76
2025-01-23,5.74
2025-01-24,5.7275
2025-01-27,5.75
2025-01-28,5.745
2025-01-29,5.745
2025-01-30,5.7535
2025-01-31,5.735
2025-02-03,5.745
2025-02-04,5.715
2025-02-05,5.6675
2025-02-06,5.67
2025-02-07,5.615
2025-02-10,5.58
2025-02-11,5.58
2025-02-12,5.5625
2025-02-13,5.725
2025-02-14,5.75
2025-02-17,5.75
2025-02-18,5.75
2025-02-19,5.755
2025-02-20,5.75
2025-02-21,5.75
2025-02-24,5.75
2025-02-25,5.745
2025-02-26,5.755
2025-02-27,5.75
2025-02-28,5.75
2025-03-03,5.755
2025-03-04,5.745
2025-03-05,5.745
2025-03-06,5.745
2025-03-07,5.74
2025-03-10,5.73
2025-03-11,5.7375
2025-03-12,5.74
2025-03-13,5.74
2025-03-14,5.73
2025-03-17,5.725
2025-03-18,5.71
2025-03-19,5.71
2025-03-20,5.69
2025-03-21,5.675
2025-03-24,5.6675
2025-03-25,5.6625
2025-03-26,5.65
2025-03-27,5.685
2025-03-28,5.65
2025-03-31,5.615
2025-04-02,5.605
2025-04-03,5.59
2025-04-04,5.56
2025-04-07,5.55
2025-04-08,5.545
2025-04-09,5.545
2025-04-10,5.535
2025-04-11,5.525
2025-04-14,5.52
2025-04-15,5.525
2025-04-16,5.515
2025-04-17,5.535
2025-04-21,5.53
2025-04-22,5.535
2025-04-23,5.52
2025-04-24,5.535
2025-04-25,5.525
2025-04-28,5.525
2025-04-29,5.515
2025-04-30,5.52
2025-05-01,5.52
2025-05-02,5.525
2025-05-05,5.5375
2025-05-06,5.528
2025-05-07,5.525
2025-05-08,5.525
2025-05-09,5.515
2025-05-13,5.525
2025-05-14,5.515
2025-05-15,5.52
2025-05-16,5.525
2025-05-19,5.527
2025-05-20,5.5145
2025-05-21,5.5135
2025-05-22,5.515
2025-05-23,5.495
2025-05-26,5.495
2025-05-27,5.4875
2025-05-28,5.4875
2025-05-29,5.4825
2025-05-30,5.4665
2025-06-02,5.455
2025-06-03,5.445
2025-06-04,5.435
2025-06-05,5.435
2025-06-06,5.417
2025-06-09,5.405
2025-06-10,5.39
2025-06-11,5.356
2025-06-12,5.355
2025-06-13,5.3375
2025-06-16,5.33
2025-06-17,5.32
2025-06-18,5.32
2025-06-19,5.295
2025-06-20,5.28
2025-06-23,5.28
2025-06-24,5.275
2025-06-25,5.275
2025-06-26,5.28
2025-06-27,5.2725
2025-06-30,5.28
2025-07-01,5.275
2025-07-02,5.28
2025-07-03,5.2425
2025-07-04,5.2375
2025-07-07,5.23
2025-07-08,5.25
2025-07-09,5.2125
2025-07-10,5.23
2025-07-11,5.2125
2025-07-14,5.22
2025-07-15,5.215
2025-07-16,5.224
2025-07-17,5.2175
2025-07-18,5.23
2025-07-21,5.225
2025-07-22,5.23
2025-07-23,5.225
2025-07-24,5.225
2025-07-25,5.225
2025-07-28,5.225
2025-07-29,5.225
2025-07-30,5.225
2025-07-31,5.225
2025-08-01,5.225
2025-08-04,5.185
2025-08-05,5.15
2025-08-06,5.15
2025-08-07,5.225
2025-08-08,5.15
2025-08-11,5.15
2025-08-12,5.15
2025-08-13,5.15
2025-08-14,5.15
2025-08-15,5.15
2025-08-18,5.125
2025-08-19,5.125
2025-08-20,5.125
2025-08-21,5.125
2025-08-22,5.1
2025-08-26,5.0875
2025-08-27,5.05
2025-08-28,5.05
2025-08-29,5.0125
2025-09-01,5.025
2025-09-02,5.025
2025-09-03,5.01
2025-09-04,5.0
2025-09-05,5.0
2025-09-08,4.975
2025-09-09,4.9775
2025-09-10,4.95
2025-09-11,4.9625
2025-09-12,4.9625
2025-09-15,4.9325
2025-09-16,4.9625
2025-09-17,4.95
2025-09-18,4.945
2025-09-19,4.915
2025-09-22,4.925
